nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ESP,"FW,MF",30,1992,16.4,4,47,19,40.4,2.87,1.16,0.06,0.16,23.9,13,1,1,3.8,3.1,0.06,0.2,-0.1,ESP-La Liga,2022,shooting
ESP,DF,23,1999,20.9,0,10,2,20.0,0.48,0.1,0.0,0.0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,ESP-La Liga,2022,shooting
ESP,"MF,FW",21,2001,8.5,1,17,6,35.3,2.01,0.71,0.06,0.17,18.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,ESP-La Liga,2022,shooting
ESP,DF,23,1999,16.5,1,3,1,33.3,0.18,0.06,0.33,1.0,10.2,0,0,0,0.4,0.4,0.13,0.6,0.6,ESP-La Liga,2022,shooting
ESP,MF,26,1996,0.5,0,1,1,100.0,2.09,2.09,0.0,0.0,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,ESP-La Liga,2022,shooting
ESP,MF,30,1992,18.6,1,7,1,14.3,0.38,0.05,0.14,1.0,20.7,0,0,0,0.4,0.4,0.06,0.6,0.6,ESP-La Liga,2022,shooting
ESP,GK,32,1990,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2022,shooting
POR,FW,32,1989,5.9,0,13,4,30.8,2.22,0.68,0.0,0.0,14.2,0,0,0,1.2,1.2,0.09,-1.2,-1.2,ESP-La Liga,2022,shooting
MLI,FW,20,2001,14.0,7,29,14,48.3,2.06,1.0,0.24,0.5,11.5,0,0,0,6.3,6.3,0.22,0.7,0.7,ESP-La Liga,2022,shooting
ESP,GK,32,1990,36.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2022,shooting
ESP,GK,30,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2022,shooting
ESP,"MF,FW",32,1990,8.0,2,5,2,40.0,0.62,0.25,0.4,1.0,17.4,0,0,0,0.7,0.7,0.14,1.3,1.3,ESP-La Liga,2022,shooting
ESP,MF,28,1994,20.6,4,23,10,43.5,1.12,0.49,0.13,0.3,17.2,0,1,1,3.0,2.3,0.1,1.0,0.7,ESP-La Liga,2022,shooting
GNB,DF,24,1998,9.8,0,1,0,0.0,0.1,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,ESP-La Liga,2022,shooting
ESP,"MF,FW",26,1996,0.2,0,2,1,50.0,9.0,4.5,0.0,0.0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2022,shooting
BRA,DF,18,2004,6.5,0,1,0,0.0,0.15,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,ESP-La Liga,2022,shooting
BEL,"FW,MF",21,2001,15.6,3,40,18,45.0,2.57,1.15,0.08,0.17,19.8,1,0,1,4.2,3.4,0.08,-1.2,-0.4,ESP-La Liga,2022,shooting
ARG,MF,25,1997,31.6,2,37,7,18.9,1.17,0.22,0.05,0.29,25.4,4,0,0,2.6,2.6,0.07,-0.6,-0.6,ESP-La Liga,2022,shooting
COL,FW,24,1997,16.6,4,41,13,31.7,2.48,0.79,0.1,0.31,15.9,0,0,0,4.4,4.4,0.11,-0.4,-0.4,ESP-La Liga,2022,shooting
BRA,"FW,MF",20,2002,8.0,6,25,12,48.0,3.14,1.51,0.24,0.5,15.0,0,0,0,4.0,4.0,0.16,2.0,2.0,ESP-La Liga,2022,shooting
BRA,"FW,MF",29,1992,19.2,5,45,16,35.6,2.35,0.83,0.11,0.31,14.9,0,0,0,4.9,4.9,0.11,0.1,0.1,ESP-La Liga,2022,shooting
SRB,FW,18,2003,0.2,0,1,0,0.0,6.0,0.0,0.0,,9.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ESP-La Liga,2022,shooting
BRA,DF,28,1993,35.1,0,19,1,5.3,0.54,0.03,0.0,0.0,14.7,1,0,0,1.0,1.0,0.05,-1.0,-1.0,ESP-La Liga,2022,shooting
POR,MF,21,2000,22.1,1,20,7,35.0,0.9,0.32,0.05,0.14,20.0,2,0,0,1.7,1.7,0.08,-0.7,-0.7,ESP-La Liga,2022,shooting
ESP,DF,24,1997,25.5,1,23,7,30.4,0.9,0.27,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,ESP-La Liga,2022,shooting
SRB,DF,26,1996,33.3,3,9,5,55.6,0.27,0.15,0.33,0.6,10.1,0,0,0,1.2,1.2,0.13,1.8,1.8,ESP-La Liga,2022,shooting
