league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2024,Aston Villa,John McGinn,SCO,"MF,FW",30-175,1994,20.9,6,0,0,42,59,3,48,11,18,0,0,0,87,15,7,68.2,misc
ENG-Premier League,2024,Aston Villa,Jáder Durán,COL,FW,21-119,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,misc
ENG-Premier League,2024,Aston Villa,Kosta Nedeljković,SRB,DF,19-116,2005,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,misc
ENG-Premier League,2024,Aston Villa,Lamare Bogarde,NED,"DF,MF",21-096,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,misc
ENG-Premier League,2024,Aston Villa,Leon Bailey,JAM,"FW,MF",27-245,1997,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,misc
ENG-Premier League,2024,Aston Villa,Lucas Digne,FRA,DF,31-265,1993,23.9,3,0,0,18,13,7,136,25,34,0,0,0,95,32,26,55.2,misc
ENG-Premier League,2024,Aston Villa,Marco Asensio,ESP,"MF,FW",29-080,1996,3.4,1,0,0,6,3,2,8,1,2,0,0,0,14,0,0,,misc
ENG-Premier League,2024,Aston Villa,Marcus Rashford,ENG,FW,27-162,1997,3.3,0,0,0,1,2,1,20,1,3,0,0,0,10,1,5,16.7,misc
ENG-Premier League,2024,Aston Villa,Matty Cash,POL,DF,27-247,1997,16.4,6,0,0,22,13,1,23,20,23,0,2,0,50,17,17,50.0,misc
ENG-Premier League,2024,Aston Villa,Morgan Rogers,ENG,"FW,MF",22-259,2002,27.9,8,0,0,43,43,2,17,5,16,1,0,0,93,10,40,20.0,misc
ENG-Premier League,2024,Aston Villa,Ollie Watkins,ENG,FW,29-102,1995,23.8,1,0,0,26,27,10,7,6,5,1,0,0,36,43,58,42.6,misc
ENG-Premier League,2024,Aston Villa,Pau Torres,ESP,DF,28-085,1997,18.2,1,0,0,6,7,0,1,9,14,0,0,0,53,15,21,41.7,misc
ENG-Premier League,2024,Aston Villa,Robin Olsen,SWE,GK,35-093,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
ENG-Premier League,2024,Aston Villa,Ross Barkley,ENG,MF,31-127,1993,6.2,3,0,0,8,3,0,1,9,3,0,0,0,40,6,4,60.0,misc
ENG-Premier League,2024,Aston Villa,Tyrone Mings,ENG,DF,32-029,1993,9.7,1,0,0,3,8,0,1,5,5,0,0,0,25,21,18,53.8,misc
ENG-Premier League,2024,Aston Villa,Youri Tielemans,BEL,MF,27-339,1997,29.4,4,0,0,39,49,0,109,21,50,0,0,0,126,18,17,51.4,misc
ENG-Premier League,2024,Bournemouth,Adam Smith,ENG,DF,33-347,1991,12.7,5,0,0,13,9,0,23,12,9,0,0,0,38,9,12,42.9,misc
ENG-Premier League,2024,Bournemouth,Alex Scott,ENG,MF,21-233,2003,5.6,1,0,0,7,19,0,1,9,11,0,0,0,37,4,6,40.0,misc
ENG-Premier League,2024,Bournemouth,Antoine Semenyo,GHA,FW,25-094,2000,29.4,9,0,0,62,32,14,50,7,32,1,0,0,134,56,66,45.9,misc
ENG-Premier League,2024,Bournemouth,Ben Winterburn,ENG,"FW,MF",20-219,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,misc
ENG-Premier League,2024,Bournemouth,Dango Ouattara,BFA,FW,23-059,2002,18.7,1,0,0,14,15,13,74,8,23,0,0,0,72,34,50,40.5,misc
ENG-Premier League,2024,Bournemouth,Daniel Jebbison,ENG,FW,21-241,2003,0.8,1,0,0,2,2,0,1,1,1,0,0,0,7,2,9,18.2,misc
