league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
FRA-Ligue 1,2023,Clermont Foot,Cheick Konaté,MLI,DF,19,2004,11.9,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,defense
FRA-Ligue 1,2023,Clermont Foot,Chrislain Matsima,FRA,DF,21,2002,13.1,18,11,11,7,0,10,18,55.6,8,14,10,4,13,31,74,1,defense
FRA-Ligue 1,2023,Clermont Foot,Elba Rashani,KVX,"MF,FW",30,1993,13.1,30,18,4,17,9,11,24,45.8,13,17,3,14,12,42,15,0,defense
FRA-Ligue 1,2023,Clermont Foot,Florent Ogier,FRA,DF,34,1989,10.5,19,9,13,6,0,11,18,61.1,7,25,19,6,9,28,35,3,defense
FRA-Ligue 1,2023,Clermont Foot,Grejohn Kyei,FRA,FW,27,1995,11.4,6,4,2,2,2,2,3,66.7,1,5,1,4,1,7,10,0,defense
FRA-Ligue 1,2023,Clermont Foot,Habib Keita,MLI,MF,21,2002,14.2,34,19,14,15,5,17,28,60.7,11,27,10,17,29,63,30,0,defense
FRA-Ligue 1,2023,Clermont Foot,Ilhan Fakili,FRA,"MF,FW",17,2006,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,defense
FRA-Ligue 1,2023,Clermont Foot,Jim Allevinah,GAB,"MF,DF",28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0,defense
FRA-Ligue 1,2023,Clermont Foot,Johan Gastien,FRA,MF,35,1988,25.1,43,22,18,21,4,23,81,28.4,58,31,9,22,36,79,24,4,defense
FRA-Ligue 1,2023,Clermont Foot,Joshua M'Bahia,CIV,MF,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Clermont Foot,Jérémie Bela,ANG,"MF,FW",30,1993,2.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,defense
FRA-Ligue 1,2023,Clermont Foot,Jérémy Jacquet,FRA,DF,18,2005,2.8,4,3,4,0,0,3,3,100.0,0,7,3,4,6,10,10,0,defense
FRA-Ligue 1,2023,Clermont Foot,Komnen Andrić,SRB,FW,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0,defense
FRA-Ligue 1,2023,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
FRA-Ligue 1,2023,Clermont Foot,Mateusz Wieteska,POL,DF,26,1997,1.9,4,1,3,1,0,3,5,60.0,2,4,2,2,5,9,8,0,defense
FRA-Ligue 1,2023,Clermont Foot,Maxime Gonalons,FRA,MF,34,1989,14.4,47,33,14,27,6,25,57,43.9,32,18,3,15,20,67,11,0,defense
FRA-Ligue 1,2023,Clermont Foot,Maximiliano Caufriez,BEL,DF,26,1997,18.4,38,28,31,5,2,19,29,65.5,10,18,12,6,18,56,69,2,defense
FRA-Ligue 1,2023,Clermont Foot,Mehdi Zeffane,ALG,"DF,MF",31,1992,13.7,31,20,17,11,3,17,34,50.0,17,14,3,11,16,47,34,0,defense
FRA-Ligue 1,2023,Clermont Foot,Mohamed Bouchenna,FRA,"MF,FW",17,2006,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,defense
FRA-Ligue 1,2023,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,13,5,defense
FRA-Ligue 1,2023,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22,2000,28.4,25,14,10,13,2,11,27,40.7,16,20,2,18,8,33,5,1,defense
FRA-Ligue 1,2023,Clermont Foot,Neto Borges,BRA,DF,26,1996,28.0,48,24,25,18,5,28,63,44.4,35,28,6,22,57,105,84,0,defense
FRA-Ligue 1,2023,Clermont Foot,Shamar Nicholson,JAM,FW,26,1997,16.5,6,2,0,4,2,1,4,25.0,3,6,2,4,0,6,15,0,defense
FRA-Ligue 1,2023,Clermont Foot,Yohann Magnin,FRA,MF,26,1997,18.7,49,31,12,32,5,22,47,46.8,25,38,13,25,19,68,26,1,defense
FRA-Ligue 1,2023,Clermont Foot,Yoël Armougom,FRA,"DF,MF",25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0,defense
FRA-Ligue 1,2023,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,25.4,47,28,22,22,3,30,60,50.0,30,30,8,22,25,72,33,0,defense
FRA-Ligue 1,2023,Le Havre,Alois Confais,FRA,"MF,FW",26,1996,0.1,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,defense
FRA-Ligue 1,2023,Le Havre,André Ayew,GHA,FW,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0,defense
FRA-Ligue 1,2023,Le Havre,Antoine Joujou,FRA,"FW,MF",20,2003,8.7,20,12,7,7,6,11,21,52.4,10,11,2,9,7,27,5,0,defense
FRA-Ligue 1,2023,Le Havre,Arouna Sangante,SEN,DF,21,2002,29.9,53,33,27,23,3,24,40,60.0,16,35,18,17,66,119,93,2,defense
FRA-Ligue 1,2023,Le Havre,Arthur Desmas,FRA,GK,29,1994,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,1,defense
FRA-Ligue 1,2023,Le Havre,Christopher Operi,CIV,DF,26,1997,27.2,55,36,37,15,3,32,59,54.2,27,45,7,38,35,90,68,1,defense
FRA-Ligue 1,2023,Le Havre,Daler Kuzyaev,RUS,MF,30,1993,23.2,34,19,11,13,10,15,43,34.9,28,18,5,13,22,56,18,1,defense
FRA-Ligue 1,2023,Le Havre,Elysée Logbo,FRA,FW,19,2004,2.8,0,0,0,0,0,0,3,0.0,3,7,3,4,0,0,2,0,defense
FRA-Ligue 1,2023,Le Havre,Emmanuel Sabbi,USA,"FW,MF",25,1997,17.6,38,19,15,15,8,16,39,41.0,23,26,2,24,19,57,7,0,defense
FRA-Ligue 1,2023,Le Havre,Etienne Youte Kinkoue,FRA,DF,21,2002,21.6,15,9,13,2,0,7,11,63.6,4,21,16,5,44,59,104,0,defense
FRA-Ligue 1,2023,Le Havre,Gautier Lloris,FRA,DF,28,1995,30.9,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1,defense
FRA-Ligue 1,2023,Le Havre,Issa Soumaré,SEN,"FW,MF",22,2000,2.6,2,0,2,0,0,0,4,0.0,4,0,0,0,0,2,2,0,defense
FRA-Ligue 1,2023,Le Havre,Josué Casimir,FRA,"FW,DF",21,2001,22.4,31,18,14,14,3,7,18,38.9,11,23,2,21,13,44,25,0,defense
FRA-Ligue 1,2023,Le Havre,Loïc Nego,HUN,"DF,MF",32,1991,17.3,37,26,21,12,4,18,30,60.0,12,12,2,10,16,53,17,0,defense
FRA-Ligue 1,2023,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Le Havre,Mohamed Lamine Bayo,GUI,FW,25,1998,15.4,13,5,2,5,6,2,10,20.0,8,8,1,7,2,15,11,0,defense
FRA-Ligue 1,2023,Le Havre,Nabil Alioui,FRA,"MF,FW",24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0,defense
FRA-Ligue 1,2023,Le Havre,Nolan Mbemba,CGO,MF,28,1995,0.2,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,defense
FRA-Ligue 1,2023,Le Havre,Oualid El Hajjam,MAR,"DF,MF",32,1991,4.4,8,7,5,2,1,2,9,22.2,7,5,1,4,6,14,10,0,defense
FRA-Ligue 1,2023,Le Havre,Oussama Targhalline,MAR,MF,21,2002,11.4,23,11,16,7,0,15,25,60.0,10,9,3,6,20,43,14,2,defense
FRA-Ligue 1,2023,Le Havre,Rassoul Ndiaye,SEN,"MF,FW",21,2001,5.8,25,17,8,16,1,12,24,50.0,12,2,1,1,4,29,5,0,defense
FRA-Ligue 1,2023,Le Havre,Samuel Grandsir,FRA,"MF,FW",26,1996,6.7,16,12,5,9,2,8,18,44.4,10,4,0,4,3,19,3,1,defense
FRA-Ligue 1,2023,Le Havre,Simon Ebonog,CMR,MF,18,2004,0.2,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0,defense
FRA-Ligue 1,2023,Le Havre,Steve Ngoura,FRA,"FW,MF",18,2005,2.5,2,1,1,1,0,1,4,25.0,3,0,0,0,0,2,3,0,defense
FRA-Ligue 1,2023,Le Havre,Yassine Kechta,MAR,MF,21,2002,20.5,46,24,24,19,3,31,73,42.5,42,20,3,17,23,69,16,1,defense
FRA-Ligue 1,2023,Le Havre,Yoann Salmier,GUF,DF,30,1992,17.4,22,10,13,6,3,13,20,65.0,7,21,15,6,21,43,57,0,defense
FRA-Ligue 1,2023,Lens,Abdukodir Khusanov,UZB,DF,19,2004,9.0,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2,defense
FRA-Ligue 1,2023,Lens,Adrien Thomasson,FRA,MF,29,1993,13.3,25,14,4,16,5,11,34,32.4,23,14,0,14,9,34,10,1,defense
FRA-Ligue 1,2023,Lens,Andy Diouf,FRA,MF,20,2003,14.6,28,19,12,11,5,14,22,63.6,8,13,3,10,3,31,5,1,defense
FRA-Ligue 1,2023,Lens,Angelo Fulgini,FRA,MF,26,1996,15.3,23,14,6,13,4,11,19,57.9,8,22,1,21,8,31,11,0,defense
FRA-Ligue 1,2023,Lens,Ayanda Sishuba,BEL,"MF,FW",18,2005,0.7,3,1,0,2,1,1,2,50.0,1,1,0,1,0,3,0,0,defense
FRA-Ligue 1,2023,Lens,Brice Samba,FRA,GK,29,1994,33.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,3,defense
FRA-Ligue 1,2023,Lens,David Costa,POR,MF,22,2001,16.6,18,10,5,12,1,10,23,43.5,13,21,4,17,16,34,8,1,defense
FRA-Ligue 1,2023,Lens,Deiver Machado,COL,DF,29,1993,12.5,24,18,10,10,4,15,20,75.0,5,13,2,11,7,31,8,0,defense
FRA-Ligue 1,2023,Lens,Elye Wahi,FRA,FW,20,2003,18.8,6,4,1,3,2,2,10,20.0,8,5,1,4,3,9,3,0,defense
FRA-Ligue 1,2023,Lens,Facundo Medina,ARG,DF,24,1999,30.2,64,38,25,31,8,44,69,63.8,25,38,13,25,24,88,59,2,defense
FRA-Ligue 1,2023,Lens,Faitout Maouassa,FRA,"MF,DF",25,1998,0.8,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,3,0,defense
