league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
FRA-Ligue 1,2022,Clermont Foot,Elba Rashani,KVX,"MF,FW",29,1993,32,26,2162,24.0,3,3,6,3,0,0,3,0,4.7,4.7,3.6,8.3,55,54,172,0.12,0.12,0.25,0.12,0.25,0.2,0.15,0.34,0.2,0.34,standard,KVX,"MF,FW",29,1993,24.0,39,26,13,19,7,13,39,33.3,26,27,2,25,21,60,19,0,defense,KVX,"MF,FW",29,1993,24.0,3,0,0,36,29,4,58,21,26,1,0,0,101,16,42,27.6,misc,KVX,"MF,FW",29,1993,24.0,3,35,13,37.1,1.46,0.54,0.09,0.23,14.4,0,0,0,4.7,4.7,0.13,-1.7,-1.7,shooting,KVX,"MF,FW",29,1993,24.0,543,729,74.5,7569,1657,316,375,84.3,179,229,78.2,18,46,39.1,3,3.6,2.8,-0.6,20,34,15,5,54,passing,KVX,"MF,FW",29,1993,24.0,994,28,169,436,406,93,994,56,22,39.3,26,46.4,712,4389,1714,55,39,22,49,25,664,172,possession
FRA-Ligue 1,2022,Lorient,Eli Junior Kroupi,FRA,"FW,MF",16,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,"FW,MF",16,2006,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,defense,FRA,"FW,MF",16,2006,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,misc,FRA,"FW,MF",16,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,"FW,MF",16,2006,0.1,4,4,100.0,46,22,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,"FW,MF",16,2006,0.1,5,0,1,4,0,0,5,0,0,,0,,3,27,6,0,0,0,0,0,3,0,possession
FRA-Ligue 1,2022,Monaco,Eliesse Ben Seghir,MAR,"FW,MF",17,2005,19,13,1052,11.7,4,1,5,4,0,0,1,0,1.9,1.9,1.2,3.2,31,55,93,0.34,0.09,0.43,0.34,0.43,0.17,0.11,0.27,0.17,0.27,standard,MAR,"FW,MF",17,2005,11.7,18,10,4,12,2,4,12,33.3,8,18,1,17,4,22,1,0,defense,MAR,"FW,MF",17,2005,11.7,1,0,0,17,34,3,7,4,10,0,0,0,49,9,16,36.0,misc,MAR,"FW,MF",17,2005,11.7,4,21,8,38.1,1.8,0.68,0.19,0.5,18.6,0,0,0,1.9,1.9,0.09,2.1,2.1,shooting,MAR,"FW,MF",17,2005,11.7,342,436,78.4,4983,1280,181,224,80.8,123,145,84.8,16,26,61.5,1,1.2,1.1,-0.2,14,30,21,0,55,passing,MAR,"FW,MF",17,2005,11.7,583,2,38,284,272,40,583,36,14,38.9,14,38.9,459,2968,1211,31,28,8,39,22,440,93,possession
FRA-Ligue 1,2022,Monaco,Eliot Matazo,BEL,MF,20,2002,23,13,1175,13.1,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,5,60,10,0.08,0.0,0.08,0.08,0.08,0.02,0.01,0.03,0.02,0.03,standard,BEL,MF,20,2002,13.1,26,12,11,13,2,11,26,42.3,15,18,4,14,15,41,11,1,defense,BEL,MF,20,2002,13.1,2,0,0,18,12,0,2,15,12,0,1,0,86,10,18,35.7,misc,BEL,MF,20,2002,13.1,1,4,3,75.0,0.31,0.23,0.25,0.33,22.9,0,0,0,0.2,0.2,0.05,0.8,0.8,shooting,BEL,MF,20,2002,13.1,399,493,80.9,7648,1822,156,186,83.9,183,213,85.9,54,73,74.0,0,0.1,0.3,-0.1,2,50,3,0,60,passing,BEL,MF,20,2002,13.1,606,30,134,399,81,1,606,16,4,25.0,9,56.3,431,2218,889,5,13,0,9,12,363,10,possession
FRA-Ligue 1,2022,Montpellier,Elye Wahi,FRA,FW,19,2003,33,29,2513,27.9,19,5,24,18,1,1,8,1,12.2,11.4,3.6,15.0,57,25,190,0.68,0.18,0.86,0.64,0.82,0.44,0.13,0.56,0.41,0.54,standard,FRA,FW,19,2003,27.9,9,3,2,3,4,5,14,35.7,9,14,2,12,3,12,5,0,defense,FRA,FW,19,2003,27.9,8,1,0,32,40,26,19,3,3,2,0,0,47,20,78,20.4,misc,FRA,FW,19,2003,27.9,19,62,36,58.1,2.22,1.29,0.29,0.5,14.5,1,1,1,12.2,11.4,0.18,6.8,6.6,shooting,FRA,FW,19,2003,27.9,299,440,68.0,3580,635,166,233,71.2,71,103,68.9,8,14,57.1,5,3.6,2.0,1.4,22,17,6,0,25,passing,FRA,FW,19,2003,27.9,717,5,36,307,383,125,716,76,29,38.2,37,48.7,535,3721,1442,57,40,36,87,46,545,190,possession
FRA-Ligue 1,2022,Reims,Emmanuel Agbadou,CIV,DF,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0.0,0.11,0.11,0.0,0.11,0.06,0.09,0.15,0.06,0.15,standard,CIV,DF,25,1997,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3,defense,CIV,DF,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5,misc,CIV,DF,25,1997,26.5,0,22,3,13.6,0.83,0.11,0.0,0.0,15.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7,shooting,CIV,DF,25,1997,26.5,1281,1493,85.8,27077,9413,360,413,87.2,705,764,92.3,202,284,71.1,3,2.4,1.7,0.6,13,112,15,1,131,passing,CIV,DF,25,1997,26.5,1798,213,851,877,87,21,1798,14,8,57.1,6,42.9,1287,7671,3866,15,19,2,23,13,1087,8,possession
FRA-Ligue 1,2022,Lorient,Enzo Le Fée,FRA,MF,22,2000,35,35,3028,33.6,5,6,11,5,0,0,5,0,3.5,3.5,6.8,10.3,96,218,105,0.15,0.18,0.33,0.15,0.33,0.11,0.2,0.31,0.11,0.31,standard,FRA,MF,22,2000,33.6,108,64,52,40,16,43,113,38.1,70,50,5,45,34,142,38,1,defense,FRA,MF,22,2000,33.6,5,0,0,42,64,2,136,34,64,0,0,0,240,11,25,30.6,misc,FRA,MF,22,2000,33.6,5,45,18,40.0,1.34,0.54,0.11,0.28,23.4,8,0,0,3.5,3.5,0.08,1.5,1.5,shooting,FRA,MF,22,2000,33.6,1708,2118,80.6,28806,9189,773,868,89.1,645,777,83.0,184,307,59.9,6,6.8,4.7,-0.8,67,170,37,5,218,passing,FRA,MF,22,2000,33.6,2611,89,558,1422,675,35,2611,155,68,43.9,67,43.2,1970,12115,5413,96,90,13,74,55,1798,105,possession
FRA-Ligue 1,2022,Montpellier,Enzo Tchato,CMR,DF,19,2002,21,11,1096,12.2,1,1,2,1,0,0,1,0,0.4,0.4,1.1,1.5,25,34,57,0.08,0.08,0.16,0.08,0.16,0.03,0.09,0.12,0.03,0.12,standard,CMR,DF,19,2002,12.2,26,17,14,11,1,13,22,59.1,9,17,2,15,7,33,33,0,defense,CMR,DF,19,2002,12.2,1,0,0,13,7,2,39,7,17,0,0,0,56,17,16,51.5,misc,CMR,DF,19,2002,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,18.8,0,0,0,0.4,0.4,0.09,0.6,0.6,shooting,CMR,DF,19,2002,12.2,414,557,74.3,6287,2107,228,276,82.6,148,193,76.7,19,53,35.8,1,1.1,0.7,-0.1,5,26,6,5,34,passing,CMR,DF,19,2002,12.2,687,46,190,301,204,9,687,13,4,30.8,7,53.8,399,2373,1198,25,26,2,14,7,377,57,possession
FRA-Ligue 1,2022,Marseille,Eric Bailly,CIV,DF,28,1994,17,5,543,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,12,4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,CIV,DF,28,1994,6.0,13,10,6,6,1,7,7,100.0,0,15,12,3,12,25,18,1,defense,CIV,DF,28,1994,6.0,1,0,0,10,5,0,0,12,10,0,0,0,42,15,15,50.0,misc,CIV,DF,28,1994,6.0,0,3,0,0.0,0.5,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,CIV,DF,28,1994,6.0,231,274,84.3,4679,1676,72,82,87.8,118,141,83.7,38,45,84.4,0,0.0,0.0,0.0,0,17,0,0,12,passing,CIV,DF,28,1994,6.0,357,40,159,181,20,10,357,4,2,50.0,2,50.0,218,1355,619,4,2,0,8,3,182,4,possession
FRA-Ligue 1,2022,Troyes,Erik Palmer-Brown,USA,DF,25,1997,38,36,3191,35.5,0,0,0,0,0,0,5,0,1.1,1.1,0.4,1.5,6,75,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,USA,DF,25,1997,35.5,42,27,31,10,1,18,33,54.5,15,56,29,27,26,68,166,1,defense,USA,DF,25,1997,35.5,5,0,0,29,12,1,2,26,27,0,1,1,178,56,32,63.6,misc,USA,DF,25,1997,35.5,0,12,2,16.7,0.34,0.06,0.0,0.0,11.7,0,0,0,1.1,1.1,0.09,-1.1,-1.1,shooting,USA,DF,25,1997,35.5,1212,1435,84.5,22021,9290,489,533,91.7,601,669,89.8,95,185,51.4,0,0.4,1.3,-0.4,7,64,8,1,75,passing,USA,DF,25,1997,35.5,1784,375,1073,684,40,16,1784,15,7,46.7,4,26.7,1256,6680,3173,6,7,2,12,15,1097,0,possession
