nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
FRA,"FW,MF",18,2005,2.5,0,0,0,6,1,2,1,0,1,0,0,0,12,3,10,23.1,FRA-Ligue 1,2023,misc
MAR,MF,21,2002,20.5,4,0,0,30,31,0,19,23,24,0,0,0,115,9,31,22.5,FRA-Ligue 1,2023,misc
GUF,DF,30,1992,17.4,3,0,0,18,9,3,9,21,10,0,0,1,82,29,21,58.0,FRA-Ligue 1,2023,misc
UZB,DF,19,2004,9.0,5,0,0,9,7,0,2,13,12,0,1,0,41,6,5,54.5,FRA-Ligue 1,2023,misc
FRA,MF,29,1993,13.3,2,1,0,16,16,5,47,9,14,1,0,0,89,13,23,36.1,FRA-Ligue 1,2023,misc
FRA,MF,20,2003,14.6,2,0,0,12,15,0,47,3,19,0,0,0,94,10,14,41.7,FRA-Ligue 1,2023,misc
FRA,MF,26,1996,15.3,1,0,0,8,25,1,114,8,14,0,0,0,79,33,30,52.4,FRA-Ligue 1,2023,misc
BEL,"MF,FW",18,2005,0.7,0,0,0,3,4,0,0,0,1,0,0,0,3,0,0,,FRA-Ligue 1,2023,misc
FRA,GK,29,1994,33.0,3,0,0,1,3,0,0,0,1,0,1,1,38,4,0,100.0,FRA-Ligue 1,2023,misc
POR,MF,22,2001,16.6,3,0,0,12,23,0,77,16,10,1,0,0,75,6,9,40.0,FRA-Ligue 1,2023,misc
COL,DF,29,1993,12.5,4,0,0,30,27,2,29,7,18,0,0,0,61,12,10,54.5,FRA-Ligue 1,2023,misc
FRA,FW,20,2003,18.8,10,1,1,20,16,25,10,3,4,1,0,0,34,11,27,28.9,FRA-Ligue 1,2023,misc
ARG,DF,24,1999,30.2,11,0,0,51,19,2,20,24,38,0,0,0,229,37,22,62.7,FRA-Ligue 1,2023,misc
FRA,"MF,DF",25,1998,0.8,0,0,0,2,1,0,3,0,1,0,0,0,1,2,1,66.7,FRA-Ligue 1,2023,misc
FRA,"MF,FW",32,1990,28.9,4,1,0,28,40,13,95,20,22,0,0,0,98,92,42,68.7,FRA-Ligue 1,2023,misc
FRA,GK,37,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,FRA-Ligue 1,2023,misc
ECU,DF,21,2002,5.3,1,0,0,10,4,3,13,5,5,0,0,0,20,7,6,53.8,FRA-Ligue 1,2023,misc
FRA,DF,30,1992,23.5,9,1,0,31,26,0,17,37,20,0,1,0,118,55,51,51.9,FRA-Ligue 1,2023,misc
FRA,DF,25,1997,0.6,0,0,0,2,1,0,4,0,2,0,0,0,6,1,0,100.0,FRA-Ligue 1,2023,misc
AUT,DF,24,1998,29.5,6,0,0,23,48,2,3,23,14,0,0,0,216,55,27,67.1,FRA-Ligue 1,2023,misc
MLI,DF,30,1992,8.2,1,0,0,11,7,2,22,11,8,0,1,0,33,14,8,63.6,FRA-Ligue 1,2023,misc
GUI,"FW,MF",25,1998,6.3,1,0,0,14,7,7,5,4,10,0,0,0,21,16,11,59.3,FRA-Ligue 1,2023,misc
SEN,MF,31,1992,11.7,2,0,0,16,25,0,7,14,18,0,0,0,91,10,5,66.7,FRA-Ligue 1,2023,misc
FRA,MF,22,2001,17.4,1,0,0,21,40,1,7,32,20,1,0,0,94,15,16,48.4,FRA-Ligue 1,2023,misc
COL,"FW,MF",19,2003,0.5,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,33.3,FRA-Ligue 1,2023,misc
POL,DF,28,1995,24.4,4,0,0,33,12,0,118,25,39,0,0,0,96,17,26,39.5,FRA-Ligue 1,2023,misc
FRA,DF,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1,FRA-Ligue 1,2023,misc
GHA,MF,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,FRA-Ligue 1,2023,misc
NED,MF,27,1996,1.3,2,0,0,5,2,0,1,2,0,0,0,0,5,0,0,,FRA-Ligue 1,2023,misc
FRA,"FW,MF",28,1995,11.3,1,0,0,33,15,8,15,4,4,1,0,0,33,8,23,25.8,FRA-Ligue 1,2023,misc
FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2023,misc
