league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002,9.1,0,3,0,0.0,0.33,0.0,0.0,,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Adu Ares,ESP,FW,23-181,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Aitor Paredes,ESP,DF,24-347,2000,15.1,3,5,3,60.0,0.33,0.2,0.6,1.0,3.8,0,0,0,2.2,2.2,0.44,0.8,0.8,shooting
ESP-La Liga,2024,Athletic Club,Alex Padilla,ESP,GK,21-222,2003,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Ander Herrera,ESP,MF,35-240,1989,3.0,0,7,3,42.9,2.31,0.99,0.0,0.0,24.2,0,0,1,1.7,0.9,0.16,-1.7,-0.9,shooting
ESP-La Liga,2024,Athletic Club,Andoni Gorosabel,ESP,DF,28-250,1996,12.6,0,2,1,50.0,0.16,0.08,0.0,0.0,22.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3,shooting
ESP-La Liga,2024,Athletic Club,Beñat Prados,ESP,MF,24-062,2001,15.4,1,15,5,33.3,0.97,0.32,0.07,0.2,20.9,0,0,0,0.9,0.9,0.06,0.1,0.1,shooting
ESP-La Liga,2024,Athletic Club,Daniel Vivian,ESP,DF,25-270,1999,22.6,3,14,4,28.6,0.62,0.18,0.21,0.75,13.4,0,0,0,1.5,1.5,0.11,1.5,1.5,shooting
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Gorka Guruzeta,ESP,FW,28-211,1996,16.2,6,47,16,34.0,2.9,0.99,0.13,0.38,12.9,0,0,0,4.7,4.6,0.1,1.3,1.4,shooting
ESP-La Liga,2024,Athletic Club,Iñaki Williams,GHA,"FW,MF",30-300,1994,26.7,5,60,22,36.7,2.25,0.82,0.08,0.23,16.8,0,0,0,6.6,6.6,0.11,-1.6,-1.6,shooting
ESP-La Liga,2024,Athletic Club,Iñigo Lekue,ESP,DF,31-342,1993,6.3,0,2,0,0.0,0.32,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31-248,1993,11.9,0,7,0,0.0,0.59,0.0,0.0,,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,shooting
ESP-La Liga,2024,Athletic Club,Javi Martón,ESP,"FW,MF",25-340,1999,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Julen Agirrezabala,ESP,GK,24-106,2000,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Maroan Sannadi,ESP,FW,24-069,2001,3.6,1,10,4,40.0,2.78,1.11,0.1,0.25,14.7,0,0,0,2.1,2.1,0.21,-1.1,-1.1,shooting
ESP-La Liga,2024,Athletic Club,Mikel Jauregizar,ESP,MF,21-150,2003,19.5,2,17,5,29.4,0.87,0.26,0.12,0.4,22.2,0,0,0,0.8,0.8,0.05,1.2,1.2,shooting
ESP-La Liga,2024,Athletic Club,Mikel Vesga,ESP,MF,31-325,1993,8.6,0,5,2,40.0,0.58,0.23,0.0,0.0,21.6,0,0,1,1.2,0.4,0.08,-1.2,-0.4,shooting
ESP-La Liga,2024,Athletic Club,Nico Williams,ESP,FW,22-273,2002,20.8,4,51,18,35.3,2.45,0.86,0.08,0.22,17.7,1,0,0,3.8,3.8,0.07,0.2,0.2,shooting
ESP-La Liga,2024,Athletic Club,Nicolás Serrano,ESP,FW,22-037,2003,1.2,0,5,1,20.0,4.02,0.8,0.0,0.0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Oihan Sancet,ESP,MF,24-351,2000,15.3,13,41,16,39.0,2.68,1.05,0.27,0.69,15.9,0,2,2,8.4,6.8,0.17,4.6,4.2,shooting
ESP-La Liga,2024,Athletic Club,Peio Canales,ESP,"MF,FW",20-084,2005,1.4,0,1,0,0.0,0.73,0.0,0.0,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Unai Gómez,ESP,"MF,FW",21-321,2003,10.1,1,14,2,14.3,1.39,0.2,0.07,0.5,17.5,1,0,0,1.2,1.2,0.08,-0.2,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Unai Núñez,ESP,DF,28-071,1997,5.5,0,1,0,0.0,0.18,0.0,0.0,,3.3,0,0,0,0.2,0.2,0.23,-0.2,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Unai Simón,ESP,GK,27-304,1997,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Yeray Álvarez,ESP,DF,30-077,1995,16.8,1,8,2,25.0,0.48,0.12,0.13,0.5,16.0,0,0,0,0.5,0.5,0.06,0.5,0.5,shooting
ESP-La Liga,2024,Athletic Club,Yuri Berchiche,ESP,DF,35-060,1990,17.7,0,14,4,28.6,0.79,0.23,0.0,0.0,25.9,2,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting
ESP-La Liga,2024,Athletic Club,Álex Berenguer,ESP,"FW,MF",29-281,1995,19.8,5,43,16,37.2,2.17,0.81,0.12,0.31,18.5,2,0,1,6.0,5.2,0.12,-1.0,-0.2,shooting
ESP-La Liga,2024,Athletic Club,Álvaro djaló,ESP,FW,25-238,1999,5.1,1,14,3,21.4,2.76,0.59,0.07,0.33,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2,shooting
