nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ALG,DF,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,FRA-Ligue 1,2022,misc
CIV,FW,18,2003,2.3,0,0,0,7,5,0,0,1,4,0,0,0,5,2,15,11.8,FRA-Ligue 1,2022,misc
FRA,GK,33,1989,31.1,1,0,0,0,4,0,0,1,0,0,0,0,46,2,0,100.0,FRA-Ligue 1,2022,misc
CGO,FW,27,1995,7.8,1,0,0,18,22,2,4,2,1,0,0,0,27,53,47,53.0,FRA-Ligue 1,2022,misc
FRA,"DF,MF",22,2000,21.1,5,1,0,22,18,1,3,27,15,0,1,0,92,50,26,65.8,FRA-Ligue 1,2022,misc
BFA,MF,26,1996,22.3,3,1,0,29,28,7,44,25,37,0,0,0,150,41,57,41.8,FRA-Ligue 1,2022,misc
GLP,DF,35,1986,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.7,FRA-Ligue 1,2022,misc
CGO,DF,26,1996,7.9,1,0,0,9,15,0,0,11,5,1,0,0,50,15,5,75.0,FRA-Ligue 1,2022,misc
FRA,MF,24,1998,3.7,1,0,0,2,1,0,1,7,4,0,0,0,22,1,3,25.0,FRA-Ligue 1,2022,misc
FRA,GK,28,1994,6.0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,FRA-Ligue 1,2022,misc
FRA,GK,19,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,FRA-Ligue 1,2022,misc
CIV,DF,25,1997,24.2,9,1,0,41,33,1,35,30,33,0,2,0,166,26,24,52.0,FRA-Ligue 1,2022,misc
FRA,"MF,FW",18,2004,2.1,0,0,0,3,3,2,4,1,3,0,0,0,12,2,2,50.0,FRA-Ligue 1,2022,misc
SUI,"MF,FW",25,1997,11.8,3,0,0,20,21,1,5,11,18,0,0,0,65,5,18,21.7,FRA-Ligue 1,2022,misc
BFA,"FW,MF",19,2002,2.5,0,0,0,5,6,0,0,0,2,0,0,0,13,10,17,37.0,FRA-Ligue 1,2022,misc
FRA,MF,36,1986,21.6,2,0,0,6,13,0,5,19,13,0,0,0,150,9,13,40.9,FRA-Ligue 1,2022,misc
FRA,MF,18,2004,0.5,0,0,0,1,1,0,0,3,2,0,0,0,6,0,1,0.0,FRA-Ligue 1,2022,misc
GLP,DF,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2,FRA-Ligue 1,2022,misc
FRA,MF,31,1991,14.7,1,0,0,20,8,0,76,18,20,0,0,0,100,9,7,56.3,FRA-Ligue 1,2022,misc
COM,DF,34,1988,27.3,5,1,0,40,37,0,89,65,44,0,0,1,140,47,37,56.0,FRA-Ligue 1,2022,misc
FRA,FW,23,1999,27.7,10,0,0,81,80,23,20,13,19,2,0,0,67,110,191,36.5,FRA-Ligue 1,2022,misc
SEN,FW,22,1999,1.5,0,0,0,4,3,0,0,0,0,0,0,0,5,5,6,45.5,FRA-Ligue 1,2022,misc
FRA,FW,17,2005,5.5,3,0,0,10,4,3,1,0,2,0,0,0,10,8,23,25.8,FRA-Ligue 1,2022,misc
CMR,DF,24,1998,28.6,10,0,0,45,44,3,3,52,28,0,3,0,157,63,46,57.8,FRA-Ligue 1,2022,misc
FRA,MF,19,2003,0.6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,,FRA-Ligue 1,2022,misc
ALB,MF,26,1996,2.4,0,0,0,2,2,1,8,2,3,0,1,0,20,4,5,44.4,FRA-Ligue 1,2022,misc
