league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
FRA-Ligue 1,2024,Montpellier,Yael Mouanga,FRA,DF,19-262,2005.0,8,5,516,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,11,2,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,standard,FRA,DF,19-262,2005.0,5.7,6,3,4,1,1,3,5,60.0,2,9,6,3,4,10,32,0,defense,FRA,DF,19-262,2005.0,5.7,0,1,0,0.0,0.17,0.0,0.0,,5.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,shooting,FRA,DF,19-262,2005.0,5.7,176,212,83.0,3301,1217,72,80,90.0,83,93,89.2,18,30,60.0,0,0.2,0.0,-0.2,1,9,1,1,11,passing,FRA,DF,19-262,2005.0,5.7,1,0,0,4,3,0,2,4,3,0,0,0,21,11,10,52.4,misc,FRA,DF,19-262,2005.0,5.7,275,39,139,130,7,2,275,4,4,100.0,0,0.0,150,783,369,1,0,0,2,1,165,2,possession
FRA-Ligue 1,2024,Nice,Yael Nandjou,FRA,DF,19-279,2005.0,3,2,154,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.7,1.0,2,3,9,0.0,0.0,0.0,0.0,0.0,0.13,0.44,0.57,0.13,0.57,standard,FRA,DF,19-279,2005.0,1.7,4,1,2,1,1,4,8,50.0,4,4,1,3,4,8,7,0,defense,FRA,DF,19-279,2005.0,1.7,0,1,0,0.0,0.58,0.0,0.0,,7.5,0,0,0,0.2,0.2,0.22,-0.2,-0.2,shooting,FRA,DF,19-279,2005.0,1.7,50,66,75.8,723,256,28,32,87.5,22,28,78.6,0,3,0.0,0,0.7,0.6,-0.7,2,5,1,1,3,passing,FRA,DF,19-279,2005.0,1.7,0,0,0,6,2,0,4,4,1,0,1,0,8,3,1,75.0,misc,FRA,DF,19-279,2005.0,1.7,89,10,32,35,23,6,89,1,1,100.0,0,0.0,27,82,52,2,0,1,1,0,40,9,possession
FRA-Ligue 1,2024,Angers,Yahia Fofana,CIV,GK,24-233,2000.0,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CIV,GK,24-233,2000.0,28.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,20,2,defense,CIV,GK,24-233,2000.0,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,CIV,GK,24-233,2000.0,28.0,585,848,69.0,17070,12168,76,76,100.0,299,305,98.0,209,463,45.1,0,0.1,0.0,-0.1,1,7,0,0,0,passing,CIV,GK,24-233,2000.0,28.0,4,0,0,0,8,0,0,1,0,0,0,0,33,5,3,62.5,misc,CIV,GK,24-233,2000.0,28.0,931,826,927,4,0,0,931,2,2,100.0,0,0.0,458,2773,1880,0,0,0,0,0,306,0,possession
FRA-Ligue 1,2024,Montpellier,Yanis Issoufou,FRA,"MF,FW",18-165,2006.0,4,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,standard,FRA,"MF,FW",18-165,2006.0,0.9,6,4,4,1,1,3,5,60.0,2,1,0,1,0,6,1,0,defense,FRA,"MF,FW",18-165,2006.0,0.9,0,2,0,0.0,2.34,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,FRA,"MF,FW",18-165,2006.0,0.9,10,20,50.0,131,32,7,10,70.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,1,0,2,passing,FRA,"MF,FW",18-165,2006.0,0.9,0,0,0,1,0,0,3,0,4,0,0,0,3,0,1,0.0,misc,FRA,"MF,FW",18-165,2006.0,0.9,28,2,6,11,11,3,28,2,1,50.0,1,50.0,16,106,67,3,1,0,1,0,14,2,possession
FRA-Ligue 1,2024,Le Havre,Yanis Zouaoui,ALG,"DF,FW",30-275,1994.0,14,9,926,10.3,0,2,2,0,0,0,2,0,0.1,0.1,2.7,2.9,32,29,28,0.0,0.19,0.19,0.0,0.19,0.01,0.27,0.28,0.01,0.28,standard,ALG,"DF,FW",30-275,1994.0,10.3,17,8,9,6,2,10,14,71.4,4,14,2,12,8,25,43,0,defense,ALG,"DF,FW",30-275,1994.0,10.3,0,5,2,40.0,0.49,0.19,0.0,0.0,28.6,2,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,ALG,"DF,FW",30-275,1994.0,10.3,377,551,68.4,6955,2556,181,204,88.7,137,191,71.7,54,126,42.9,2,2.7,2.8,-0.7,26,19,13,9,29,passing,ALG,"DF,FW",30-275,1994.0,10.3,2,0,0,7,12,1,99,8,8,0,0,0,39,7,4,63.6,misc,ALG,"DF,FW",30-275,1994.0,10.3,674,38,202,280,201,8,674,18,13,72.2,4,22.2,300,2090,1220,32,26,3,16,3,338,28,possession
FRA-Ligue 1,2024,Toulouse,Yann Gboho,FRA,"MF,FW",24-087,2001.0,25,22,1892,21.0,2,3,5,2,0,0,2,0,4.5,4.5,3.2,7.6,96,81,157,0.1,0.14,0.24,0.1,0.24,0.21,0.15,0.36,0.21,0.36,standard,FRA,"MF,FW",24-087,2001.0,21.0,23,10,6,9,8,11,25,44.0,14,20,0,20,4,27,4,0,defense,FRA,"MF,FW",24-087,2001.0,21.0,2,41,20,48.8,1.95,0.95,0.05,0.1,15.6,0,0,0,4.5,4.5,0.11,-2.5,-2.5,shooting,FRA,"MF,FW",24-087,2001.0,21.0,371,507,73.2,5247,1644,215,258,83.3,119,152,78.3,16,27,59.3,3,3.2,3.3,-0.2,27,41,23,0,81,passing,FRA,"MF,FW",24-087,2001.0,21.0,2,0,0,13,53,1,22,4,10,1,0,0,88,4,25,13.8,misc,FRA,"MF,FW",24-087,2001.0,21.0,771,4,72,314,403,107,771,109,47,43.1,57,52.3,556,3912,2353,96,58,30,54,45,576,157,possession
FRA-Ligue 1,2024,Angers,Yassin Belkhdim,FRA,MF,23-056,2002.0,24,11,1093,12.1,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,13,27,26,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,standard,FRA,MF,23-056,2002.0,12.1,43,22,21,16,6,21,46,45.7,25,19,6,13,16,59,29,1,defense,FRA,MF,23-056,2002.0,12.1,0,6,3,50.0,0.49,0.25,0.0,0.0,18.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,shooting,FRA,MF,23-056,2002.0,12.1,295,371,79.5,4463,1090,151,172,87.8,121,145,83.4,14,26,53.8,0,0.4,0.5,-0.4,3,18,2,1,27,passing,FRA,MF,23-056,2002.0,12.1,2,0,0,17,13,1,12,16,22,0,0,0,58,3,12,20.0,misc,FRA,MF,23-056,2002.0,12.1,537,37,189,264,94,14,537,13,2,15.4,10,76.9,272,1337,534,13,5,2,24,10,305,26,possession
FRA-Ligue 1,2024,Le Havre,Yassine Kechta,MAR,"MF,FW",23-045,2002.0,25,20,1649,18.3,2,0,2,2,0,0,4,0,2.2,2.2,1.2,3.3,35,71,69,0.11,0.0,0.11,0.11,0.11,0.12,0.06,0.18,0.12,0.18,standard,MAR,"MF,FW",23-045,2002.0,18.3,47,27,24,17,6,26,61,42.6,35,22,2,20,20,67,24,1,defense,MAR,"MF,FW",23-045,2002.0,18.3,2,24,9,37.5,1.31,0.49,0.08,0.22,24.6,1,0,0,2.2,2.2,0.09,-0.2,-0.2,shooting,MAR,"MF,FW",23-045,2002.0,18.3,473,594,79.6,8039,2356,233,267,87.3,185,222,83.3,44,65,67.7,0,1.2,1.2,-1.2,14,46,15,5,71,passing,MAR,"MF,FW",23-045,2002.0,18.3,4,0,0,33,26,2,19,20,27,1,0,0,87,10,23,30.3,misc,MAR,"MF,FW",23-045,2002.0,18.3,795,22,169,429,214,21,795,22,9,40.9,11,50.0,414,2551,1310,35,29,3,31,20,493,69,possession
FRA-Ligue 1,2024,Reims,Yaya Kader Fofana,MLI,"MF,FW",20-303,2004.0,12,8,634,7.0,1,1,2,1,0,0,4,0,0.6,0.6,1.7,2.3,19,22,29,0.14,0.14,0.28,0.14,0.28,0.09,0.24,0.32,0.09,0.32,standard,MLI,"MF,FW",20-303,2004.0,7.0,17,11,8,5,4,4,12,33.3,8,11,2,9,3,20,2,0,defense,MLI,"MF,FW",20-303,2004.0,7.0,1,13,4,30.8,1.85,0.57,0.08,0.25,20.1,0,0,0,0.6,0.6,0.05,0.4,0.4,shooting,MLI,"MF,FW",20-303,2004.0,7.0,177,232,76.3,2512,795,113,134,84.3,44,63,69.8,12,19,63.2,1,1.7,1.0,-0.7,7,14,10,1,22,passing,MLI,"MF,FW",20-303,2004.0,7.0,4,0,0,16,7,0,6,3,11,0,0,0,33,4,10,28.6,misc,MLI,"MF,FW",20-303,2004.0,7.0,317,7,78,156,92,17,317,22,14,63.6,8,36.4,209,1359,773,19,12,6,14,8,220,29,possession
FRA-Ligue 1,2024,Reims,Yehvann Diouf,FRA,GK,25-146,1999.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,GK,25-146,1999.0,28.0,2,1,2,0,0,1,3,33.3,2,0,0,0,1,3,12,2,defense,FRA,GK,25-146,1999.0,28.0,0,1,1,100.0,0.04,0.04,0.0,0.0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,FRA,GK,25-146,1999.0,28.0,698,1007,69.3,19064,13884,124,126,98.4,351,361,97.2,221,511,43.2,0,0.0,0.0,0.0,0,10,0,0,0,passing,FRA,GK,25-146,1999.0,28.0,1,0,0,0,2,0,0,1,1,0,0,0,33,5,0,100.0,misc,FRA,GK,25-146,1999.0,28.0,1089,880,1074,14,1,1,1089,1,1,100.0,0,0.0,561,2869,1759,0,0,0,1,0,475,0,possession
