league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
FRA-Ligue 1,2024,Lyon,Ernest Nuamah,GHA,"FW,MF",21-161,2003.0,11.7,597,13,100,214,300,51,597,43,22,51.2,19,44.2,388,2425,1388,44,26,18,31,22,431,131,possession
FRA-Ligue 1,2024,Lyon,Georges Mikautadze,GEO,FW,24-162,2000.0,12.6,536,8,37,227,279,86,533,50,14,28.0,34,68.0,321,1817,687,27,11,16,36,19,420,116,possession
FRA-Ligue 1,2024,Lyon,Gift Orban,NGA,"FW,DF",22-268,2002.0,2.1,49,0,6,13,30,10,49,5,2,40.0,3,60.0,26,108,36,1,0,1,6,0,35,12,possession
FRA-Ligue 1,2024,Lyon,Jordan Veretout,FRA,MF,32-041,1993.0,14.7,900,23,160,550,199,22,900,6,4,66.7,2,33.3,483,2129,1035,26,14,4,19,7,642,51,possession
FRA-Ligue 1,2024,Lyon,Lucas Perri,BRA,GK,27-122,1997.0,28.0,982,813,975,7,0,0,982,0,0,,0,,598,2714,1867,0,0,0,1,2,494,0,possession
FRA-Ligue 1,2024,Lyon,Mahamadou Diawara,FRA,MF,20-053,2005.0,0.2,9,0,0,8,2,1,9,0,0,,0,,2,36,28,1,1,0,0,1,3,0,possession
FRA-Ligue 1,2024,Lyon,Malick Fofana,BEL,FW,20-011,2005.0,13.4,618,7,67,234,335,70,618,45,19,42.2,23,51.1,425,3191,1932,77,41,25,29,15,471,140,possession
FRA-Ligue 1,2024,Lyon,Mama Samba Baldé,GNB,FW,29-156,1995.0,0.4,15,1,2,6,7,2,15,3,0,0.0,3,100.0,7,65,28,1,1,0,1,1,9,2,possession
FRA-Ligue 1,2024,Lyon,Maxence Caqueret,FRA,MF,25-055,2000.0,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,211,1191,537,14,10,2,15,10,304,15,possession
FRA-Ligue 1,2024,Lyon,Moussa Niakhate,SEN,DF,29-034,1996.0,24.3,1724,209,826,859,47,5,1724,3,3,100.0,0,0.0,1069,6069,3941,25,6,0,7,3,1232,3,possession
FRA-Ligue 1,2024,Lyon,Nemanja Matić,SRB,MF,36-253,1988.0,18.8,1292,58,278,822,201,29,1292,11,7,63.6,4,36.4,797,4094,2166,33,28,8,9,17,964,13,possession
FRA-Ligue 1,2024,Lyon,Nicolás Tagliafico,ARG,DF,32-223,1992.0,17.1,1308,61,382,664,268,34,1308,8,1,12.5,4,50.0,669,2466,1237,23,16,3,19,4,843,60,possession
FRA-Ligue 1,2024,Lyon,Orel Mangala,BEL,MF,27-024,1998.0,0.7,42,1,5,27,10,2,42,3,0,0.0,3,100.0,26,128,62,1,0,0,0,0,29,3,possession
FRA-Ligue 1,2024,Lyon,Paul Akouokou,CIV,MF,27-112,1997.0,0.0,2,1,1,1,0,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,possession
FRA-Ligue 1,2024,Lyon,Rayan Cherki,FRA,"FW,MF",21-237,2003.0,17.5,1207,5,89,503,638,94,1207,81,40,49.4,36,44.4,755,4741,2513,65,66,28,35,35,929,143,possession
FRA-Ligue 1,2024,Lyon,Sael Kumbedi,FRA,DF,20-016,2005.0,8.8,523,27,144,229,151,14,523,18,7,38.9,10,55.6,259,1059,670,19,12,6,8,11,342,59,possession
FRA-Ligue 1,2024,Lyon,Saïd Benrahma,ALG,"FW,MF",29-244,1995.0,8.2,447,2,44,169,240,34,447,29,8,27.6,20,69.0,286,1930,956,41,20,15,15,11,346,109,possession
FRA-Ligue 1,2024,Lyon,Tanner Tessmann,USA,MF,23-199,2001.0,10.6,694,39,160,413,128,8,694,16,8,50.0,7,43.8,423,1834,814,10,11,1,8,7,509,20,possession
FRA-Ligue 1,2024,Lyon,Thiago Almada,ARG,"MF,FW",23-350,2001.0,5.3,396,6,65,195,139,14,396,6,4,66.7,2,33.3,269,1190,543,13,12,5,7,5,323,28,possession
FRA-Ligue 1,2024,Lyon,Warmed Omari,COM,DF,24-353,2000.0,0.1,7,0,7,0,0,0,7,0,0,,0,,3,6,4,0,0,0,0,0,5,0,possession
FRA-Ligue 1,2024,Lyon,Wilfried Zaha,CIV,FW,32-152,1992.0,0.8,49,0,2,22,26,4,49,5,3,60.0,2,40.0,30,100,23,1,0,1,2,6,39,9,possession
FRA-Ligue 1,2024,Marseille,Adrien Rabiot,FRA,MF,30-008,1995.0,21.6,1482,27,180,802,513,70,1482,40,20,50.0,19,47.5,884,4922,2365,70,48,11,34,27,1175,133,possession
FRA-Ligue 1,2024,Marseille,Amar Dedić,BIH,DF,22-236,2002.0,2.8,229,5,32,82,118,14,229,15,6,40.0,9,60.0,147,1107,651,20,11,4,6,8,154,37,possession
FRA-Ligue 1,2024,Marseille,Amine Gouiri,ALG,"FW,MF",25-054,2000.0,6.9,319,3,9,95,218,60,319,12,4,33.3,8,66.7,169,702,352,13,8,8,13,10,229,71,possession
FRA-Ligue 1,2024,Marseille,Amine Harit,MAR,MF,27-297,1997.0,5.2,273,1,25,144,106,14,273,17,8,47.1,7,41.2,191,1004,508,12,14,3,12,12,223,21,possession
FRA-Ligue 1,2024,Marseille,Bamo Meïté,CIV,DF,23-129,2001.0,0.3,31,1,22,9,0,0,31,1,0,0.0,1,100.0,21,42,20,0,0,0,0,0,24,0,possession
FRA-Ligue 1,2024,Marseille,Bilal Nadir,MAR,MF,21-134,2003.0,4.0,280,7,33,149,103,10,280,9,4,44.4,2,22.2,152,978,544,18,12,3,7,8,213,25,possession
FRA-Ligue 1,2024,Marseille,Darryl Bakola,FRA,"DF,MF",17-132,2007.0,0.2,15,0,4,6,5,0,15,1,0,0.0,1,100.0,9,49,23,0,1,0,0,1,14,0,possession
FRA-Ligue 1,2024,Marseille,Derek Cornelius,CAN,DF,27-137,1997.0,14.6,1422,100,497,848,80,13,1422,2,0,0.0,2,100.0,962,4033,2206,9,13,0,8,2,1111,11,possession
FRA-Ligue 1,2024,Marseille,Elye Wahi,FRA,FW,22-099,2003.0,6.4,161,0,8,87,67,30,160,10,2,20.0,8,80.0,103,423,177,7,0,5,15,11,126,41,possession
FRA-Ligue 1,2024,Marseille,Emmanuel Koum Mbondo,FRA,DF,19-065,2006.0,0.1,9,0,3,5,1,0,9,0,0,,0,,4,12,2,0,0,0,0,1,8,0,possession
FRA-Ligue 1,2024,Marseille,Enzo Sternal,FRA,"FW,MF",17-318,2007.0,0.3,13,0,1,10,2,0,13,3,1,33.3,2,66.7,10,30,13,0,0,0,2,0,12,0,possession
FRA-Ligue 1,2024,Marseille,Faris Pemi Moumbagna,CMR,FW,24-284,2000.0,0.1,0,0,0,0,0,0,0,0,0,,0,,1,2,0,0,0,0,0,1,1,0,possession
