league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ENG-Premier League,2020,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,18,10,4,11,3,4,22,18.2,18,20,1,19,12,30,13,0,defense
ENG-Premier League,2020,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,11,2,defense
ENG-Premier League,2020,Arsenal,Bukayo Saka,ENG,"FW,MF",18,2001,28.4,25,16,10,13,2,11,40,27.5,29,21,2,19,25,50,24,0,defense
ENG-Premier League,2020,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,7,3,3,2,2,3,8,37.5,5,6,2,4,10,17,37,0,defense
ENG-Premier League,2020,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,12,8,6,4,2,6,21,28.6,15,6,1,5,8,20,16,1,defense
ENG-Premier League,2020,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,37,22,20,11,6,21,51,41.2,30,23,6,17,35,72,14,1,defense
ENG-Premier League,2020,Arsenal,David Luiz,BRA,DF,33,1987,15.5,12,9,5,7,0,4,4,100.0,0,16,9,7,16,28,50,2,defense
ENG-Premier League,2020,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,3,1,0,2,1,0,2,0.0,2,6,0,6,0,3,5,0,defense
ENG-Premier League,2020,Arsenal,Emile Smith Rowe,ENG,"MF,FW",20,2000,16.0,14,7,5,5,4,6,17,35.3,11,15,1,14,10,24,12,0,defense
ENG-Premier League,2020,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,25,15,19,5,1,13,19,68.4,6,27,19,8,26,51,74,2,defense
ENG-Premier League,2020,Arsenal,Gabriel Martinelli,BRA,FW,19,2001,6.5,7,1,2,3,2,4,10,40.0,6,6,0,6,8,15,4,0,defense
ENG-Premier League,2020,Arsenal,Granit Xhaka,SUI,"MF,DF",27,1992,28.0,50,26,18,17,15,30,58,51.7,28,23,7,16,24,74,38,3,defense
ENG-Premier League,2020,Arsenal,Héctor Bellerín,ESP,"DF,MF",25,1995,23.2,29,19,14,12,3,12,41,29.3,29,26,8,18,33,62,33,0,defense
