league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Bologna,Jhon Lucumí,COL,DF,24,1998,32.2,53,37,39,13,1,24,43,55.8,19,43,26,17,35,88,100,1,defense
ITA-Serie A,2022,Bologna,Joaquin Sosa,URU,DF,20,2002,7.6,6,2,5,1,0,4,18,22.2,14,5,3,2,6,12,31,0,defense
ITA-Serie A,2022,Bologna,Joshua Zirkzee,NED,FW,21,2001,9.1,4,2,1,1,2,2,7,28.6,5,4,1,3,4,8,4,0,defense
ITA-Serie A,2022,Bologna,Kevin Bonifazi,ITA,DF,26,1996,10.0,13,8,7,6,0,6,12,50.0,6,11,8,3,12,25,39,0,defense
ITA-Serie A,2022,Bologna,Lewis Ferguson,SCO,"MF,FW",22,1999,25.7,44,25,16,20,8,20,40,50.0,20,22,7,15,19,63,25,0,defense
ITA-Serie A,2022,Bologna,Lorenzo De Silvestri,ITA,DF,34,1988,7.5,3,2,2,0,1,3,7,42.9,4,6,5,1,3,6,20,0,defense
ITA-Serie A,2022,Bologna,Marko Arnautović,AUT,FW,33,1989,17.0,9,6,2,5,2,1,6,16.7,5,11,1,10,2,11,10,0,defense
ITA-Serie A,2022,Bologna,Michel Aebischer,SUI,"FW,MF",25,1997,17.1,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,defense
ITA-Serie A,2022,Bologna,Musa Barrow,GAM,"FW,MF",23,1998,21.8,21,4,10,6,5,8,14,57.1,6,25,1,24,1,22,7,0,defense
ITA-Serie A,2022,Bologna,Nicola Sansone,ITA,FW,30,1991,8.2,12,4,6,4,2,5,10,50.0,5,0,0,0,0,12,4,0,defense
ITA-Serie A,2022,Bologna,Nicolás Domínguez,ARG,MF,24,1998,25.6,79,49,34,33,12,39,76,51.3,37,29,3,26,21,100,29,1,defense
ITA-Serie A,2022,Bologna,Niklas Pyyhtiä,FIN,MF,18,2003,1.2,1,0,0,1,0,0,1,0.0,1,1,1,0,1,2,4,0,defense
ITA-Serie A,2022,Bologna,Nikola Moro,CRO,MF,24,1998,13.6,32,21,11,15,6,14,36,38.9,22,15,2,13,8,40,18,0,defense
ITA-Serie A,2022,Bologna,Riccardo Orsolini,ITA,FW,25,1997,23.6,30,19,15,10,5,17,41,41.5,24,29,3,26,8,38,18,0,defense
ITA-Serie A,2022,Bologna,Roberto Soriano,ITA,"FW,MF",31,1991,14.7,31,16,9,16,6,13,25,52.0,12,23,2,21,6,37,14,0,defense
