league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ITA-Serie A,2021,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",27,1993,20.8,840,1128,74.5,15502,5075,371,440,84.3,330,425,77.6,111,190,58.4,12,10.2,6.7,1.8,78,89,58,7,151,passing
ITA-Serie A,2021,Atalanta,Sam Lammers,NED,"FW,MF",23,1997,3.2,96,122,78.7,1166,181,64,79,81.0,23,27,85.2,1,3,33.3,0,0.4,0.2,-0.4,4,5,3,0,8,passing
ITA-Serie A,2021,Atalanta,Viktor Kovalenko,UKR,FW,24,1996,0.0,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Benevento,Adolfo Gaich,ARG,FW,21,1999,8.5,76,134,56.7,1121,179,42,63,66.7,19,31,61.3,9,12,75.0,0,0.4,0.1,-0.4,5,4,2,1,4,passing
ITA-Serie A,2021,Benevento,Alessandro Tuia,ITA,DF,30,1990,19.6,626,809,77.4,12975,5152,189,214,88.3,340,396,85.9,91,173,52.6,0,0.3,0.2,-0.3,3,38,3,0,44,passing
ITA-Serie A,2021,Benevento,Amadou Diambo,GHA,FW,19,2001,0.0,7,7,100.0,88,18,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Benevento,Andrés Tello,COL,"DF,MF",23,1996,4.6,133,191,69.6,2095,760,70,81,86.4,47,72,65.3,10,22,45.5,0,0.0,0.2,0.0,1,12,3,0,20,passing
ITA-Serie A,2021,Benevento,Artur Ioniță,MDA,MF,29,1990,31.5,574,754,76.1,8316,2105,326,383,85.1,184,231,79.7,28,52,53.8,0,0.9,0.7,-0.9,13,44,12,3,64,passing
ITA-Serie A,2021,Benevento,Bryan Dabo,BFA,MF,28,1992,12.4,437,570,76.7,7007,1927,229,277,82.7,158,197,80.2,33,53,62.3,0,0.3,0.5,-0.3,7,45,8,2,60,passing
ITA-Serie A,2021,Benevento,Christian Maggio,ITA,DF,38,1982,3.3,106,141,75.2,1584,861,64,73,87.7,36,45,80.0,5,13,38.5,0,0.0,0.0,0.0,0,4,0,0,7,passing
