nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ENG,GK,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,ENG-Premier League,2023,misc
ENG,DF,25,1997,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1,ENG-Premier League,2023,misc
ENG,FW,21,2001,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0,ENG-Premier League,2023,misc
POR,DF,31,1991,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0,ENG-Premier League,2023,misc
ESP,GK,27,1995,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,ENG-Premier League,2023,misc
ENG,MF,24,1999,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6,ENG-Premier League,2023,misc
ENG,FW,24,1999,12.0,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46.0,ENG-Premier League,2023,misc
ENG,MF,23,2000,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5,ENG-Premier League,2023,misc
ENG,FW,16,2007,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,ENG-Premier League,2023,misc
POR,"MF,FW",23,2000,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0,ENG-Premier League,2023,misc
BRA,FW,26,1997,16.4,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3,ENG-Premier League,2023,misc
BRA,DF,25,1997,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4,ENG-Premier League,2023,misc
BRA,FW,22,2001,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6,ENG-Premier League,2023,misc
POL,DF,23,2000,10.5,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7,ENG-Premier League,2023,misc
ITA,MF,31,1991,10.2,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50.0,ENG-Premier League,2023,misc
NED,DF,22,2001,0.8,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50.0,ENG-Premier League,2023,misc
GER,"MF,FW",24,1999,29.3,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2,ENG-Premier League,2023,misc
BEL,"FW,MF",28,1994,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3,ENG-Premier League,2023,misc
NOR,MF,24,1998,34.3,2,0,0,30,36,3,77,15,17,1,0,0,158,3,9,25.0,ENG-Premier League,2023,misc
EGY,MF,31,1992,0.3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50.0,ENG-Premier League,2023,misc
UKR,DF,26,1996,19.1,2,0,0,7,9,1,30,20,30,0,0,0,104,27,16,62.8,ENG-Premier League,2023,misc
ENG,FW,23,1999,3.0,1,0,0,5,6,0,14,1,6,0,0,0,22,0,5,0.0,ENG-Premier League,2023,misc
JPN,DF,24,1998,12.8,2,1,1,14,8,1,14,18,9,0,0,0,54,25,20,55.6,ENG-Premier League,2023,misc
GHA,"MF,DF",30,1993,8.8,3,0,0,10,6,0,2,11,11,0,0,0,56,7,8,46.7,ENG-Premier League,2023,misc
FRA,DF,22,2001,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5,ENG-Premier League,2023,misc
