league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2024,Roma,Samuel Dahl,SWE,"DF,MF",25-038,2000,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SWE,"DF,MF",25-038,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,SWE,"DF,MF",25-038,2000,0.5,0,0,0,2,0,0,1,0,2,0,0,0,1,0,1,0.0,misc,SWE,"DF,MF",25-038,2000,0.5,37,0,3,16,18,0,37,1,0,0.0,1,100.0,21,117,35,1,2,0,1,0,25,4,possession,SWE,"DF,MF",25-038,2000,0.5,24,28,85.7,268,95,22,23,95.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,2,1,0,2,passing,SWE,"DF,MF",25-038,2000,0.5,2,2,0,2,0,1,2,50.0,1,2,0,2,0,2,0,0,defense
ITA-Serie A,2024,Lazio,Samuel Gigot,FRA,DF,31-181,1993,12,5,502,5.6,2,0,2,2,0,0,2,0,1.3,1.3,0.0,1.3,3,9,5,0.36,0.0,0.36,0.36,0.36,0.23,0.0,0.23,0.23,0.23,standard,FRA,DF,31-181,1993,5.6,2,4,3,75.0,0.72,0.54,0.5,0.67,8.5,0,0,0,1.3,1.3,0.33,0.7,0.7,shooting,FRA,DF,31-181,1993,5.6,2,0,0,8,6,1,0,12,2,0,1,0,9,14,5,73.7,misc,FRA,DF,31-181,1993,5.6,289,41,136,135,18,8,289,1,1,100.0,0,0.0,139,536,275,3,2,0,3,0,183,5,possession,FRA,DF,31-181,1993,5.6,203,227,89.4,3398,819,92,99,92.9,102,108,94.4,7,14,50.0,0,0.0,0.0,0.0,0,10,0,0,9,passing,FRA,DF,31-181,1993,5.6,3,2,1,2,0,0,1,0.0,1,6,4,2,12,15,28,0,defense
ITA-Serie A,2024,Bologna,Samuel Iling-Junior,ENG,"FW,MF",21-189,2003,7,0,118,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,5,7,27,0.76,0.0,0.76,0.76,0.76,0.11,0.09,0.19,0.11,0.19,standard,ENG,"FW,MF",21-189,2003,1.3,1,4,1,25.0,3.05,0.76,0.25,1.0,19.0,0,0,0,0.1,0.1,0.03,0.9,0.9,shooting,ENG,"FW,MF",21-189,2003,1.3,0,0,0,2,1,0,9,2,2,0,0,0,8,0,3,0.0,misc,ENG,"FW,MF",21-189,2003,1.3,110,0,7,31,73,6,110,7,3,42.9,4,57.1,64,367,190,5,4,1,3,1,79,27,possession,ENG,"FW,MF",21-189,2003,1.3,62,87,71.3,1038,245,30,35,85.7,25,34,73.5,5,12,41.7,0,0.1,0.2,-0.1,1,4,3,1,7,passing,ENG,"FW,MF",21-189,2003,1.3,3,2,1,1,1,0,1,0.0,1,1,0,1,2,5,2,0,defense
ITA-Serie A,2024,Juventus,Samuel Mbangula,BEL,FW,21-085,2004,21,7,704,7.8,3,3,6,3,0,0,1,0,0.5,0.5,1.4,1.8,25,17,44,0.38,0.38,0.77,0.38,0.77,0.06,0.18,0.24,0.06,0.24,standard,BEL,FW,21-085,2004,7.8,3,8,5,62.5,1.02,0.64,0.38,0.6,19.6,0,0,0,0.5,0.5,0.06,2.5,2.5,shooting,BEL,FW,21-085,2004,7.8,1,0,0,6,14,0,17,3,10,1,0,0,33,2,7,22.2,misc,BEL,FW,21-085,2004,7.8,346,5,45,147,157,19,346,27,9,33.3,13,48.1,228,1360,711,25,11,7,13,10,268,44,possession,BEL,FW,21-085,2004,7.8,229,268,85.4,3005,589,151,168,89.9,62,75,82.7,7,10,70.0,3,1.4,0.8,1.6,15,15,10,4,17,passing,BEL,FW,21-085,2004,7.8,15,10,7,6,2,7,13,53.8,6,7,0,7,3,18,3,0,defense
ITA-Serie A,2024,Monza,Samuele Birindelli,ITA,"DF,MF",25-266,1999,14,11,881,9.8,2,0,2,2,0,0,2,0,1.0,1.0,1.1,2.1,24,25,57,0.2,0.0,0.2,0.2,0.2,0.1,0.11,0.21,0.1,0.21,standard,ITA,"DF,MF",25-266,1999,9.8,2,8,7,87.5,0.82,0.72,0.25,0.29,15.2,0,0,0,1.0,1.0,0.13,1.0,1.0,shooting,ITA,"DF,MF",25-266,1999,9.8,2,0,0,13,12,2,43,7,11,0,0,0,33,5,10,33.3,misc,ITA,"DF,MF",25-266,1999,9.8,433,22,100,183,154,16,433,8,4,50.0,2,25.0,268,1570,764,24,17,5,19,9,269,57,possession,ITA,"DF,MF",25-266,1999,9.8,258,347,74.4,4217,1093,138,158,87.3,97,131,74.0,21,37,56.8,0,1.1,0.8,-1.1,11,16,13,7,25,passing,ITA,"DF,MF",25-266,1999,9.8,14,11,6,4,4,4,8,50.0,4,7,1,6,7,21,20,0,defense
ITA-Serie A,2024,Torino,Samuele Ricci,ITA,MF,23-233,2001,30,30,2543,28.3,1,1,2,1,0,0,8,1,1.2,1.2,0.5,1.6,39,99,27,0.04,0.04,0.07,0.04,0.07,0.04,0.02,0.06,0.04,0.06,standard,ITA,MF,23-233,2001,28.3,1,19,6,31.6,0.67,0.21,0.05,0.17,25.5,0,0,0,1.2,1.2,0.06,-0.2,-0.2,shooting,ITA,MF,23-233,2001,28.3,8,1,0,36,65,0,28,24,18,0,0,0,123,13,15,46.4,misc,ITA,MF,23-233,2001,28.3,1420,74,317,863,256,17,1420,22,6,27.3,13,59.1,848,4855,2289,39,35,5,30,16,943,27,possession,ITA,MF,23-233,2001,28.3,1040,1186,87.7,18124,3750,445,490,90.8,503,553,91.0,74,107,69.2,1,0.5,1.0,0.5,11,87,11,0,99,passing,ITA,MF,23-233,2001,28.3,32,18,15,12,5,18,26,69.2,8,21,9,12,24,56,49,2,defense
ITA-Serie A,2024,Monza,Samuele Vignato,ITA,MF,21-046,2004,15,3,440,4.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,16,30,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,standard,ITA,MF,21-046,2004,4.9,0,3,0,0.0,0.61,0.0,0.0,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,ITA,MF,21-046,2004,4.9,0,0,0,3,3,1,13,0,3,0,0,0,11,5,13,27.8,misc,ITA,MF,21-046,2004,4.9,195,5,24,93,82,5,195,12,4,33.3,8,66.7,121,634,252,5,8,0,8,10,145,30,possession,ITA,MF,21-046,2004,4.9,110,150,73.3,1594,264,67,79,84.8,35,47,74.5,4,13,30.8,0,0.0,0.2,0.0,1,8,2,0,16,passing,ITA,MF,21-046,2004,4.9,6,3,0,4,2,3,6,50.0,3,1,0,1,0,6,6,0,defense
ITA-Serie A,2024,Udinese,Sandi Lovrić,SVN,MF,27-014,1998,30,27,1982,22.0,2,3,5,2,0,0,4,0,2.3,2.3,3.1,5.4,53,104,63,0.09,0.14,0.23,0.09,0.23,0.11,0.14,0.24,0.11,0.24,standard,SVN,MF,27-014,1998,22.0,2,40,10,25.0,1.82,0.45,0.05,0.2,22.1,3,0,0,2.3,2.3,0.06,-0.3,-0.3,shooting,SVN,MF,27-014,1998,22.0,4,0,0,44,30,0,75,20,26,1,0,0,105,1,16,5.9,misc,SVN,MF,27-014,1998,22.0,1103,31,203,578,342,34,1103,47,20,42.6,25,53.2,591,3699,1676,53,42,6,43,27,686,63,possession,SVN,MF,27-014,1998,22.0,660,833,79.2,11898,3421,273,305,89.5,287,346,82.9,79,138,57.2,3,3.1,2.2,-0.1,30,76,17,4,104,passing,SVN,MF,27-014,1998,22.0,42,26,23,15,4,20,40,50.0,20,33,5,28,20,62,20,0,defense
ITA-Serie A,2024,Bologna,Santiago Castro,ARG,FW,20-194,2004,30,25,2131,23.7,8,4,12,8,0,1,5,0,7.0,6.2,2.3,8.6,15,36,123,0.34,0.17,0.51,0.34,0.51,0.3,0.1,0.4,0.26,0.36,standard,ARG,FW,20-194,2004,23.7,8,56,20,35.7,2.37,0.84,0.14,0.4,15.6,0,0,1,7.0,6.2,0.11,1.0,1.8,shooting,ARG,FW,20-194,2004,23.7,5,0,0,46,49,9,7,3,9,0,0,1,66,35,64,35.4,misc,ARG,FW,20-194,2004,23.7,667,22,54,291,330,92,666,41,17,41.5,22,53.7,396,1764,547,15,22,7,63,61,478,123,possession,ARG,FW,20-194,2004,23.7,329,426,77.2,6016,904,135,165,81.8,138,164,84.1,39,51,76.5,4,2.3,1.5,1.7,26,22,6,0,36,passing,ARG,FW,20-194,2004,23.7,17,9,4,9,4,5,15,33.3,10,13,2,11,3,20,19,0,defense
ITA-Serie A,2024,Milan,Santiago Giménez,MEX,FW,23-358,2001,9,6,567,6.3,2,1,3,2,0,1,3,0,3.5,2.7,0.7,3.4,11,5,28,0.32,0.16,0.48,0.32,0.48,0.56,0.1,0.66,0.43,0.53,standard,MEX,FW,23-358,2001,6.3,2,18,6,33.3,2.86,0.95,0.11,0.33,14.3,0,0,1,3.5,2.7,0.15,-1.5,-0.7,shooting,MEX,FW,23-358,2001,6.3,3,0,0,7,4,6,2,1,3,0,0,0,10,5,10,33.3,misc,MEX,FW,23-358,2001,6.3,152,11,18,59,76,25,151,16,5,31.3,11,68.8,79,374,191,11,4,4,16,1,94,28,possession,MEX,FW,23-358,2001,6.3,63,77,81.8,780,154,39,45,86.7,18,22,81.8,0,1,0.0,1,0.7,0.4,0.3,4,4,2,1,5,passing,MEX,FW,23-358,2001,6.3,4,3,0,3,1,3,3,100.0,0,3,1,2,1,5,11,0,defense
