league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2024,Torino,Aaron Ciammaglichella,ITA,MF,20-075,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,20-075,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ITA,MF,20-075,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,20-075,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Genoa,Aarón Martín,ESP,DF,27-354,1997,29,29,2536,28.2,0,4,4,0,0,0,5,0,0.7,0.7,4.6,5.3,44,82,99,0.0,0.14,0.14,0.0,0.14,0.03,0.16,0.19,0.03,0.19,standard,ESP,DF,27-354,1997,28.2,0,13,4,30.8,0.46,0.14,0.0,0.0,23.9,4,0,0,0.7,0.7,0.06,-0.7,-0.7,shooting,ESP,DF,27-354,1997,28.2,5,0,0,32,25,3,221,16,40,0,1,0,121,18,27,40.0,misc,ESP,DF,27-354,1997,28.2,1640,75,463,675,525,18,1640,26,12,46.2,12,46.2,716,4067,1948,44,27,4,20,15,865,99,possession,ESP,DF,27-354,1997,28.2,1017,1410,72.1,18987,7400,410,464,88.4,456,585,77.9,133,305,43.6,4,4.6,5.4,-0.6,56,67,24,16,82,passing,ESP,DF,27-354,1997,28.2,62,40,35,23,4,27,42,64.3,15,30,9,21,16,78,61,1,defense
ITA-Serie A,2024,Hellas Verona,Abdou Harroui,NED,"MF,FW",27-088,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,standard,NED,"MF,FW",27-088,1998,5.1,1,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0,0,2.2,2.2,0.15,-1.2,-1.2,shooting,NED,"MF,FW",27-088,1998,5.1,1,0,0,10,3,0,9,2,6,0,0,0,22,8,7,53.3,misc,NED,"MF,FW",27-088,1998,5.1,283,5,41,144,105,17,283,20,6,30.0,13,65.0,175,1241,631,23,20,4,12,10,203,34,possession,NED,"MF,FW",27-088,1998,5.1,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,2,0.4,0.6,1.6,4,16,3,2,21,passing,NED,"MF,FW",27-088,1998,5.1,9,6,6,3,0,4,4,100.0,0,5,0,5,2,11,5,0,defense
ITA-Serie A,2024,Lazio,Adam Marušić,MNE,DF,32-176,1992,28,19,1823,20.3,4,0,4,4,0,0,1,0,1.8,1.8,0.4,2.2,17,61,70,0.2,0.0,0.2,0.2,0.2,0.09,0.02,0.11,0.09,0.11,standard,MNE,DF,32-176,1992,20.3,4,19,10,52.6,0.94,0.49,0.21,0.4,15.2,0,0,0,1.8,1.8,0.1,2.2,2.2,shooting,MNE,DF,32-176,1992,20.3,1,0,0,11,12,2,38,14,17,0,0,1,65,25,18,58.1,misc,MNE,DF,32-176,1992,20.3,1137,63,348,550,250,26,1137,16,9,56.3,6,37.5,510,1916,909,17,17,0,8,11,729,70,possession,MNE,DF,32-176,1992,20.3,837,986,84.9,13053,4182,434,470,92.3,343,400,85.8,44,85,51.8,0,0.4,0.4,-0.4,9,51,9,6,61,passing,MNE,DF,32-176,1992,20.3,27,17,15,10,2,14,26,53.8,12,13,6,7,14,41,49,0,defense
ITA-Serie A,2024,Torino,Adam Masina,MAR,DF,31-099,1994,21,15,1497,16.6,1,2,3,1,0,0,5,0,0.4,0.4,0.3,0.7,13,62,7,0.06,0.12,0.18,0.06,0.18,0.02,0.02,0.04,0.02,0.04,standard,MAR,DF,31-099,1994,16.6,1,6,2,33.3,0.36,0.12,0.17,0.5,12.7,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting,MAR,DF,31-099,1994,16.6,5,0,0,18,15,2,14,19,14,1,0,0,64,54,18,75.0,misc,MAR,DF,31-099,1994,16.6,1173,134,513,595,69,10,1173,8,3,37.5,5,62.5,669,3055,1724,13,8,1,7,5,771,7,possession,MAR,DF,31-099,1994,16.6,836,994,84.1,15392,5660,314,345,91.0,437,492,88.8,76,140,54.3,2,0.3,0.5,1.7,3,52,5,2,62,passing,MAR,DF,31-099,1994,16.6,29,14,21,7,1,20,35,57.1,15,23,14,9,19,48,70,2,defense
ITA-Serie A,2024,Cagliari,Adam Obert,SVK,DF,22-231,2002,17,12,940,10.4,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,46,16,0.1,0.1,0.19,0.1,0.19,0.08,0.04,0.12,0.08,0.12,standard,SVK,DF,22-231,2002,10.4,1,9,2,22.2,0.86,0.19,0.11,0.5,12.0,0,0,0,0.9,0.9,0.11,0.1,0.1,shooting,SVK,DF,22-231,2002,10.4,4,0,0,18,7,0,9,18,17,0,0,0,52,24,19,55.8,misc,SVK,DF,22-231,2002,10.4,611,56,257,273,95,13,611,10,5,50.0,5,50.0,249,1286,704,12,9,0,24,7,272,16,possession,SVK,DF,22-231,2002,10.4,347,460,75.4,5724,2329,177,202,87.6,140,167,83.8,24,57,42.1,1,0.4,0.2,0.6,10,33,4,1,46,passing,SVK,DF,22-231,2002,10.4,30,17,12,17,1,15,26,57.7,11,17,7,10,18,48,44,2,defense
ITA-Serie A,2024,Parma,Adrian Benedyczak,POL,"FW,MF",24-138,2000,8,2,197,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,11,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,standard,POL,"FW,MF",24-138,2000,2.2,0,3,0,0.0,1.37,0.0,0.0,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting,POL,"FW,MF",24-138,2000,2.2,0,0,0,3,5,1,1,0,0,0,0,0,3,9,11,45.0,misc,POL,"FW,MF",24-138,2000,2.2,74,7,16,33,25,4,74,1,0,0.0,1,100.0,40,167,80,3,2,0,5,3,55,11,possession,POL,"FW,MF",24-138,2000,2.2,32,49,65.3,521,112,17,26,65.4,9,14,64.3,3,5,60.0,0,0.0,0.0,0.0,1,2,0,0,3,passing,POL,"FW,MF",24-138,2000,2.2,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,defense
ITA-Serie A,2024,Parma,Adrian Bernabe,ESP,MF,23-320,2001,17,16,1279,14.2,1,0,1,1,0,0,1,0,0.9,0.9,1.0,1.8,32,102,16,0.07,0.0,0.07,0.07,0.07,0.06,0.07,0.13,0.06,0.13,standard,ESP,MF,23-320,2001,14.2,1,24,3,12.5,1.69,0.21,0.04,0.33,27.1,7,0,0,0.9,0.9,0.04,0.1,0.1,shooting,ESP,MF,23-320,2001,14.2,1,0,0,9,31,0,24,6,18,0,0,0,61,4,2,66.7,misc,ESP,MF,23-320,2001,14.2,1003,37,229,571,218,5,1003,30,14,46.7,11,36.7,658,3317,2072,32,35,2,10,10,720,16,possession,ESP,MF,23-320,2001,14.2,723,864,83.7,13693,4749,292,322,90.7,319,363,87.9,95,145,65.5,0,1.0,1.2,-1.0,20,94,14,3,102,passing,ESP,MF,23-320,2001,14.2,28,18,16,8,4,14,29,48.3,15,22,9,13,6,34,23,1,defense
ITA-Serie A,2024,Torino,Adrien Tameze,CMR,"MF,DF",31-066,1994,17,8,599,6.7,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,14,23,20,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,standard,CMR,"MF,DF",31-066,1994,6.7,0,7,3,42.9,1.05,0.45,0.0,0.0,15.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting,CMR,"MF,DF",31-066,1994,6.7,3,0,0,7,4,0,9,10,2,0,1,0,24,9,8,52.9,misc,CMR,"MF,DF",31-066,1994,6.7,345,15,83,169,93,13,345,15,4,26.7,8,53.3,203,1236,587,14,8,0,9,3,244,20,possession,CMR,"MF,DF",31-066,1994,6.7,240,281,85.4,3818,852,113,132,85.6,105,114,92.1,13,18,72.2,0,0.8,0.7,-0.8,6,10,6,1,23,passing,CMR,"MF,DF",31-066,1994,6.7,5,2,2,3,0,1,9,11.1,8,8,5,3,10,15,7,1,defense
ITA-Serie A,2024,Genoa,Alan Matturro,URU,DF,20-182,2004,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,URU,DF,20-182,2004,10.0,0,4,3,75.0,0.4,0.3,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,URU,DF,20-182,2004,10.0,2,0,0,10,5,2,8,14,6,0,1,0,26,16,16,50.0,misc,URU,DF,20-182,2004,10.0,458,51,243,170,47,9,458,5,3,60.0,2,40.0,218,1207,646,12,5,1,6,3,260,9,possession,URU,DF,20-182,2004,10.0,280,359,78.0,5637,1806,72,89,80.9,181,205,88.3,25,50,50.0,0,0.2,0.3,-0.2,3,10,4,2,15,passing,URU,DF,20-182,2004,10.0,11,6,6,5,0,3,14,21.4,11,10,3,7,14,25,38,0,defense
ITA-Serie A,2024,Fiorentina,Albert Guðmundsson,ISL,"MF,FW",27-300,1997,19,13,978,10.9,6,0,6,4,2,2,2,0,3.8,2.2,1.1,3.3,25,31,39,0.55,0.0,0.55,0.37,0.37,0.35,0.1,0.45,0.2,0.31,standard,ISL,"MF,FW",27-300,1997,10.9,6,21,9,42.9,1.93,0.83,0.19,0.44,22.2,2,2,2,3.8,2.2,0.1,2.2,1.8,shooting,ISL,"MF,FW",27-300,1997,10.9,2,0,0,10,16,2,20,6,2,1,0,0,40,3,11,21.4,misc,ISL,"MF,FW",27-300,1997,10.9,450,8,63,236,157,25,448,21,11,52.4,5,23.8,279,1769,731,25,16,8,22,11,317,39,possession,ISL,"MF,FW",27-300,1997,10.9,288,354,81.4,4231,896,151,163,92.6,104,125,83.2,12,28,42.9,0,1.1,0.6,-1.1,10,26,2,0,31,passing,ISL,"MF,FW",27-300,1997,10.9,6,2,2,2,2,5,12,41.7,7,5,0,5,6,12,6,1,defense
ITA-Serie A,2024,Como,Alberto Cerri,ITA,FW,28-360,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1.05,1.05,1.05,standard,ITA,FW,28-360,1996,1.0,0,4,1,25.0,4.14,1.03,0.0,0.0,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0,shooting,ITA,FW,28-360,1996,1.0,0,0,0,3,1,2,0,0,0,0,0,0,3,4,4,50.0,misc,ITA,FW,28-360,1996,1.0,36,1,4,12,21,9,36,0,0,,0,,20,54,10,0,0,1,2,3,29,11,possession,ITA,FW,28-360,1996,1.0,15,23,65.2,184,7,10,16,62.5,2,4,50.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,0,passing,ITA,FW,28-360,1996,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,defense
ITA-Serie A,2024,Como,Alberto Dossena,ITA,DF,26-180,1998,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.0,0.1,0.1,0.0,0.1,0.04,0.03,0.07,0.04,0.07,standard,ITA,DF,26-180,1998,20.3,0,12,3,25.0,0.59,0.15,0.0,0.0,11.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8,shooting,ITA,DF,26-180,1998,20.3,1,1,0,22,16,0,1,22,20,0,2,0,68,59,24,71.1,misc,ITA,DF,26-180,1998,20.3,1220,173,677,517,31,20,1220,6,4,66.7,2,33.3,693,2716,1465,4,1,0,8,3,776,1,possession,ITA,DF,26-180,1998,20.3,894,1020,87.6,16693,5441,310,336,92.3,507,547,92.7,65,110,59.1,2,0.7,0.4,1.3,5,33,1,0,36,passing,ITA,DF,26-180,1998,20.3,33,20,23,8,2,16,28,57.1,12,22,11,11,22,55,89,1,defense
ITA-Serie A,2024,Empoli,Alberto Grassi,ITA,MF,30-035,1995,22,21,1697,18.9,1,0,1,1,0,0,7,0,0.7,0.7,0.8,1.6,14,54,14,0.05,0.0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08,standard,ITA,MF,30-035,1995,18.9,1,7,2,28.6,0.37,0.11,0.14,0.5,13.4,0,0,0,0.7,0.7,0.11,0.3,0.3,shooting,ITA,MF,30-035,1995,18.9,7,0,0,19,27,1,6,27,16,1,0,0,104,18,15,54.5,misc,ITA,MF,30-035,1995,18.9,828,59,243,483,114,16,828,8,4,50.0,3,37.5,356,1680,675,14,11,1,18,14,430,14,possession,ITA,MF,30-035,1995,18.9,495,659,75.1,8378,2640,206,251,82.1,251,313,80.2,26,60,43.3,0,0.8,0.6,-0.8,6,47,6,0,54,passing,ITA,MF,30-035,1995,18.9,32,16,11,17,4,11,15,73.3,4,22,12,10,27,59,37,1,defense
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,standard,ITA,MF,19-290,2005,0.1,0,1,0,0.0,15.0,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,ITA,MF,19-290,2005,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,misc,ITA,MF,19-290,2005,0.1,14,0,3,10,1,0,14,0,0,,0,,8,25,12,0,0,0,0,0,13,0,possession,ITA,MF,19-290,2005,0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,0,passing,ITA,MF,19-290,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Como,Alberto Moreno,ESP,DF,32-280,1992,19,18,1416,15.7,0,0,0,0,0,0,4,0,0.3,0.3,1.0,1.3,21,64,51,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,standard,ESP,DF,32-280,1992,15.7,0,11,4,36.4,0.7,0.25,0.0,0.0,24.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting,ESP,DF,32-280,1992,15.7,4,0,0,14,12,1,43,12,10,0,0,0,58,8,18,30.8,misc,ESP,DF,32-280,1992,15.7,996,43,314,447,242,17,996,7,3,42.9,3,42.9,599,2412,1060,21,24,4,17,2,659,51,possession,ESP,DF,32-280,1992,15.7,729,878,83.0,12744,4389,318,347,91.6,335,385,87.0,61,108,56.5,0,1.0,1.4,-1.0,16,54,18,10,64,passing,ESP,DF,32-280,1992,15.7,23,10,15,8,0,11,19,57.9,8,10,2,8,12,35,28,2,defense
ITA-Serie A,2024,Torino,Alberto Paleari,ITA,GK,32-225,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,32-225,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,32-225,1992,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc,ITA,GK,32-225,1992,1.0,37,29,37,0,0,0,37,0,0,,0,,23,111,65,0,0,0,0,0,15,0,possession,ITA,GK,32-225,1992,1.0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,32-225,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ITA-Serie A,2024,Juventus,Alberto costa,POR,DF,21-194,2003,3,0,99,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,13,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,POR,DF,21-194,2003,1.1,0,2,0,0.0,1.82,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,POR,DF,21-194,2003,1.1,0,0,0,3,1,0,1,0,4,0,0,0,7,1,2,33.3,misc,POR,DF,21-194,2003,1.1,107,2,22,53,33,4,107,5,0,0.0,5,100.0,57,282,169,4,1,1,2,0,70,13,possession,POR,DF,21-194,2003,1.1,75,84,89.3,1125,244,42,45,93.3,25,29,86.2,3,3,100.0,0,0.0,0.0,0.0,0,6,1,0,6,passing,POR,DF,21-194,2003,1.1,6,4,5,1,0,2,2,100.0,0,4,0,4,0,6,2,0,defense
ITA-Serie A,2024,Milan,Alejandro Jiménez,ESP,"DF,FW",19-338,2005,15,8,823,9.1,0,0,0,0,0,0,5,0,0.5,0.5,0.9,1.4,44,31,60,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16,standard,ESP,"DF,FW",19-338,2005,9.1,0,9,4,44.4,0.98,0.44,0.0,0.0,24.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting,ESP,"DF,FW",19-338,2005,9.1,5,0,0,9,12,5,29,9,9,0,0,0,46,8,12,40.0,misc,ESP,"DF,FW",19-338,2005,9.1,515,14,116,209,199,25,515,32,18,56.3,14,43.8,313,2310,1356,44,18,14,21,10,312,60,possession,ESP,"DF,FW",19-338,2005,9.1,315,397,79.3,5356,1210,145,172,84.3,145,168,86.3,22,36,61.1,0,0.9,1.0,-0.9,8,28,8,4,31,passing,ESP,"DF,FW",19-338,2005,9.1,17,9,6,10,1,7,15,46.7,8,17,2,15,9,26,18,0,defense
ITA-Serie A,2024,Cagliari,Alen Sherri,ALB,GK,27-117,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ALB,GK,27-117,1997,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ALB,GK,27-117,1997,6.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,misc,ALB,GK,27-117,1997,6.0,212,182,210,3,0,0,212,0,0,,0,,124,566,283,0,0,0,0,0,103,0,possession,ALB,GK,27-117,1997,6.0,149,198,75.3,3658,2598,38,38,100.0,73,74,98.6,37,85,43.5,0,0.0,0.0,0.0,1,2,0,0,0,passing,ALB,GK,27-117,1997,6.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,defense
ITA-Serie A,2024,Inter,Alessandro Bastoni,ITA,DF,25-363,1999,29,28,2147,23.9,1,4,5,1,0,0,5,1,0.7,0.7,2.3,3.0,58,155,77,0.04,0.17,0.21,0.04,0.21,0.03,0.1,0.13,0.03,0.13,standard,ITA,DF,25-363,1999,23.9,1,12,2,16.7,0.5,0.08,0.08,0.5,13.8,0,0,0,0.7,0.7,0.06,0.3,0.3,shooting,ITA,DF,25-363,1999,23.9,5,1,1,38,36,1,61,21,18,0,0,0,83,38,24,61.3,misc,ITA,DF,25-363,1999,23.9,2215,159,707,1094,425,25,2215,16,7,43.8,5,31.3,1489,7621,4620,58,68,5,24,5,1655,77,possession,ITA,DF,25-363,1999,23.9,1793,2016,88.9,33313,10313,758,794,95.5,803,861,93.3,207,302,68.5,4,2.3,2.7,1.7,26,121,48,23,155,passing,ITA,DF,25-363,1999,23.9,38,18,19,14,5,16,25,64.0,9,22,10,12,21,59,47,1,defense
ITA-Serie A,2024,Fiorentina,Alessandro Bianco,ITA,MF,22-192,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,22-192,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,MF,22-192,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,misc,ITA,MF,22-192,2002,0.2,14,0,2,11,1,0,14,0,0,,0,,8,48,30,0,0,0,1,0,8,1,possession,ITA,MF,22-192,2002,0.2,9,12,75.0,191,17,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,MF,22-192,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Monza,Alessandro Bianco,ITA,MF,22-192,2002,27,22,2012,22.4,1,0,1,1,0,0,7,0,1.2,1.2,0.7,1.9,30,104,20,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.08,0.05,0.08,standard,ITA,MF,22-192,2002,22.4,1,22,6,27.3,0.98,0.27,0.05,0.17,23.2,0,0,0,1.2,1.2,0.05,-0.2,-0.2,shooting,ITA,MF,22-192,2002,22.4,7,0,0,34,39,3,18,17,24,0,1,0,103,10,21,32.3,misc,ITA,MF,22-192,2002,22.4,1354,70,391,785,196,13,1354,32,16,50.0,13,40.6,890,4565,2100,30,29,4,32,19,954,20,possession,ITA,MF,22-192,2002,22.4,966,1129,85.6,18824,4861,314,359,87.5,515,555,92.8,116,164,70.7,0,0.7,1.2,-0.7,15,104,15,3,104,passing,ITA,MF,22-192,2002,22.4,44,24,20,16,8,24,35,68.6,11,36,13,23,17,61,39,4,defense
ITA-Serie A,2024,Napoli,Alessandro Buongiorno,ITA,DF,25-309,1999,21,21,1861,20.7,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,25,81,8,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,standard,ITA,DF,25-309,1999,20.7,1,8,4,50.0,0.39,0.19,0.13,0.25,11.0,0,0,0,0.8,0.8,0.1,0.2,0.2,shooting,ITA,DF,25-309,1999,20.7,2,0,0,16,18,1,1,34,22,0,0,0,84,42,21,66.7,misc,ITA,DF,25-309,1999,20.7,1434,119,633,756,54,15,1434,5,1,20.0,3,60.0,874,4399,2672,25,7,1,12,7,1017,8,possession,ITA,DF,25-309,1999,20.7,1119,1234,90.7,19588,6208,445,478,93.1,603,630,95.7,60,101,59.4,0,0.6,0.6,-0.6,5,64,3,0,81,passing,ITA,DF,25-309,1999,20.7,37,22,25,11,1,24,31,77.4,7,27,15,12,34,71,71,2,defense
ITA-Serie A,2024,Parma,Alessandro Circati,AUS,DF,21-183,2003,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUS,DF,21-183,2003,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,AUS,DF,21-183,2003,4.0,1,0,0,3,2,0,0,2,2,0,0,0,5,5,3,62.5,misc,AUS,DF,21-183,2003,4.0,219,57,135,83,1,0,219,0,0,,0,,98,406,210,1,0,0,3,2,125,0,possession,AUS,DF,21-183,2003,4.0,149,170,87.6,2853,696,48,56,85.7,84,90,93.3,13,20,65.0,0,0.0,0.0,0.0,0,3,0,0,5,passing,AUS,DF,21-183,2003,4.0,4,2,3,1,0,1,1,100.0,0,5,4,1,2,6,29,1,defense
ITA-Serie A,2024,Cagliari,Alessandro Deiola,ITA,MF,29-253,1995,23,13,1136,12.6,0,1,1,0,0,0,4,0,0.8,0.8,0.6,1.3,8,31,29,0.0,0.08,0.08,0.0,0.08,0.06,0.04,0.1,0.06,0.1,standard,ITA,MF,29-253,1995,12.6,0,14,2,14.3,1.11,0.16,0.0,0.0,19.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,shooting,ITA,MF,29-253,1995,12.6,4,0,0,25,10,0,14,11,16,0,0,0,51,29,26,52.7,misc,ITA,MF,29-253,1995,12.6,546,38,149,277,125,16,546,3,3,100.0,0,0.0,257,966,403,8,4,1,11,9,312,29,possession,ITA,MF,29-253,1995,12.6,301,415,72.5,5178,1340,140,173,80.9,128,164,78.0,26,43,60.5,1,0.6,0.6,0.4,3,34,6,1,31,passing,ITA,MF,29-253,1995,12.6,24,16,7,15,2,8,24,33.3,16,19,10,9,11,35,31,0,defense
ITA-Serie A,2024,Como,Alessandro Gabrielloni,ITA,"FW,MF",30-275,1994,12,0,112,1.2,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.1,4,5,12,0.8,0.8,1.61,0.8,1.61,0.23,0.62,0.85,0.23,0.85,standard,ITA,"FW,MF",30-275,1994,1.2,1,4,2,50.0,3.21,1.61,0.25,0.5,15.3,0,0,0,0.3,0.3,0.07,0.7,0.7,shooting,ITA,"FW,MF",30-275,1994,1.2,1,0,0,3,3,1,1,0,0,0,0,0,9,1,8,11.1,misc,ITA,"FW,MF",30-275,1994,1.2,49,2,4,20,27,7,49,0,0,,0,,34,196,96,4,2,1,2,1,34,12,possession,ITA,"FW,MF",30-275,1994,1.2,23,40,57.5,358,80,11,17,64.7,12,13,92.3,0,2,0.0,1,0.8,0.2,0.2,4,2,1,0,5,passing,ITA,"FW,MF",30-275,1994,1.2,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,defense
