nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FRA,"MF,FW",26-309,1998,18.2,9,39,17,43.6,2.14,0.93,0.23,0.53,21.0,1,0,0,3.4,3.4,0.09,5.6,5.6,GER-Bundesliga,2024,shooting
BEL,"MF,FW",21-215,2003,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,GER-Bundesliga,2024,shooting
GER,MF,26-093,1999,9.2,0,16,6,37.5,1.74,0.65,0.0,0.0,25.0,3,0,0,1.3,1.3,0.08,-1.3,-1.3,GER-Bundesliga,2024,shooting
SUI,DF,26-291,1998,9.1,0,5,0,0.0,0.55,0.0,0.0,,18.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,GER-Bundesliga,2024,shooting
FRA,DF,22-331,2002,22.3,1,11,2,18.2,0.49,0.09,0.09,0.5,10.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,GER-Bundesliga,2024,shooting
GRE,DF,29-176,1995,23.8,1,12,4,33.3,0.5,0.17,0.08,0.25,15.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,GER-Bundesliga,2024,shooting
KVX,MF,27-161,1997,18.5,1,24,5,20.8,1.3,0.27,0.04,0.2,19.4,1,0,0,1.3,1.3,0.05,-0.3,-0.3,GER-Bundesliga,2024,shooting
GER,GK,27-015,1998,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2024,shooting
NGA,MF,27-100,1998,23.1,0,22,6,27.3,0.95,0.26,0.0,0.0,19.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4,GER-Bundesliga,2024,shooting
FIN,MF,27-214,1997,7.2,0,9,0,0.0,1.24,0.0,0.0,,16.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,GER-Bundesliga,2024,shooting
GER,DF,25-220,1999,6.9,0,2,0,0.0,0.29,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,GER-Bundesliga,2024,shooting
NED,DF,33-275,1991,26.7,1,11,2,18.2,0.41,0.07,0.09,0.5,21.2,0,0,1,1.3,0.6,0.05,-0.3,0.4,GER-Bundesliga,2024,shooting
GER,DF,27-348,1997,13.4,3,12,4,33.3,0.89,0.3,0.25,0.75,12.7,0,0,0,0.8,0.8,0.06,2.2,2.2,GER-Bundesliga,2024,shooting
