league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Atalanta,Ben Godfrey,ENG,DF,27-086,1998,0.3,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,defense
ITA-Serie A,2024,Atalanta,Berat Djimsiti,ALB,DF,32-051,1993,23.9,45,28,23,21,1,25,34,73.5,9,26,16,10,35,80,91,2,defense
ITA-Serie A,2024,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-032,2001,19.9,12,8,2,8,2,4,13,30.8,9,11,3,8,3,15,8,0,defense
ITA-Serie A,2024,Atalanta,Daniel Maldini,ITA,"FW,MF",23-182,2001,1.1,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,defense
ITA-Serie A,2024,Atalanta,Davide Zappacosta,ITA,DF,32-304,1992,18.2,22,14,12,4,6,17,30,56.7,13,22,5,17,10,32,21,2,defense
ITA-Serie A,2024,Atalanta,Federico Cassa,ITA,"MF,FW",19-069,2006,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2024,Atalanta,Giorgio Scalvini,ITA,DF,21-121,2003,3.0,8,4,5,3,0,5,9,55.6,4,0,0,0,4,12,7,0,defense
ITA-Serie A,2024,Atalanta,Ibrahim Sulemana,GHA,MF,21-324,2003,1.4,5,2,2,3,0,1,3,33.3,2,1,0,1,0,5,1,0,defense
ITA-Serie A,2024,Atalanta,Isak Hien,SWE,DF,26-088,1999,20.9,45,26,24,21,0,24,39,61.5,15,25,14,11,22,67,65,2,defense
ITA-Serie A,2024,Atalanta,Juan Cuadrado,COL,"DF,MF",36-320,1988,7.6,16,8,9,3,4,10,22,45.5,12,12,2,10,5,21,8,0,defense
