league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
GER-Bundesliga,2023,Darmstadt 98,Fabian Holland,GER,"MF,DF",33,1990,20.4,4,1,0,34,33,1,26,24,26,0,0,0,103,9,24,27.3,misc
GER-Bundesliga,2023,Darmstadt 98,Fabian Nürnberger,BUL,"DF,MF",24,1999,16.8,2,0,0,18,16,0,64,17,22,1,0,0,78,13,9,59.1,misc
GER-Bundesliga,2023,Darmstadt 98,Fabian Schnellhardt,GER,MF,29,1994,2.6,1,0,0,2,3,0,4,4,1,0,0,0,25,1,3,25.0,misc
GER-Bundesliga,2023,Darmstadt 98,Fabio Torsiello,ITA,"FW,DF",18,2005,1.7,0,0,0,4,0,0,2,1,0,0,0,0,4,0,3,0.0,misc
GER-Bundesliga,2023,Darmstadt 98,Filip Stojilković,SUI,"FW,MF",23,2000,1.7,1,0,0,3,1,2,3,0,1,0,0,0,4,0,2,0.0,misc
GER-Bundesliga,2023,Darmstadt 98,Frank Ronstadt,GER,"DF,MF",26,1997,0.8,0,0,0,0,2,0,2,1,0,0,0,0,2,1,0,100.0,misc
GER-Bundesliga,2023,Darmstadt 98,Fraser Hornby,SCO,"FW,MF",23,1999,2.4,1,0,0,5,1,1,4,0,0,0,0,0,8,11,13,45.8,misc
GER-Bundesliga,2023,Darmstadt 98,Gerrit Holtmann,PHI,"MF,FW",28,1995,4.4,1,0,0,8,2,0,12,2,5,0,0,0,31,5,7,41.7,misc
GER-Bundesliga,2023,Darmstadt 98,Jannik Müller,GER,"DF,MF",29,1994,12.6,5,0,0,19,7,0,7,17,16,0,0,0,66,21,17,55.3,misc
GER-Bundesliga,2023,Darmstadt 98,Julian Justvan,GER,"MF,FW",25,1998,11.4,1,0,0,2,5,0,41,11,4,0,0,0,52,1,15,6.3,misc
GER-Bundesliga,2023,Darmstadt 98,Klaus Gjasula,ALB,"DF,MF",33,1989,15.1,7,1,0,23,11,0,7,19,22,0,1,0,69,34,27,55.7,misc
GER-Bundesliga,2023,Darmstadt 98,Luca Pfeiffer,GER,"FW,MF",26,1996,18.0,3,0,0,28,27,1,5,2,6,0,0,0,67,54,55,49.5,misc
GER-Bundesliga,2023,Darmstadt 98,Marcel Schuhen,GER,GK,30,1993,31.0,2,0,0,0,8,0,0,2,0,0,0,0,53,8,2,80.0,misc
GER-Bundesliga,2023,Darmstadt 98,Marvin Mehlem,GER,MF,25,1997,16.5,3,0,0,20,34,8,18,33,21,0,0,0,82,13,13,50.0,misc
GER-Bundesliga,2023,Darmstadt 98,Matej Maglica,CRO,DF,24,1998,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0,misc
GER-Bundesliga,2023,Darmstadt 98,Mathias Honsak,AUT,"FW,MF",26,1996,11.3,1,0,0,14,12,3,11,8,7,0,0,0,32,15,24,38.5,misc
GER-Bundesliga,2023,Darmstadt 98,Matthias Bader,GER,"DF,MF",26,1997,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3,misc
GER-Bundesliga,2023,Darmstadt 98,Oscar Vilhelmsson,SWE,"FW,MF",19,2003,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1,misc
GER-Bundesliga,2023,Darmstadt 98,Sebastian Polter,GER,FW,32,1991,5.0,0,0,0,9,10,2,4,0,0,0,0,0,7,20,14,58.8,misc
GER-Bundesliga,2023,Darmstadt 98,Thomas Isherwood,SWE,DF,25,1998,7.1,1,0,0,8,3,1,1,10,5,0,0,1,17,8,6,57.1,misc
GER-Bundesliga,2023,Darmstadt 98,Tim Skarke,GER,"FW,DF",26,1996,26.7,7,0,0,31,40,17,94,6,16,0,0,0,125,11,50,18.0,misc
GER-Bundesliga,2023,Darmstadt 98,Tobias Kempe,GER,MF,34,1989,15.0,1,0,0,14,11,0,81,9,13,1,0,0,65,13,20,39.4,misc
GER-Bundesliga,2023,Dortmund,Alexander Meyer,GER,GK,32,1991,7.7,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,,misc
GER-Bundesliga,2023,Dortmund,Antonios Papadopoulos,GER,DF,23,1999,1.3,0,0,0,1,1,0,0,2,3,0,0,0,7,5,4,55.6,misc
GER-Bundesliga,2023,Dortmund,Donyell Malen,NED,"FW,MF",24,1999,19.8,5,0,0,11,24,3,39,2,7,1,0,0,71,7,19,26.9,misc
GER-Bundesliga,2023,Dortmund,Emre Can,GER,"MF,DF",29,1994,21.7,5,0,0,27,23,0,2,22,45,0,0,0,156,29,21,58.0,misc
GER-Bundesliga,2023,Dortmund,Felix Nmecha,GER,MF,22,2000,11.3,3,0,0,9,27,1,3,11,13,0,0,0,47,20,8,71.4,misc
GER-Bundesliga,2023,Dortmund,Gio Reyna,USA,"MF,FW",20,2002,3.1,1,0,0,2,5,1,4,2,6,0,0,0,19,4,5,44.4,misc
GER-Bundesliga,2023,Dortmund,Gregor Kobel,SUI,GK,25,1997,26.3,1,0,0,2,3,0,0,0,0,0,2,0,41,5,0,100.0,misc
GER-Bundesliga,2023,Dortmund,Hendry Blank,GER,DF,18,2004,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0,misc
GER-Bundesliga,2023,Dortmund,Ian Maatsen,NED,DF,21,2002,14.0,5,0,0,19,9,0,26,13,22,0,0,0,79,2,9,18.2,misc
GER-Bundesliga,2023,Dortmund,Jadon Sancho,ENG,"FW,MF",23,2000,10.5,1,0,0,3,10,3,29,4,4,1,0,0,40,1,1,50.0,misc
GER-Bundesliga,2023,Dortmund,Jamie Gittens,ENG,"FW,MF",18,2004,11.8,1,0,0,12,25,0,13,4,7,2,0,0,37,4,10,28.6,misc
GER-Bundesliga,2023,Dortmund,Julian Brandt,GER,"MF,FW",27,1996,24.7,2,0,0,8,15,5,165,8,14,0,0,0,117,9,28,24.3,misc
GER-Bundesliga,2023,Dortmund,Julian Ryerson,NOR,DF,25,1997,19.6,3,0,0,18,25,0,40,10,23,0,0,0,121,8,12,40.0,misc
GER-Bundesliga,2023,Dortmund,Julien Duranville,BEL,"FW,MF",17,2006,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,100.0,misc
GER-Bundesliga,2023,Dortmund,Karim Adeyemi,GER,"FW,MF",21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,misc
GER-Bundesliga,2023,Dortmund,Kjell-Arik Wätjen,GER,"MF,FW",17,2006,1.2,0,0,0,1,1,0,0,0,2,0,0,0,9,0,1,0.0,misc
GER-Bundesliga,2023,Dortmund,Marcel Sabitzer,AUT,MF,29,1994,21.8,3,1,0,15,28,1,30,12,24,0,0,0,89,6,20,23.1,misc
GER-Bundesliga,2023,Dortmund,Marco Reus,GER,"MF,FW",34,1989,17.8,2,0,0,21,21,4,32,5,25,0,0,0,58,13,18,41.9,misc
GER-Bundesliga,2023,Dortmund,Marius Wolf,GER,DF,28,1995,13.0,2,0,0,12,7,1,45,8,12,0,1,0,79,6,8,42.9,misc
GER-Bundesliga,2023,Dortmund,Mateu Morey,ESP,DF,23,2000,1.2,0,0,0,3,5,1,1,1,2,0,0,0,7,2,2,50.0,misc
GER-Bundesliga,2023,Dortmund,Mats Hummels,GER,DF,34,1988,17.6,4,1,0,12,9,0,3,33,34,0,2,0,99,38,24,61.3,misc
GER-Bundesliga,2023,Dortmund,Niclas Füllkrug,GER,FW,30,1993,24.6,1,0,0,26,37,11,5,2,2,0,0,0,39,67,104,39.2,misc
GER-Bundesliga,2023,Dortmund,Nico Schlotterbeck,GER,DF,23,1999,31.8,4,0,0,17,32,0,8,45,50,1,0,1,245,58,41,58.6,misc
GER-Bundesliga,2023,Dortmund,Niklas Süle,GER,DF,27,1995,16.8,0,0,0,9,1,0,2,25,10,0,0,0,83,21,14,60.0,misc
GER-Bundesliga,2023,Dortmund,Ole Pohlmann,GER,MF,22,2001,0.6,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,100.0,misc
GER-Bundesliga,2023,Dortmund,Ramy Bensebaini,ALG,DF,28,1995,11.5,4,1,1,15,29,0,21,16,21,0,0,1,84,18,13,58.1,misc
GER-Bundesliga,2023,Dortmund,Salih Özcan,TUR,MF,25,1998,13.2,3,0,0,22,22,2,1,17,12,0,0,0,86,16,15,51.6,misc
GER-Bundesliga,2023,Dortmund,Samuel Bamba,GER,FW,19,2004,0.5,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,,misc
GER-Bundesliga,2023,Dortmund,Sébastien Haller,CIV,FW,29,1994,4.4,2,0,0,8,10,3,0,0,0,0,1,0,10,19,21,47.5,misc
GER-Bundesliga,2023,Dortmund,Thomas Meunier,BEL,DF,31,1991,6.5,0,0,0,10,0,0,17,4,1,0,0,0,43,7,6,53.8,misc
GER-Bundesliga,2023,Dortmund,Thorgan Hazard,BEL,DF,30,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
GER-Bundesliga,2023,Dortmund,Youssoufa Moukoko,GER,FW,18,2004,6.9,1,0,0,8,2,7,4,2,1,0,0,0,21,6,10,37.5,misc
GER-Bundesliga,2023,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",21,2002,23.4,7,1,1,32,24,2,46,20,26,0,3,0,92,23,43,34.8,misc
GER-Bundesliga,2023,Eint Frankfurt,Aurélio Buta,POR,"DF,MF",26,1997,19.4,5,0,0,23,23,1,46,15,25,0,0,0,94,29,20,59.2,misc
GER-Bundesliga,2023,Eint Frankfurt,Christopher Lenz,GER,DF,28,1994,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,misc
GER-Bundesliga,2023,Eint Frankfurt,Donny van de Beek,NED,"MF,FW",26,1997,4.0,1,0,0,7,1,5,7,3,3,0,0,0,15,4,5,44.4,misc
GER-Bundesliga,2023,Eint Frankfurt,Elias Baum,GER,"DF,MF",17,2005,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Eint Frankfurt,Ellyes Skhiri,TUN,MF,28,1995,24.1,1,0,0,14,18,3,4,39,24,0,0,0,160,31,25,55.4,misc
GER-Bundesliga,2023,Eint Frankfurt,Fares Chaïbi,ALG,"MF,FW",20,2002,21.2,2,0,0,14,11,9,176,5,17,0,0,0,66,10,56,15.2,misc
GER-Bundesliga,2023,Eint Frankfurt,Hrvoje Smolčić,CRO,DF,22,2000,3.9,0,0,0,3,2,0,0,6,3,0,0,0,20,14,12,53.8,misc
GER-Bundesliga,2023,Eint Frankfurt,Hugo Ekitike,FRA,FW,21,2002,8.0,3,0,0,12,12,6,9,2,7,0,0,0,21,14,27,34.1,misc
