league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
ITA-Serie A,2023,Fiorentina,Michael Kayode,ITA,DF,19,2004,26,22,2058,22.9,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,45,80,102,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,standard,ITA,DF,19,2004,22.9,53,30,27,15,11,35,48,72.9,13,25,12,13,18,71,46,2,defense,ITA,DF,19,2004,22.9,1056,1297,81.4,19700,5416,426,463,92.0,503,579,86.9,112,192,58.3,1,1.1,1.4,-0.1,15,68,23,15,80,passing,ITA,DF,19,2004,22.9,1537,72,478,703,371,23,1537,47,22,46.8,21,44.7,834,4821,2245,45,31,7,30,8,941,102,possession,ITA,DF,19,2004,22.9,1,7,2,28.6,0.31,0.09,0.14,0.5,20.3,0,0,0,0.5,0.5,0.07,0.5,0.5,shooting,ITA,DF,19,2004,22.9,2,0,0,14,19,2,66,18,30,0,0,0,105,17,18,48.6,misc
ITA-Serie A,2023,Bologna,Michel Aebischer,SUI,MF,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,standard,SUI,MF,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,defense,SUI,MF,26,1997,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,passing,SUI,MF,26,1997,24.8,1694,51,405,1032,270,23,1694,25,14,56.0,9,36.0,1040,4507,2248,26,23,3,27,19,1308,55,possession,SUI,MF,26,1997,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,shooting,SUI,MF,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,misc
ITA-Serie A,2023,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,10,0,109,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.1,3,9,16,0.0,0.83,0.83,0.0,0.83,0.06,0.06,0.11,0.06,0.11,standard,FRA,MF,23,2000,1.2,4,3,0,3,1,1,1,100.0,0,0,0,0,0,4,2,1,defense,FRA,MF,23,2000,1.2,74,89,83.1,1138,292,35,43,81.4,33,37,89.2,2,2,100.0,1,0.1,0.2,0.9,2,8,0,0,9,passing,FRA,MF,23,2000,1.2,99,4,14,58,29,4,99,2,2,100.0,0,0.0,57,332,151,3,3,1,6,2,78,16,possession,FRA,MF,23,2000,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting,FRA,MF,23,2000,1.2,0,0,0,2,1,1,1,0,3,0,0,0,13,3,1,75.0,misc
ITA-Serie A,2023,Frosinone,Michele Cerofolini,ITA,GK,24,1999,8,7,675,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,24,1999,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,defense,ITA,GK,24,1999,7.5,124,209,59.3,3261,2471,23,23,100.0,66,67,98.5,34,117,29.1,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,GK,24,1999,7.5,226,186,224,2,0,0,226,0,0,,0,,112,640,423,0,0,0,0,0,99,0,possession,ITA,GK,24,1999,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,24,1999,7.5,1,0,0,1,0,0,0,0,0,0,1,1,8,1,0,100.0,misc
ITA-Serie A,2023,Monza,Michele Di Gregorio,ITA,GK,26,1997,33,33,2872,31.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,26,1997,31.9,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,10,2,defense,ITA,GK,26,1997,31.9,1054,1350,78.1,28283,18779,220,224,98.2,513,517,99.2,314,600,52.3,0,0.0,0.1,0.0,0,15,0,0,1,passing,ITA,GK,26,1997,31.9,1439,1210,1426,14,0,0,1439,3,3,100.0,0,0.0,879,4769,2714,0,0,0,2,1,775,0,possession,ITA,GK,26,1997,31.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,26,1997,31.9,0,0,0,0,4,0,0,1,0,0,0,0,33,6,1,85.7,misc
ITA-Serie A,2023,Milan,Mike Maignan,FRA,GK,28,1995,29,29,2609,29.0,0,1,1,0,0,0,1,1,0.0,0.0,0.3,0.3,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,standard,FRA,GK,28,1995,29.0,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,3,defense,FRA,GK,28,1995,29.0,1033,1228,84.1,25589,17105,217,218,99.5,562,567,99.1,249,425,58.6,1,0.3,0.1,0.7,3,18,1,0,0,passing,FRA,GK,28,1995,29.0,1285,960,1281,5,0,0,1285,1,1,100.0,0,0.0,873,4782,3225,0,0,0,1,0,732,0,possession,FRA,GK,28,1995,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,GK,28,1995,29.0,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5,misc
ITA-Serie A,2023,Genoa,Milan Badelj,CRO,MF,34,1989,33,32,2535,28.2,1,3,4,1,0,0,6,0,1.4,1.4,1.1,2.5,18,151,36,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.09,0.05,0.09,standard,CRO,MF,34,1989,28.2,51,27,23,24,4,24,61,39.3,37,45,13,32,50,101,54,1,defense,CRO,MF,34,1989,28.2,1136,1407,80.7,19451,6788,504,579,87.0,474,547,86.7,110,189,58.2,3,1.1,1.4,1.9,18,140,23,4,151,passing,CRO,MF,34,1989,28.2,1696,81,425,1029,255,18,1696,33,17,51.5,13,39.4,904,3806,1728,18,17,1,31,19,1097,36,possession,CRO,MF,34,1989,28.2,1,21,4,19.0,0.75,0.14,0.05,0.25,19.1,0,0,0,1.4,1.4,0.07,-0.4,-0.4,shooting,CRO,MF,34,1989,28.2,6,0,0,24,14,0,14,50,27,0,0,0,177,12,13,48.0,misc
ITA-Serie A,2023,Hellas Verona,Milan Đurić,BIH,FW,33,1990,20,13,1204,13.4,5,1,6,4,1,3,2,0,4.5,2.2,1.2,3.4,3,15,33,0.37,0.07,0.45,0.3,0.37,0.34,0.09,0.43,0.16,0.25,standard,BIH,FW,33,1990,13.4,1,0,0,0,1,0,3,0.0,3,0,0,0,1,2,13,0,defense,BIH,FW,33,1990,13.4,181,334,54.2,2116,392,130,213,61.0,32,69,46.4,5,12,41.7,1,1.2,0.5,-0.2,16,18,3,0,15,passing,BIH,FW,33,1990,13.4,421,14,41,227,153,46,418,3,2,66.7,1,33.3,183,529,151,3,6,1,22,8,352,33,possession,BIH,FW,33,1990,13.4,5,22,13,59.1,1.64,0.97,0.18,0.31,12.5,0,1,3,4.5,2.2,0.1,0.5,1.8,shooting,BIH,FW,33,1990,13.4,2,0,0,26,19,6,1,1,0,0,0,0,25,135,43,75.8,misc
ITA-Serie A,2023,Monza,Milan Đurić,BIH,FW,33,1990,17,13,1257,14.0,4,1,5,4,0,0,2,0,3.0,3.0,0.7,3.7,2,8,31,0.29,0.07,0.36,0.29,0.36,0.21,0.05,0.26,0.21,0.26,standard,BIH,FW,33,1990,14.0,5,5,0,5,0,2,4,50.0,2,6,2,4,0,5,27,0,defense,BIH,FW,33,1990,14.0,140,272,51.5,1700,251,93,156,59.6,35,86,40.7,0,3,0.0,1,0.7,0.2,0.3,5,3,2,0,8,passing,BIH,FW,33,1990,14.0,381,32,51,227,104,37,381,4,2,50.0,2,50.0,157,458,108,2,2,1,24,14,323,31,possession,BIH,FW,33,1990,14.0,4,26,6,23.1,1.86,0.43,0.15,0.67,10.7,0,0,0,3.0,3.0,0.11,1.0,1.0,shooting,BIH,FW,33,1990,14.0,2,0,0,23,26,1,1,0,5,0,0,0,29,86,40,68.3,misc
ITA-Serie A,2023,Roma,Mile Svilar,SRB,GK,23,1999,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SRB,GK,23,1999,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,defense,SRB,GK,23,1999,15.0,526,605,86.9,11527,7333,143,143,100.0,297,300,99.0,85,161,52.8,0,0.0,0.0,0.0,1,3,0,0,0,passing,SRB,GK,23,1999,15.0,644,549,643,1,0,0,644,1,1,100.0,0,0.0,414,1946,1174,0,0,0,0,0,359,0,possession,SRB,GK,23,1999,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,SRB,GK,23,1999,15.0,1,0,0,0,4,0,0,0,0,0,0,0,19,5,0,100.0,misc
