league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
ITA-Serie A,2023,Genoa,Aarón Martín,ESP,DF,26,1997,22,17,1376,15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,28,35,72,0.0,0.07,0.07,0.0,0.07,0.01,0.11,0.12,0.01,0.12,standard,ESP,DF,26,1997,15.3,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,defense,ESP,DF,26,1997,15.3,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,passing,ESP,DF,26,1997,15.3,703,26,166,288,255,10,703,12,6,50.0,6,50.0,367,1839,972,28,21,3,12,4,432,72,possession,ESP,DF,26,1997,15.3,0,5,0,0.0,0.33,0.0,0.0,,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,ESP,DF,26,1997,15.3,4,1,1,23,17,2,106,9,10,0,0,0,48,8,11,42.1,misc
ITA-Serie A,2023,Frosinone,Abdou Harroui,NED,"MF,FW",25,1998,18,13,1019,11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43,38,56,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31,standard,NED,"MF,FW",25,1998,11.3,23,11,11,11,1,8,16,50.0,8,19,3,16,5,28,8,0,defense,NED,"MF,FW",25,1998,11.3,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60.0,3,1.2,1.4,1.8,16,29,12,4,38,passing,NED,"MF,FW",25,1998,11.3,564,11,79,276,220,32,563,44,19,43.2,21,47.7,308,2227,1221,43,31,8,28,7,378,56,possession,NED,"MF,FW",25,1998,11.3,3,32,11,34.4,2.83,0.97,0.06,0.18,21.1,0,1,1,3.1,2.3,0.07,-0.1,-0.3,shooting,NED,"MF,FW",25,1998,11.3,2,0,0,18,16,1,12,5,11,0,0,0,53,12,8,60.0,misc
ITA-Serie A,2023,Lazio,Adam Marušić,MNE,DF,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04,standard,MNE,DF,30,1992,34.4,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2,defense,MNE,DF,30,1992,34.4,1560,1880,83.0,24140,9157,843,935,90.2,582,704,82.7,89,159,56.0,0,0.8,1.1,-0.8,10,110,24,11,118,passing,MNE,DF,30,1992,34.4,2103,102,695,1028,391,22,2103,32,14,43.8,14,43.8,979,4378,2368,35,31,3,24,5,1334,108,possession,MNE,DF,30,1992,34.4,1,8,3,37.5,0.23,0.09,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,0.6,0.6,shooting,MNE,DF,30,1992,34.4,3,1,0,24,10,4,44,29,31,0,1,0,154,32,33,49.2,misc
ITA-Serie A,2023,Torino,Adam Masina,MAR,DF,29,1994,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,42,6,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,MAR,DF,29,1994,11.4,17,12,8,8,1,5,20,25.0,15,12,6,6,11,28,30,0,defense,MAR,DF,29,1994,11.4,557,652,85.4,9669,4033,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,passing,MAR,DF,29,1994,11.4,741,94,395,309,42,8,741,1,1,100.0,0,0.0,432,1798,830,3,4,0,4,6,504,6,possession,MAR,DF,29,1994,11.4,0,5,1,20.0,0.44,0.09,0.0,0.0,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,MAR,DF,29,1994,11.4,0,0,0,18,5,0,4,11,12,0,1,0,49,22,14,61.1,misc
ITA-Serie A,2023,Udinese,Adam Masina,MAR,DF,29,1994,4,1,64,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard,MAR,DF,29,1994,0.7,4,0,2,2,0,2,4,50.0,2,2,1,1,2,6,5,0,defense,MAR,DF,29,1994,0.7,22,30,73.3,345,153,12,15,80.0,8,9,88.9,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,passing,MAR,DF,29,1994,0.7,48,7,27,14,7,0,48,0,0,,0,,20,55,8,0,0,0,2,1,20,3,possession,MAR,DF,29,1994,0.7,0,1,1,100.0,1.41,1.41,0.0,0.0,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,MAR,DF,29,1994,0.7,2,0,0,3,0,0,0,2,0,0,0,0,5,4,1,80.0,misc
ITA-Serie A,2023,Cagliari,Adam Obert,SVK,DF,20,2002,17,10,941,10.5,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.1,14,37,5,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,standard,SVK,DF,20,2002,10.5,17,9,8,8,1,8,17,47.1,9,13,7,6,21,38,41,1,defense,SVK,DF,20,2002,10.5,372,474,78.5,7539,2700,144,162,88.9,169,197,85.8,57,100,57.0,0,0.9,0.7,-0.9,6,40,10,6,37,passing,SVK,DF,20,2002,10.5,587,61,256,281,52,3,587,5,3,60.0,1,20.0,283,1533,857,14,6,1,9,2,322,5,possession,SVK,DF,20,2002,10.5,0,3,3,100.0,0.29,0.29,0.0,0.0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,SVK,DF,20,2002,10.5,1,0,0,14,4,0,15,21,9,0,0,0,54,14,18,43.8,misc
ITA-Serie A,2023,Juventus,Adrien Rabiot,FRA,MF,28,1995,31,30,2651,29.5,5,3,8,5,0,0,8,0,3.5,3.4,4.1,7.4,72,120,106,0.17,0.1,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25,standard,FRA,MF,28,1995,29.5,58,39,22,30,6,30,45,66.7,15,26,6,20,25,83,34,0,defense,FRA,MF,28,1995,29.5,996,1211,82.2,14960,3691,548,620,88.4,361,429,84.1,53,81,65.4,3,4.1,4.0,-1.1,26,103,23,10,120,passing,FRA,MF,28,1995,29.5,1525,69,269,829,447,79,1525,54,28,51.9,21,38.9,893,5580,2746,72,59,10,52,19,1027,106,possession,FRA,MF,28,1995,29.5,5,38,16,42.1,1.29,0.54,0.13,0.31,16.9,0,0,0,3.5,3.4,0.09,1.5,1.6,shooting,FRA,MF,28,1995,29.5,8,0,0,44,38,6,45,25,39,0,0,0,150,54,40,57.4,misc
ITA-Serie A,2023,Torino,Adrien Tameze,CMR,"DF,MF",29,1994,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22,90,39,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,standard,CMR,"DF,MF",29,1994,23.8,35,16,13,18,4,18,37,48.6,19,24,11,13,47,82,25,2,defense,CMR,"DF,MF",29,1994,23.8,1106,1276,86.7,18937,5466,462,506,91.3,549,605,90.7,68,101,67.3,2,2.2,1.2,-0.2,19,81,10,3,90,passing,CMR,"DF,MF",29,1994,23.8,1492,91,536,777,196,21,1492,19,12,63.2,5,26.3,866,4076,1818,22,25,2,20,17,981,39,possession,CMR,"DF,MF",29,1994,23.8,0,9,0,0.0,0.38,0.0,0.0,,13.0,0,0,0,0.7,0.7,0.08,-0.7,-0.7,shooting,CMR,"DF,MF",29,1994,23.8,6,1,0,19,15,0,15,47,16,0,1,0,140,30,39,43.5,misc
ITA-Serie A,2023,Salernitana,Agustín Martegani,ARG,MF,23,2000,18,6,731,8.1,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,14,28,22,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13,standard,ARG,MF,23,2000,8.1,13,7,7,3,3,6,18,33.3,12,4,1,3,4,17,7,1,defense,ARG,MF,23,2000,8.1,248,297,83.5,3504,949,148,160,92.5,73,87,83.9,13,20,65.0,0,0.5,0.4,-0.5,6,29,4,0,28,passing,ARG,MF,23,2000,8.1,371,14,65,201,113,9,371,21,12,57.1,5,23.8,215,1328,678,14,15,3,10,9,239,22,possession,ARG,MF,23,2000,8.1,1,15,4,26.7,1.85,0.49,0.07,0.25,24.3,0,0,0,0.6,0.6,0.04,0.4,0.4,shooting,ARG,MF,23,2000,8.1,1,0,0,10,14,0,1,4,7,0,0,0,51,6,5,54.5,misc
ITA-Serie A,2023,Lecce,Ahmed Touba,ALG,DF,25,1998,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard,ALG,DF,25,1998,3.1,6,4,3,3,0,3,4,75.0,1,4,3,1,7,13,20,0,defense,ALG,DF,25,1998,3.1,115,137,83.9,2095,472,38,42,90.5,64,76,84.2,11,14,78.6,0,0.0,0.0,0.0,0,4,0,0,2,passing,ALG,DF,25,1998,3.1,176,35,106,67,5,1,176,0,0,,0,,81,409,217,0,2,0,1,0,84,1,possession,ALG,DF,25,1998,3.1,0,1,0,0.0,0.32,0.0,0.0,,7.1,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,ALG,DF,25,1998,3.1,1,0,0,6,1,0,0,7,4,0,0,0,16,5,6,45.5,misc
ITA-Serie A,2023,Genoa,Alan Matturro,URU,DF,18,2004,6,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,URU,DF,18,2004,1.2,1,1,1,0,0,1,1,100.0,0,6,3,3,2,3,4,0,defense,URU,DF,18,2004,1.2,16,25,64.0,260,134,7,8,87.5,7,8,87.5,1,6,16.7,0,0.0,0.0,0.0,0,3,0,0,4,passing,URU,DF,18,2004,1.2,42,10,18,17,7,2,42,1,1,100.0,0,0.0,13,41,7,0,0,0,3,0,15,1,possession,URU,DF,18,2004,1.2,0,1,0,0.0,0.85,0.0,0.0,,7.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting,URU,DF,18,2004,1.2,0,0,0,0,0,0,0,2,1,0,0,1,6,3,2,60.0,misc
ITA-Serie A,2023,Genoa,Albert Guðmundsson,ISL,"FW,MF",26,1997,35,34,3016,33.5,14,4,18,10,4,5,4,0,9.9,5.8,5.2,11.0,82,120,168,0.42,0.12,0.54,0.3,0.42,0.3,0.16,0.45,0.17,0.33,standard,ISL,"FW,MF",26,1997,33.5,23,10,8,10,5,12,44,27.3,32,15,2,13,11,34,13,0,defense,ISL,"FW,MF",26,1997,33.5,907,1213,74.8,15139,4812,447,514,87.0,282,359,78.6,120,230,52.2,4,5.2,6.5,-1.2,81,86,34,8,120,passing,ISL,"FW,MF",26,1997,33.5,1526,18,168,708,678,71,1521,96,42,43.8,41,42.7,900,6120,2951,82,71,17,89,51,1031,168,possession,ISL,"FW,MF",26,1997,33.5,14,52,19,36.5,1.55,0.57,0.19,0.53,20.8,8,4,5,9.9,5.8,0.11,4.1,4.2,shooting,ISL,"FW,MF",26,1997,33.5,4,0,0,28,46,11,179,11,10,1,0,0,136,3,22,12.0,misc
ITA-Serie A,2023,Empoli,Alberto Cerri,ITA,FW,27,1996,12,10,545,6.1,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,3,9,23,0.17,0.0,0.17,0.17,0.17,0.19,0.04,0.23,0.19,0.23,standard,ITA,FW,27,1996,6.1,3,3,1,1,1,2,5,40.0,3,3,1,2,3,6,7,0,defense,ITA,FW,27,1996,6.1,68,136,50.0,877,149,50,82,61.0,16,33,48.5,2,4,50.0,0,0.2,0.3,-0.2,4,2,1,0,9,passing,ITA,FW,27,1996,6.1,189,7,17,89,85,18,189,6,1,16.7,5,83.3,98,360,149,3,7,1,13,12,145,23,possession,ITA,FW,27,1996,6.1,1,10,3,30.0,1.65,0.5,0.1,0.33,10.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,shooting,ITA,FW,27,1996,6.1,2,0,0,15,9,6,1,3,3,0,0,0,18,41,30,57.7,misc
ITA-Serie A,2023,Cagliari,Alberto Dossena,ITA,DF,24,1998,35,33,2977,33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,9,89,2,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13,standard,ITA,DF,24,1998,33.1,55,35,43,12,0,32,48,66.7,16,50,27,23,45,100,172,2,defense,ITA,DF,24,1998,33.1,1042,1305,79.8,22274,7809,279,324,86.1,597,680,87.8,158,271,58.3,4,2.1,1.3,1.9,12,71,4,0,89,passing,ITA,DF,24,1998,33.1,1720,270,930,748,55,35,1720,8,5,62.5,3,37.5,774,3763,2159,9,6,0,22,10,849,2,possession,ITA,DF,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,11.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2,shooting,ITA,DF,24,1998,33.1,5,0,0,38,42,0,1,45,35,0,0,2,190,118,68,63.4,misc
ITA-Serie A,2023,Empoli,Alberto Grassi,ITA,MF,28,1995,27,22,1807,20.1,0,1,1,0,0,0,6,1,1.1,1.1,0.6,1.7,13,75,13,0.0,0.05,0.05,0.0,0.05,0.05,0.03,0.09,0.05,0.09,standard,ITA,MF,28,1995,20.1,30,18,13,13,4,10,26,38.5,16,26,11,15,41,71,37,0,defense,ITA,MF,28,1995,20.1,696,861,80.8,11955,4165,326,370,88.1,289,339,85.3,59,104,56.7,1,0.6,1.3,0.4,6,89,6,0,75,passing,ITA,MF,28,1995,20.1,1085,67,324,625,143,16,1085,10,5,50.0,4,40.0,525,2436,957,13,13,0,13,7,615,13,possession,ITA,MF,28,1995,20.1,0,23,5,21.7,1.15,0.25,0.0,0.0,20.0,1,0,0,1.1,1.1,0.05,-1.1,-1.1,shooting,ITA,MF,28,1995,20.1,6,1,1,22,33,0,5,41,18,0,0,1,124,28,30,48.3,misc
ITA-Serie A,2023,Milan,Alejandro Jiménez,ESP,DF,18,2005,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,standard,ESP,DF,18,2005,0.8,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,4,0,defense,ESP,DF,18,2005,0.8,39,43,90.7,628,179,19,20,95.0,18,20,90.0,1,1,100.0,0,0.1,0.1,-0.1,1,2,0,0,2,passing,ESP,DF,18,2005,0.8,54,3,17,29,8,1,54,1,0,0.0,0,0.0,30,185,105,2,1,0,0,2,35,3,possession,ESP,DF,18,2005,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,DF,18,2005,0.8,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,,misc
ITA-Serie A,2023,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,12,1176,13.1,3,5,8,3,0,0,1,0,5.4,5.4,4.1,9.5,41,75,122,0.23,0.38,0.61,0.23,0.61,0.41,0.31,0.72,0.41,0.72,standard,RUS,"MF,FW",27,1995,13.1,12,6,6,4,2,5,13,38.5,8,6,1,5,2,14,5,1,defense,RUS,"MF,FW",27,1995,13.1,454,622,73.0,7677,2316,212,250,84.8,179,216,82.9,44,106,41.5,5,4.1,4.5,0.9,45,41,29,9,75,passing,RUS,"MF,FW",27,1995,13.1,785,4,62,323,407,52,785,49,17,34.7,27,55.1,490,2993,1421,41,35,10,37,15,601,122,possession,RUS,"MF,FW",27,1995,13.1,3,37,21,56.8,2.83,1.61,0.08,0.14,16.4,0,0,0,5.4,5.4,0.15,-2.4,-2.4,shooting,RUS,"MF,FW",27,1995,13.1,1,0,0,12,31,3,83,2,6,0,0,0,69,7,11,38.9,misc
ITA-Serie A,2023,Inter,Alessandro Bastoni,ITA,DF,24,1999,28,28,2268,25.2,1,3,4,1,0,0,5,0,1.2,1.2,3.4,4.6,63,142,77,0.04,0.12,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18,standard,ITA,DF,24,1999,25.2,46,33,31,12,3,26,40,65.0,14,25,11,14,23,69,48,1,defense,ITA,DF,24,1999,25.2,1671,1935,86.4,32047,10473,671,716,93.7,765,834,91.7,211,312,67.6,3,3.4,3.1,-0.4,22,135,35,14,142,passing,ITA,DF,24,1999,25.2,2127,209,769,986,388,35,2127,19,10,52.6,8,42.1,1434,7294,4361,63,66,6,12,10,1612,77,possession,ITA,DF,24,1999,25.2,1,15,6,40.0,0.6,0.24,0.07,0.17,13.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2,shooting,ITA,DF,24,1999,25.2,5,0,0,31,31,0,76,23,33,0,0,0,119,37,29,56.1,misc
ITA-Serie A,2023,Torino,Alessandro Buongiorno,ITA,DF,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.0,0.11,0.11,0.11,0.06,0.0,0.06,0.06,0.06,standard,ITA,DF,24,1999,28.1,70,39,43,24,3,24,34,70.6,10,20,12,8,69,139,131,0,defense,ITA,DF,24,1999,28.1,1012,1187,85.3,17567,5255,395,455,86.8,553,609,90.8,50,87,57.5,0,0.1,0.4,-0.1,4,28,4,1,62,passing,ITA,DF,24,1999,28.1,1539,153,739,748,64,19,1539,4,0,0.0,4,100.0,740,3702,1363,14,10,2,26,4,809,10,possession,ITA,DF,24,1999,28.1,3,13,6,46.2,0.46,0.21,0.23,0.5,9.5,0,0,0,1.6,1.6,0.12,1.4,1.4,shooting,ITA,DF,24,1999,28.1,7,0,0,69,39,1,3,69,39,1,1,0,127,78,53,59.5,misc
ITA-Serie A,2023,Cagliari,Alessandro Deiola,ITA,MF,27,1995,27,19,1608,17.9,1,0,1,1,0,0,7,0,2.5,2.5,0.9,3.4,9,64,21,0.06,0.0,0.06,0.06,0.06,0.14,0.05,0.19,0.14,0.19,standard,ITA,MF,27,1995,17.9,33,19,13,16,4,18,47,38.3,29,16,6,10,9,42,37,0,defense,ITA,MF,27,1995,17.9,364,524,69.5,6842,2077,171,216,79.2,142,194,73.2,47,90,52.2,0,0.9,0.5,-0.9,10,45,7,2,64,passing,ITA,MF,27,1995,17.9,700,42,175,376,153,24,700,10,5,50.0,3,30.0,272,1230,473,9,5,0,10,15,369,21,possession,ITA,MF,27,1995,17.9,1,25,6,24.0,1.4,0.34,0.04,0.17,17.2,2,0,0,2.5,2.5,0.1,-1.5,-1.5,shooting,ITA,MF,27,1995,17.9,7,0,0,25,17,0,15,9,19,0,0,1,87,35,30,53.8,misc
ITA-Serie A,2023,Torino,Alessandro Dellavalle,ITA,DF,19,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,DF,19,2004,0.2,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,defense,ITA,DF,19,2004,0.2,5,6,83.3,132,51,3,3,100.0,0,0,,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,ITA,DF,19,2004,0.2,8,1,4,4,0,0,8,0,0,,0,,4,29,2,0,0,0,0,0,3,0,possession,ITA,DF,19,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,DF,19,2004,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0,misc
ITA-Serie A,2023,Cagliari,Alessandro Di Pardo,ITA,"DF,MF",24,1999,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,standard,ITA,"DF,MF",24,1999,4.0,4,1,3,0,1,0,3,0.0,3,9,2,7,5,9,7,0,defense,ITA,"DF,MF",24,1999,4.0,115,175,65.7,1822,700,65,82,79.3,41,57,71.9,6,24,25.0,0,0.2,0.2,-0.2,5,5,7,4,11,passing,ITA,"DF,MF",24,1999,4.0,214,12,59,84,72,3,214,6,1,16.7,5,83.3,99,480,223,6,2,0,1,4,106,19,possession,ITA,"DF,MF",24,1999,4.0,0,3,0,0.0,0.75,0.0,0.0,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,ITA,"DF,MF",24,1999,4.0,0,0,0,3,2,1,18,5,1,0,2,0,26,4,2,66.7,misc
ITA-Serie A,2023,Milan,Alessandro Florenzi,ITA,DF,32,1991,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29,106,50,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26,standard,ITA,DF,32,1991,19.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1,defense,ITA,DF,32,1991,19.2,1055,1277,82.6,19865,6858,433,459,94.3,454,519,87.5,144,250,57.6,4,3.4,3.5,0.6,45,97,25,9,106,passing,ITA,DF,32,1991,19.2,1449,62,403,699,354,19,1449,13,1,7.7,11,84.6,816,4084,2195,29,28,1,17,5,916,50,possession,ITA,DF,32,1991,19.2,1,32,10,31.3,1.66,0.52,0.03,0.1,25.4,4,0,0,1.7,1.7,0.05,-0.7,-0.7,shooting,ITA,DF,32,1991,19.2,5,0,0,11,9,2,122,20,21,0,0,0,97,7,17,29.2,misc
ITA-Serie A,2023,Monza,Alessandro Sorrentino,ITA,GK,21,2002,7,5,548,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,21,2002,6.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ITA,GK,21,2002,6.1,148,193,76.7,3731,2467,35,35,100.0,73,75,97.3,40,83,48.2,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,GK,21,2002,6.1,205,174,203,2,0,0,205,1,1,100.0,0,0.0,99,484,301,0,0,0,0,0,102,0,possession,ITA,GK,21,2002,6.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,21,2002,6.1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,misc
ITA-Serie A,2023,Genoa,Alessandro Vogliacco,ITA,DF,24,1998,20,14,1169,13.0,0,1,1,0,0,0,4,0,0.4,0.4,0.5,0.9,8,49,12,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07,standard,ITA,DF,24,1998,13.0,23,15,14,8,1,12,15,80.0,3,16,10,6,30,53,40,1,defense,ITA,DF,24,1998,13.0,494,626,78.9,9349,3512,186,204,91.2,235,272,86.4,59,120,49.2,1,0.5,0.5,0.5,13,41,12,7,49,passing,ITA,DF,24,1998,13.0,757,82,311,381,67,9,757,7,3,42.9,3,42.9,377,1611,809,8,9,4,7,3,457,12,possession,ITA,DF,24,1998,13.0,0,5,0,0.0,0.38,0.0,0.0,,13.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,shooting,ITA,DF,24,1998,13.0,4,0,0,13,4,1,12,30,15,1,0,0,52,25,21,54.3,misc
ITA-Serie A,2023,Napoli,Alessandro Zanoli,ITA,"DF,FW",22,2000,4,0,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,"DF,FW",22,2000,0.6,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,defense,ITA,"DF,FW",22,2000,0.6,33,40,82.5,527,111,14,16,87.5,15,19,78.9,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,4,passing,ITA,"DF,FW",22,2000,0.6,47,2,10,21,16,0,47,2,0,0.0,2,100.0,26,153,94,2,1,0,2,0,29,3,possession,ITA,"DF,FW",22,2000,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,"DF,FW",22,2000,0.6,1,0,0,3,0,0,2,1,1,0,0,0,2,0,2,0.0,misc
ITA-Serie A,2023,Salernitana,Alessandro Zanoli,ITA,DF,22,2000,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,0.2,1.8,1.9,27,28,45,0.0,0.2,0.2,0.0,0.2,0.02,0.17,0.19,0.02,0.19,standard,ITA,DF,22,2000,10.2,16,13,9,7,0,7,12,58.3,5,10,2,8,1,17,17,0,defense,ITA,DF,22,2000,10.2,322,434,74.2,4696,1828,188,210,89.5,101,141,71.6,18,46,39.1,2,1.8,0.9,0.2,12,20,7,2,28,passing,ITA,DF,22,2000,10.2,528,21,125,236,173,19,528,24,6,25.0,17,70.8,254,1553,743,27,13,6,8,4,325,45,possession,ITA,DF,22,2000,10.2,0,3,1,33.3,0.29,0.1,0.0,0.0,12.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,ITA,DF,22,2000,10.2,3,0,0,5,4,1,30,1,13,0,0,1,26,7,12,36.8,misc
