nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
NGA,"FW,MF",24,1997,19.2,13,5,2,6,5,3,15,20.0,12,18,0,18,4,17,1,0,ITA-Serie A,2022,defense
ALB,DF,29,1993,20.0,34,19,21,13,0,17,25,68.0,8,17,7,10,36,70,74,1,ITA-Serie A,2022,defense
FRA,DF,20,2002,7.1,8,5,4,4,0,3,9,33.3,6,10,0,10,3,11,7,0,ITA-Serie A,2022,defense
ITA,DF,21,2001,10.7,21,17,14,6,1,10,25,40.0,15,10,5,5,30,51,44,3,ITA-Serie A,2022,defense
ITA,DF,30,1992,16.3,34,18,17,12,5,15,22,68.2,7,23,2,21,9,43,16,0,ITA-Serie A,2022,defense
COL,FW,31,1991,15.4,8,4,1,3,4,3,5,60.0,2,6,2,4,4,12,17,1,ITA-Serie A,2022,defense
ITA,GK,31,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2022,defense
ITA,DF,18,2003,25.9,54,29,30,18,6,29,55,52.7,26,36,13,23,56,110,57,2,ITA-Serie A,2022,defense
NED,DF,28,1994,15.5,21,13,11,8,2,11,27,40.7,16,23,4,19,12,33,25,0,ITA-Serie A,2022,defense
CIV,"MF,FW",25,1997,8.7,9,5,3,2,4,2,5,40.0,3,6,0,6,1,10,1,0,ITA-Serie A,2022,defense
DEN,"DF,MF",25,1997,24.5,32,18,12,7,13,22,39,56.4,17,29,6,23,24,56,26,0,ITA-Serie A,2022,defense
ARG,DF,32,1990,8.4,23,14,16,7,0,11,19,57.9,8,11,4,7,28,51,20,0,ITA-Serie A,2022,defense
ARG,GK,28,1994,23.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,11,1,ITA-Serie A,2022,defense
COL,"FW,MF",31,1991,11.9,9,6,2,3,4,5,16,31.3,11,9,0,9,2,11,2,0,ITA-Serie A,2022,defense
CZE,"MF,FW",20,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,ITA-Serie A,2022,defense
ITA,GK,30,1992,14.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,ITA-Serie A,2022,defense
CRO,"MF,FW",27,1995,19.7,22,10,6,14,2,6,23,26.1,17,22,4,18,21,43,13,0,ITA-Serie A,2022,defense
NED,MF,31,1991,32.9,77,39,37,35,5,37,81,45.7,44,37,4,33,36,113,58,0,ITA-Serie A,2022,defense
ITA,"DF,MF",20,2002,9.2,17,12,5,9,3,8,16,50.0,8,14,3,11,12,29,16,0,ITA-Serie A,2022,defense
TUR,DF,24,1998,17.1,41,29,30,11,0,26,36,72.2,10,24,7,17,24,65,57,1,ITA-Serie A,2022,defense
ITA,"DF,MF",23,1999,2.5,10,5,3,7,0,3,4,75.0,1,4,0,4,0,10,4,0,ITA-Serie A,2022,defense
ITA,DF,31,1990,30.9,69,44,37,32,0,35,64,54.7,29,42,18,24,57,126,88,1,ITA-Serie A,2022,defense
DEN,FW,19,2003,20.4,4,3,0,2,2,1,6,16.7,5,9,1,8,1,5,5,0,ITA-Serie A,2022,defense
UKR,"MF,FW",29,1993,6.1,14,8,5,6,3,6,17,35.3,11,8,1,7,5,19,2,0,ITA-Serie A,2022,defense
NED,MF,24,1998,31.8,46,26,15,24,7,28,55,50.9,27,41,5,36,19,65,36,2,ITA-Serie A,2022,defense
ITA,MF,19,2003,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,ITA-Serie A,2022,defense
BRA,MF,23,1999,24.6,67,34,18,42,7,29,66,43.9,37,56,7,49,36,103,31,0,ITA-Serie A,2022,defense
FRA,DF,30,1992,20.7,25,17,11,12,2,5,7,71.4,2,18,13,5,15,40,75,1,ITA-Serie A,2022,defense
ITA,DF,22,2000,24.1,57,34,34,20,3,28,65,43.1,37,26,2,24,26,83,33,1,ITA-Serie A,2022,defense
ITA,FW,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ITA-Serie A,2022,defense
GRE,DF,28,1993,12.3,16,8,5,6,5,5,13,38.5,8,9,4,5,15,31,30,0,ITA-Serie A,2022,defense
NED,DF,19,2002,3.8,12,6,7,4,1,8,10,80.0,2,6,3,3,3,15,6,0,ITA-Serie A,2022,defense
ITA,"MF,FW",21,2000,2.7,4,4,2,2,0,2,4,50.0,2,2,0,2,3,7,0,0,ITA-Serie A,2022,defense
ITA,GK,30,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2022,defense
CHI,"MF,DF",34,1987,16.4,25,15,16,7,2,9,16,56.3,7,17,10,7,28,53,34,0,ITA-Serie A,2022,defense
GRE,"DF,FW",26,1996,7.8,13,6,4,5,4,10,23,43.5,13,14,2,12,4,17,10,0,ITA-Serie A,2022,defense
NED,MF,25,1997,27.9,63,38,28,33,2,27,49,55.1,22,40,17,23,40,103,43,1,ITA-Serie A,2022,defense
COL,DF,24,1998,32.2,53,37,39,13,1,24,43,55.8,19,43,26,17,35,88,100,1,ITA-Serie A,2022,defense
URU,DF,20,2002,7.6,6,2,5,1,0,4,18,22.2,14,5,3,2,6,12,31,0,ITA-Serie A,2022,defense
NED,FW,21,2001,9.1,4,2,1,1,2,2,7,28.6,5,4,1,3,4,8,4,0,ITA-Serie A,2022,defense
ITA,DF,26,1996,10.0,13,8,7,6,0,6,12,50.0,6,11,8,3,12,25,39,0,ITA-Serie A,2022,defense
SCO,"MF,FW",22,1999,25.7,44,25,16,20,8,20,40,50.0,20,22,7,15,19,63,25,0,ITA-Serie A,2022,defense
ITA,DF,34,1988,7.5,3,2,2,0,1,3,7,42.9,4,6,5,1,3,6,20,0,ITA-Serie A,2022,defense
AUT,FW,33,1989,17.0,9,6,2,5,2,1,6,16.7,5,11,1,10,2,11,10,0,ITA-Serie A,2022,defense
SUI,"FW,MF",25,1997,17.1,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,ITA-Serie A,2022,defense
GAM,"FW,MF",23,1998,21.8,21,4,10,6,5,8,14,57.1,6,25,1,24,1,22,7,0,ITA-Serie A,2022,defense
ITA,FW,30,1991,8.2,12,4,6,4,2,5,10,50.0,5,0,0,0,0,12,4,0,ITA-Serie A,2022,defense
ARG,MF,24,1998,25.6,79,49,34,33,12,39,76,51.3,37,29,3,26,21,100,29,1,ITA-Serie A,2022,defense
FIN,MF,18,2003,1.2,1,0,0,1,0,0,1,0.0,1,1,1,0,1,2,4,0,ITA-Serie A,2022,defense
CRO,MF,24,1998,13.6,32,21,11,15,6,14,36,38.9,22,15,2,13,8,40,18,0,ITA-Serie A,2022,defense
ITA,FW,25,1997,23.6,30,19,15,10,5,17,41,41.5,24,29,3,26,8,38,18,0,ITA-Serie A,2022,defense
ITA,"FW,MF",31,1991,14.7,31,16,9,16,6,13,25,52.0,12,23,2,21,6,37,14,0,ITA-Serie A,2022,defense
AUT,DF,25,1997,28.1,81,43,41,29,11,44,75,58.7,31,44,15,29,35,116,69,0,ITA-Serie A,2022,defense
POL,GK,31,1991,37.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,19,2,ITA-Serie A,2022,defense
ITA,MF,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2022,defense
ITA,DF,28,1994,11.2,40,23,32,7,1,28,42,66.7,14,19,4,15,25,65,45,1,ITA-Serie A,2022,defense
COD,MF,25,1997,27.6,55,23,25,26,4,32,57,56.1,25,37,5,32,24,79,36,1,ITA-Serie A,2022,defense
ITA,MF,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,ITA-Serie A,2022,defense
ITA,"MF,FW",29,1992,10.9,25,16,8,11,6,12,26,46.2,14,11,0,11,14,39,7,0,ITA-Serie A,2022,defense
NGA,FW,27,1994,17.6,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0,ITA-Serie A,2022,defense
ITA,FW,37,1985,11.8,6,3,1,2,3,4,7,57.1,3,7,1,6,2,8,10,0,ITA-Serie A,2022,defense
NGA,"FW,MF",24,1997,25.2,12,8,4,5,3,3,16,18.8,13,23,3,20,10,22,12,0,ITA-Serie A,2022,defense
AUT,DF,21,2000,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3,ITA-Serie A,2022,defense
ITA,DF,23,1998,30.9,54,27,29,21,4,29,69,42.0,40,17,3,14,22,76,44,1,ITA-Serie A,2022,defense
GHA,"FW,MF",19,2003,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,ITA-Serie A,2022,defense
ITA,FW,23,1999,11.7,10,8,3,6,1,3,9,33.3,6,7,1,6,8,18,9,0,ITA-Serie A,2022,defense
ITA,DF,22,2000,7.8,10,8,7,1,2,5,11,45.5,6,7,2,5,11,21,8,0,ITA-Serie A,2022,defense
ARG,MF,29,1993,6.2,16,8,8,8,0,10,13,76.9,3,7,1,6,10,26,4,0,ITA-Serie A,2022,defense
ROU,GK,25,1997,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,3,ITA-Serie A,2022,defense
SCO,DF,27,1995,2.4,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,7,0,ITA-Serie A,2022,defense
URU,DF,27,1995,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1,ITA-Serie A,2022,defense
MEX,DF,23,1998,20.1,41,26,34,7,0,18,39,46.2,21,27,20,7,45,86,93,1,ITA-Serie A,2022,defense
ITA,DF,25,1997,25.7,45,33,25,13,7,29,43,67.4,14,23,6,17,38,83,55,0,ITA-Serie A,2022,defense
ITA,"MF,FW",24,1998,8.3,21,13,11,6,4,8,21,38.1,13,9,0,9,9,30,5,0,ITA-Serie A,2022,defense
GEO,DF,24,1998,20.4,45,19,30,11,4,22,31,71.0,9,31,10,21,22,67,89,0,ITA-Serie A,2022,defense
ITA,MF,27,1994,11.1,26,15,9,11,6,15,24,62.5,9,13,1,12,12,38,19,0,ITA-Serie A,2022,defense
ITA,GK,22,2000,27.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,ITA-Serie A,2022,defense
ITA,DF,29,1993,23.7,32,19,21,9,2,20,32,62.5,12,31,17,14,20,52,111,0,ITA-Serie A,2022,defense
ITA,MF,32,1989,15.7,46,21,20,24,2,18,54,33.3,36,14,4,10,15,61,22,0,ITA-Serie A,2022,defense
SEN,GK,25,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,ITA-Serie A,2022,defense
CHI,MF,25,1996,8.2,14,10,8,3,3,5,33,15.2,28,13,2,11,10,24,13,0,ITA-Serie A,2022,defense
ITA,DF,25,1997,7.9,16,11,10,3,3,10,23,43.5,13,9,4,5,4,20,12,0,ITA-Serie A,2022,defense
ITA,"FW,MF",33,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2022,defense
ARG,MF,25,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0,ITA-Serie A,2022,defense
FRA,MF,28,1994,26.3,47,31,25,15,7,22,46,47.8,24,27,6,21,27,74,36,0,ITA-Serie A,2022,defense
ITA,MF,20,2002,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,ITA-Serie A,2022,defense
