league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Monza,Luca Caldirola,ITA,DF,34-069,1991,5.8,415,45,210,187,19,3,415,1,1,100.0,0,0.0,275,1189,635,3,4,0,2,1,304,4,possession
ITA-Serie A,2024,Monza,Matteo Pessina,ITA,MF,27-355,1997,9.5,559,16,155,317,91,5,559,10,5,50.0,3,30.0,333,1750,735,8,10,1,9,13,397,20,possession
ITA-Serie A,2024,Monza,Mattia Valoti,ITA,MF,31-217,1993,0.4,27,2,12,13,2,0,27,0,0,,0,,7,29,16,0,0,0,0,1,12,0,possession
ITA-Serie A,2024,Monza,Milan Đurić,BIH,FW,34-324,1990,14.1,358,18,40,212,110,31,358,6,4,66.7,2,33.3,150,368,134,2,2,1,15,14,289,30,possession
ITA-Serie A,2024,Monza,Mirko Marić,CRO,"FW,MF",29-330,1995,1.2,54,1,9,26,19,6,54,1,1,100.0,0,0.0,25,103,51,1,0,0,3,1,40,8,possession
ITA-Serie A,2024,Monza,Omari Forson,ENG,"MF,FW",20-265,2004,0.8,53,0,5,22,26,0,53,4,3,75.0,1,25.0,36,284,112,3,5,0,4,1,40,5,possession
ITA-Serie A,2024,Monza,Pablo Marí,ESP,DF,31-223,1993,18.1,1296,228,753,534,12,5,1296,6,6,100.0,0,0.0,765,3398,1700,5,4,0,4,5,861,1,possession
ITA-Serie A,2024,Monza,Patrick Ciurria,ITA,"MF,DF",30-061,1995,9.9,427,20,81,194,156,16,427,11,5,45.5,6,54.5,236,1127,528,17,8,3,17,11,252,40,possession
ITA-Serie A,2024,Monza,Pedro Pereira,POR,DF,27-079,1998,24.1,1066,73,350,454,268,27,1066,24,13,54.2,11,45.8,592,2893,1493,45,31,6,23,16,649,96,possession
ITA-Serie A,2024,Monza,Roberto Gagliardini,ITA,"MF,DF",31-004,1994,1.6,112,6,20,85,7,1,112,2,1,50.0,1,50.0,80,473,219,4,1,0,4,4,85,3,possession
ITA-Serie A,2024,Monza,Samuele Birindelli,ITA,"DF,MF",25-266,1999,9.8,433,22,100,183,154,16,433,8,4,50.0,2,25.0,268,1570,764,24,17,5,19,9,269,57,possession
ITA-Serie A,2024,Monza,Samuele Vignato,ITA,MF,21-046,2004,4.9,195,5,24,93,82,5,195,12,4,33.3,8,66.7,121,634,252,5,8,0,8,10,145,30,possession
ITA-Serie A,2024,Monza,Semuel Pizzignacco,ITA,GK,23-222,2001,4.3,150,128,146,3,1,0,150,0,0,,0,,82,316,198,0,0,0,0,0,72,0,possession
ITA-Serie A,2024,Monza,Silvère Ganvoula M'Boussy,CGO,FW,28-293,1996,3.5,98,4,7,61,31,11,98,8,2,25.0,5,62.5,70,321,80,3,4,3,16,7,79,18,possession
ITA-Serie A,2024,Monza,Stefan Lekovic,SRB,DF,21-092,2004,3.6,191,12,84,93,15,1,191,3,2,66.7,1,33.3,105,421,228,4,0,0,3,0,130,2,possession
ITA-Serie A,2024,Monza,Stefano Sensi,ITA,MF,29-249,1995,2.3,228,5,55,141,34,1,227,5,3,60.0,1,20.0,170,859,373,2,2,0,1,1,180,4,possession
ITA-Serie A,2024,Monza,Stefano Turati,ITA,GK,23-218,2001,26.7,1054,932,1048,6,0,0,1054,0,0,,0,,646,3167,1784,0,0,0,0,0,553,0,possession
ITA-Serie A,2024,Monza,Tomás Palacios,ARG,DF,21-348,2003,3.2,262,39,148,110,10,1,262,7,6,85.7,1,14.3,185,846,470,2,1,0,2,2,195,2,possession
ITA-Serie A,2024,Monza,Warren Bondo,FRA,MF,21-208,2003,18.0,741,27,179,440,140,7,741,40,20,50.0,12,30.0,511,3240,1464,25,19,2,20,30,521,21,possession
ITA-Serie A,2024,Napoli,Alessandro Buongiorno,ITA,DF,25-309,1999,20.7,1434,119,633,756,54,15,1434,5,1,20.0,3,60.0,874,4399,2672,25,7,1,12,7,1017,8,possession
ITA-Serie A,2024,Napoli,Alessio Zerbin,ITA,"FW,DF",26-039,1999,0.0,3,0,3,0,0,0,3,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,possession
ITA-Serie A,2024,Napoli,Alex Meret,ITA,GK,28-020,1997,26.4,964,758,959,5,0,0,964,0,0,,0,,570,2571,1449,0,0,0,1,0,558,0,possession
ITA-Serie A,2024,Napoli,Amir Rrahmani,KVX,DF,31-046,1994,30.8,2464,227,1071,1306,93,29,2464,3,2,66.7,1,33.3,1459,6991,3945,19,12,0,9,6,1746,1,possession
ITA-Serie A,2024,Napoli,Andre-Frank Zambo Anguissa,CMR,MF,29-146,1995,26.6,1513,47,252,884,395,61,1513,40,22,55.0,16,40.0,765,3488,1289,21,24,6,40,28,1095,99,possession
ITA-Serie A,2024,Napoli,Billy Gilmour,SCO,MF,23-304,2001,8.6,628,27,150,373,106,1,628,7,5,71.4,2,28.6,329,1346,649,9,7,0,7,5,475,8,possession
