nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
MAR,DF,26-032,1999,26.5,36,23,24,11,1,20,33,60.6,13,24,16,8,39,75,144,1,ESP-La Liga,2024,defense
ALG,"FW,MF",26-243,1998,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0,ESP-La Liga,2024,defense
ESP,GK,24-120,2000,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,ESP-La Liga,2024,defense
SRB,DF,33-119,1991,4.7,15,9,5,10,0,7,9,77.8,2,2,1,1,7,22,12,1,ESP-La Liga,2024,defense
ESP,MF,27-278,1997,17.0,38,23,16,21,1,18,41,43.9,23,18,5,13,10,48,39,1,ESP-La Liga,2024,defense
ESP,MF,24-262,2000,22.7,51,32,19,29,3,26,61,42.6,35,24,6,18,35,86,37,1,ESP-La Liga,2024,defense
ESP,GK,28-243,1996,24.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,15,0,ESP-La Liga,2024,defense
ESP,FW,27-193,1997,3.5,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,7,0,ESP-La Liga,2024,defense
ESP,"MF,FW",27-096,1998,5.8,13,8,5,4,4,4,9,44.4,5,5,0,5,0,13,1,0,ESP-La Liga,2024,defense
URU,MF,27-012,1998,3.8,7,5,3,3,1,1,4,25.0,3,3,1,2,8,15,9,1,ESP-La Liga,2024,defense
ESP,"FW,MF",22-354,2002,13.1,32,17,14,12,6,11,42,26.2,31,28,1,27,5,37,16,0,ESP-La Liga,2024,defense
ESP,"FW,MF",25-353,1999,26.4,33,23,21,7,5,19,44,43.2,25,23,2,21,11,44,26,0,ESP-La Liga,2024,defense
ARG,DF,25-218,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,ESP-La Liga,2024,defense
ESP,"DF,MF",22-100,2003,2.6,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0,ESP-La Liga,2024,defense
EQG,GK,24-041,2001,4.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,ESP-La Liga,2024,defense
ESP,MF,30-279,1994,12.7,24,14,9,12,3,11,23,47.8,12,10,0,10,8,32,17,0,ESP-La Liga,2024,defense
ESP,"MF,FW",30-042,1995,17.7,29,15,5,19,5,13,34,38.2,21,18,1,17,10,39,8,0,ESP-La Liga,2024,defense
