nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
CMR,"MF,FW",34,1989,8.0,402,10,55,152,201,55,402,39,23,59.0,13,33.3,219,1148,497,23,6,13,20,18,287,71,GER-Bundesliga,2023,possession
GER,DF,20,2003,0.6,60,4,20,23,17,1,60,1,0,0.0,1,100.0,38,220,108,0,1,0,1,2,42,7,GER-Bundesliga,2023,possession
ENG,FW,30,1993,31.5,995,19,69,395,541,180,990,59,24,40.7,30,50.8,634,3098,1287,36,25,14,45,45,782,164,GER-Bundesliga,2023,possession
GER,"MF,FW",20,2003,19.5,1090,5,86,409,630,132,1090,154,87,56.5,59,38.3,736,4982,2825,103,60,33,66,51,864,163,GER-Bundesliga,2023,possession
DEN,FW,17,2006,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,GER-Bundesliga,2023,possession
GER,"MF,DF",28,1995,24.2,2453,75,422,1282,762,23,2453,25,10,40.0,12,48.0,1478,8366,3739,56,66,4,19,16,1821,114,GER-Bundesliga,2023,possession
KOR,DF,26,1996,21.9,2352,279,1065,1233,64,19,2352,2,2,100.0,0,0.0,1354,6415,3524,14,10,0,5,5,1730,3,GER-Bundesliga,2023,possession
FRA,FW,27,1996,12.4,802,4,75,220,513,93,802,67,29,43.3,32,47.8,560,4124,2204,75,35,35,26,22,661,210,GER-Bundesliga,2023,possession
AUT,"DF,MF",26,1997,19.7,1671,37,315,893,482,49,1671,48,23,47.9,22,45.8,1008,5264,2893,62,56,17,27,17,1196,98,GER-Bundesliga,2023,possession
GER,MF,28,1995,24.9,2016,78,453,1148,435,61,2016,24,13,54.2,8,33.3,1141,6277,3520,66,56,1,14,14,1511,71,GER-Bundesliga,2023,possession
GER,FW,27,1996,23.7,1398,6,99,448,880,143,1398,167,93,55.7,65,38.9,936,7599,4060,121,85,44,63,42,1085,274,GER-Bundesliga,2023,possession
CRO,"FW,MF",18,2005,1.8,73,2,9,38,26,8,73,3,1,33.3,2,66.7,43,207,86,7,1,4,3,1,55,9,GER-Bundesliga,2023,possession
GER,GK,37,1986,22.8,920,701,893,26,1,1,920,1,1,100.0,0,0.0,572,3020,1842,0,0,0,1,0,579,0,GER-Bundesliga,2023,possession
FRA,"FW,MF",18,2005,11.7,589,7,62,210,333,80,589,67,37,55.2,29,43.3,415,3352,1376,45,22,31,37,33,447,122,GER-Bundesliga,2023,possession
SWE,FW,17,2005,0.2,19,0,9,6,4,0,19,1,0,0.0,1,100.0,9,30,11,0,0,0,1,0,12,1,GER-Bundesliga,2023,possession
NED,DF,23,1999,15.4,1330,118,490,768,75,21,1330,2,2,100.0,0,0.0,851,4373,2423,16,15,2,9,2,1022,6,GER-Bundesliga,2023,possession
MAR,DF,25,1997,13.3,1126,37,250,571,313,33,1126,24,12,50.0,11,45.8,639,2894,1600,34,23,7,13,6,781,79,GER-Bundesliga,2023,possession
POR,"DF,MF",29,1993,13.2,1118,21,230,485,408,43,1118,19,13,68.4,6,31.6,610,3190,1838,36,33,5,10,11,875,90,GER-Bundesliga,2023,possession
NED,FW,21,2002,0.1,7,0,0,3,4,2,7,1,1,100.0,0,0.0,3,16,9,0,0,0,0,0,5,3,GER-Bundesliga,2023,possession
FRA,DF,22,2000,1.2,85,4,28,34,24,3,85,6,2,33.3,3,50.0,42,226,98,1,1,0,2,0,52,8,GER-Bundesliga,2023,possession
GER,"FW,MF",28,1995,4.8,272,2,33,108,135,34,272,12,6,50.0,6,50.0,152,1082,577,23,9,12,11,3,210,49,GER-Bundesliga,2023,possession
GER,GK,34,1988,11.0,408,313,403,5,0,0,408,0,0,,0,,263,1032,472,0,0,0,0,0,255,0,GER-Bundesliga,2023,possession
GER,"MF,FW",33,1989,18.4,961,9,65,356,547,113,961,21,11,52.4,8,38.1,529,2454,1384,38,36,9,27,23,761,188,GER-Bundesliga,2023,possession
GER,GK,36,1987,1.0,50,29,50,0,0,0,50,0,0,,0,,31,117,48,0,0,0,0,0,30,0,GER-Bundesliga,2023,possession
FRA,MF,37,1986,28.6,1192,69,271,700,229,56,1192,23,10,43.5,13,56.5,431,1376,547,11,11,2,27,12,563,42,GER-Bundesliga,2023,possession
BRA,DF,28,1995,32.5,2103,200,761,1070,286,51,2103,23,12,52.2,9,39.1,796,3775,1777,26,23,1,32,16,923,38,GER-Bundesliga,2023,possession
GHA,"FW,MF",29,1994,13.5,614,10,74,170,378,51,614,35,7,20.0,24,68.6,318,2169,1071,50,22,17,31,24,380,138,GER-Bundesliga,2023,possession
CRC,DF,33,1989,13.2,603,38,189,305,117,1,603,12,5,41.7,4,33.3,276,1235,527,12,11,0,11,3,282,16,GER-Bundesliga,2023,possession
BRA,DF,31,1991,3.9,227,18,70,116,48,1,227,7,6,85.7,0,0.0,93,447,173,3,1,0,6,2,95,8,GER-Bundesliga,2023,possession
SRB,"DF,MF",24,1998,24.7,1012,101,421,495,104,28,1012,6,3,50.0,2,33.3,402,2105,967,15,11,0,15,6,459,10,GER-Bundesliga,2023,possession
GER,DF,25,1998,10.7,517,20,105,244,172,13,517,9,6,66.7,3,33.3,200,977,463,10,7,1,12,4,240,42,GER-Bundesliga,2023,possession
POR,"FW,MF",28,1994,7.2,301,8,22,140,141,37,301,27,12,44.4,14,51.9,177,670,289,9,6,3,29,27,227,50,GER-Bundesliga,2023,possession
UKR,DF,31,1992,20.9,936,159,458,398,84,57,936,1,0,0.0,0,0.0,302,1384,573,5,3,0,4,0,353,7,GER-Bundesliga,2023,possession
GER,DF,26,1997,24.3,1329,200,655,573,108,66,1329,8,6,75.0,2,25.0,580,2496,1414,9,4,2,12,0,635,15,GER-Bundesliga,2023,possession
AUT,MF,29,1993,29.6,2384,35,247,1287,878,55,2380,65,25,38.5,31,47.7,1195,6163,3142,81,72,8,45,40,1464,139,GER-Bundesliga,2023,possession
GER,"MF,FW",24,1998,6.0,251,2,23,97,136,24,251,22,12,54.5,8,36.4,140,741,318,11,11,3,15,8,164,37,GER-Bundesliga,2023,possession
GER,GK,34,1988,33.0,1820,1045,1649,172,5,0,1820,1,1,100.0,0,0.0,1108,6090,4104,0,1,0,2,0,919,0,GER-Bundesliga,2023,possession
SVK,"MF,FW",27,1995,18.5,737,49,142,352,254,33,737,19,4,21.1,14,73.7,334,1448,543,12,15,2,31,17,395,71,GER-Bundesliga,2023,possession
GER,"DF,FW",27,1995,11.9,642,30,146,284,216,18,642,24,10,41.7,9,37.5,278,1291,623,17,9,4,14,5,316,64,GER-Bundesliga,2023,possession
GER,FW,22,2000,13.9,399,9,24,141,238,58,399,31,11,35.5,19,61.3,222,1088,397,18,10,9,47,35,291,92,GER-Bundesliga,2023,possession
GHA,FW,25,1998,3.1,153,0,14,65,76,15,153,18,7,38.9,8,44.4,95,637,250,8,6,3,15,5,99,24,GER-Bundesliga,2023,possession
SUI,DF,26,1997,3.8,177,18,76,83,19,4,177,1,1,100.0,0,0.0,74,309,119,1,1,0,3,0,69,3,GER-Bundesliga,2023,possession
GER,MF,23,2000,20.7,1081,58,252,592,251,29,1081,38,17,44.7,19,50.0,547,2899,1232,26,16,3,33,17,603,65,GER-Bundesliga,2023,possession
GER,"MF,FW",28,1995,4.3,250,2,24,114,114,9,250,4,1,25.0,1,25.0,125,660,276,7,10,1,9,7,149,19,GER-Bundesliga,2023,possession
GER,FW,30,1993,17.5,581,16,45,282,257,84,581,15,9,60.0,6,40.0,256,907,208,7,6,2,43,14,435,86,GER-Bundesliga,2023,possession
GER,"FW,MF",32,1991,0.5,10,1,1,8,1,0,10,0,0,,0,,2,9,0,0,0,0,1,0,6,0,GER-Bundesliga,2023,possession
JPN,"FW,MF",28,1994,22.1,636,17,71,218,363,95,636,37,16,43.2,18,48.6,378,2790,1280,56,27,28,47,33,428,167,GER-Bundesliga,2023,possession
GER,DF,19,2003,7.9,356,41,115,176,71,2,356,10,5,50.0,5,50.0,120,741,346,6,9,2,10,5,128,7,GER-Bundesliga,2023,possession
GER,FW,27,1996,6.9,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,GER-Bundesliga,2023,possession
GER,GK,28,1995,3.0,155,94,150,5,0,0,155,0,0,,0,,89,394,226,0,0,0,0,0,75,0,GER-Bundesliga,2023,possession
GER,MF,23,2000,3.9,208,6,51,126,34,1,208,2,0,0.0,2,100.0,98,506,189,3,4,0,4,2,131,7,GER-Bundesliga,2023,possession
ISR,MF,17,2005,0.1,5,0,0,2,3,0,5,0,0,,0,,2,16,9,0,1,0,0,0,4,2,GER-Bundesliga,2023,possession
CRO,MF,23,2000,13.7,689,44,214,410,72,7,689,13,7,53.8,6,46.2,327,1782,841,13,8,1,13,8,418,14,GER-Bundesliga,2023,possession
GHA,MF,26,1997,1.9,56,1,9,24,24,4,56,9,4,44.4,5,55.6,34,203,120,5,0,1,2,1,37,9,GER-Bundesliga,2023,possession
AUT,DF,23,2000,26.2,1440,183,768,590,88,32,1440,7,6,85.7,1,14.3,786,3453,1776,9,7,2,6,6,988,11,GER-Bundesliga,2023,possession
GER,DF,30,1993,13.6,728,104,411,299,25,9,728,3,2,66.7,1,33.3,341,1815,938,7,4,0,7,2,403,1,GER-Bundesliga,2023,possession
GER,DF,20,2003,8.4,667,49,261,339,73,6,667,8,4,50.0,4,50.0,424,2084,1146,4,10,0,3,2,460,27,GER-Bundesliga,2023,possession
AUT,DF,26,1997,19.8,1407,69,389,689,344,14,1407,29,18,62.1,10,34.5,697,3756,2268,56,32,1,20,10,869,85,GER-Bundesliga,2023,possession
GER,"MF,DF",33,1990,20.4,1111,54,291,619,209,18,1111,15,8,53.3,6,40.0,585,2669,1313,11,12,1,22,9,692,47,GER-Bundesliga,2023,possession
BUL,"DF,MF",24,1999,16.8,1043,28,237,479,332,26,1043,33,18,54.5,15,45.5,584,3317,1546,35,26,7,15,14,670,91,GER-Bundesliga,2023,possession
GER,MF,29,1994,2.6,196,6,41,110,47,2,196,2,1,50.0,1,50.0,101,569,302,6,4,0,2,2,133,9,GER-Bundesliga,2023,possession
ITA,"FW,DF",18,2005,1.7,48,1,5,23,20,3,48,3,1,33.3,2,66.7,28,152,68,2,0,0,8,3,32,8,GER-Bundesliga,2023,possession
SUI,"FW,MF",23,2000,1.7,35,1,2,12,21,8,35,3,1,33.3,1,33.3,24,156,99,4,2,4,4,0,25,10,GER-Bundesliga,2023,possession
GER,"DF,MF",26,1997,0.8,56,5,14,27,16,0,56,3,0,0.0,1,33.3,33,190,117,3,2,0,1,2,39,4,GER-Bundesliga,2023,possession
SCO,"FW,MF",23,1999,2.4,91,5,8,34,51,18,91,4,1,25.0,3,75.0,38,234,125,7,3,4,4,4,57,7,GER-Bundesliga,2023,possession
PHI,"MF,FW",28,1995,4.4,224,7,37,92,101,11,224,15,7,46.7,6,40.0,109,850,441,13,11,8,15,13,134,20,GER-Bundesliga,2023,possession
GER,"DF,MF",29,1994,12.6,687,61,332,312,51,5,687,4,2,50.0,2,50.0,314,1546,807,8,5,0,10,3,369,7,GER-Bundesliga,2023,possession
GER,"MF,FW",25,1998,11.4,517,15,75,259,191,20,517,37,16,43.2,19,51.4,291,1675,827,20,19,5,15,10,338,50,GER-Bundesliga,2023,possession
ALB,"DF,MF",33,1989,15.1,921,81,379,465,78,12,921,5,3,60.0,2,40.0,462,2524,1196,8,8,0,7,6,560,7,GER-Bundesliga,2023,possession
