league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ESP-La Liga,2024,Athletic Club,Alex Padilla,ESP,GK,21-222,2003.0,3.6,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,100.0,misc
ESP-La Liga,2024,Athletic Club,Ander Herrera,ESP,MF,35-240,1989.0,3.0,2,0,0,6,3,0,1,2,4,0,0,0,14,3,2,60.0,misc
ESP-La Liga,2024,Athletic Club,Andoni Gorosabel,ESP,DF,28-250,1996.0,12.6,4,0,0,19,3,1,36,13,16,0,0,0,47,12,17,41.4,misc
ESP-La Liga,2024,Athletic Club,Beñat Prados,ESP,MF,24-062,2001.0,15.4,6,0,0,27,13,0,8,23,23,0,0,0,73,27,19,58.7,misc
ESP-La Liga,2024,Athletic Club,Daniel Vivian,ESP,DF,25-270,1999.0,22.6,2,0,0,25,14,1,7,32,22,0,0,0,138,31,25,55.4,misc
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2024,Athletic Club,Gorka Guruzeta,ESP,FW,28-211,1996.0,16.2,2,0,0,34,20,5,2,6,6,0,0,0,47,31,59,34.4,misc
ESP-La Liga,2024,Athletic Club,Iñaki Williams,GHA,"FW,MF",30-300,1994.0,26.7,0,0,0,20,36,14,110,12,10,1,0,0,77,27,20,57.4,misc
ESP-La Liga,2024,Athletic Club,Iñigo Lekue,ESP,DF,31-342,1993.0,6.3,1,0,0,4,2,0,12,5,8,0,0,0,26,5,2,71.4,misc
ESP-La Liga,2024,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31-248,1993.0,11.9,5,0,0,27,13,0,23,10,20,0,0,0,92,3,8,27.3,misc
ESP-La Liga,2024,Athletic Club,Javi Martón,ESP,"FW,MF",25-340,1999.0,0.6,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,66.7,misc
ESP-La Liga,2024,Athletic Club,Julen Agirrezabala,ESP,GK,24-106,2000.0,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,misc
ESP-La Liga,2024,Athletic Club,Maroan Sannadi,ESP,FW,24-069,2001.0,3.6,0,0,0,9,15,2,1,0,0,0,0,0,7,5,7,41.7,misc
ESP-La Liga,2024,Athletic Club,Mikel Jauregizar,ESP,MF,21-150,2003.0,19.5,4,1,0,38,34,0,24,23,39,1,0,0,113,22,31,41.5,misc
ESP-La Liga,2024,Athletic Club,Mikel Vesga,ESP,MF,31-325,1993.0,8.6,1,0,0,10,2,0,6,11,12,0,0,0,52,16,10,61.5,misc
ESP-La Liga,2024,Athletic Club,Nico Williams,ESP,FW,22-273,2002.0,20.8,1,0,0,15,34,8,106,6,17,0,0,0,83,11,16,40.7,misc
ESP-La Liga,2024,Athletic Club,Nicolás Serrano,ESP,FW,22-037,2003.0,1.2,0,0,0,2,2,0,13,1,1,0,0,0,3,0,2,0.0,misc
ESP-La Liga,2024,Athletic Club,Oihan Sancet,ESP,MF,24-351,2000.0,15.3,2,0,0,12,18,3,17,5,6,0,0,0,59,9,11,45.0,misc
ESP-La Liga,2024,Athletic Club,Peio Canales,ESP,"MF,FW",20-084,2005.0,1.4,0,0,0,0,1,1,6,2,2,0,0,0,10,0,2,0.0,misc
ESP-La Liga,2024,Athletic Club,Unai Gómez,ESP,"MF,FW",21-321,2003.0,10.1,1,0,0,10,13,0,17,2,3,0,0,0,27,24,22,52.2,misc
ESP-La Liga,2024,Athletic Club,Unai Núñez,ESP,DF,28-071,1997.0,5.5,3,0,0,7,4,0,0,17,3,0,0,0,25,13,11,54.2,misc
ESP-La Liga,2024,Athletic Club,Unai Simón,ESP,GK,27-304,1997.0,13.0,0,0,0,0,2,0,0,1,0,0,0,0,20,5,0,100.0,misc
ESP-La Liga,2024,Athletic Club,Yeray Álvarez,ESP,DF,30-077,1995.0,16.8,4,0,0,12,14,0,3,32,13,0,0,0,70,36,28,56.3,misc
ESP-La Liga,2024,Athletic Club,Yuri Berchiche,ESP,DF,35-060,1990.0,17.7,3,0,0,13,15,3,37,17,18,0,0,0,92,18,16,52.9,misc
ESP-La Liga,2024,Athletic Club,Álex Berenguer,ESP,"FW,MF",29-281,1995.0,19.8,4,0,0,25,23,4,138,8,11,2,0,0,83,22,40,35.5,misc
ESP-La Liga,2024,Athletic Club,Álvaro djaló,ESP,FW,25-238,1999.0,5.1,0,0,0,13,9,4,6,1,4,0,0,0,16,6,12,33.3,misc
ESP-La Liga,2024,Athletic Club,Óscar de Marcos,ESP,DF,35-362,1989.0,14.3,0,0,0,11,5,0,46,14,13,0,0,0,77,6,12,33.3,misc
ESP-La Liga,2024,Atlético Madrid,Adrian Niño,ESP,FW,20-296,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
ESP-La Liga,2024,Atlético Madrid,Alexander Sørloth,NOR,FW,29-127,1995.0,12.6,4,0,0,20,12,4,3,1,2,0,0,0,35,76,39,66.1,misc
ESP-La Liga,2024,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34-021,1991.0,24.0,2,0,0,11,24,14,131,6,16,0,0,0,78,18,19,48.6,misc
ESP-La Liga,2024,Atlético Madrid,Axel Witsel,BEL,DF,36-089,1989.0,8.5,1,0,0,4,3,1,0,9,12,0,0,0,30,23,14,62.2,misc
ESP-La Liga,2024,Atlético Madrid,Clément Lenglet,FRA,DF,29-298,1995.0,17.3,8,0,0,22,17,2,2,18,11,0,1,0,62,27,35,43.5,misc
ESP-La Liga,2024,Atlético Madrid,Conor Gallagher,ENG,MF,25-064,2000.0,14.2,2,0,0,20,35,1,9,15,28,1,0,0,83,8,17,32.0,misc
ESP-La Liga,2024,Atlético Madrid,César Azpilicueta,ESP,DF,35-226,1989.0,7.8,0,0,0,7,5,2,3,2,12,0,0,0,21,10,10,50.0,misc
ESP-La Liga,2024,Atlético Madrid,Giuliano Simeone,ARG,"MF,DF",22-114,2002.0,15.8,4,0,0,16,30,7,35,10,9,0,0,0,66,10,22,31.3,misc
ESP-La Liga,2024,Atlético Madrid,Jan Oblak,SVN,GK,32-094,1993.0,29.0,0,0,0,0,2,0,0,0,0,0,0,0,22,2,0,100.0,misc
ESP-La Liga,2024,Atlético Madrid,Javi Galán,ESP,DF,30-143,1994.0,13.7,7,0,0,29,24,1,37,7,23,0,1,0,50,19,16,54.3,misc
ESP-La Liga,2024,Atlético Madrid,José María Giménez,URU,DF,30-081,1995.0,18.2,5,0,0,10,10,0,0,22,13,0,0,1,64,31,30,50.8,misc
ESP-La Liga,2024,Atlético Madrid,Juan Musso,ARG,GK,30-340,1994.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2024,Atlético Madrid,Julián Álvarez,ARG,"FW,MF",25-070,2000.0,21.5,4,0,0,24,6,7,43,0,14,0,0,0,59,13,28,31.7,misc
ESP-La Liga,2024,Atlético Madrid,Koke,ESP,MF,33-093,1992.0,16.3,4,0,0,19,10,0,11,17,21,0,0,1,100,8,9,47.1,misc
ESP-La Liga,2024,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30-071,1995.0,19.9,0,1,0,13,16,2,43,20,40,0,0,0,91,12,13,48.0,misc
ESP-La Liga,2024,Atlético Madrid,Nahuel Molina,ARG,DF,27-005,1998.0,15.3,0,0,0,10,5,1,48,11,16,0,0,0,52,9,12,42.9,misc
ESP-La Liga,2024,Atlético Madrid,Pablo Barrios,ESP,MF,21-300,2003.0,20.8,4,1,0,23,21,0,20,30,20,0,0,0,109,27,16,62.8,misc
ESP-La Liga,2024,Atlético Madrid,Reinildo Mandava,MOZ,DF,31-080,1994.0,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7,misc
ESP-La Liga,2024,Atlético Madrid,Robin Le Normand,ESP,DF,28-151,1996.0,17.6,8,0,0,31,16,3,1,8,13,0,1,0,54,40,28,58.8,misc
ESP-La Liga,2024,Atlético Madrid,Rodrigo De Paul,ARG,MF,30-322,1994.0,18.0,6,0,0,14,29,0,49,5,17,0,0,0,98,4,6,40.0,misc
ESP-La Liga,2024,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",25-009,2000.0,5.0,0,0,0,7,8,4,28,1,4,0,0,0,17,3,3,50.0,misc
ESP-La Liga,2024,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25-109,1999.0,13.9,3,0,0,12,26,2,30,7,12,1,0,0,72,11,11,50.0,misc
ESP-La Liga,2024,Atlético Madrid,Thomas Lemar,FRA,MF,29-150,1995.0,0.5,0,0,0,1,2,0,2,0,1,0,0,0,2,0,1,0.0,misc
ESP-La Liga,2024,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30-033,1995.0,7.7,3,1,0,14,10,4,18,4,1,0,0,0,34,1,7,12.5,misc
