nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ESP,FW,24-069,2001,3.6,0,0,0,9,15,2,1,0,0,0,0,0,7,5,7,41.7,ESP-La Liga,2024,misc
ESP,MF,21-150,2003,19.5,4,1,0,38,34,0,24,23,39,1,0,0,113,22,31,41.5,ESP-La Liga,2024,misc
ESP,MF,31-325,1993,8.6,1,0,0,10,2,0,6,11,12,0,0,0,52,16,10,61.5,ESP-La Liga,2024,misc
ESP,FW,22-273,2002,20.8,1,0,0,15,34,8,106,6,17,0,0,0,83,11,16,40.7,ESP-La Liga,2024,misc
ESP,FW,22-037,2003,1.2,0,0,0,2,2,0,13,1,1,0,0,0,3,0,2,0.0,ESP-La Liga,2024,misc
ESP,MF,24-351,2000,15.3,2,0,0,12,18,3,17,5,6,0,0,0,59,9,11,45.0,ESP-La Liga,2024,misc
ESP,"MF,FW",20-084,2005,1.4,0,0,0,0,1,1,6,2,2,0,0,0,10,0,2,0.0,ESP-La Liga,2024,misc
ESP,"MF,FW",21-321,2003,10.1,1,0,0,10,13,0,17,2,3,0,0,0,27,24,22,52.2,ESP-La Liga,2024,misc
ESP,DF,28-071,1997,5.5,3,0,0,7,4,0,0,17,3,0,0,0,25,13,11,54.2,ESP-La Liga,2024,misc
ESP,GK,27-304,1997,13.0,0,0,0,0,2,0,0,1,0,0,0,0,20,5,0,100.0,ESP-La Liga,2024,misc
ESP,DF,30-077,1995,16.8,4,0,0,12,14,0,3,32,13,0,0,0,70,36,28,56.3,ESP-La Liga,2024,misc
ESP,DF,35-060,1990,17.7,3,0,0,13,15,3,37,17,18,0,0,0,92,18,16,52.9,ESP-La Liga,2024,misc
ESP,"FW,MF",29-281,1995,19.8,4,0,0,25,23,4,138,8,11,2,0,0,83,22,40,35.5,ESP-La Liga,2024,misc
ESP,FW,25-238,1999,5.1,0,0,0,13,9,4,6,1,4,0,0,0,16,6,12,33.3,ESP-La Liga,2024,misc
ESP,DF,35-362,1989,14.3,0,0,0,11,5,0,46,14,13,0,0,0,77,6,12,33.3,ESP-La Liga,2024,misc
ESP,FW,20-296,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,ESP-La Liga,2024,misc
NOR,FW,29-127,1995,12.6,4,0,0,20,12,4,3,1,2,0,0,0,35,76,39,66.1,ESP-La Liga,2024,misc
FRA,"FW,MF",34-021,1991,24.0,2,0,0,11,24,14,131,6,16,0,0,0,78,18,19,48.6,ESP-La Liga,2024,misc
BEL,DF,36-089,1989,8.5,1,0,0,4,3,1,0,9,12,0,0,0,30,23,14,62.2,ESP-La Liga,2024,misc
FRA,DF,29-298,1995,17.3,8,0,0,22,17,2,2,18,11,0,1,0,62,27,35,43.5,ESP-La Liga,2024,misc
ENG,MF,25-064,2000,14.2,2,0,0,20,35,1,9,15,28,1,0,0,83,8,17,32.0,ESP-La Liga,2024,misc
ESP,DF,35-226,1989,7.8,0,0,0,7,5,2,3,2,12,0,0,0,21,10,10,50.0,ESP-La Liga,2024,misc
ARG,"MF,DF",22-114,2002,15.8,4,0,0,16,30,7,35,10,9,0,0,0,66,10,22,31.3,ESP-La Liga,2024,misc
SVN,GK,32-094,1993,29.0,0,0,0,0,2,0,0,0,0,0,0,0,22,2,0,100.0,ESP-La Liga,2024,misc
ESP,DF,30-143,1994,13.7,7,0,0,29,24,1,37,7,23,0,1,0,50,19,16,54.3,ESP-La Liga,2024,misc
URU,DF,30-081,1995,18.2,5,0,0,10,10,0,0,22,13,0,0,1,64,31,30,50.8,ESP-La Liga,2024,misc
ARG,GK,30-340,1994,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,ESP-La Liga,2024,misc
ARG,"FW,MF",25-070,2000,21.5,4,0,0,24,6,7,43,0,14,0,0,0,59,13,28,31.7,ESP-La Liga,2024,misc
ESP,MF,33-093,1992,16.3,4,0,0,19,10,0,11,17,21,0,0,1,100,8,9,47.1,ESP-La Liga,2024,misc
ESP,"DF,MF",30-071,1995,19.9,0,1,0,13,16,2,43,20,40,0,0,0,91,12,13,48.0,ESP-La Liga,2024,misc
ARG,DF,27-005,1998,15.3,0,0,0,10,5,1,48,11,16,0,0,0,52,9,12,42.9,ESP-La Liga,2024,misc
ESP,MF,21-300,2003,20.8,4,1,0,23,21,0,20,30,20,0,0,0,109,27,16,62.8,ESP-La Liga,2024,misc
MOZ,DF,31-080,1994,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7,ESP-La Liga,2024,misc
ESP,DF,28-151,1996,17.6,8,0,0,31,16,3,1,8,13,0,1,0,54,40,28,58.8,ESP-La Liga,2024,misc
ARG,MF,30-322,1994,18.0,6,0,0,14,29,0,49,5,17,0,0,0,98,4,6,40.0,ESP-La Liga,2024,misc
ESP,"DF,MF",25-009,2000,5.0,0,0,0,7,8,4,28,1,4,0,0,0,17,3,3,50.0,ESP-La Liga,2024,misc
BRA,"MF,DF",25-109,1999,13.9,3,0,0,12,26,2,30,7,12,1,0,0,72,11,11,50.0,ESP-La Liga,2024,misc
FRA,MF,29-150,1995,0.5,0,0,0,1,2,0,2,0,1,0,0,0,2,0,1,0.0,ESP-La Liga,2024,misc
ARG,"FW,MF",30-033,1995,7.7,3,1,0,14,10,4,18,4,1,0,0,0,34,1,7,12.5,ESP-La Liga,2024,misc
ESP,DF,21-175,2003,22.7,2,0,0,14,35,0,65,5,10,0,0,0,107,14,8,63.6,ESP-La Liga,2024,misc
DEN,DF,29-001,1996,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,ESP-La Liga,2024,misc
ESP,FW,22-162,2002,1.4,1,0,0,1,2,1,0,0,1,0,0,0,4,1,4,20.0,ESP-La Liga,2024,misc
