nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ESP,"MF,FW",30,1990,4.0,0,0,0,0,3,0,30,0,2,0,0,0,27,1,5,16.7,ITA-Serie A,2020,misc
POL,DF,32,1988,35.6,10,1,1,32,21,0,1,62,24,0,0,1,137,87,55,61.3,ITA-Serie A,2020,misc
ITA,MF,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ITA-Serie A,2020,misc
ITA,GK,24,1996,37.0,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,81.8,ITA-Serie A,2020,misc
ITA,DF,29,1991,17.5,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,51.0,ITA-Serie A,2020,misc
ITA,"MF,FW",32,1987,8.7,1,1,0,8,19,1,40,5,2,1,0,0,37,1,16,5.9,ITA-Serie A,2020,misc
ITA,GK,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,ITA-Serie A,2020,misc
ITA,MF,30,1989,11.5,1,0,0,14,23,0,47,9,9,0,0,0,64,6,11,35.3,ITA-Serie A,2020,misc
ITA,MF,33,1987,25.0,13,1,0,36,54,1,6,32,22,0,0,0,172,12,8,60.0,ITA-Serie A,2020,misc
FIN,MF,33,1986,24.6,5,0,0,41,78,1,43,22,27,0,0,0,158,14,28,33.3,ITA-Serie A,2020,misc
ITA,"DF,MF",26,1993,25.9,7,0,0,23,55,2,77,28,23,0,0,1,121,49,49,50.0,ITA-Serie A,2020,misc
ITA,"MF,FW",26,1994,17.8,2,0,0,13,15,3,47,7,10,0,0,0,79,5,19,20.8,ITA-Serie A,2020,misc
CIV,MF,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ITA-Serie A,2020,misc
SCO,DF,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,ITA-Serie A,2020,misc
FRA,DF,28,1992,19.5,4,0,0,33,19,0,0,20,14,0,3,0,111,60,15,80.0,ITA-Serie A,2020,misc
ITA,MF,30,1989,4.3,1,0,0,5,7,0,2,7,7,0,0,1,27,0,7,0.0,ITA-Serie A,2020,misc
DEN,"FW,DF",20,1999,13.1,1,0,0,12,12,2,66,3,10,0,0,0,58,9,10,47.4,ITA-Serie A,2020,misc
ISL,MF,18,2002,2.4,2,0,0,7,3,1,0,3,6,0,0,0,8,3,6,33.3,ITA-Serie A,2020,misc
BRA,GK,36,1983,6.0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,ITA-Serie A,2020,misc
ITA,FW,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,ITA-Serie A,2020,misc
ITA,"DF,FW",24,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,ITA-Serie A,2020,misc
BRA,DF,36,1984,34.8,8,0,0,38,15,1,2,51,24,0,2,0,168,79,74,51.6,ITA-Serie A,2020,misc
ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ITA-Serie A,2020,misc
ITA,"FW,MF",19,2000,13.4,4,0,0,13,12,2,61,10,9,0,0,0,83,3,15,16.7,ITA-Serie A,2020,misc
ITA,GK,20,1999,4.0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,,ITA-Serie A,2020,misc
PAR,FW,29,1991,0.4,0,0,0,2,2,0,0,0,0,0,0,0,1,4,3,57.1,ITA-Serie A,2020,misc
CHI,"DF,MF",32,1987,5.7,1,0,0,5,10,0,0,7,9,0,0,0,43,7,6,53.8,ITA-Serie A,2020,misc
SEN,DF,25,1994,4.8,2,0,0,3,5,1,2,1,5,0,0,0,26,12,11,52.2,ITA-Serie A,2020,misc
NED,MF,23,1997,27.9,8,1,0,48,24,1,9,79,25,0,1,0,249,34,30,53.1,ITA-Serie A,2020,misc
POL,FW,15,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ITA-Serie A,2020,misc
ITA,DF,32,1988,23.8,4,0,0,42,18,1,43,30,24,0,0,0,97,49,35,58.3,ITA-Serie A,2020,misc
ITA,MF,18,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,ITA-Serie A,2020,misc
SWE,MF,21,1999,20.6,8,1,1,46,44,0,6,30,17,0,0,0,109,20,16,55.6,ITA-Serie A,2020,misc
NED,DF,27,1993,16.5,7,1,1,32,15,1,37,17,14,0,1,0,85,13,14,48.1,ITA-Serie A,2020,misc
GAM,"FW,MF",21,1998,32.5,0,0,0,17,32,11,138,11,10,0,0,0,110,23,73,24.0,ITA-Serie A,2020,misc
GAM,"MF,DF",18,2001,0.5,1,0,0,1,2,0,5,0,2,0,0,0,2,0,0,,ITA-Serie A,2020,misc
ARG,DF,27,1993,4.0,0,0,0,3,2,0,0,11,4,0,0,0,21,21,3,87.5,ITA-Serie A,2020,misc
ITA,"FW,MF",28,1991,13.0,2,0,0,23,40,3,49,9,11,0,0,0,68,5,24,17.2,ITA-Serie A,2020,misc
ARG,MF,22,1998,13.9,8,0,0,23,15,1,11,24,28,0,1,0,113,20,22,47.6,ITA-Serie A,2020,misc
ITA,DF,18,2001,0.3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,ITA-Serie A,2020,misc
ITA,DF,27,1993,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,ITA-Serie A,2020,misc
ITA,"FW,MF",23,1997,19.5,0,0,0,21,44,7,100,10,18,0,1,0,83,25,25,50.0,ITA-Serie A,2020,misc
ITA,MF,29,1991,36.1,5,0,0,75,49,3,34,18,26,2,0,0,184,34,58,37.0,ITA-Serie A,2020,misc
ARG,FW,38,1982,27.8,5,0,0,39,72,35,72,7,6,1,0,0,85,33,66,33.3,ITA-Serie A,2020,misc
