nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
RUS,"MF,FW",24,1995,25,4,675,7.5,4,2,6,4,0,0,0,0,1.2,1.2,1.7,2.9,26,47,68,0.53,0.27,0.8,0.53,0.8,0.16,0.22,0.39,0.16,0.39,ITA-Serie A,2021,standard
CIV,MF,18,2002,1,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.19,0.33,0.52,0.19,0.52,ITA-Serie A,2021,standard
ALB,DF,27,1993,33,28,2625,29.2,0,3,3,0,0,0,8,0,1.7,1.7,2.3,4.1,42,150,51,0.0,0.1,0.1,0.0,0.1,0.06,0.08,0.14,0.06,0.14,ITA-Serie A,2021,standard
CRO,DF,20,2000,7,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,ITA-Serie A,2021,standard
ARG,DF,22,1998,31,29,2545,28.3,2,2,4,2,0,0,10,0,1.3,1.3,0.8,2.1,26,71,8,0.07,0.07,0.14,0.07,0.14,0.05,0.03,0.07,0.05,0.07,ITA-Serie A,2021,standard
ITA,DF,27,1992,1,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,ITA-Serie A,2021,standard
ITA,DF,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA-Serie A,2021,standard
COL,FW,29,1991,37,29,2379,26.4,15,9,24,14,1,1,0,0,15.2,14.4,5.4,19.7,88,48,329,0.57,0.34,0.91,0.53,0.87,0.57,0.2,0.78,0.54,0.75,ITA-Serie A,2021,standard
ITA,DF,23,1997,5,3,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,ITA-Serie A,2021,standard
NED,DF,26,1994,22,20,1762,19.6,2,1,3,2,0,0,3,0,3.2,3.2,1.8,5.0,41,78,159,0.1,0.05,0.15,0.1,0.15,0.16,0.09,0.25,0.16,0.25,ITA-Serie A,2021,standard
DEN,DF,23,1997,20,12,1216,13.5,0,2,2,0,0,0,0,0,1.6,1.6,1.4,3.0,35,63,97,0.0,0.15,0.15,0.0,0.15,0.12,0.11,0.22,0.12,0.22,ITA-Serie A,2021,standard
COL,DF,27,1992,11,3,299,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,14,13,36,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,ITA-Serie A,2021,standard
SVN,"MF,FW",32,1988,28,17,1526,17.0,6,9,15,4,2,2,2,0,4.9,3.3,10.2,13.5,88,144,194,0.35,0.53,0.88,0.24,0.77,0.29,0.6,0.89,0.2,0.8,ITA-Serie A,2021,standard
ARG,DF,30,1990,36,25,2428,27.0,1,2,3,1,0,0,3,0,0.3,0.3,0.8,1.1,16,136,14,0.04,0.07,0.11,0.04,0.11,0.01,0.03,0.04,0.01,0.04,ITA-Serie A,2021,standard
COL,FW,29,1991,36,16,1436,16.0,22,7,29,20,2,3,0,0,15.5,13.1,4.5,17.7,70,83,218,1.38,0.44,1.82,1.25,1.69,0.97,0.28,1.25,0.82,1.11,ITA-Serie A,2021,standard
