league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ESP-La Liga,2021,Valladolid,Jota,POR,"MF,FW",21,1999,7.4,147,211,69.7,2183,355,86,106,81.1,45,59,76.3,10,26,38.5,0,0.4,0.4,-0.4,2,5,1,0,14,passing
ESP-La Liga,2021,Valladolid,Kenan Kodro,BIH,"FW,MF",26,1993,5.1,76,117,65.0,1091,164,46,64,71.9,17,29,58.6,7,7,100.0,0,0.2,0.1,-0.2,4,5,0,0,4,passing
ESP-La Liga,2021,Valladolid,Kike Pérez,ESP,MF,23,1997,12.9,422,529,79.8,7012,1890,207,243,85.2,147,166,88.6,41,65,63.1,0,0.9,0.9,-0.9,12,46,11,1,63,passing
ESP-La Liga,2021,Valladolid,Kiko Olivas,ESP,DF,31,1988,2.0,89,105,84.8,1570,689,41,45,91.1,36,38,94.7,10,16,62.5,0,0.0,0.0,0.0,0,4,0,0,6,passing
ESP-La Liga,2021,Valladolid,Kuki,ESP,MF,22,1998,0.3,6,9,66.7,91,26,3,5,60.0,3,3,100.0,0,1,0.0,1,0.0,0.0,1.0,1,0,0,0,1,passing
ESP-La Liga,2021,Valladolid,Lucas Olaza,URU,DF,26,1994,14.0,493,701,70.3,8241,3906,245,284,86.3,195,268,72.8,42,111,37.8,1,1.2,1.3,-0.2,14,34,14,8,47,passing
ESP-La Liga,2021,Valladolid,Luis Pérez,ESP,DF,25,1995,14.4,434,637,68.1,6836,3058,235,277,84.8,151,213,70.9,33,96,34.4,0,0.4,0.6,-0.4,8,31,9,8,39,passing
ESP-La Liga,2021,Valladolid,Marcos André,BRA,FW,23,1996,13.1,114,199,57.3,1687,369,63,101,62.4,30,50,60.0,9,16,56.3,1,0.7,0.3,0.3,6,10,0,0,15,passing
ESP-La Liga,2021,Valladolid,Miguel Ángel Rubio,ESP,DF,22,1998,1.5,39,54,72.2,847,440,14,15,93.3,17,22,77.3,8,16,50.0,0,0.0,0.0,0.0,0,4,0,0,3,passing
ESP-La Liga,2021,Valladolid,Míchel,ESP,MF,32,1988,10.5,551,694,79.4,9902,2864,247,268,92.2,208,252,82.5,76,133,57.1,0,0.6,1.0,-0.6,11,54,4,1,65,passing
ESP-La Liga,2021,Valladolid,Nacho,ESP,DF,31,1989,20.1,736,1050,70.1,12799,5631,342,393,87.0,302,389,77.6,73,200,36.5,1,1.4,1.7,-0.4,22,65,17,10,80,passing
ESP-La Liga,2021,Valladolid,Oriol Rey,ESP,MF,22,1998,0.2,10,12,83.3,211,58,3,4,75.0,5,5,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3,passing
ESP-La Liga,2021,Valladolid,Pablo Hervías,ESP,"DF,MF",27,1993,13.4,549,737,74.5,8890,3139,280,309,90.6,198,259,76.4,50,119,42.0,5,4.0,3.8,1.0,30,38,21,16,53,passing
ESP-La Liga,2021,Valladolid,Raúl García,ESP,"DF,MF",31,1989,5.6,199,290,68.6,3061,1446,113,135,83.7,68,98,69.4,14,36,38.9,0,0.4,0.5,-0.4,5,13,4,2,21,passing
ESP-La Liga,2021,Valladolid,Roberto,ESP,GK,34,1986,13.0,203,415,48.9,7881,6585,18,18,100.0,73,74,98.6,112,321,34.9,0,0.0,0.0,0.0,0,8,0,0,0,passing
ESP-La Liga,2021,Valladolid,Roque Mesa,ESP,MF,31,1989,19.6,713,927,76.9,12780,3723,318,352,90.3,292,357,81.8,83,159,52.2,0,0.8,1.7,-0.8,16,100,18,5,106,passing
ESP-La Liga,2021,Valladolid,Rubén Alcaraz,ESP,MF,29,1991,24.1,930,1131,82.2,18393,5237,384,433,88.7,371,404,91.8,157,237,66.2,0,0.5,0.9,-0.5,9,100,11,3,107,passing
ESP-La Liga,2021,Valladolid,Saidy Janko,GAM,DF,24,1995,13.6,436,598,72.9,6728,2484,236,275,85.8,153,197,77.7,32,78,41.0,1,0.5,1.0,0.5,9,29,12,8,33,passing
ESP-La Liga,2021,Valladolid,Sergi Guardiola,ESP,FW,29,1991,19.9,343,532,64.5,4691,1003,219,303,72.3,66,101,65.3,28,47,59.6,2,2.0,1.8,0.0,11,19,9,3,34,passing
ESP-La Liga,2021,Valladolid,Sergio Benito,ESP,FW,21,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2021,Valladolid,Shon Weissman,ISR,FW,24,1996,23.7,246,340,72.4,2857,428,164,199,82.4,50,68,73.5,6,7,85.7,1,2.6,1.3,-1.6,19,4,11,0,22,passing
ESP-La Liga,2021,Valladolid,Toni Villa,ESP,"MF,FW",25,1995,10.8,272,380,71.6,4222,1486,144,173,83.2,88,117,75.2,25,45,55.6,0,1.1,1.1,-1.1,13,22,13,7,54,passing
ESP-La Liga,2021,Valladolid,Waldo Rubio,ESP,"FW,MF",24,1995,4.2,78,122,63.9,1435,500,38,48,79.2,27,37,73.0,11,19,57.9,0,0.1,0.3,-0.1,1,12,3,0,12,passing
ESP-La Liga,2021,Valladolid,Óscar Plano,ESP,"MF,FW",29,1991,28.0,606,830,73.0,8892,2504,343,422,81.3,191,249,76.7,42,80,52.5,5,2.1,1.8,2.9,25,68,16,4,77,passing
ESP-La Liga,2021,Villarreal,Alberto Moreno,ESP,DF,28,1992,2.1,85,101,84.2,1328,360,40,43,93.0,32,35,91.4,7,11,63.6,0,0.0,0.1,0.0,0,5,2,0,9,passing
