nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ESP,MF,18,2002,0.6,1,0,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0,ESP-La Liga,2021,defense
ESP,MF,21,1999,1.1,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,ESP-La Liga,2021,defense
ESP,"FW,MF",20,2000,11.5,8,2,3,4,1,2,7,28.6,5,4,0,4,5,13,7,0,ESP-La Liga,2021,defense
ESP,"FW,MF",34,1986,19.4,34,19,9,19,6,7,22,31.8,15,30,1,29,15,49,20,0,ESP-La Liga,2021,defense
ESP,MF,24,1995,15.8,27,17,13,13,1,10,29,34.5,19,20,5,15,18,45,9,1,ESP-La Liga,2021,defense
ESP,DF,23,1997,23.4,23,12,16,7,0,10,15,66.7,5,19,14,5,32,55,110,0,ESP-La Liga,2021,defense
ESP,GK,23,1997,37.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,7,7,ESP-La Liga,2021,defense
ESP,MF,19,2000,18.9,31,21,10,15,6,11,42,26.2,31,17,6,11,18,49,14,0,ESP-La Liga,2021,defense
ESP,DF,25,1995,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0,ESP-La Liga,2021,defense
ESP,DF,30,1990,18.7,24,19,14,5,5,10,24,41.7,14,14,0,14,11,35,29,0,ESP-La Liga,2021,defense
ESP,"MF,FW",25,1995,25.3,47,31,21,20,6,9,51,17.6,42,48,3,45,18,65,27,0,ESP-La Liga,2021,defense
ESP,"DF,MF",31,1989,16.9,28,17,12,10,6,10,25,40.0,15,12,1,11,12,40,38,0,ESP-La Liga,2021,defense
ESP,FW,31,1988,2.3,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,ESP-La Liga,2021,defense
BRA,DF,31,1989,22.9,29,17,19,10,0,18,23,78.3,5,30,15,15,36,65,128,2,ESP-La Liga,2021,defense
CTA,MF,27,1993,6.8,30,20,12,16,2,11,20,55.0,9,11,5,6,11,41,8,1,ESP-La Liga,2021,defense
MEX,MF,30,1990,7.6,12,7,5,6,1,7,13,53.8,6,7,2,5,14,26,8,0,ESP-La Liga,2021,defense
SVN,GK,27,1993,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2,ESP-La Liga,2021,defense
URU,DF,25,1995,19.6,20,7,14,5,1,12,17,70.6,5,17,11,6,21,41,65,0,ESP-La Liga,2021,defense
POR,"FW,MF",20,1999,17.5,8,4,1,6,1,4,17,23.5,13,3,0,3,5,13,2,0,ESP-La Liga,2021,defense
ENG,DF,29,1990,27.5,61,39,30,25,6,26,52,50.0,26,22,4,18,40,101,58,1,ESP-La Liga,2021,defense
ESP,MF,28,1992,33.6,64,42,22,31,11,28,98,28.6,70,35,6,29,36,100,40,0,ESP-La Liga,2021,defense
URU,MF,24,1996,5.8,8,4,2,3,3,0,3,0.0,3,5,3,2,12,20,8,0,ESP-La Liga,2021,defense
URU,FW,33,1987,27.9,11,7,0,4,7,3,12,25.0,9,7,0,7,5,16,13,0,ESP-La Liga,2021,defense
ESP,DF,19,2000,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,ESP-La Liga,2021,defense
ESP,"MF,FW",25,1995,32.8,71,42,21,40,10,26,62,41.9,36,40,3,37,29,100,28,0,ESP-La Liga,2021,defense
ESP,DF,25,1995,28.6,55,31,40,11,4,37,61,60.7,24,23,10,13,36,91,73,0,ESP-La Liga,2021,defense
FRA,FW,24,1996,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,ESP-La Liga,2021,defense
BRA,"DF,FW",22,1998,12.5,30,17,13,12,5,17,26,65.4,9,15,0,15,16,46,18,0,ESP-La Liga,2021,defense
ESP,DF,20,2000,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,ESP-La Liga,2021,defense
ESP,"MF,DF",25,1994,22.6,57,34,27,23,7,30,59,50.8,29,35,2,33,19,76,43,0,ESP-La Liga,2021,defense
MNE,DF,29,1991,32.8,40,25,32,7,1,21,34,61.8,13,33,19,14,42,82,110,0,ESP-La Liga,2021,defense
FRA,MF,24,1995,15.2,30,17,9,17,4,11,24,45.8,13,22,1,21,11,41,10,0,ESP-La Liga,2021,defense
GHA,MF,27,1993,2.2,7,4,4,3,0,5,8,62.5,3,4,1,3,2,9,1,0,ESP-La Liga,2021,defense
ESP,"MF,FW",30,1989,3.3,4,1,2,0,2,1,6,16.7,5,3,0,3,3,7,2,0,ESP-La Liga,2021,defense
BEL,"DF,MF",26,1993,24.2,27,15,14,6,7,15,34,44.1,19,24,0,24,17,44,16,1,ESP-La Liga,2021,defense
ARG,"FW,MF",25,1995,26.6,38,21,10,23,5,15,45,33.3,30,18,1,17,22,60,16,0,ESP-La Liga,2021,defense
CRO,"FW,DF",28,1992,5.8,18,12,13,5,0,8,12,66.7,4,5,0,5,8,26,14,0,ESP-La Liga,2021,defense
ESP,FW,17,2002,4.8,9,4,2,4,3,2,10,20.0,8,4,0,4,3,12,1,0,ESP-La Liga,2021,defense
FRA,"FW,MF",29,1991,28.9,37,22,10,18,9,12,40,30.0,28,20,1,19,12,49,11,0,ESP-La Liga,2021,defense
ESP,MF,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,ESP-La Liga,2021,defense
FRA,DF,25,1995,27.5,36,21,23,10,3,19,28,67.9,9,26,12,14,33,69,71,1,ESP-La Liga,2021,defense
POR,"FW,MF",20,1999,7.8,4,2,0,3,1,2,5,40.0,3,4,0,4,1,5,2,0,ESP-La Liga,2021,defense
NED,"MF,DF",23,1997,35.0,44,27,21,19,4,15,35,42.9,20,20,4,16,38,82,29,2,ESP-La Liga,2021,defense
ESP,DF,33,1987,16.5,16,11,11,5,0,9,12,75.0,3,9,4,5,26,42,46,0,ESP-La Liga,2021,defense
GUI,MF,17,2003,6.0,14,6,5,7,2,5,10,50.0,5,16,1,15,5,19,4,1,ESP-La Liga,2021,defense
ESP,"DF,FW",31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0,ESP-La Liga,2021,defense
DOM,"DF,MF",23,1996,3.2,1,1,1,0,0,0,1,0.0,1,5,3,2,4,5,7,0,ESP-La Liga,2021,defense
ARG,"FW,MF",33,1987,33.6,18,10,3,9,6,6,17,35.3,11,12,0,12,6,24,0,2,ESP-La Liga,2021,defense
GER,GK,28,1992,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,12,2,ESP-La Liga,2021,defense
DEN,FW,29,1991,13.1,8,4,2,3,3,1,6,16.7,5,2,0,2,6,14,7,0,ESP-La Liga,2021,defense
BIH,MF,30,1990,7.0,13,8,7,4,2,7,13,53.8,6,5,1,4,11,24,5,0,ESP-La Liga,2021,defense
BRA,GK,31,1989,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,ESP-La Liga,2021,defense
FRA,FW,23,1997,19.7,14,9,4,9,1,6,17,35.3,11,10,0,10,9,23,3,1,ESP-La Liga,2021,defense
ESP,MF,17,2002,26.8,44,27,16,16,12,17,71,23.9,54,46,1,45,33,77,7,0,ESP-La Liga,2021,defense
BRA,"MF,FW",28,1992,7.3,8,6,2,5,1,3,9,33.3,6,7,0,7,2,10,1,0,ESP-La Liga,2021,defense
ESP,"MF,FW",20,1999,3.2,5,3,1,3,1,4,8,50.0,4,0,0,0,1,6,0,0,ESP-La Liga,2021,defense
URU,DF,21,1999,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1,ESP-La Liga,2021,defense
FRA,DF,26,1993,7.2,5,1,3,2,0,1,2,50.0,1,11,6,5,9,14,15,0,ESP-La Liga,2021,defense
