league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ITA-Serie A,2021,Benevento,Fabio Depaoli,ITA,DF,23,1997,12.4,25,13,15,6,4,15,32,46.9,17,16,4,12,12,37,38,0,defense
ITA-Serie A,2021,Benevento,Federico Barba,ITA,DF,26,1993,29.5,31,16,22,8,1,21,35,60.0,14,39,18,21,48,79,94,4,defense
ITA-Serie A,2021,Benevento,Gabriele Moncini,ITA,"FW,MF",24,1996,4.0,2,1,2,0,0,0,1,0.0,1,2,0,2,2,4,4,0,defense
ITA-Serie A,2021,Benevento,Gaetano Letizia,ITA,DF,30,1990,17.4,36,25,19,13,4,17,36,47.2,19,15,3,12,20,56,42,1,defense
ITA-Serie A,2021,Benevento,Gianluca Caprari,ITA,"MF,FW",27,1993,20.7,16,11,5,5,6,6,31,19.4,25,19,1,18,18,34,8,0,defense
ITA-Serie A,2021,Benevento,Gianluca Lapadula,PER,FW,30,1990,28.5,22,12,3,13,6,6,25,24.0,19,18,3,15,5,27,16,0,defense
ITA-Serie A,2021,Benevento,Giuseppe Di Serio,ITA,"FW,MF",19,2001,3.2,2,2,1,1,0,0,4,0.0,4,5,0,5,0,2,4,0,defense
ITA-Serie A,2021,Benevento,Iago Falque,ESP,"MF,FW",30,1990,4.0,4,2,2,2,0,1,6,16.7,5,4,1,3,0,4,1,0,defense
ITA-Serie A,2021,Benevento,Kamil Glik,POL,DF,32,1988,35.6,44,24,33,10,1,25,53,47.2,28,37,31,6,62,106,153,0,defense
ITA-Serie A,2021,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,16,3,defense
ITA-Serie A,2021,Benevento,Luca Caldirola,ITA,DF,29,1991,17.5,21,13,13,6,2,10,22,45.5,12,20,15,5,20,41,56,0,defense
ITA-Serie A,2021,Benevento,Marco Sau,ITA,"MF,FW",32,1987,8.7,6,2,0,6,0,1,16,6.3,15,7,0,7,5,11,3,0,defense
ITA-Serie A,2021,Benevento,Niccolò Manfredini,ITA,GK,32,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,defense
ITA-Serie A,2021,Benevento,Nicolas Viola,ITA,MF,30,1989,11.5,16,9,2,11,3,6,28,21.4,22,10,3,7,9,25,7,0,defense
ITA-Serie A,2021,Benevento,Pasquale Schiattarella,ITA,MF,33,1987,25.0,37,22,25,12,0,19,47,40.4,28,19,5,14,32,69,29,2,defense
ITA-Serie A,2021,Benevento,Përparim Hetemaj,FIN,MF,33,1986,24.6,44,27,21,18,5,26,61,42.6,35,41,5,36,22,66,24,1,defense
ITA-Serie A,2021,Benevento,Riccardo Improta,ITA,"DF,MF",26,1993,25.9,39,23,25,8,6,21,45,46.7,24,23,4,19,28,67,47,0,defense
ITA-Serie A,2021,Benevento,Roberto Insigne,ITA,"MF,FW",26,1994,17.8,16,10,8,3,5,7,27,25.9,20,10,0,10,7,23,9,0,defense
ITA-Serie A,2021,Benevento,Siriki Sanogo,CIV,MF,18,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Aaron Hickey,SCO,DF,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,defense
