league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
FRA-Ligue 1,2020,Metz,Kévin N'Doram,FRA,MF,24,1996,6,4,307,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Metz,Lamine Gueye,SEN,"FW,MF",22,1998,26,19,1454,16.2,3,2,5,3,0,0,1,0,4.6,4.6,2.3,6.9,42,30,142,0.19,0.12,0.31,0.19,0.31,0.29,0.14,0.43,0.29,0.43,standard
FRA-Ligue 1,2020,Metz,Mamadou Fofana,MLI,"MF,DF",22,1998,16,11,1070,11.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,20,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,standard
FRA-Ligue 1,2020,Metz,Marc-Aurèle Caillard,FRA,GK,26,1994,5,4,361,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Metz,Matthieu Udol,FRA,DF,24,1996,25,19,1724,19.2,0,3,3,0,0,0,1,1,0.6,0.6,2.7,3.3,50,58,77,0.0,0.16,0.16,0.0,0.16,0.03,0.14,0.17,0.03,0.17,standard
FRA-Ligue 1,2020,Metz,Opa Nguette,SEN,"FW,MF",26,1994,16,13,1132,12.6,3,1,4,3,0,1,0,0,3.3,2.6,0.7,3.3,33,19,85,0.24,0.08,0.32,0.24,0.32,0.27,0.06,0.32,0.2,0.26,standard
FRA-Ligue 1,2020,Metz,Papa Ndiaga Yade,MTN,"FW,MF",20,2000,28,9,1001,11.1,3,4,7,3,0,0,4,0,1.4,1.4,2.4,3.8,41,22,81,0.27,0.36,0.63,0.27,0.63,0.13,0.22,0.34,0.13,0.34,standard
FRA-Ligue 1,2020,Metz,Pape Matar Sarr,SEN,MF,17,2002,22,18,1594,17.7,3,0,3,3,0,0,5,0,1.1,1.1,0.5,1.6,44,99,29,0.17,0.0,0.17,0.17,0.17,0.06,0.03,0.09,0.06,0.09,standard
FRA-Ligue 1,2020,Metz,Thierry Ambrose,GLP,FW,23,1997,23,5,753,8.4,0,1,1,0,0,0,4,0,1.0,1.0,1.4,2.4,26,30,77,0.0,0.12,0.12,0.0,0.12,0.12,0.16,0.29,0.12,0.29,standard
FRA-Ligue 1,2020,Metz,Thomas Delaine,FRA,"DF,FW",28,1992,24,19,1779,19.8,3,2,5,3,0,0,4,0,1.7,1.7,1.1,2.8,98,43,113,0.15,0.1,0.25,0.15,0.25,0.09,0.06,0.14,0.09,0.14,standard
FRA-Ligue 1,2020,Metz,Vagner Gonçalves,CPV,"FW,MF",24,1996,26,10,967,10.7,4,1,5,2,2,2,3,0,4.7,3.1,1.6,4.7,14,19,73,0.37,0.09,0.47,0.19,0.28,0.44,0.15,0.58,0.29,0.44,standard
FRA-Ligue 1,2020,Metz,Victorien Angban,CIV,MF,23,1996,26,21,1672,18.6,0,1,1,0,0,0,5,0,0.5,0.5,0.5,1.0,20,90,30,0.0,0.05,0.05,0.0,0.05,0.03,0.03,0.05,0.03,0.05,standard
FRA-Ligue 1,2020,Metz,Vincent Pajot,FRA,MF,29,1990,12,11,914,10.2,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.8,8,40,14,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,standard
FRA-Ligue 1,2020,Metz,Warren Tchimbembé,CGO,"MF,FW",22,1998,15,4,495,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,24,12,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.08,0.06,0.08,standard
FRA-Ligue 1,2020,Metz,Youssef Maziz,FRA,"MF,FW",22,1998,11,2,257,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.6,9,18,3,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,standard
FRA-Ligue 1,2020,Monaco,Aleksandr Golovin,RUS,"MF,FW",24,1996,21,12,1069,11.9,5,9,14,5,0,0,2,0,2.9,2.9,5.4,8.3,45,36,93,0.42,0.76,1.18,0.42,1.18,0.25,0.45,0.7,0.25,0.7,standard
FRA-Ligue 1,2020,Monaco,Aurélien Tchouaméni,FRA,MF,20,2000,36,36,3063,34.0,2,4,6,2,0,0,9,1,4.1,4.1,1.9,6.1,42,197,52,0.06,0.12,0.18,0.06,0.18,0.12,0.06,0.18,0.12,0.18,standard
FRA-Ligue 1,2020,Monaco,Axel Disasi,FRA,DF,22,1998,29,24,2011,22.3,3,0,3,3,0,0,4,2,2.4,2.4,0.4,2.8,19,87,4,0.13,0.0,0.13,0.13,0.13,0.11,0.02,0.13,0.11,0.13,standard
FRA-Ligue 1,2020,Monaco,Benjamin Lecomte,FRA,GK,29,1991,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Monaco,Benoît Badiashile,FRA,DF,19,2001,35,32,2870,31.9,2,1,3,2,0,0,5,0,2.3,2.3,1.2,3.5,17,170,6,0.06,0.03,0.09,0.06,0.09,0.07,0.04,0.11,0.07,0.11,standard
FRA-Ligue 1,2020,Monaco,Caio Henrique Oliveira Silva,BRA,DF,23,1997,31,26,2368,26.3,0,4,4,0,0,0,0,0,0.5,0.5,3.5,4.0,85,96,185,0.0,0.15,0.15,0.0,0.15,0.02,0.13,0.15,0.02,0.15,standard
FRA-Ligue 1,2020,Monaco,Cesc Fàbregas,ESP,"MF,FW",33,1987,21,7,877,9.7,2,3,5,0,2,2,2,0,3.2,1.6,3.3,4.9,10,115,48,0.21,0.31,0.51,0.0,0.31,0.33,0.34,0.67,0.16,0.51,standard
FRA-Ligue 1,2020,Monaco,Chrislain Matsima,FRA,"DF,FW",18,2002,9,3,352,3.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,10,34,1,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.08,0.05,0.08,standard
FRA-Ligue 1,2020,Monaco,Djibril Sidibé,FRA,DF,28,1992,30,21,1980,22.0,0,2,2,0,0,0,3,0,0.2,0.2,2.4,2.6,51,137,37,0.0,0.09,0.09,0.0,0.09,0.01,0.11,0.12,0.01,0.12,standard
FRA-Ligue 1,2020,Monaco,Eliot Matazo,BEL,MF,18,2002,10,3,314,3.5,1,1,2,1,0,0,0,1,0.8,0.8,0.3,1.1,2,7,5,0.29,0.29,0.57,0.29,0.57,0.22,0.1,0.32,0.22,0.32,standard
FRA-Ligue 1,2020,Monaco,Enzo Millot,FRA,MF,18,2002,2,0,41,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,0,5,0.0,0.0,0.0,0.0,0.0,0.41,0.19,0.6,0.41,0.6,standard
