league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Bayern Munich,Bouna Sarr,SEN,DF,31,1992,1.2,2,0,1,1,0,2,2,100.0,0,3,0,3,0,2,1,0,defense
GER-Bundesliga,2023,Bayern Munich,Bryan Zaragoza,ESP,"FW,MF",22,2001,2.0,4,4,2,1,1,3,3,100.0,0,0,0,0,2,6,0,0,defense
GER-Bundesliga,2023,Bayern Munich,Daniel Peretz,ISR,GK,23,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2023,Bayern Munich,Dayot Upamecano,FRA,DF,24,1998,19.6,34,21,21,11,2,15,29,51.7,14,19,7,12,19,53,56,3,defense
GER-Bundesliga,2023,Bayern Munich,Eric Dier,ENG,DF,29,1994,13.0,11,8,5,5,1,5,6,83.3,1,20,12,8,10,21,48,1,defense
GER-Bundesliga,2023,Bayern Munich,Eric Maxim Choupo-Moting,CMR,"MF,FW",34,1989,8.0,17,12,8,5,4,6,14,42.9,8,5,0,5,7,24,7,0,defense
GER-Bundesliga,2023,Bayern Munich,Frans Krätzig,GER,DF,20,2003,0.6,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,defense
GER-Bundesliga,2023,Bayern Munich,Harry Kane,ENG,FW,30,1993,31.5,13,9,4,4,5,6,18,33.3,12,12,4,8,6,19,14,0,defense
GER-Bundesliga,2023,Bayern Munich,Jamal Musiala,GER,"MF,FW",20,2003,19.5,40,25,9,21,10,14,36,38.9,22,25,1,24,16,56,5,0,defense
GER-Bundesliga,2023,Bayern Munich,Jonathan Asp Jensen,DEN,FW,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
GER-Bundesliga,2023,Bayern Munich,Joshua Kimmich,GER,"MF,DF",28,1995,24.2,45,33,25,15,5,26,39,66.7,13,32,4,28,14,59,28,1,defense
GER-Bundesliga,2023,Bayern Munich,Kim Min-jae,KOR,DF,26,1996,21.9,37,24,21,11,5,12,24,50.0,12,29,19,10,45,82,70,2,defense
GER-Bundesliga,2023,Bayern Munich,Kingsley Coman,FRA,FW,27,1996,12.4,12,7,5,3,4,9,17,52.9,8,15,1,14,2,14,5,0,defense
GER-Bundesliga,2023,Bayern Munich,Konrad Laimer,AUT,"DF,MF",26,1997,19.7,56,36,25,20,11,22,52,42.3,30,42,6,36,18,74,13,2,defense
GER-Bundesliga,2023,Bayern Munich,Leon Goretzka,GER,MF,28,1995,24.9,41,23,18,14,9,24,54,44.4,30,44,8,36,31,72,42,1,defense
