nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
MAR,DF,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,ESP-La Liga,2023,possession
ALG,"FW,MF",24,1998,8.0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,ESP-La Liga,2023,possession
SRB,DF,31,1991,10.5,497,76,277,204,18,6,497,3,2,66.7,0,0.0,247,1442,794,6,4,0,3,2,264,1,ESP-La Liga,2023,possession
ESP,"FW,MF",24,1999,14.0,630,12,110,218,316,48,630,75,43,57.3,27,36.0,327,2390,1300,40,24,12,31,17,372,103,ESP-La Liga,2023,possession
ESP,MF,26,1997,32.6,1735,75,409,1029,320,16,1735,32,19,59.4,10,31.3,840,4759,2604,53,43,3,29,24,1089,37,ESP-La Liga,2023,possession
ESP,DF,26,1996,31.7,1624,89,489,683,466,40,1624,49,25,51.0,17,34.7,653,3230,1890,58,37,8,35,29,793,121,ESP-La Liga,2023,possession
ESP,MF,23,2000,27.0,1283,64,339,740,224,18,1283,33,19,57.6,8,24.2,620,2633,1271,20,15,3,19,22,762,22,ESP-La Liga,2023,possession
ESP,GK,26,1996,34.0,1185,922,1157,28,0,0,1185,0,0,,0,,520,3386,2069,0,0,0,3,0,383,0,ESP-La Liga,2023,possession
URU,MF,25,1998,12.6,628,35,173,348,113,11,628,4,2,50.0,2,50.0,222,1090,508,9,10,1,11,5,286,5,ESP-La Liga,2023,possession
ESP,FW,24,1999,12.4,499,7,63,172,268,41,499,39,15,38.5,23,59.0,221,1250,541,23,8,10,39,11,298,82,ESP-La Liga,2023,possession
ESP,DF,20,2003,0.2,4,0,0,2,2,0,4,0,0,,0,,2,22,17,1,1,0,0,0,2,1,ESP-La Liga,2023,possession
ARG,FW,20,2002,7.0,254,5,43,80,137,27,253,22,9,40.9,12,54.5,137,907,513,25,8,5,15,9,159,47,ESP-La Liga,2023,possession
ROU,"MF,FW",24,1998,8.9,405,2,32,162,222,25,404,27,14,51.9,8,29.6,224,1175,576,17,13,2,13,13,249,58,ESP-La Liga,2023,possession
ESP,DF,21,2002,26.5,1407,89,441,582,404,45,1407,74,41,55.4,28,37.8,631,4017,1896,53,44,11,40,20,720,120,ESP-La Liga,2023,possession
EQG,GK,22,2001,4.0,130,95,127,3,0,0,130,0,0,,0,,64,369,279,0,0,0,0,0,41,0,ESP-La Liga,2023,possession
ARG,"FW,MF",20,2002,2.5,81,6,13,37,32,7,81,1,0,0.0,0,0.0,36,165,76,3,0,1,14,7,61,10,ESP-La Liga,2023,possession
ESP,MF,28,1995,29.8,1075,32,172,584,333,74,1075,38,14,36.8,21,55.3,536,2805,1392,30,25,3,36,28,700,92,ESP-La Liga,2023,possession
ESP,"MF,FW",20,2002,0.2,8,0,0,5,3,1,8,0,0,,0,,6,20,0,0,0,0,2,0,6,1,ESP-La Liga,2023,possession
ESP,"FW,MF",33,1989,15.8,517,18,51,199,280,108,516,33,15,45.5,14,42.4,300,1319,472,18,10,12,56,21,392,97,ESP-La Liga,2023,possession
ESP,"FW,MF",29,1993,27.8,1123,24,150,382,619,62,1119,71,41,57.7,23,32.4,611,4030,2161,70,51,18,56,20,720,173,ESP-La Liga,2023,possession
SEN,"FW,MF",29,1994,0.2,13,1,3,6,4,0,13,1,0,0.0,1,100.0,6,25,10,0,0,0,1,1,8,1,ESP-La Liga,2023,possession
ESP,"FW,MF",23,1999,0.7,22,0,1,12,9,3,22,0,0,,0,,9,42,25,1,0,1,2,4,14,3,ESP-La Liga,2023,possession
ARG,DF,27,1996,12.7,604,84,275,251,85,13,604,14,7,50.0,2,14.3,247,1662,1020,17,10,1,6,5,268,24,ESP-La Liga,2023,possession
ESP,DF,21,2002,27.1,1303,220,711,555,45,25,1303,5,3,60.0,1,20.0,628,3485,2110,13,5,0,11,4,696,6,ESP-La Liga,2023,possession
ESP,DF,27,1995,20.9,1024,88,405,429,197,12,1024,5,3,60.0,1,20.0,395,1913,981,16,15,2,10,4,468,39,ESP-La Liga,2023,possession
ESP,FW,19,2004,21.3,600,18,38,289,282,107,600,57,22,38.6,33,57.9,344,1689,668,30,17,24,89,36,434,100,ESP-La Liga,2023,possession
ESP,MF,18,2004,0.1,7,0,1,4,2,0,7,0,0,,0,,6,20,1,0,1,0,0,1,5,0,ESP-La Liga,2023,possession
ESP,MF,21,2001,0.1,7,0,1,1,5,1,7,2,0,0.0,2,100.0,3,9,6,0,0,0,0,0,3,0,ESP-La Liga,2023,possession
ESP,"FW,MF",21,2002,0.0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0,ESP-La Liga,2023,possession
ESP,"FW,MF",26,1997,3.4,137,3,25,33,80,17,137,7,3,42.9,4,57.1,66,316,133,6,2,3,7,3,83,30,ESP-La Liga,2023,possession
ESP,"FW,MF",31,1992,27.5,1316,18,195,514,633,65,1315,119,46,38.7,65,54.6,749,4984,2406,94,55,24,79,35,821,167,ESP-La Liga,2023,possession
ESP,"DF,MF",24,1999,10.8,708,28,186,340,184,11,708,14,1,7.1,12,85.7,353,1565,758,22,15,3,16,4,410,62,ESP-La Liga,2023,possession
SRB,DF,29,1993,6.3,279,68,177,100,3,2,279,1,0,0.0,1,100.0,110,401,142,0,0,0,2,0,152,1,ESP-La Liga,2023,possession
HON,FW,30,1993,8.6,244,15,27,126,91,22,244,17,4,23.5,11,64.7,130,676,287,12,10,5,25,16,172,24,ESP-La Liga,2023,possession
ESP,"FW,DF",22,2001,2.8,122,2,20,56,48,2,122,7,2,28.6,4,57.1,76,437,210,4,3,0,7,2,78,17,ESP-La Liga,2023,possession
MOZ,DF,25,1997,9.1,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30,ESP-La Liga,2023,possession
ESP,DF,24,1999,27.0,1462,230,830,582,58,11,1462,6,5,83.3,1,16.7,830,3815,1960,11,10,0,14,4,944,4,ESP-La Liga,2023,possession
MEX,DF,26,1997,19.9,1156,148,650,468,43,23,1156,3,3,100.0,0,0.0,593,2990,1805,7,5,1,7,1,730,2,ESP-La Liga,2023,possession
ESP,GK,33,1990,1.0,32,26,32,0,0,0,32,0,0,,0,,22,94,53,0,0,0,0,0,20,0,ESP-La Liga,2023,possession
SEN,MF,21,2002,21.3,1108,65,310,656,162,8,1108,48,29,60.4,15,31.3,652,4181,1705,23,23,2,23,15,695,19,ESP-La Liga,2023,possession
ESP,GK,33,1990,4.0,169,138,167,2,0,0,169,0,0,,0,,93,536,339,0,0,0,0,0,74,0,ESP-La Liga,2023,possession
ESP,"MF,FW",29,1994,12.3,580,20,94,357,133,28,580,18,7,38.9,10,55.6,335,1739,919,23,11,3,26,13,407,33,ESP-La Liga,2023,possession
GNB,DF,25,1998,4.4,236,21,94,117,27,1,236,7,2,28.6,3,42.9,83,389,175,5,4,0,8,4,89,6,ESP-La Liga,2023,possession
MLI,FW,24,1999,3.1,83,5,7,41,37,10,83,4,1,25.0,2,50.0,44,208,112,5,1,4,7,1,58,18,ESP-La Liga,2023,possession
GHA,MF,27,1996,15.9,822,47,254,521,58,4,822,19,14,73.7,3,15.8,460,2217,844,1,3,0,18,7,482,5,ESP-La Liga,2023,possession
ESP,MF,33,1989,10.1,629,4,79,357,198,19,629,19,9,47.4,10,52.6,412,2015,1145,35,29,6,17,9,506,29,ESP-La Liga,2023,possession
BRA,DF,19,2004,5.8,317,50,175,137,6,4,317,4,3,75.0,1,25.0,182,1023,683,4,0,0,1,0,200,1,ESP-La Liga,2023,possession
BEL,"FW,MF",22,2001,17.3,578,11,90,251,263,59,578,74,31,41.9,38,51.4,381,3109,1775,59,41,27,45,33,396,104,ESP-La Liga,2023,possession
ARG,MF,26,1997,26.5,1675,72,405,975,316,17,1675,21,8,38.1,9,42.9,873,4221,2061,31,27,4,27,16,1041,37,ESP-La Liga,2023,possession
COL,FW,25,1997,10.2,334,11,28,151,160,56,333,23,12,52.2,9,39.1,195,1501,685,30,12,15,30,10,229,53,ESP-La Liga,2023,possession
ARG,FW,18,2004,4.9,226,5,39,118,71,5,226,16,7,43.8,8,50.0,143,750,341,11,12,1,20,9,155,20,ESP-La Liga,2023,possession
POR,GK,24,1999,33.0,1355,1096,1336,19,0,0,1355,3,3,100.0,0,0.0,710,3504,2214,0,0,0,0,0,592,0,ESP-La Liga,2023,possession
BRA,"FW,MF",21,2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34,ESP-La Liga,2023,possession
BRA,FW,30,1992,20.4,793,23,123,416,267,67,793,28,12,42.9,14,50.0,399,2131,1118,26,21,8,38,17,532,88,ESP-La Liga,2023,possession
ESP,DF,20,2003,20.9,1250,112,435,555,278,33,1250,65,33,50.8,23,35.4,580,3384,1864,59,42,7,33,14,645,85,ESP-La Liga,2023,possession
GNB,"FW,MF",19,2004,0.5,28,0,2,17,9,0,28,0,0,,0,,12,87,24,1,1,0,1,1,16,3,ESP-La Liga,2023,possession
ESP,MF,18,2005,4.9,274,15,104,162,11,1,274,1,0,0.0,1,100.0,103,443,140,0,2,0,3,3,158,0,ESP-La Liga,2023,possession
SRB,"FW,MF",19,2003,3.4,102,5,13,56,34,13,102,4,1,25.0,2,50.0,51,177,59,2,1,1,6,4,66,13,ESP-La Liga,2023,possession
ESP,DF,18,2004,0.3,15,3,11,4,0,0,15,0,0,,0,,5,12,11,0,0,0,1,0,8,0,ESP-La Liga,2023,possession
MAR,FW,18,2005,0.2,9,0,1,6,2,1,9,0,0,,0,,4,3,2,0,0,0,1,0,6,2,ESP-La Liga,2023,possession
ESP,DF,25,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72,ESP-La Liga,2023,possession
ESP,"MF,FW",21,2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94,ESP-La Liga,2023,possession
SRB,DF,27,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0,ESP-La Liga,2023,possession
ESP,DF,25,1997,10.9,635,39,208,284,149,8,635,9,4,44.4,5,55.6,291,1225,687,16,13,3,10,6,357,53,ESP-La Liga,2023,possession
ESP,"DF,MF",26,1997,28.0,1671,258,905,706,67,25,1671,11,7,63.6,3,27.3,829,3736,1951,6,7,0,14,5,1034,6,ESP-La Liga,2023,possession
ESP,FW,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39,ESP-La Liga,2023,possession
ESP,FW,17,2005,0.1,6,0,0,1,5,0,6,0,0,,0,,3,33,26,1,0,0,0,0,4,0,ESP-La Liga,2023,possession
ESP,DF,23,2000,30.0,1799,158,915,852,41,24,1799,3,2,66.7,1,33.3,1004,5116,2607,6,2,0,9,2,1167,1,ESP-La Liga,2023,possession
