league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2022,Ajaccio,Ben Hamed Touré,CIV,FW,18,2003,2.3,4,4,2,2,0,1,5,20.0,4,2,0,2,1,5,4,0,defense
FRA-Ligue 1,2022,Ajaccio,Benjamin Leroy,FRA,GK,33,1989,31.1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,16,2,defense
FRA-Ligue 1,2022,Ajaccio,Bevic Moussiti-Oko,CGO,FW,27,1995,7.8,3,1,1,1,1,1,2,50.0,1,5,3,2,2,5,8,0,defense
FRA-Ligue 1,2022,Ajaccio,Clément Vidal,FRA,"DF,MF",22,2000,21.1,25,15,14,11,0,18,38,47.4,20,27,16,11,27,52,73,1,defense
FRA-Ligue 1,2022,Ajaccio,Cyrille Bayala,BFA,MF,26,1996,22.3,53,37,16,20,17,23,48,47.9,25,20,3,17,25,78,21,0,defense
FRA-Ligue 1,2022,Ajaccio,Cédric Avinel,GLP,DF,35,1986,19.9,13,7,8,5,0,8,12,66.7,4,20,13,7,15,28,91,1,defense
FRA-Ligue 1,2022,Ajaccio,Fernand Mayembo,CGO,DF,26,1996,7.9,8,5,6,2,0,4,9,44.4,5,2,0,2,11,19,36,0,defense
FRA-Ligue 1,2022,Ajaccio,Florian Chabrolle,FRA,MF,24,1998,3.7,6,4,1,5,0,2,4,50.0,2,3,0,3,7,13,2,0,defense
FRA-Ligue 1,2022,Ajaccio,François-Joseph Sollacaro,FRA,GK,28,1994,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,defense
FRA-Ligue 1,2022,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19,2002,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2022,Ajaccio,Ismael Diallo,CIV,DF,25,1997,24.2,46,33,35,9,2,35,63,55.6,28,26,12,14,30,76,46,1,defense
FRA-Ligue 1,2022,Ajaccio,Ivane Chegra,FRA,"MF,FW",18,2004,2.1,8,3,6,1,1,4,11,36.4,7,0,0,0,1,9,0,0,defense
FRA-Ligue 1,2022,Ajaccio,Kevin Spadanuda,SUI,"MF,FW",25,1997,11.8,29,18,15,9,5,12,33,36.4,21,18,0,18,11,40,5,0,defense
FRA-Ligue 1,2022,Ajaccio,Kouamé Botué,BFA,"FW,MF",19,2002,2.5,4,2,2,1,1,0,2,0.0,2,1,0,1,0,4,1,0,defense
FRA-Ligue 1,2022,Ajaccio,Mathieu Coutadeur,FRA,MF,36,1986,21.6,23,13,13,10,0,8,28,28.6,20,19,3,16,19,42,21,0,defense
FRA-Ligue 1,2022,Ajaccio,Mehdi Puch-Herrantz,FRA,MF,18,2004,0.5,2,2,0,1,1,1,2,50.0,1,1,0,1,3,5,0,0,defense
FRA-Ligue 1,2022,Ajaccio,Mickaël Alphonse,GLP,DF,33,1989,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1,defense
FRA-Ligue 1,2022,Ajaccio,Mickaël Barreto,FRA,MF,31,1991,14.7,32,20,12,17,3,8,45,17.8,37,17,0,17,18,50,11,0,defense
FRA-Ligue 1,2022,Ajaccio,Mohamed Youssouf,COM,DF,34,1988,27.3,72,44,41,24,7,38,61,62.3,23,32,8,24,65,137,70,0,defense
FRA-Ligue 1,2022,Ajaccio,Mounaim El Idrissy,FRA,FW,23,1999,27.7,32,19,5,20,7,10,36,27.8,26,22,0,22,13,45,20,0,defense
FRA-Ligue 1,2022,Ajaccio,Moussa Djitte,SEN,FW,22,1999,1.5,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0,defense
FRA-Ligue 1,2022,Ajaccio,Moussa Soumano,FRA,FW,17,2005,5.5,2,2,0,1,1,0,6,0.0,6,2,0,2,0,2,0,0,defense
FRA-Ligue 1,2022,Ajaccio,Oumar Gonzalez,CMR,DF,24,1998,28.6,51,28,34,13,4,23,37,62.2,14,32,11,21,52,103,82,0,defense
FRA-Ligue 1,2022,Ajaccio,Paolo Lebas,FRA,MF,19,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2022,Ajaccio,Qazim Laçi,ALB,MF,26,1996,2.4,6,3,2,3,1,4,9,44.4,5,5,0,5,2,8,3,0,defense
FRA-Ligue 1,2022,Ajaccio,Riad Nouri,FRA,"MF,FW",37,1985,18.8,21,12,7,10,4,12,29,41.4,17,8,1,7,15,36,11,0,defense
FRA-Ligue 1,2022,Ajaccio,Romain Hamouma,FRA,"FW,MF",35,1987,12.0,8,3,3,3,2,3,6,50.0,3,8,0,8,2,10,2,0,defense
FRA-Ligue 1,2022,Ajaccio,Ruan Levine,BRA,"MF,FW",23,1999,0.3,2,2,1,1,0,0,0,,0,1,0,1,2,4,0,0,defense
FRA-Ligue 1,2022,Ajaccio,Thomas Mangani,FRA,MF,35,1987,14.8,32,17,14,15,3,18,47,38.3,29,22,3,19,24,56,22,1,defense
