league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
GER-Bundesliga,2020,Werder Bremen,Jiří Pavlenka,CZE,GK,28,1992,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CZE,GK,28,1992,34.0,854,1149,74.3,25060,18196,181,181,100.0,352,362,97.2,318,596,53.4,0,0.0,0.0,0.0,0,11,0,0,0,passing,CZE,GK,28,1992,34.0,1243,1053,1232,10,1,1,1243,1,1,100.0,0,0.0,601,3245,2029,0,0,0,0,0,482,0,possession,CZE,GK,28,1992,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,CZE,GK,28,1992,34.0,2,0,2,0,0,2,2,100.0,0,0,0,0,1,3,17,4,defense,CZE,GK,28,1992,34.0,2,0,0,2,3,0,0,1,0,0,1,0,44,9,0,100.0,misc
GER-Bundesliga,2020,Arminia,Joakim Nilsson,SWE,DF,26,1994,25,24,2162,24.0,0,0,0,0,0,0,1,0,0.9,0.9,0.2,1.0,5,47,5,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,standard,SWE,DF,26,1994,24.0,894,1087,82.2,17969,6239,259,300,86.3,524,580,90.3,102,177,57.6,0,0.2,0.4,-0.2,2,34,2,1,47,passing,SWE,DF,26,1994,24.0,1331,179,809,499,30,15,1331,4,3,75.0,1,25.0,698,2873,1653,5,0,0,7,1,763,5,possession,SWE,DF,26,1994,24.0,0,6,2,33.3,0.25,0.08,0.0,0.0,9.8,0,0,0,0.9,0.9,0.14,-0.9,-0.9,shooting,SWE,DF,26,1994,24.0,36,24,23,12,1,14,23,60.9,9,29,22,7,39,75,111,0,defense,SWE,DF,26,1994,24.0,1,0,0,12,14,1,2,39,24,0,0,1,102,73,40,64.6,misc
GER-Bundesliga,2020,Leverkusen,Joel Pohjanpalo,FIN,MF,25,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FIN,MF,25,1994,0.1,2,2,100.0,32,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FIN,MF,25,1994,0.1,2,0,0,0,2,0,2,0,0,,0,,1,3,0,0,1,0,0,0,2,1,possession,FIN,MF,25,1994,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FIN,MF,25,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FIN,MF,25,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2020,Union Berlin,Joel Pohjanpalo,FIN,FW,25,1994,19,10,851,9.5,6,0,6,6,0,0,0,0,6.6,6.6,1.2,7.8,6,26,39,0.63,0.0,0.63,0.63,0.63,0.7,0.13,0.83,0.7,0.83,standard,FIN,FW,25,1994,9.5,128,188,68.1,1933,492,73,96,76.0,40,60,66.7,9,13,69.2,0,1.2,1.0,-1.2,8,19,4,1,26,passing,FIN,FW,25,1994,9.5,284,9,22,153,110,44,284,9,5,55.6,4,44.4,131,615,164,6,6,3,32,3,209,39,possession,FIN,FW,25,1994,9.5,6,31,15,48.4,3.28,1.59,0.19,0.4,11.8,0,0,0,6.6,6.6,0.22,-0.6,-0.6,shooting,FIN,FW,25,1994,9.5,5,1,0,3,2,1,6,16.7,5,1,0,1,1,6,12,0,defense,FIN,FW,25,1994,9.5,0,0,0,7,8,12,3,1,1,0,0,0,24,32,39,45.1,misc
GER-Bundesliga,2020,Werder Bremen,Johannes Eggestein,GER,"FW,MF",22,1998,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,standard,GER,"FW,MF",22,1998,0.4,11,16,68.8,149,30,6,7,85.7,4,7,57.1,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,1,passing,GER,"FW,MF",22,1998,0.4,19,2,5,10,4,1,19,0,0,,0,,6,55,15,1,1,0,0,0,10,2,possession,GER,"FW,MF",22,1998,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,"FW,MF",22,1998,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,defense,GER,"FW,MF",22,1998,0.4,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Wolfsburg,John Brooks,USA,DF,27,1993,32,31,2774,30.8,2,0,2,2,0,0,5,0,1.6,1.6,0.4,2.1,28,144,6,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.07,0.05,0.07,standard,USA,DF,27,1993,30.8,1612,1943,83.0,35222,12537,339,404,83.9,1032,1133,91.1,230,367,62.7,0,0.4,0.6,-0.4,6,112,4,0,144,passing,USA,DF,27,1993,30.8,2282,210,1036,1206,53,29,2282,11,6,54.5,5,45.5,1340,7653,4485,28,13,2,11,4,1417,6,possession,USA,DF,27,1993,30.8,2,19,5,26.3,0.62,0.16,0.11,0.4,10.9,0,0,0,1.6,1.6,0.09,0.4,0.4,shooting,USA,DF,27,1993,30.8,47,29,33,14,0,30,54,55.6,24,35,10,25,55,102,134,0,defense,USA,DF,27,1993,30.8,5,0,0,30,17,0,2,55,29,0,2,1,197,97,36,72.9,misc
GER-Bundesliga,2020,Hertha BSC,Jonas Dirkner,GER,MF,18,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,MF,18,2002,0.2,1,3,33.3,42,40,0,0,,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,MF,18,2002,0.2,3,1,3,0,0,0,3,0,0,,0,,3,25,16,0,0,0,0,1,1,0,possession,GER,MF,18,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,MF,18,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,GER,MF,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Köln,Jonas Hector,GER,"MF,FW",30,1990,19,15,1290,14.3,3,1,4,3,0,0,2,0,3.1,3.1,1.6,4.7,8,60,57,0.21,0.07,0.28,0.21,0.28,0.22,0.11,0.33,0.22,0.33,standard,GER,"MF,FW",30,1990,14.3,438,580,75.5,8037,2162,185,236,78.4,180,216,83.3,68,98,69.4,1,1.6,1.6,-0.6,18,32,14,1,60,passing,GER,"MF,FW",30,1990,14.3,750,30,165,393,202,33,750,9,6,66.7,3,33.3,351,1455,595,8,7,2,26,11,459,57,possession,GER,"MF,FW",30,1990,14.3,3,27,8,29.6,1.88,0.56,0.11,0.38,16.9,0,0,0,3.1,3.1,0.12,-0.1,-0.1,shooting,GER,"MF,FW",30,1990,14.3,34,22,8,21,5,15,35,42.9,20,24,5,19,19,53,20,1,defense,GER,"MF,FW",30,1990,14.3,2,0,0,11,22,1,28,19,22,1,0,0,82,54,39,58.1,misc
GER-Bundesliga,2020,Gladbach,Jonas Hofmann,GER,"FW,MF",28,1992,24,21,1817,20.2,6,11,17,3,3,3,1,0,4.9,2.5,5.3,7.9,46,73,106,0.3,0.54,0.84,0.15,0.69,0.24,0.26,0.51,0.13,0.39,standard,GER,"FW,MF",28,1992,20.2,763,1035,73.7,13638,3850,353,412,85.7,258,324,79.6,115,216,53.2,11,5.3,5.1,5.7,57,53,22,2,73,passing,GER,"FW,MF",28,1992,20.2,1227,22,201,614,436,69,1224,35,16,45.7,19,54.3,679,3629,1652,46,31,24,32,19,759,106,possession,GER,"FW,MF",28,1992,20.2,6,22,8,36.4,1.09,0.4,0.14,0.38,21.7,0,3,3,4.9,2.5,0.12,1.1,0.5,shooting,GER,"FW,MF",28,1992,20.2,26,20,12,12,2,10,53,18.9,43,27,2,25,27,53,9,0,defense,GER,"FW,MF",28,1992,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,misc
GER-Bundesliga,2020,Hertha BSC,Jonas Michelbrink,GER,MF,19,2001,2,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,MF,19,2001,0.4,10,14,71.4,107,35,8,9,88.9,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,2,passing,GER,MF,19,2001,0.4,21,0,3,9,9,3,21,0,0,,0,,12,70,52,2,1,0,2,0,13,2,possession,GER,MF,19,2001,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,MF,19,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,GER,MF,19,2001,0.4,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,,misc
