league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
GER-Bundesliga,2020,Mainz 05,Aarón Martín,ESP,"DF,FW",23,1997,5,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,9,18,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,standard,ESP,"DF,FW",23,1997,2.9,120,173,69.4,2057,856,61,73,83.6,46,70,65.7,12,25,48.0,0,0.3,0.5,-0.3,3,6,3,3,9,passing,ESP,"DF,FW",23,1997,2.9,192,7,46,89,57,2,192,5,3,60.0,2,40.0,106,534,170,5,1,1,3,2,116,18,possession,ESP,"DF,FW",23,1997,2.9,0,1,0,0.0,0.34,0.0,0.0,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,ESP,"DF,FW",23,1997,2.9,3,2,2,1,0,2,4,50.0,2,1,0,1,2,5,2,0,defense,ESP,"DF,FW",23,1997,2.9,0,0,0,4,0,0,21,2,2,0,0,0,10,1,1,50.0,misc
GER-Bundesliga,2020,Mainz 05,Abass Issah,GHA,"DF,FW",21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GHA,"DF,FW",21,1998,0.2,12,15,80.0,178,44,7,9,77.8,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,passing,GHA,"DF,FW",21,1998,0.2,16,0,5,4,7,1,16,1,1,100.0,0,0.0,11,50,37,1,1,0,0,0,8,1,possession,GHA,"DF,FW",21,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GHA,"DF,FW",21,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,GHA,"DF,FW",21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Wolfsburg,Admir Mehmedi,SUI,"MF,FW",29,1991,18,8,820,9.1,0,2,2,0,0,0,0,0,0.6,0.6,2.4,3.0,17,71,60,0.0,0.22,0.22,0.0,0.22,0.07,0.27,0.33,0.07,0.33,standard,SUI,"MF,FW",29,1991,9.1,340,440,77.3,4998,1304,185,220,84.1,106,132,80.3,21,36,58.3,2,2.4,2.5,-0.4,18,35,17,1,71,passing,SUI,"MF,FW",29,1991,9.1,528,4,47,246,238,33,528,8,7,87.5,1,12.5,270,1186,498,17,19,4,24,18,385,60,possession,SUI,"MF,FW",29,1991,9.1,0,7,3,42.9,0.77,0.33,0.0,0.0,16.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,shooting,SUI,"MF,FW",29,1991,9.1,17,9,6,7,4,6,16,37.5,10,7,0,7,5,22,1,0,defense,SUI,"MF,FW",29,1991,9.1,0,0,0,19,15,10,20,5,9,0,0,0,45,5,19,20.8,misc
GER-Bundesliga,2020,Schalke 04,Ahmed Kutucu,TUR,"FW,MF",20,2000,7,0,108,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,1,10,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,standard,TUR,"FW,MF",20,2000,1.2,23,35,65.7,291,22,12,17,70.6,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,1,passing,TUR,"FW,MF",20,2000,1.2,46,0,4,24,19,2,46,5,3,60.0,2,40.0,34,169,58,2,2,0,5,1,36,10,possession,TUR,"FW,MF",20,2000,1.2,0,1,0,0.0,0.83,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,TUR,"FW,MF",20,2000,1.2,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,defense,TUR,"FW,MF",20,2000,1.2,1,0,0,2,1,0,2,0,0,0,0,0,1,2,5,28.6,misc
GER-Bundesliga,2020,Eint Frankfurt,Ajdin Hrustic,AUS,"MF,DF",24,1996,11,1,272,3.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.5,9,28,9,0.33,0.0,0.33,0.33,0.33,0.11,0.05,0.16,0.11,0.16,standard,AUS,"MF,DF",24,1996,3.0,190,238,79.8,3221,1012,102,110,92.7,68,75,90.7,19,43,44.2,0,0.1,0.6,-0.1,4,27,9,4,28,passing,AUS,"MF,DF",24,1996,3.0,275,3,25,158,98,7,275,6,4,66.7,2,33.3,170,799,446,9,12,0,9,3,197,9,possession,AUS,"MF,DF",24,1996,3.0,1,7,4,57.1,2.32,1.32,0.14,0.25,24.8,0,0,0,0.3,0.3,0.05,0.7,0.7,shooting,AUS,"MF,DF",24,1996,3.0,6,5,2,3,1,3,10,30.0,7,2,0,2,4,10,3,0,defense,AUS,"MF,DF",24,1996,3.0,2,0,0,7,5,0,26,4,5,0,0,0,24,3,1,75.0,misc
GER-Bundesliga,2020,Union Berlin,Akaki Gogia,GER,"FW,MF",28,1992,7,0,140,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,5,7,17,0.0,0.64,0.64,0.0,0.64,0.07,0.33,0.39,0.07,0.39,standard,GER,"FW,MF",28,1992,1.6,40,57,70.2,634,203,21,25,84.0,14,21,66.7,4,5,80.0,1,0.5,0.4,0.5,2,3,1,0,7,passing,GER,"FW,MF",28,1992,1.6,71,1,6,35,33,6,71,4,2,50.0,2,50.0,50,253,126,5,2,0,1,2,54,17,possession,GER,"FW,MF",28,1992,1.6,0,2,2,100.0,1.29,1.29,0.0,0.0,20.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,GER,"FW,MF",28,1992,1.6,1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,defense,GER,"FW,MF",28,1992,1.6,1,0,0,6,4,0,0,1,0,1,0,0,9,1,2,33.3,misc
GER-Bundesliga,2020,Gladbach,Alassane Pléa,FRA,FW,27,1993,29,19,1803,20.0,6,1,7,6,0,0,2,0,5.7,5.7,4.6,10.4,55,75,178,0.3,0.05,0.35,0.3,0.35,0.29,0.23,0.52,0.29,0.52,standard,FRA,FW,27,1993,20.0,495,691,71.6,7486,1675,273,341,80.1,153,204,75.0,39,62,62.9,1,4.6,3.2,-3.6,28,39,33,5,75,passing,FRA,FW,27,1993,20.0,902,9,48,454,407,95,902,43,25,58.1,18,41.9,552,2712,1528,55,28,21,64,21,725,178,possession,FRA,FW,27,1993,20.0,6,62,25,40.3,3.09,1.25,0.1,0.24,17.2,0,0,0,5.7,5.7,0.09,0.3,0.3,shooting,FRA,FW,27,1993,20.0,19,9,4,10,5,5,20,25.0,15,1,0,1,5,24,7,0,defense,FRA,FW,27,1993,20.0,2,0,0,18,28,20,34,5,9,0,0,0,59,27,35,43.5,misc
GER-Bundesliga,2020,Leverkusen,Aleksandar Dragović,AUT,DF,29,1991,18,11,1136,12.6,1,0,1,1,0,0,3,0,0.2,0.2,0.6,0.8,15,99,16,0.08,0.0,0.08,0.08,0.08,0.02,0.05,0.06,0.02,0.06,standard,AUT,DF,29,1991,12.6,952,1076,88.5,18202,6074,356,390,91.3,460,506,90.9,119,152,78.3,0,0.6,0.8,-0.6,6,77,4,3,99,passing,AUT,DF,29,1991,12.6,1170,64,341,717,117,6,1170,4,3,75.0,1,25.0,658,2744,1600,15,13,2,3,1,803,16,possession,AUT,DF,29,1991,12.6,1,4,2,50.0,0.32,0.16,0.25,0.5,19.1,0,0,0,0.2,0.2,0.06,0.8,0.8,shooting,AUT,DF,29,1991,12.6,11,7,5,5,1,9,13,69.2,4,17,5,12,13,24,33,0,defense,AUT,DF,29,1991,12.6,3,0,0,12,7,0,12,13,7,0,0,0,78,24,17,58.5,misc
GER-Bundesliga,2020,Schalke 04,Alessandro Schöpf,AUT,"FW,MF",26,1994,19,10,942,10.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,19,22,63,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,standard,AUT,"FW,MF",26,1994,10.5,279,350,79.7,3671,898,169,198,85.4,79,91,86.8,8,13,61.5,0,0.2,0.4,-0.2,4,18,4,0,22,passing,AUT,"FW,MF",26,1994,10.5,472,11,79,245,154,16,472,30,12,40.0,18,60.0,282,1558,608,19,16,4,23,29,313,63,possession,AUT,"FW,MF",26,1994,10.5,0,10,1,10.0,0.96,0.1,0.0,0.0,21.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting,AUT,"FW,MF",26,1994,10.5,11,9,3,7,1,1,6,16.7,5,15,1,14,6,17,6,0,defense,AUT,"FW,MF",26,1994,10.5,0,0,0,12,13,4,12,6,9,0,0,0,50,6,13,31.6,misc
GER-Bundesliga,2020,Mainz 05,Alexander Hack,GER,DF,26,1993,21,14,1370,15.2,1,0,1,1,0,0,2,0,0.5,0.5,0.3,0.8,7,51,2,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,standard,GER,DF,26,1993,15.2,536,701,76.5,10919,5277,170,204,83.3,279,337,82.8,83,131,63.4,0,0.3,0.2,-0.3,6,35,1,0,51,passing,GER,DF,26,1993,15.2,906,133,511,378,25,15,906,7,7,100.0,0,0.0,422,1993,1233,7,4,0,7,1,421,2,possession,GER,DF,26,1993,15.2,1,7,2,28.6,0.46,0.13,0.14,0.5,11.6,0,0,0,0.5,0.5,0.06,0.5,0.5,shooting,GER,DF,26,1993,15.2,32,21,23,8,1,18,31,58.1,13,26,17,9,41,73,91,2,defense,GER,DF,26,1993,15.2,2,0,0,14,13,0,4,41,21,0,1,0,106,46,30,60.5,misc
GER-Bundesliga,2020,Bayern Munich,Alexander Nübel,GER,GK,23,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,23,1996,1.0,34,36,94.4,731,476,10,10,100.0,20,20,100.0,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,0,passing,GER,GK,23,1996,1.0,40,35,38,2,0,0,40,0,0,,0,,17,77,50,0,0,0,0,0,23,0,possession,GER,GK,23,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,23,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,GER,GK,23,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
GER-Bundesliga,2020,Hertha BSC,Alexander Schwolow,GER,GK,28,1992,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,28,1992,26.0,729,923,79.0,20632,13974,89,89,100.0,389,393,99.0,249,432,57.6,0,0.0,0.0,0.0,0,3,0,0,1,passing,GER,GK,28,1992,26.0,976,828,973,3,0,0,976,1,1,100.0,0,0.0,525,2546,1487,0,0,0,0,0,468,0,possession,GER,GK,28,1992,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,28,1992,26.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0,defense,GER,GK,28,1992,26.0,0,0,0,0,5,0,0,0,0,0,0,0,34,4,0,100.0,misc
GER-Bundesliga,2020,RB Leipzig,Alexander Sørloth,NOR,FW,24,1995,29,13,1443,16.0,5,3,8,5,0,1,2,0,6.4,5.6,2.7,8.3,43,34,143,0.31,0.19,0.5,0.31,0.5,0.4,0.17,0.57,0.35,0.52,standard,NOR,FW,24,1995,16.0,330,466,70.8,3954,760,211,264,79.9,76,108,70.4,8,15,53.3,3,2.7,3.0,0.3,29,10,16,2,34,passing,NOR,FW,24,1995,16.0,653,15,39,265,354,112,652,38,24,63.2,14,36.8,329,2029,941,43,33,19,44,32,511,143,possession,NOR,FW,24,1995,16.0,5,46,17,37.0,2.87,1.06,0.11,0.29,12.4,0,0,1,6.4,5.6,0.13,-1.4,-0.6,shooting,NOR,FW,24,1995,16.0,7,5,0,5,2,2,14,14.3,12,13,2,11,3,10,13,0,defense,NOR,FW,24,1995,16.0,2,0,0,27,7,7,18,3,5,1,0,0,37,80,44,64.5,misc
GER-Bundesliga,2020,Augsburg,Alfreð Finnbogason,ISL,FW,31,1989,17,4,544,6.0,0,1,1,0,0,2,0,0,3.1,1.5,0.9,2.5,5,18,47,0.0,0.17,0.17,0.0,0.17,0.51,0.15,0.67,0.25,0.41,standard,ISL,FW,31,1989,6.0,110,177,62.1,1825,420,51,81,63.0,38,58,65.5,14,15,93.3,1,0.9,0.8,0.1,9,12,2,0,18,passing,ISL,FW,31,1989,6.0,243,6,27,116,104,30,241,5,4,80.0,1,20.0,127,706,287,5,7,3,21,10,175,47,possession,ISL,FW,31,1989,6.0,0,11,6,54.5,1.82,0.99,0.0,0.0,15.8,0,0,2,3.1,1.5,0.14,-3.1,-1.5,shooting,ISL,FW,31,1989,6.0,2,1,0,1,1,0,1,0.0,1,7,1,6,1,3,4,0,defense,ISL,FW,31,1989,6.0,0,0,0,10,5,0,4,1,1,0,0,0,18,9,18,33.3,misc
GER-Bundesliga,2020,Stuttgart,Alkhaly Momo Cissé,GUI,"FW,DF",17,2002,5,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,standard,GUI,"FW,DF",17,2002,0.4,12,16,75.0,180,32,7,9,77.8,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,2,passing,GUI,"FW,DF",17,2002,0.4,24,0,3,12,9,1,24,1,0,0.0,1,100.0,12,59,31,1,1,1,3,0,14,3,possession,GUI,"FW,DF",17,2002,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GUI,"FW,DF",17,2002,0.4,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,defense,GUI,"FW,DF",17,2002,0.4,1,0,0,2,0,0,1,0,1,0,0,0,1,1,2,33.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Almamy Touré,MLI,DF,24,1996,17,8,704,7.8,1,1,2,1,0,0,2,0,1.9,1.9,2.0,3.9,17,27,70,0.13,0.13,0.26,0.13,0.26,0.24,0.26,0.49,0.24,0.49,standard,MLI,DF,24,1996,7.8,222,341,65.1,3608,1782,127,166,76.5,60,88,68.2,28,52,53.8,1,2.0,2.3,-1.0,14,18,22,17,27,passing,MLI,DF,24,1996,7.8,449,25,100,170,188,28,449,16,10,62.5,6,37.5,211,1178,649,17,15,2,17,5,271,70,possession,MLI,DF,24,1996,7.8,1,15,4,26.7,1.92,0.51,0.07,0.25,13.9,0,0,0,1.9,1.9,0.12,-0.9,-0.9,shooting,MLI,DF,24,1996,7.8,18,12,8,7,3,10,14,71.4,4,5,1,4,8,26,22,0,defense,MLI,DF,24,1996,7.8,2,0,0,13,1,6,45,8,12,0,1,0,57,18,14,56.3,misc
GER-Bundesliga,2020,Bayern Munich,Alphonso Davies,CAN,DF,19,2000,23,22,1763,19.6,1,2,3,1,0,0,2,1,0.2,0.2,1.9,2.1,80,123,131,0.05,0.1,0.15,0.05,0.15,0.01,0.1,0.11,0.01,0.11,standard,CAN,DF,19,2000,19.6,1322,1492,88.6,19267,5346,747,809,92.3,481,520,92.5,46,69,66.7,2,1.9,2.2,0.1,21,107,19,6,123,passing,CAN,DF,19,2000,19.6,1736,54,420,877,480,34,1736,96,63,65.6,33,34.4,1027,6227,3498,80,63,14,62,28,1109,131,possession,CAN,DF,19,2000,19.6,1,4,3,75.0,0.2,0.15,0.25,0.33,23.2,0,0,0,0.2,0.2,0.04,0.8,0.8,shooting,CAN,DF,19,2000,19.6,39,27,16,17,6,28,40,70.0,12,21,1,20,28,67,33,1,defense,CAN,DF,19,2000,19.6,2,1,0,14,37,3,36,28,27,0,0,0,201,12,22,35.3,misc
GER-Bundesliga,2020,RB Leipzig,Amadou Haidara,MLI,"MF,FW",22,1998,31,21,1905,21.2,3,1,4,3,0,0,4,0,3.9,3.9,3.0,6.8,53,99,121,0.14,0.05,0.19,0.14,0.19,0.18,0.14,0.32,0.18,0.32,standard,MLI,"MF,FW",22,1998,21.2,869,1099,79.1,12075,3814,526,609,86.4,248,312,79.5,44,76,57.9,1,3.0,3.2,-2.0,35,86,26,8,99,passing,MLI,"MF,FW",22,1998,21.2,1386,25,219,723,459,59,1386,31,20,64.5,11,35.5,744,3550,1925,53,28,12,43,22,914,121,possession,MLI,"MF,FW",22,1998,21.2,3,43,13,30.2,2.03,0.61,0.07,0.23,19.6,1,0,0,3.9,3.9,0.09,-0.9,-0.9,shooting,MLI,"MF,FW",22,1998,21.2,50,28,20,21,9,11,36,30.6,25,33,1,32,30,80,24,0,defense,MLI,"MF,FW",22,1998,21.2,4,0,0,23,17,5,29,30,28,1,0,0,138,34,39,46.6,misc
GER-Bundesliga,2020,Eint Frankfurt,Amin Younes,GER,MF,26,1993,26,16,1391,15.5,3,3,6,3,0,0,5,0,2.8,2.8,1.6,4.5,61,98,119,0.19,0.19,0.39,0.19,0.39,0.18,0.11,0.29,0.18,0.29,standard,GER,MF,26,1993,15.5,493,672,73.4,7569,2611,283,333,85.0,141,201,70.1,44,77,57.1,3,1.6,2.7,1.4,24,68,27,4,98,passing,GER,MF,26,1993,15.5,867,5,74,407,396,55,867,81,51,63.0,30,37.0,582,3620,1955,61,35,20,32,32,663,119,possession,GER,MF,26,1993,15.5,3,33,13,39.4,2.14,0.84,0.09,0.23,18.2,0,0,0,2.8,2.8,0.09,0.2,0.2,shooting,GER,MF,26,1993,15.5,25,14,8,10,7,6,32,18.8,26,19,1,18,13,38,4,0,defense,GER,MF,26,1993,15.5,5,0,0,38,26,6,44,13,14,0,0,0,75,1,15,6.3,misc
GER-Bundesliga,2020,Schalke 04,Amine Harit,MAR,"MF,FW",23,1997,28,25,2101,23.3,2,5,7,2,0,0,4,0,1.5,1.5,5.1,6.7,83,93,152,0.09,0.21,0.3,0.09,0.3,0.07,0.22,0.29,0.07,0.29,standard,MAR,"MF,FW",23,1997,23.3,639,869,73.5,10046,3127,323,391,82.6,211,264,79.9,64,120,53.3,5,5.1,4.0,-0.1,51,42,39,3,93,passing,MAR,"MF,FW",23,1997,23.3,1117,12,159,545,447,49,1117,142,90,63.4,52,36.6,782,5435,2762,83,70,18,65,60,856,152,possession,MAR,"MF,FW",23,1997,23.3,2,22,5,22.7,0.94,0.21,0.09,0.4,21.4,1,0,0,1.5,1.5,0.07,0.5,0.5,shooting,MAR,"MF,FW",23,1997,23.3,22,13,8,11,3,10,23,43.5,13,9,1,8,17,39,7,1,defense,MAR,"MF,FW",23,1997,23.3,4,0,0,28,79,7,71,17,13,2,0,0,99,6,22,21.4,misc
GER-Bundesliga,2020,Freiburg,Amir Abrashi,ALB,"MF,DF",30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ALB,"MF,DF",30,1990,0.7,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ALB,"MF,DF",30,1990,0.7,30,3,12,14,4,0,30,0,0,,0,,18,102,47,1,2,1,1,1,16,1,possession,ALB,"MF,DF",30,1990,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ALB,"MF,DF",30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,defense,ALB,"MF,DF",30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,misc
GER-Bundesliga,2020,Arminia,Anderson Lucoqui,ANG,DF,23,1997,21,18,1604,17.8,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.4,18,45,23,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard,ANG,DF,23,1997,17.8,472,724,65.2,8357,3211,205,257,79.8,220,318,69.2,39,97,40.2,0,0.2,0.4,-0.2,6,37,6,2,45,passing,ANG,DF,23,1997,17.8,960,64,361,449,160,3,960,22,12,54.5,10,45.5,394,2022,826,18,16,1,32,17,388,23,possession,ANG,DF,23,1997,17.8,0,8,1,12.5,0.45,0.06,0.0,0.0,29.5,0,0,0,0.2,0.2,0.02,-0.2,-0.2,shooting,ANG,DF,23,1997,17.8,40,25,23,17,0,20,40,50.0,20,30,7,23,27,67,53,0,defense,ANG,DF,23,1997,17.8,5,0,0,27,39,0,16,27,25,0,0,0,104,25,24,51.0,misc
GER-Bundesliga,2020,Union Berlin,Andreas Luthe,GER,GK,33,1987,31,31,2768,30.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,33,1987,30.8,811,1143,71.0,22829,16779,167,167,100.0,373,386,96.6,268,585,45.8,0,0.0,0.1,0.0,0,12,0,0,0,passing,GER,GK,33,1987,30.8,1217,994,1215,3,0,0,1217,1,1,100.0,0,0.0,652,3097,1694,0,0,0,0,0,600,0,possession,GER,GK,33,1987,30.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,GER,GK,33,1987,30.8,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,8,3,defense,GER,GK,33,1987,30.8,1,0,0,1,3,0,0,0,1,0,1,0,65,11,0,100.0,misc
GER-Bundesliga,2020,Arminia,Andreas Voglsammer,GER,"FW,MF",28,1992,18,11,1000,11.1,2,2,4,2,0,0,1,0,3.9,3.9,1.9,5.8,20,23,71,0.18,0.18,0.36,0.18,0.36,0.35,0.17,0.52,0.35,0.52,standard,GER,"FW,MF",28,1992,11.1,150,269,55.8,2233,667,83,132,62.9,43,78,55.1,11,24,45.8,2,1.9,1.5,0.1,11,12,8,3,23,passing,GER,"FW,MF",28,1992,11.1,394,12,55,150,193,62,394,8,3,37.5,5,62.5,208,1063,439,20,7,6,31,18,272,71,possession,GER,"FW,MF",28,1992,11.1,2,32,12,37.5,2.88,1.08,0.06,0.17,16.5,3,0,0,3.9,3.9,0.12,-1.9,-1.9,shooting,GER,"FW,MF",28,1992,11.1,12,8,6,6,0,8,17,47.1,9,11,0,11,3,15,11,0,defense,GER,"FW,MF",28,1992,11.1,1,0,0,14,14,4,18,3,8,0,0,0,45,43,41,51.2,misc
GER-Bundesliga,2020,Hoffenheim,Andrej Kramarić,CRO,"FW,MF",29,1991,28,26,2379,26.4,20,5,25,15,5,5,2,0,14.8,10.8,4.2,15.1,88,106,235,0.76,0.19,0.95,0.57,0.76,0.56,0.16,0.72,0.41,0.57,standard,CRO,"FW,MF",29,1991,26.4,780,1019,76.5,12495,2621,403,458,88.0,269,338,79.6,73,128,57.0,5,4.2,4.9,0.8,40,63,33,13,106,passing,CRO,"FW,MF",29,1991,26.4,1267,11,94,551,632,133,1262,50,25,50.0,25,50.0,839,4968,2311,88,51,31,57,38,997,235,possession,CRO,"FW,MF",29,1991,26.4,20,91,39,42.9,3.44,1.48,0.16,0.38,18.4,7,5,5,14.8,10.8,0.12,5.2,4.2,shooting,CRO,"FW,MF",29,1991,26.4,7,4,4,0,3,3,8,37.5,5,8,1,7,7,14,5,1,defense,CRO,"FW,MF",29,1991,26.4,2,0,0,2,42,9,92,7,4,0,0,0,96,7,18,28.0,misc
GER-Bundesliga,2020,Augsburg,André Hahn,GER,"FW,MF",29,1990,29,24,2037,22.6,8,3,11,8,0,0,4,0,5.0,5.0,2.1,7.1,22,29,82,0.35,0.13,0.49,0.35,0.49,0.22,0.09,0.31,0.22,0.31,standard,GER,"FW,MF",29,1990,22.6,247,457,54.0,4105,921,120,194,61.9,95,151,62.9,21,52,40.4,3,2.1,1.3,0.9,18,17,9,3,29,passing,GER,"FW,MF",29,1990,22.6,737,30,124,348,279,68,737,40,17,42.5,23,57.5,362,2008,662,22,15,3,48,23,460,82,possession,GER,"FW,MF",29,1990,22.6,8,43,14,32.6,1.9,0.62,0.19,0.57,15.2,0,0,0,5.0,5.0,0.12,3.0,3.0,shooting,GER,"FW,MF",29,1990,22.6,31,17,14,13,4,9,44,20.5,35,35,3,32,14,45,24,0,defense,GER,"FW,MF",29,1990,22.6,4,0,0,33,27,14,28,14,17,1,0,0,65,68,111,38.0,misc
GER-Bundesliga,2020,Eint Frankfurt,André Silva,POR,FW,24,1995,32,32,2760,30.7,28,7,35,21,7,7,1,0,25.6,20.1,4.7,24.8,46,67,255,0.91,0.23,1.14,0.68,0.91,0.83,0.15,0.99,0.65,0.81,standard,POR,FW,24,1995,30.7,561,774,72.5,7354,1308,338,437,77.3,171,214,79.9,17,28,60.7,7,4.7,4.9,2.3,31,36,19,2,67,passing,POR,FW,24,1995,30.7,1114,20,49,452,622,191,1107,57,26,45.6,31,54.4,571,2991,1179,46,31,30,87,48,838,255,possession,POR,FW,24,1995,30.7,28,110,53,48.2,3.59,1.73,0.19,0.4,13.3,3,7,7,25.6,20.1,0.19,2.4,0.9,shooting,POR,FW,24,1995,30.7,11,2,0,7,4,6,13,46.2,7,11,1,10,3,14,15,0,defense,POR,FW,24,1995,30.7,1,0,0,18,34,28,12,3,2,3,0,0,72,73,92,44.2,misc
