nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
BEL,"MF,DF",19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,19.9,2,0,0,1.8,1.8,0.09,1.2,1.2,GER-Bundesliga,2023,shooting
GER,MF,24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,22.2,3,0,0,1.5,1.5,0.07,0.5,0.5,GER-Bundesliga,2023,shooting
CRO,"FW,MF",21,2002,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0,GER-Bundesliga,2023,shooting
KVX,MF,25,1997,22.1,2,28,3,10.7,1.27,0.14,0.04,0.33,24.3,0,1,1,1.7,1.0,0.03,0.3,0.0,GER-Bundesliga,2023,shooting
BIH,"FW,MF",25,1998,31.9,15,77,32,41.6,2.41,1.0,0.16,0.38,14.0,0,3,4,13.5,10.3,0.13,1.5,1.7,GER-Bundesliga,2023,shooting
GER,GK,25,1998,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
FIN,"MF,FW",25,1997,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,18.9,0,0,0,0.9,0.9,0.06,1.1,1.1,GER-Bundesliga,2023,shooting
BRA,DF,26,1997,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,16.5,0,0,0,1.4,1.4,0.08,-0.4,-0.4,GER-Bundesliga,2023,shooting
FRA,"MF,DF",25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,GER-Bundesliga,2023,shooting
NED,DF,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,15.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,GER-Bundesliga,2023,shooting
SUI,DF,28,1995,22.7,0,4,1,25.0,0.18,0.04,0.0,0.0,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,GER-Bundesliga,2023,shooting
CRO,MF,26,1997,11.7,2,13,5,38.5,1.11,0.43,0.15,0.4,23.9,0,0,0,0.8,0.8,0.06,1.2,1.2,GER-Bundesliga,2023,shooting
DEN,DF,26,1996,19.8,1,13,1,7.7,0.66,0.05,0.08,1.0,19.0,0,0,0,0.8,0.8,0.06,0.2,0.2,GER-Bundesliga,2023,shooting
,MF,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
JPN,"FW,DF",27,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
GER,DF,23,2000,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4,GER-Bundesliga,2023,shooting
GER,FW,25,1998,1.4,0,5,0,0.0,3.69,0.0,0.0,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,GER-Bundesliga,2023,shooting
GER,"MF,DF",18,2005,1.3,1,2,1,50.0,1.53,0.76,0.5,1.0,16.0,0,0,0,0.2,0.2,0.1,0.8,0.8,GER-Bundesliga,2023,shooting
COD,FW,21,2002,0.1,0,1,0,0.0,18.0,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,GER-Bundesliga,2023,shooting
GER,MF,25,1998,15.4,0,14,0,0.0,0.91,0.0,0.0,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7,GER-Bundesliga,2023,shooting
GER,DF,25,1997,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,9.2,0,0,0,1.4,1.4,0.11,0.6,0.6,GER-Bundesliga,2023,shooting
GER,DF,23,1999,5.7,0,11,0,0.0,1.94,0.0,0.0,,17.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,GER-Bundesliga,2023,shooting
ESP,"MF,FW",26,1996,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,15.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0,GER-Bundesliga,2023,shooting
GER,FW,26,1997,26.5,8,52,18,34.6,1.96,0.68,0.15,0.44,15.1,1,0,0,8.2,8.2,0.16,-0.2,-0.2,GER-Bundesliga,2023,shooting
POL,DF,25,1998,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,GER-Bundesliga,2023,shooting
SUI,"MF,FW",24,1998,21.8,4,49,17,34.7,2.25,0.78,0.08,0.24,17.4,3,0,0,3.9,3.9,0.08,0.1,0.1,GER-Bundesliga,2023,shooting
GER,"FW,MF",33,1990,6.5,2,12,5,41.7,1.85,0.77,0.08,0.2,20.7,0,1,2,2.4,0.8,0.07,-0.4,0.2,GER-Bundesliga,2023,shooting
GER,MF,21,2002,7.0,0,3,0,0.0,0.43,0.0,0.0,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,GER-Bundesliga,2023,shooting
CZE,GK,30,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
GER,MF,19,2004,13.6,2,8,2,25.0,0.59,0.15,0.25,1.0,16.0,0,0,0,1.2,1.2,0.15,0.8,0.8,GER-Bundesliga,2023,shooting
CAN,DF,22,2000,22.9,2,13,4,30.8,0.57,0.17,0.15,0.5,22.2,0,0,0,1.0,1.0,0.08,1.0,1.0,GER-Bundesliga,2023,shooting
SEN,DF,31,1992,1.2,0,1,1,100.0,0.85,0.85,0.0,0.0,5.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2,GER-Bundesliga,2023,shooting
ESP,"FW,MF",22,2001,2.0,0,7,4,57.1,3.44,1.97,0.0,0.0,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,GER-Bundesliga,2023,shooting
ISR,GK,23,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
FRA,DF,24,1998,19.6,1,11,4,36.4,0.56,0.2,0.09,0.25,10.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,GER-Bundesliga,2023,shooting
ENG,DF,29,1994,13.0,0,9,3,33.3,0.69,0.23,0.0,0.0,10.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,GER-Bundesliga,2023,shooting
CMR,"MF,FW",34,1989,8.0,2,26,11,42.3,3.26,1.38,0.08,0.18,12.5,0,0,0,4.5,4.5,0.17,-2.5,-2.5,GER-Bundesliga,2023,shooting
GER,DF,20,2003,0.6,0,2,2,100.0,3.21,3.21,0.0,0.0,19.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,GER-Bundesliga,2023,shooting
ENG,FW,30,1993,31.5,36,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5,30.6,26.7,0.19,5.4,4.3,GER-Bundesliga,2023,shooting
GER,"MF,FW",20,2003,19.5,10,58,21,36.2,2.97,1.08,0.17,0.48,15.8,0,0,0,7.9,7.9,0.14,2.1,2.1,GER-Bundesliga,2023,shooting
DEN,FW,17,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
GER,"MF,DF",28,1995,24.2,1,25,7,28.0,1.03,0.29,0.04,0.14,24.6,3,0,0,1.1,1.1,0.05,-0.1,-0.1,GER-Bundesliga,2023,shooting
KOR,DF,26,1996,21.9,1,10,3,30.0,0.46,0.14,0.1,0.33,10.4,0,0,0,0.8,0.8,0.08,0.2,0.2,GER-Bundesliga,2023,shooting
FRA,FW,27,1996,12.4,3,34,8,23.5,2.75,0.65,0.09,0.38,17.6,0,0,0,2.8,2.8,0.08,0.2,0.2,GER-Bundesliga,2023,shooting
AUT,"DF,MF",26,1997,19.7,0,17,5,29.4,0.86,0.25,0.0,0.0,16.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,GER-Bundesliga,2023,shooting
GER,MF,28,1995,24.9,6,56,14,25.0,2.25,0.56,0.11,0.43,17.5,0,0,0,5.0,5.0,0.09,1.0,1.0,GER-Bundesliga,2023,shooting
GER,FW,27,1996,23.7,8,73,28,38.4,3.07,1.18,0.11,0.29,17.6,6,0,0,10.9,10.9,0.15,-2.9,-2.9,GER-Bundesliga,2023,shooting
CRO,"FW,MF",18,2005,1.8,1,1,1,100.0,0.55,0.55,1.0,1.0,16.8,0,0,0,0.1,0.1,0.07,0.9,0.9,GER-Bundesliga,2023,shooting
GER,GK,37,1986,22.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
FRA,"FW,MF",18,2005,11.7,7,43,18,41.9,3.69,1.54,0.16,0.39,15.9,0,0,0,3.7,3.7,0.09,3.3,3.3,GER-Bundesliga,2023,shooting
SWE,FW,17,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
NED,DF,23,1999,15.4,2,14,6,42.9,0.91,0.39,0.14,0.33,9.7,0,0,0,1.7,1.7,0.12,0.3,0.3,GER-Bundesliga,2023,shooting
MAR,DF,25,1997,13.3,0,12,3,25.0,0.9,0.23,0.0,0.0,19.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,GER-Bundesliga,2023,shooting
POR,"DF,MF",29,1993,13.2,3,18,6,33.3,1.36,0.45,0.17,0.5,19.1,0,0,0,2.4,2.4,0.14,0.6,0.6,GER-Bundesliga,2023,shooting
NED,FW,21,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
FRA,DF,22,2000,1.2,0,1,0,0.0,0.83,0.0,0.0,,8.4,0,0,0,0.2,0.2,0.24,-0.2,-0.2,GER-Bundesliga,2023,shooting
GER,"FW,MF",28,1995,4.8,3,17,6,35.3,3.54,1.25,0.18,0.5,12.9,0,0,0,2.4,2.4,0.15,0.6,0.6,GER-Bundesliga,2023,shooting
GER,GK,34,1988,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
GER,"MF,FW",33,1989,18.4,5,36,11,30.6,1.96,0.6,0.14,0.45,11.9,0,0,0,5.7,5.7,0.17,-0.7,-0.7,GER-Bundesliga,2023,shooting
GER,GK,36,1987,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
FRA,MF,37,1986,28.6,1,28,6,21.4,0.98,0.21,0.04,0.17,18.0,0,0,0,2.3,2.3,0.08,-1.3,-1.3,GER-Bundesliga,2023,shooting
BRA,DF,28,1995,32.5,1,29,8,27.6,0.89,0.25,0.03,0.13,12.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,GER-Bundesliga,2023,shooting
GHA,"FW,MF",29,1994,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2,GER-Bundesliga,2023,shooting
CRC,DF,33,1989,13.2,0,6,1,16.7,0.45,0.08,0.0,0.0,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,GER-Bundesliga,2023,shooting
BRA,DF,31,1991,3.9,0,3,0,0.0,0.77,0.0,0.0,,28.4,0,0,0,0.0,0.0,0.01,0.0,0.0,GER-Bundesliga,2023,shooting
SRB,"DF,MF",24,1998,24.7,0,17,3,17.6,0.69,0.12,0.0,0.0,21.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,GER-Bundesliga,2023,shooting
GER,DF,25,1998,10.7,2,14,3,21.4,1.31,0.28,0.14,0.67,21.0,0,0,0,0.9,0.9,0.06,1.1,1.1,GER-Bundesliga,2023,shooting
POR,"FW,MF",28,1994,7.2,3,38,12,31.6,5.26,1.66,0.08,0.25,17.9,1,0,0,3.0,3.0,0.08,0.0,0.0,GER-Bundesliga,2023,shooting
UKR,DF,31,1992,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,10.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3,GER-Bundesliga,2023,shooting
GER,DF,26,1997,24.3,5,27,12,44.4,1.11,0.49,0.19,0.42,12.9,0,0,0,2.0,2.0,0.08,3.0,3.0,GER-Bundesliga,2023,shooting
AUT,MF,29,1993,29.6,7,71,14,19.7,2.4,0.47,0.04,0.21,25.7,13,4,4,6.2,3.1,0.04,0.8,-0.1,GER-Bundesliga,2023,shooting
GER,"MF,FW",24,1998,6.0,1,13,5,38.5,2.18,0.84,0.08,0.2,16.7,0,0,0,2.3,2.3,0.18,-1.3,-1.3,GER-Bundesliga,2023,shooting
GER,GK,34,1988,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2023,shooting
SVK,"MF,FW",27,1995,18.5,1,30,6,20.0,1.63,0.33,0.03,0.17,19.9,0,0,0,2.9,2.9,0.1,-1.9,-1.9,GER-Bundesliga,2023,shooting
GER,"DF,FW",27,1995,11.9,3,26,8,30.8,2.19,0.67,0.12,0.38,25.5,3,0,0,1.3,1.3,0.05,1.7,1.7,GER-Bundesliga,2023,shooting
GER,FW,22,2000,13.9,2,26,7,26.9,1.88,0.51,0.08,0.29,15.4,0,0,0,2.4,2.4,0.09,-0.4,-0.4,GER-Bundesliga,2023,shooting
