league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2021,Hellas Verona,Adrien Tameze,CMR,MF,26,1994,33,28,2304,25.6,1,0,1,1,0,0,6,0,1.2,1.2,0.6,1.7,33,101,58,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,standard,CMR,MF,26,1994,25.6,1277,53,279,748,272,17,1277,45,34,75.6,11,24.4,639,3350,1719,33,19,1,39,28,721,58,possession,CMR,MF,26,1994,25.6,39,25,23,15,1,11,27,40.7,16,31,8,23,32,71,46,2,defense,CMR,MF,26,1994,25.6,802,1014,79.1,14073,3190,359,426,84.3,332,394,84.3,87,127,68.5,0,0.6,1.1,-0.6,11,71,18,2,101,passing,CMR,MF,26,1994,25.6,6,0,0,35,29,2,15,32,25,0,1,0,188,44,48,47.8,misc,CMR,MF,26,1994,25.6,1,18,3,16.7,0.7,0.12,0.06,0.33,21.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2,shooting
ITA-Serie A,2021,Crotone,Ahmad Benali,LBY,MF,28,1992,18,15,1214,13.5,0,1,1,0,0,0,2,0,0.6,0.6,1.2,1.8,24,67,48,0.0,0.07,0.07,0.0,0.07,0.04,0.09,0.13,0.04,0.13,standard,LBY,MF,28,1992,13.5,899,40,241,488,178,28,899,20,9,45.0,11,55.0,512,2501,1091,24,20,5,22,11,638,48,possession,LBY,MF,28,1992,13.5,19,11,10,9,0,11,38,28.9,27,15,2,13,6,25,15,0,defense,LBY,MF,28,1992,13.5,662,788,84.0,10717,3005,323,363,89.0,267,300,89.0,48,74,64.9,1,1.2,1.3,-0.2,14,55,10,1,67,passing,LBY,MF,28,1992,13.5,2,0,0,12,16,1,28,6,11,0,0,0,94,10,4,71.4,misc,LBY,MF,28,1992,13.5,0,10,4,40.0,0.74,0.3,0.0,0.0,17.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting
ITA-Serie A,2021,Hellas Verona,Alan Empereur,BRA,DF,26,1994,4,4,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,14,3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,BRA,DF,26,1994,2.4,129,9,39,81,10,1,129,0,0,,0,,73,389,264,2,2,0,0,2,94,3,possession,BRA,DF,26,1994,2.4,0,0,0,0,0,0,0,,0,1,1,0,6,6,7,1,defense,BRA,DF,26,1994,2.4,90,111,81.1,1684,521,31,37,83.8,52,56,92.9,7,14,50.0,0,0.0,0.0,0.0,0,11,0,0,14,passing,BRA,DF,26,1994,2.4,1,0,0,3,1,0,0,6,0,0,0,0,7,2,3,40.0,misc,BRA,DF,26,1994,2.4,0,1,0,0.0,0.41,0.0,0.0,,7.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
ITA-Serie A,2021,Cagliari,Alberto Cerri,ITA,FW,24,1996,23,3,369,4.1,1,0,1,1,0,0,1,0,3.0,3.0,0.6,3.7,3,9,50,0.24,0.0,0.24,0.24,0.24,0.74,0.15,0.89,0.74,0.89,standard,ITA,FW,24,1996,4.1,216,7,17,77,122,43,216,13,8,61.5,5,38.5,110,481,134,3,2,2,15,11,168,50,possession,ITA,FW,24,1996,4.1,3,2,0,2,1,0,5,0.0,5,4,2,2,2,5,6,0,defense,ITA,FW,24,1996,4.1,88,146,60.3,1351,238,42,66,63.6,33,49,67.3,6,10,60.0,0,0.6,1.0,-0.6,7,4,4,0,9,passing,ITA,FW,24,1996,4.1,1,0,0,18,15,1,3,2,2,0,0,0,12,34,23,59.6,misc,ITA,FW,24,1996,4.1,1,16,6,37.5,3.9,1.46,0.06,0.17,11.5,0,0,0,3.0,3.0,0.19,-2.0,-2.0,shooting
ITA-Serie A,2021,Parma,Alberto Grassi,ITA,"MF,DF",25,1995,23,13,1177,13.1,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.8,13,34,30,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,standard,ITA,"MF,DF",25,1995,13.1,637,48,192,328,124,16,637,14,7,50.0,7,50.0,297,1220,538,13,9,3,24,4,355,30,possession,ITA,"MF,DF",25,1995,13.1,30,11,14,13,3,8,29,27.6,21,22,9,13,26,56,32,0,defense,ITA,"MF,DF",25,1995,13.1,362,461,78.5,5844,1540,176,212,83.0,152,175,86.9,26,45,57.8,0,0.4,0.4,-0.4,3,28,3,0,34,passing,ITA,"MF,DF",25,1995,13.1,3,0,0,16,27,1,11,26,11,0,0,1,63,13,9,59.1,misc,ITA,"MF,DF",25,1995,13.1,0,10,3,30.0,0.76,0.23,0.0,0.0,20.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting
ITA-Serie A,2021,Genoa,Alberto Paleari,ITA,GK,27,1992,3,2,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,27,1992,2.3,84,71,82,2,0,0,84,0,0,,0,,48,228,122,0,0,0,0,0,34,0,possession,ITA,GK,27,1992,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,ITA,GK,27,1992,2.3,53,78,67.9,1225,868,17,17,100.0,22,22,100.0,12,37,32.4,0,0.0,0.0,0.0,0,2,0,0,0,passing,ITA,GK,27,1992,2.3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0,misc,ITA,GK,27,1992,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Sampdoria,Albin Ekdal,SWE,MF,31,1989,32,26,2299,25.5,2,1,3,2,0,0,9,0,0.9,0.9,0.9,1.8,22,95,18,0.08,0.04,0.12,0.08,0.12,0.04,0.04,0.07,0.04,0.07,standard,SWE,MF,31,1989,25.5,1326,62,345,808,192,22,1326,24,20,83.3,4,16.7,613,3158,1473,22,18,1,22,18,740,18,possession,SWE,MF,31,1989,25.5,56,29,21,32,3,23,65,35.4,42,31,12,19,49,105,35,0,defense,SWE,MF,31,1989,25.5,878,1049,83.7,13941,4033,440,491,89.6,346,401,86.3,58,89,65.2,1,0.9,0.7,0.1,11,73,8,0,95,passing,SWE,MF,31,1989,25.5,9,0,0,49,57,0,2,49,29,0,1,0,188,34,28,54.8,misc,SWE,MF,31,1989,25.5,2,14,3,21.4,0.55,0.12,0.14,0.67,18.1,0,0,0,0.9,0.9,0.06,1.1,1.1,shooting
ITA-Serie A,2021,Inter,Aleksandar Kolarov,SRB,DF,34,1985,7,4,390,4.3,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.3,14,41,9,0.0,0.23,0.23,0.0,0.23,0.03,0.26,0.29,0.03,0.29,standard,SRB,DF,34,1985,4.3,398,25,109,221,70,1,398,3,0,0.0,3,100.0,250,1549,1190,14,14,0,3,0,276,9,possession,SRB,DF,34,1985,4.3,4,4,0,4,0,1,2,50.0,1,2,0,2,7,11,8,0,defense,SRB,DF,34,1985,4.3,310,366,84.7,5768,1880,141,153,92.2,137,155,88.4,32,52,61.5,1,1.1,0.7,-0.1,6,33,4,1,41,passing,SRB,DF,34,1985,4.3,0,0,0,3,4,0,18,7,4,0,1,0,30,11,6,64.7,misc,SRB,DF,34,1985,4.3,0,6,2,33.3,1.38,0.46,0.0,0.0,29.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting
ITA-Serie A,2021,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",29,1991,4,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,RUS,"FW,MF",29,1991,1.0,33,0,4,13,16,1,33,0,0,,0,,20,82,50,2,2,1,0,1,23,9,possession,RUS,"FW,MF",29,1991,1.0,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,defense,RUS,"FW,MF",29,1991,1.0,26,31,83.9,283,40,18,18,100.0,5,6,83.3,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,3,passing,RUS,"FW,MF",29,1991,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,misc,RUS,"FW,MF",29,1991,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Inter,Alessandro Bastoni,ITA,DF,21,1999,33,33,2922,32.5,0,3,3,0,0,0,6,0,1.0,1.0,1.5,2.4,70,146,60,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.08,0.03,0.08,standard,ITA,DF,21,1999,32.5,2547,245,931,1357,278,19,2547,15,12,80.0,3,20.0,1649,8511,5492,70,55,2,19,6,1923,60,possession,ITA,DF,21,1999,32.5,36,22,13,21,2,17,27,63.0,10,34,16,18,40,76,75,0,defense,ITA,DF,21,1999,32.5,2065,2306,89.5,37276,10450,910,952,95.6,899,961,93.5,226,315,71.7,3,1.5,1.4,1.5,12,150,16,4,146,passing,ITA,DF,21,1999,32.5,6,0,0,40,28,0,24,40,22,0,0,0,164,48,32,60.0,misc,ITA,DF,21,1999,32.5,0,10,1,10.0,0.31,0.03,0.0,0.0,9.9,0,0,0,1.0,1.0,0.1,-1.0,-1.0,shooting
