league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2021,Genoa,Domenico Criscito,ITA,DF,33,1986,23,20,1726,19.2,1,0,1,0,1,1,6,0,0.9,0.1,0.4,0.6,39,83,18,0.05,0.0,0.05,0.0,0.0,0.05,0.02,0.07,0.01,0.03,standard,ITA,DF,33,1986,19.2,1279,120,521,639,132,6,1278,8,4,50.0,4,50.0,681,3551,2217,39,19,0,10,4,792,18,possession,ITA,DF,33,1986,19.2,43,22,29,11,3,22,39,56.4,17,27,14,13,44,87,51,0,defense,ITA,DF,33,1986,19.2,872,1086,80.3,16300,6632,353,390,90.5,395,454,87.0,106,199,53.3,0,0.4,0.8,-0.4,6,89,12,4,83,passing,ITA,DF,33,1986,19.2,6,0,0,23,26,0,27,44,22,0,1,0,110,20,26,43.5,misc,ITA,DF,33,1986,19.2,1,5,1,20.0,0.26,0.05,0.0,0.0,29.2,0,1,1,0.9,0.1,0.03,0.1,-0.1,shooting
ITA-Serie A,2021,Juventus,Douglas Costa,BRA,"MF,FW",29,1990,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,standard,BRA,"MF,FW",29,1990,0.5,31,0,4,17,11,0,31,0,0,,0,,17,93,47,0,1,0,2,1,20,6,possession,BRA,"MF,FW",29,1990,0.5,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,defense,BRA,"MF,FW",29,1990,0.5,19,25,76.0,257,65,12,13,92.3,5,8,62.5,1,2,50.0,0,0.1,0.0,-0.1,1,0,0,0,1,passing,BRA,"MF,FW",29,1990,0.5,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0.0,misc,BRA,"MF,FW",29,1990,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Napoli,Dries Mertens,BEL,"FW,MF",33,1987,29,18,1459,16.2,9,8,17,9,0,0,2,0,5.0,5.0,4.2,9.2,28,67,93,0.56,0.49,1.05,0.56,1.05,0.31,0.26,0.57,0.31,0.57,standard,BEL,"FW,MF",33,1987,16.2,615,7,37,223,360,93,615,22,11,50.0,11,50.0,346,1439,674,28,13,12,16,5,440,93,possession,BEL,"FW,MF",33,1987,16.2,16,14,4,7,5,5,25,20.0,20,7,1,6,9,25,3,1,defense,BEL,"FW,MF",33,1987,16.2,352,488,72.1,5375,1601,187,215,87.0,121,158,76.6,21,58,36.2,8,4.2,2.9,3.8,36,29,18,4,67,passing,BEL,"FW,MF",33,1987,16.2,2,0,0,15,9,5,64,9,14,0,0,0,40,2,11,15.4,misc,BEL,"FW,MF",33,1987,16.2,9,54,19,35.2,3.33,1.17,0.17,0.47,18.1,6,0,0,5.0,5.0,0.09,4.0,4.0,shooting
ITA-Serie A,2021,Parma,Drissa Camara,CIV,MF,18,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CIV,MF,18,2002,0.2,12,0,2,7,3,0,12,2,1,50.0,1,50.0,8,43,14,0,0,0,0,0,8,0,possession,CIV,MF,18,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,CIV,MF,18,2002,0.2,7,9,77.8,81,0,7,8,87.5,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,CIV,MF,18,2002,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0,misc,CIV,MF,18,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Duván Zapata,COL,FW,29,1991,37,29,2379,26.4,15,9,24,14,1,1,0,0,15.2,14.4,5.4,19.7,88,48,329,0.57,0.34,0.91,0.53,0.87,0.57,0.2,0.78,0.54,0.75,standard,COL,FW,29,1991,26.4,1214,24,57,374,798,221,1213,85,34,40.0,51,60.0,836,4620,1892,88,46,56,114,65,1009,329,possession,COL,FW,29,1991,26.4,12,5,2,3,7,4,13,30.8,9,19,5,14,6,18,19,0,defense,COL,FW,29,1991,26.4,614,817,75.2,8101,976,394,465,84.7,163,210,77.6,25,43,58.1,9,5.4,5.4,3.6,42,16,23,3,48,passing,COL,FW,29,1991,26.4,0,0,0,29,49,21,48,6,5,1,0,0,69,48,52,48.0,misc,COL,FW,29,1991,26.4,15,98,38,38.8,3.71,1.44,0.14,0.37,13.6,0,1,1,15.2,14.4,0.15,-0.2,-0.4,shooting
ITA-Serie A,2021,Fiorentina,Dušan Vlahović,SRB,FW,20,2000,37,34,2923,32.5,21,3,24,15,6,6,1,0,18.5,13.8,2.2,16.0,36,31,213,0.65,0.09,0.74,0.46,0.55,0.57,0.07,0.64,0.43,0.49,standard,SRB,FW,20,2000,32.5,987,16,59,419,522,146,981,54,27,50.0,27,50.0,572,2790,1031,36,29,13,106,89,817,213,possession,SRB,FW,20,2000,32.5,13,4,3,4,6,5,16,31.3,11,16,2,14,4,17,15,0,defense,SRB,FW,20,2000,32.5,394,616,64.0,5497,748,240,330,72.7,111,175,63.4,20,34,58.8,3,2.2,1.0,0.8,18,23,9,0,31,passing,SRB,FW,20,2000,32.5,1,0,0,53,70,26,21,4,4,2,0,0,79,114,144,44.2,misc,SRB,FW,20,2000,32.5,21,80,33,41.3,2.46,1.02,0.19,0.45,14.9,1,6,6,18.5,13.8,0.17,2.5,1.2,shooting
ITA-Serie A,2021,Hellas Verona,Ebrima Colley,GAM,"MF,FW",20,2000,23,4,734,8.2,1,0,1,1,0,0,1,0,1.7,1.7,0.7,2.4,28,22,95,0.12,0.0,0.12,0.12,0.12,0.21,0.08,0.29,0.21,0.29,standard,GAM,"MF,FW",20,2000,8.2,371,2,27,155,196,34,371,31,18,58.1,13,41.9,260,1909,805,28,34,8,34,19,301,95,possession,GAM,"MF,FW",20,2000,8.2,11,4,2,6,3,3,11,27.3,8,6,0,6,6,17,1,0,defense,GAM,"MF,FW",20,2000,8.2,183,255,71.8,2449,447,119,144,82.6,47,71,66.2,7,12,58.3,0,0.7,0.8,-0.7,7,16,6,0,22,passing,GAM,"MF,FW",20,2000,8.2,1,0,0,13,18,7,12,6,4,0,0,0,34,2,36,5.3,misc,GAM,"MF,FW",20,2000,8.2,1,17,7,41.2,2.08,0.86,0.06,0.14,14.9,0,0,0,1.7,1.7,0.1,-0.7,-0.7,shooting
ITA-Serie A,2021,Roma,Ebrima Darboe,GAM,MF,19,2001,5,4,323,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,23,2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,GAM,MF,19,2001,3.6,289,5,65,201,27,0,289,4,3,75.0,1,25.0,193,910,415,3,2,0,3,1,212,2,possession,GAM,MF,19,2001,3.6,5,2,3,1,1,3,10,30.0,7,3,0,3,8,13,0,1,defense,GAM,MF,19,2001,3.6,248,264,93.9,4397,1416,102,107,95.3,119,123,96.7,24,27,88.9,0,0.0,0.1,0.0,2,26,0,0,23,passing,GAM,MF,19,2001,3.6,2,0,0,3,3,0,0,8,2,0,0,0,40,2,4,33.3,misc,GAM,MF,19,2001,3.6,0,3,0,0.0,0.84,0.0,0.0,,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2021,Hellas Verona,Eddie Salcedo,ITA,"MF,FW",18,2001,21,7,755,8.4,2,0,2,2,0,0,3,0,3.9,3.9,0.3,4.2,13,29,53,0.24,0.0,0.24,0.24,0.24,0.46,0.04,0.51,0.46,0.51,standard,ITA,"MF,FW",18,2001,8.4,371,7,39,159,178,32,371,15,10,66.7,5,33.3,183,877,420,13,9,4,22,16,274,53,possession,ITA,"MF,FW",18,2001,8.4,6,2,3,2,1,3,3,100.0,0,6,0,6,6,12,6,0,defense,ITA,"MF,FW",18,2001,8.4,181,270,67.0,2357,756,117,149,78.5,50,71,70.4,5,16,31.3,0,0.3,0.5,-0.3,5,14,10,1,29,passing,ITA,"MF,FW",18,2001,8.4,3,0,0,14,15,3,18,6,2,1,0,0,34,36,57,38.7,misc,ITA,"MF,FW",18,2001,8.4,2,22,10,45.5,2.62,1.19,0.09,0.2,15.0,0,0,0,3.9,3.9,0.18,-1.9,-1.9,shooting
ITA-Serie A,2021,Roma,Edin Džeko,BIH,FW,34,1986,27,20,1824,20.3,7,3,10,7,0,1,2,0,13.2,12.4,2.2,14.6,50,53,174,0.35,0.15,0.49,0.35,0.49,0.65,0.11,0.76,0.61,0.72,standard,BIH,FW,34,1986,20.3,731,15,29,325,386,131,730,55,27,49.1,28,50.9,353,2316,1062,50,29,24,56,31,589,174,possession,BIH,FW,34,1986,20.3,8,6,2,3,3,3,9,33.3,6,9,4,5,1,9,11,0,defense,BIH,FW,34,1986,20.3,338,512,66.0,5191,1244,197,264,74.6,96,135,71.1,26,39,66.7,3,2.2,1.8,0.8,29,23,19,0,53,passing,BIH,FW,34,1986,20.3,2,0,0,25,37,10,16,1,6,1,0,0,28,82,54,60.3,misc,BIH,FW,34,1986,20.3,7,69,24,34.8,3.4,1.18,0.1,0.29,13.1,0,0,1,13.2,12.4,0.18,-6.2,-5.4,shooting
ITA-Serie A,2021,Roma,Edoardo Bove,ITA,MF,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,18,2002,0.1,12,1,4,8,0,0,12,0,0,,0,,9,43,27,0,0,0,0,0,9,0,possession,ITA,MF,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,ITA,MF,18,2002,0.1,11,11,100.0,168,51,7,7,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,misc,ITA,MF,18,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Genoa,Edoardo Goldaniga,ITA,DF,26,1993,25,19,1857,20.6,0,1,1,0,0,0,8,0,0.5,0.5,0.8,1.3,21,68,41,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,standard,ITA,DF,26,1993,20.6,1075,99,476,477,133,16,1075,11,6,54.5,5,45.5,586,2874,1472,21,25,3,10,3,638,41,possession,ITA,DF,26,1993,20.6,28,18,21,7,0,14,23,60.9,9,17,7,10,38,66,62,1,defense,ITA,DF,26,1993,20.6,650,893,72.8,11817,5294,286,327,87.5,289,380,76.1,69,154,44.8,1,0.8,0.7,0.2,7,61,13,7,68,passing,ITA,DF,26,1993,20.6,8,0,0,30,24,1,33,38,18,0,0,0,75,25,36,41.0,misc,ITA,DF,26,1993,20.6,0,7,0,0.0,0.34,0.0,0.0,,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting
ITA-Serie A,2021,Bologna,Edoardo Vergani,ITA,FW,19,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,FW,19,2001,0.1,3,0,0,2,1,0,3,0,0,,0,,2,7,4,0,0,0,1,0,3,1,possession,ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ITA,FW,19,2001,0.1,2,2,100.0,16,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,passing,ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ITA,FW,19,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Crotone,Eduardo Henrique,BRA,MF,25,1995,18,8,924,10.3,1,0,1,1,0,0,4,0,0.9,0.9,0.2,1.1,15,43,34,0.1,0.0,0.1,0.1,0.1,0.09,0.02,0.11,0.09,0.11,standard,BRA,MF,25,1995,10.3,479,11,95,300,89,13,479,20,13,65.0,7,35.0,288,1480,651,15,11,2,9,17,347,34,possession,BRA,MF,25,1995,10.3,5,2,1,4,0,3,12,25.0,9,6,1,5,7,12,7,1,defense,BRA,MF,25,1995,10.3,325,398,81.7,4600,1422,182,205,88.8,111,130,85.4,14,25,56.0,0,0.2,0.3,-0.2,6,35,4,0,43,passing,BRA,MF,25,1995,10.3,4,0,0,18,14,1,3,7,2,0,0,0,54,9,19,32.1,misc,BRA,MF,25,1995,10.3,1,9,1,11.1,0.88,0.1,0.11,1.0,18.3,0,0,0,0.9,0.9,0.1,0.1,0.1,shooting
ITA-Serie A,2021,Genoa,Eldor Shomurodov,UZB,FW,25,1995,31,16,1677,18.6,8,1,9,8,0,0,1,0,5.7,5.7,1.9,7.6,33,32,133,0.43,0.05,0.48,0.43,0.48,0.31,0.1,0.41,0.31,0.41,standard,UZB,FW,25,1995,18.6,718,15,69,329,334,81,718,34,15,44.1,19,55.9,408,2234,1037,33,19,11,76,30,540,133,possession,UZB,FW,25,1995,18.6,28,14,7,13,8,9,37,24.3,28,17,2,15,6,34,11,0,defense,UZB,FW,25,1995,18.6,329,483,68.1,4089,754,202,258,78.3,78,117,66.7,12,20,60.0,1,1.9,1.2,-0.9,20,17,9,2,32,passing,UZB,FW,25,1995,18.6,1,0,0,39,21,11,15,6,14,0,0,0,59,46,79,36.8,misc,UZB,FW,25,1995,18.6,8,39,17,43.6,2.09,0.91,0.21,0.47,14.5,0,0,0,5.7,5.7,0.15,2.3,2.3,shooting
ITA-Serie A,2021,Napoli,Elif Elmas,MKD,"MF,FW",20,1999,33,3,740,8.2,2,1,3,2,0,0,3,0,1.4,1.4,0.7,2.1,27,18,35,0.24,0.12,0.36,0.24,0.36,0.17,0.08,0.26,0.17,0.26,standard,MKD,"MF,FW",20,1999,8.2,446,8,65,225,160,25,446,16,12,75.0,4,25.0,276,1492,737,27,17,9,18,9,344,35,possession,MKD,"MF,FW",20,1999,8.2,15,4,3,6,6,7,12,58.3,5,11,1,10,2,17,10,0,defense,MKD,"MF,FW",20,1999,8.2,319,355,89.9,4423,596,204,220,92.7,88,96,91.7,17,19,89.5,1,0.7,0.8,0.3,12,16,3,1,18,passing,MKD,"MF,FW",20,1999,8.2,3,0,0,10,8,1,5,2,4,0,0,0,36,2,10,16.7,misc,MKD,"MF,FW",20,1999,8.2,2,13,6,46.2,1.58,0.73,0.15,0.33,16.8,0,0,0,1.4,1.4,0.11,0.6,0.6,shooting
ITA-Serie A,2021,Spezia,Elio Capradossi,UGA,DF,24,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,standard,UGA,DF,24,1996,1.0,59,15,46,10,3,2,59,0,0,,0,,21,80,41,0,0,0,1,0,35,1,possession,UGA,DF,24,1996,1.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,5,0,defense,UGA,DF,24,1996,1.0,37,45,82.2,596,106,17,21,81.0,18,21,85.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,UGA,DF,24,1996,1.0,0,0,0,1,0,0,0,1,1,0,0,0,4,1,2,33.3,misc,UGA,DF,24,1996,1.0,0,1,0,0.0,1.0,0.0,0.0,,5.0,0,0,0,0.3,0.3,0.29,-0.3,-0.3,shooting
ITA-Serie A,2021,Napoli,Elseid Hysaj,ALB,DF,26,1994,24,20,1768,19.6,0,2,2,0,0,0,2,0,0.3,0.3,1.3,1.6,49,86,49,0.0,0.1,0.1,0.0,0.1,0.01,0.07,0.08,0.01,0.08,standard,ALB,DF,26,1994,19.6,1407,77,429,751,242,14,1407,33,22,66.7,11,33.3,834,4316,2451,49,37,7,24,6,910,49,possession,ALB,DF,26,1994,19.6,29,17,16,11,2,17,33,51.5,16,18,4,14,30,59,52,0,defense,ALB,DF,26,1994,19.6,1029,1226,83.9,15509,5056,586,650,90.2,330,382,86.4,73,118,61.9,2,1.3,1.1,0.7,15,79,10,1,86,passing,ALB,DF,26,1994,19.6,2,0,0,16,20,0,18,30,17,0,1,0,116,18,13,58.1,misc,ALB,DF,26,1994,19.6,0,8,0,0.0,0.41,0.0,0.0,,25.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting
ITA-Serie A,2021,Bologna,Emanuel Vignato,ITA,"FW,MF",19,2000,31,11,1203,13.4,1,4,5,1,0,0,4,0,1.5,1.5,3.6,5.1,43,79,81,0.07,0.3,0.37,0.07,0.37,0.11,0.27,0.38,0.11,0.38,standard,ITA,"FW,MF",19,2000,13.4,826,22,138,365,337,25,826,38,23,60.5,15,39.5,505,3404,1599,43,28,8,17,11,586,81,possession,ITA,"FW,MF",19,2000,13.4,18,9,9,6,3,3,15,20.0,12,6,1,5,10,28,7,0,defense,ITA,"FW,MF",19,2000,13.4,526,713,73.8,8446,2958,279,324,86.1,177,241,73.4,51,86,59.3,4,3.6,2.8,0.4,26,56,19,3,79,passing,ITA,"FW,MF",19,2000,13.4,4,0,0,13,12,2,61,10,9,0,0,0,83,3,15,16.7,misc,ITA,"FW,MF",19,2000,13.4,1,23,8,34.8,1.72,0.6,0.04,0.13,20.2,1,0,0,1.5,1.5,0.06,-0.5,-0.5,shooting
ITA-Serie A,2021,Sampdoria,Emil Audero,IDN,GK,23,1997,37,37,3330,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,standard,IDN,GK,23,1997,37.0,1341,1180,1336,5,1,1,1341,0,0,,0,,709,3742,2187,0,0,0,0,0,572,0,possession,IDN,GK,23,1997,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0,defense,IDN,GK,23,1997,37.0,877,1247,70.3,26471,19006,124,125,99.2,387,394,98.2,364,724,50.3,1,0.2,0.0,0.8,1,12,0,0,0,passing,IDN,GK,23,1997,37.0,0,0,0,0,6,0,0,1,1,0,0,0,61,6,0,100.0,misc,IDN,GK,23,1997,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Spezia,Emmanuel Gyasi,GHA,FW,26,1994,37,32,2851,31.7,4,6,10,4,0,0,4,0,5.1,5.1,4.1,9.2,70,69,250,0.13,0.19,0.32,0.13,0.32,0.16,0.13,0.29,0.16,0.29,standard,GHA,FW,26,1994,31.7,1196,14,131,511,573,103,1196,69,41,59.4,28,40.6,781,4144,1795,70,37,39,75,44,955,250,possession,GHA,FW,26,1994,31.7,30,16,16,10,4,9,31,29.0,22,13,2,11,14,44,8,0,defense,GHA,FW,26,1994,31.7,775,942,82.3,10199,1546,495,551,89.8,205,253,81.0,29,45,64.4,6,4.1,2.9,1.9,27,23,29,4,69,passing,GHA,FW,26,1994,31.7,4,0,0,65,52,28,30,14,16,1,0,0,134,27,51,34.6,misc,GHA,FW,26,1994,31.7,4,29,15,51.7,0.92,0.47,0.14,0.27,12.3,0,0,0,5.1,5.1,0.18,-1.1,-1.1,shooting
ITA-Serie A,2021,Crotone,Emmanuel Rivière,FRA,FW,30,1990,21,7,640,7.1,1,1,2,1,0,0,2,0,1.1,1.1,0.5,1.6,7,6,43,0.14,0.14,0.28,0.14,0.28,0.16,0.07,0.22,0.16,0.22,standard,FRA,FW,30,1990,7.1,211,1,15,116,84,24,211,9,5,55.6,4,44.4,116,428,167,7,5,3,19,8,172,43,possession,FRA,FW,30,1990,7.1,2,1,2,0,0,0,3,0.0,3,5,1,4,1,3,0,0,defense,FRA,FW,30,1990,7.1,108,149,72.5,1347,211,63,83,75.9,30,36,83.3,4,5,80.0,1,0.5,0.4,0.5,5,6,0,0,6,passing,FRA,FW,30,1990,7.1,2,0,0,10,18,1,1,1,1,0,0,0,18,14,21,40.0,misc,FRA,FW,30,1990,7.1,1,12,4,33.3,1.69,0.56,0.08,0.25,15.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,shooting
ITA-Serie A,2021,Fiorentina,Erick Pulgar,CHI,MF,26,1994,31,21,2002,22.2,1,3,4,1,0,0,8,0,0.8,0.8,1.8,2.6,6,94,12,0.04,0.13,0.18,0.04,0.18,0.04,0.08,0.12,0.04,0.12,standard,CHI,MF,26,1994,22.2,1366,86,288,861,234,1,1366,15,11,73.3,4,26.7,656,2506,979,6,13,0,25,5,779,12,possession,CHI,MF,26,1994,22.2,41,18,17,23,1,22,49,44.9,27,24,10,14,41,82,45,1,defense,CHI,MF,26,1994,22.2,933,1152,81.0,16703,5147,400,442,90.5,392,438,89.5,111,199,55.8,3,1.8,1.8,1.2,21,95,10,5,94,passing,CHI,MF,26,1994,22.2,8,0,0,23,22,0,80,41,18,0,1,0,140,28,12,70.0,misc,CHI,MF,26,1994,22.2,1,16,3,18.8,0.72,0.13,0.06,0.33,24.6,4,0,0,0.8,0.8,0.05,0.2,0.2,shooting
ITA-Serie A,2021,Sampdoria,Ernesto Torregrossa,VEN,FW,28,1992,6,1,170,1.9,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,3,14,0.53,0.0,0.53,0.53,0.53,0.21,0.12,0.33,0.21,0.33,standard,VEN,FW,28,1992,1.9,68,1,4,22,42,8,68,5,3,60.0,2,40.0,34,160,79,3,1,1,8,5,49,14,possession,VEN,FW,28,1992,1.9,1,1,0,0,1,0,2,0.0,2,4,0,4,1,2,1,0,defense,VEN,FW,28,1992,1.9,32,43,74.4,355,73,23,29,79.3,4,5,80.0,1,2,50.0,0,0.2,0.1,-0.2,3,0,1,0,3,passing,VEN,FW,28,1992,1.9,0,0,0,7,1,3,0,1,1,0,0,0,4,5,8,38.5,misc,VEN,FW,28,1992,1.9,1,4,2,50.0,2.12,1.06,0.25,0.5,10.6,0,0,0,0.4,0.4,0.1,0.6,0.6,shooting
ITA-Serie A,2021,Atalanta,Fabio Depaoli,ITA,DF,23,1997,5,3,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,standard,ITA,DF,23,1997,2.1,125,2,17,61,47,4,125,2,1,50.0,1,50.0,59,227,127,3,3,0,5,3,82,22,possession,ITA,DF,23,1997,2.1,3,2,0,1,2,1,2,50.0,1,4,0,4,3,6,2,0,defense,ITA,DF,23,1997,2.1,81,99,81.8,1070,445,51,56,91.1,22,26,84.6,3,6,50.0,0,0.2,0.1,-0.2,3,4,0,0,8,passing,ITA,DF,23,1997,2.1,0,0,0,5,1,0,1,3,2,0,0,0,9,2,3,40.0,misc,ITA,DF,23,1997,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Benevento,Fabio Depaoli,ITA,DF,23,1997,15,14,1120,12.4,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,4,34,25,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,standard,ITA,DF,23,1997,12.4,544,49,216,221,114,11,544,9,5,55.6,4,44.4,232,1019,517,4,9,1,10,7,266,25,possession,ITA,DF,23,1997,12.4,25,13,15,6,4,15,32,46.9,17,16,4,12,12,37,38,0,defense,ITA,DF,23,1997,12.4,290,411,70.6,5133,2761,131,154,85.1,121,154,78.6,31,69,44.9,0,0.4,0.7,-0.4,8,21,13,7,34,passing,ITA,DF,23,1997,12.4,2,0,0,17,8,1,23,12,13,0,0,1,45,12,14,46.2,misc,ITA,DF,23,1997,12.4,0,8,2,25.0,0.64,0.16,0.0,0.0,20.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ITA-Serie A,2021,Sampdoria,Fabio Depaoli,ITA,MF,23,1997,2,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,2,9,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.19,0.12,0.19,standard,ITA,MF,23,1997,0.9,25,1,1,6,19,3,25,1,1,100.0,0,0.0,15,82,40,2,1,1,4,0,17,9,possession,ITA,MF,23,1997,0.9,1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,1,0,defense,ITA,MF,23,1997,0.9,10,16,62.5,158,80,7,10,70.0,1,2,50.0,2,2,100.0,0,0.1,0.0,-0.1,1,2,0,0,2,passing,ITA,MF,23,1997,0.9,0,0,0,5,2,2,2,1,0,0,0,0,2,0,1,0.0,misc,ITA,MF,23,1997,0.9,0,2,1,50.0,2.34,1.17,0.0,0.0,16.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
