nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
SCO,MF,25,1994,37.0,61,37,23,31,7,27,84,32.1,57,38,6,32,43,104,23,2,ENG-Premier League,2021,defense
ENG,"FW,MF",22,1998,3.1,2,1,1,0,1,0,1,0.0,1,1,0,1,0,2,2,0,ENG-Premier League,2021,defense
ENG,DF,25,1995,7.0,4,2,3,1,0,0,3,0.0,3,4,2,2,8,12,53,0,ENG-Premier League,2021,defense
ZIM,MF,26,1994,8.3,22,14,10,11,1,7,12,58.3,5,16,5,11,17,39,9,1,ENG-Premier League,2021,defense
ENG,DF,24,1995,37.8,83,39,52,20,11,56,88,63.6,32,40,14,26,55,138,102,1,ENG-Premier League,2021,defense
POL,DF,22,1997,26.4,71,40,43,22,6,41,74,55.4,33,50,11,39,60,131,95,0,ENG-Premier League,2021,defense
FRA,MF,25,1994,3.3,7,4,4,2,1,1,4,25.0,3,5,0,5,4,11,1,0,ENG-Premier League,2021,defense
WAL,DF,31,1989,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,ENG-Premier League,2021,defense
ENG,FW,24,1995,37.0,29,17,5,16,8,10,33,30.3,23,21,2,19,7,36,24,0,ENG-Premier League,2021,defense
ENG,MF,26,1993,17.0,6,2,2,4,0,3,15,20.0,12,9,1,8,5,11,6,1,ENG-Premier League,2021,defense
EGY,FW,25,1994,13.0,33,18,14,15,4,13,45,28.9,32,13,1,12,19,52,17,0,ENG-Premier League,2021,defense
ENG,DF,27,1993,35.5,32,16,23,7,2,16,24,66.7,8,59,40,19,41,73,172,3,ENG-Premier League,2021,defense
BRA,FW,23,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
IRL,FW,20,2000,8.8,6,3,1,3,2,0,2,0.0,2,4,0,4,0,6,2,0,ENG-Premier League,2021,defense
ENG,"MF,FW",32,1988,17.7,28,13,11,13,4,8,39,20.5,31,18,3,15,15,43,13,0,ENG-Premier League,2021,defense
ENG,DF,25,1995,28.8,29,16,15,10,4,12,25,48.0,13,29,16,13,47,76,92,3,ENG-Premier League,2021,defense
ARG,"MF,FW",21,1998,12.4,26,12,6,16,4,11,38,28.9,27,25,4,21,9,35,4,0,ENG-Premier League,2021,defense
IRN,"FW,MF",26,1993,5.9,9,7,3,5,1,2,12,16.7,10,8,0,8,8,17,1,0,ENG-Premier League,2021,defense
SUI,"FW,DF",21,1999,1.9,3,2,0,2,1,1,2,50.0,1,1,0,1,0,3,2,0,ENG-Premier League,2021,defense
