nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ENG,FW,20-168,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,ENG-Premier League,2024,shooting
BRA,GK,31-237,1993,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
NOR,FW,24-264,2000,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,0.2,0.6,ENG-Premier League,2024,shooting
ENG,"FW,MF",29-213,1995,8.0,1,15,5,33.3,1.89,0.63,0.07,0.2,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,ENG-Premier League,2024,shooting
ENG,DF,19-158,2005,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,"MF,FW",22-175,2002,1.6,2,7,2,28.6,4.41,1.26,0.29,1.0,14.7,0,0,0,1.4,1.4,0.2,0.6,0.6,ENG-Premier League,2024,shooting
BEL,"FW,MF",22-319,2002,14.1,3,23,9,39.1,1.63,0.64,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,2.0,2.0,ENG-Premier League,2024,shooting
ENG,"DF,MF",30-318,1994,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,5.1,0,0,0,0.4,0.4,0.22,1.6,1.6,ENG-Premier League,2024,shooting
CRO,DF,23-078,2002,29.4,5,35,11,31.4,1.19,0.37,0.14,0.45,13.3,0,0,0,4.2,3.9,0.11,0.8,1.1,ENG-Premier League,2024,shooting
BEL,MF,33-287,1991,13.3,2,39,11,28.2,2.94,0.83,0.05,0.18,22.5,5,0,0,2.7,2.7,0.07,-0.7,-0.7,ENG-Premier League,2024,shooting
ENG,DF,34-318,1990,10.8,0,5,2,40.0,0.46,0.19,0.0,0.0,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ENG-Premier League,2024,shooting
SUI,DF,29-266,1995,19.0,0,10,1,10.0,0.53,0.05,0.0,0.0,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,ENG-Premier League,2024,shooting
CRO,MF,30-340,1994,19.7,4,33,8,24.2,1.68,0.41,0.12,0.5,22.0,0,0,0,1.4,1.4,0.04,2.6,2.6,ENG-Premier League,2024,shooting
POR,"DF,MF",26-227,1998,13.6,0,5,1,20.0,0.37,0.07,0.0,0.0,18.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,ENG-Premier League,2024,shooting
