nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
MAR,MF,22,2001,6.1,12,7,4,5,3,7,14,50.0,7,8,2,6,6,18,12,0,ITA-Serie A,2023,defense
SUI,MF,31,1992,29.2,78,50,41,32,5,38,69,55.1,31,37,9,28,36,114,53,2,ITA-Serie A,2023,defense
ITA,DF,21,2002,26.1,47,32,28,16,3,22,32,68.8,10,38,13,25,50,97,74,3,ITA-Serie A,2023,defense
ITA,"FW,MF",26,1997,19.9,23,14,13,4,6,9,30,30.0,21,25,3,22,8,31,19,1,ITA-Serie A,2023,defense
NED,DF,24,1998,28.3,27,11,14,11,2,16,25,64.0,9,35,21,14,15,42,99,2,ITA-Serie A,2023,defense
ARG,FW,18,2004,2.7,2,1,0,1,1,1,3,33.3,2,1,0,1,1,3,1,0,ITA-Serie A,2023,defense
AUT,DF,26,1997,26.8,77,46,35,38,4,49,88,55.7,39,27,8,19,18,95,72,0,ITA-Serie A,2023,defense
NED,FW,23,2000,2.4,3,0,0,2,1,1,2,50.0,1,1,1,0,1,4,4,0,ITA-Serie A,2023,defense
ITA,DF,19,2004,2.2,10,4,9,1,0,4,9,44.4,5,2,0,2,5,15,3,0,ITA-Serie A,2023,defense
DEN,DF,20,2002,25.6,52,34,23,22,7,20,35,57.1,15,35,8,27,12,64,45,1,ITA-Serie A,2023,defense
POL,GK,32,1991,32.0,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,11,3,ITA-Serie A,2023,defense
SVK,DF,20,2002,10.5,17,9,8,8,1,8,17,47.1,9,13,7,6,21,38,41,1,ITA-Serie A,2023,defense
ITA,DF,24,1998,33.1,55,35,43,12,0,32,48,66.7,16,50,27,23,45,100,172,2,ITA-Serie A,2023,defense
ITA,MF,27,1995,17.9,33,19,13,16,4,18,47,38.3,29,16,6,10,9,42,37,0,ITA-Serie A,2023,defense
ITA,"DF,MF",24,1999,4.0,4,1,3,0,1,0,3,0.0,3,9,2,7,5,9,7,0,ITA-Serie A,2023,defense
ITA,FW,28,1995,11.1,4,2,1,0,3,1,2,50.0,1,6,3,3,1,5,4,0,ITA-Serie A,2023,defense
CGO,MF,25,1998,30.0,41,24,21,15,5,15,30,50.0,15,23,4,19,16,57,27,2,ITA-Serie A,2023,defense
SRB,GK,27,1996,7.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,2,ITA-Serie A,2023,defense
ITA,DF,29,1993,11.2,12,7,9,3,0,4,10,40.0,6,11,7,4,15,27,37,1,ITA-Serie A,2023,defense
UZB,"FW,MF",28,1995,10.4,11,4,2,6,3,6,10,60.0,4,5,0,5,4,15,4,0,ITA-Serie A,2023,defense
ITA,DF,23,1999,28.5,54,31,29,16,9,29,41,70.7,12,29,5,24,20,74,75,2,ITA-Serie A,2023,defense
ITA,"FW,MF",20,2002,12.3,20,10,5,14,1,5,17,29.4,12,11,0,11,9,29,8,0,ITA-Serie A,2023,defense
ITA,"FW,MF",23,2000,8.3,7,4,0,4,3,2,7,28.6,5,4,0,4,3,10,4,0,ITA-Serie A,2023,defense
