nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
FRA,"FW,MF",20,2002,12.1,548,16,122,169,267,29,548,63,23,36.5,31,49.2,410,2896,1414,46,30,10,38,27,369,106,FRA-Ligue 1,2022,possession
SUI,GK,28,1994,20.1,661,601,659,2,0,0,661,1,1,100.0,0,0.0,451,2490,1670,0,0,0,1,0,274,0,FRA-Ligue 1,2022,possession
FRA,FW,31,1991,32.5,1272,13,81,495,704,210,1264,76,38,50.0,28,36.8,948,4339,1466,40,25,18,65,46,929,227,FRA-Ligue 1,2022,possession
SWE,FW,21,2001,6.0,203,3,13,96,97,20,203,14,4,28.6,8,57.1,144,863,344,12,15,5,20,5,138,47,FRA-Ligue 1,2022,possession
POR,GK,31,1990,31.3,1098,923,1092,7,0,0,1098,2,0,0.0,2,100.0,764,4021,2558,0,0,0,1,0,528,0,FRA-Ligue 1,2022,possession
FRA,"FW,MF",19,2002,16.0,666,10,81,243,355,108,666,80,40,50.0,38,47.5,481,3202,1403,51,30,30,36,8,444,156,FRA-Ligue 1,2022,possession
FRA,DF,19,2002,33.2,2580,234,1115,1399,85,28,2580,17,11,64.7,5,29.4,2066,11163,6047,24,29,3,20,8,1885,9,FRA-Ligue 1,2022,possession
FRA,MF,27,1994,22.6,2164,70,409,1370,400,23,2164,18,7,38.9,7,38.9,1748,8599,3431,32,43,2,21,17,1636,52,FRA-Ligue 1,2022,possession
FRA,DF,34,1988,3.8,295,17,105,166,25,3,295,2,1,50.0,1,50.0,206,1084,441,2,6,0,2,1,200,1,FRA-Ligue 1,2022,possession
CRO,DF,33,1989,16.2,1273,138,536,695,48,17,1273,2,1,50.0,1,50.0,940,5613,3091,12,13,1,5,3,850,1,FRA-Ligue 1,2022,possession
BRA,"DF,FW",28,1994,4.0,260,7,66,150,46,1,260,6,1,16.7,3,50.0,177,887,285,3,4,0,3,2,168,4,FRA-Ligue 1,2022,possession
ALG,MF,24,1998,5.8,461,6,51,279,134,28,461,23,10,43.5,11,47.8,365,1848,739,12,19,4,8,13,349,36,FRA-Ligue 1,2022,possession
FRA,MF,24,1998,3.7,377,2,31,210,144,11,377,22,12,54.5,6,27.3,316,2042,959,20,27,3,12,9,300,25,FRA-Ligue 1,2022,possession
BRA,FW,22,1999,5.0,258,3,21,100,147,32,258,37,15,40.5,18,48.6,207,1616,877,27,28,14,21,12,201,52,FRA-Ligue 1,2022,possession
FRA,MF,19,2002,21.5,1543,35,315,932,309,18,1543,48,21,43.8,21,43.8,1226,5661,2144,20,37,2,40,28,1107,44,FRA-Ligue 1,2022,possession
GER,DF,33,1988,4.8,261,47,138,122,1,0,261,0,0,,0,,180,742,302,0,0,0,0,0,167,0,FRA-Ligue 1,2022,possession
CMR,"FW,MF",29,1992,15.0,778,11,69,308,411,85,778,53,26,49.1,21,39.6,646,4000,1541,58,35,24,38,24,625,188,FRA-Ligue 1,2022,possession
BRA,MF,24,1997,1.8,146,5,22,92,33,8,146,3,1,33.3,2,66.7,121,584,203,3,2,2,2,1,117,10,FRA-Ligue 1,2022,possession
