nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
MTN,MF,20,2000,0.7,0,0,0,1,1,0,0,1,2,0,0,0,2,1,1,50.0,ESP-La Liga,2020,misc
ESP,"DF,MF",23,1997,1.0,0,0,0,3,0,0,1,2,1,0,0,0,8,3,1,75.0,ESP-La Liga,2020,misc
ESP,GK,23,1996,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,ESP-La Liga,2020,misc
ESP,"MF,FW",19,2001,5.0,1,0,0,13,7,3,11,6,3,0,0,0,33,2,8,20.0,ESP-La Liga,2020,misc
ESP,MF,26,1993,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,ESP-La Liga,2020,misc
BRA,FW,29,1991,9.7,4,0,0,15,24,11,8,9,4,0,0,0,47,60,49,55.0,ESP-La Liga,2020,misc
URU,"MF,FW",18,2001,6.0,0,0,0,6,9,1,13,4,5,0,0,0,23,8,12,40.0,ESP-La Liga,2020,misc
ESP,GK,28,1992,37.2,1,0,0,0,3,0,0,2,0,0,0,0,34,7,1,87.5,ESP-La Liga,2020,misc
FRA,DF,29,1991,33.5,10,0,0,33,17,2,7,51,32,0,1,0,160,96,50,65.8,ESP-La Liga,2020,misc
ESP,MF,23,1997,2.4,0,0,0,7,4,2,12,3,4,0,0,0,19,6,7,46.2,ESP-La Liga,2020,misc
ESP,"DF,MF",18,2002,2.8,1,1,0,3,3,0,17,3,5,0,0,0,14,2,4,33.3,ESP-La Liga,2020,misc
SWE,FW,28,1992,2.3,1,0,0,7,2,1,6,1,2,0,0,0,7,4,4,50.0,ESP-La Liga,2020,misc
ESP,FW,30,1990,33.6,1,0,0,43,74,14,26,15,14,1,0,0,118,249,109,69.6,ESP-La Liga,2020,misc
ESP,MF,29,1991,15.5,5,1,1,18,4,2,36,9,14,0,0,0,83,4,9,30.8,ESP-La Liga,2020,misc
ESP,FW,31,1988,19.5,1,0,0,11,29,15,143,2,2,1,0,0,75,2,11,15.4,ESP-La Liga,2020,misc
ESP,"MF,FW",26,1993,23.2,4,0,0,19,28,7,90,20,14,1,0,0,107,18,23,43.9,ESP-La Liga,2020,misc
ESP,MF,34,1986,12.5,9,1,1,18,27,1,5,12,13,0,1,0,54,40,31,56.3,ESP-La Liga,2020,misc
ESP,"DF,MF",24,1996,17.3,1,0,0,23,23,1,32,27,18,0,0,0,81,19,22,46.3,ESP-La Liga,2020,misc
ESP,MF,27,1993,13.2,1,0,0,17,18,1,7,7,10,0,0,0,68,13,20,39.4,ESP-La Liga,2020,misc
ARG,MF,29,1991,27.7,10,1,0,35,30,1,3,29,16,0,0,0,139,43,22,66.2,ESP-La Liga,2020,misc
BRA,DF,26,1993,5.2,1,0,0,8,2,0,0,7,2,0,0,0,18,14,5,73.7,ESP-La Liga,2020,misc
ESP,DF,24,1995,28.3,5,1,1,41,39,0,110,66,30,0,1,0,120,45,27,62.5,ESP-La Liga,2020,misc
ESP,MF,21,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,ESP-La Liga,2020,misc
CMR,DF,18,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0.0,ESP-La Liga,2020,misc
ESP,DF,22,1997,9.4,5,1,1,12,16,0,0,11,9,1,0,0,20,20,21,48.8,ESP-La Liga,2020,misc
ESP,MF,32,1987,28.6,12,0,0,69,30,2,6,37,18,0,0,0,156,44,41,51.8,ESP-La Liga,2020,misc
POR,"MF,DF",19,2001,0.7,0,0,0,1,0,0,2,0,1,0,0,0,3,1,1,50.0,ESP-La Liga,2020,misc
ESP,DF,30,1989,29.2,5,1,0,25,11,1,5,37,12,0,0,0,107,52,36,59.1,ESP-La Liga,2020,misc
ESP,DF,30,1990,26.4,6,0,0,33,34,0,43,47,30,1,0,0,129,19,35,35.2,ESP-La Liga,2020,misc
ESP,"MF,FW",30,1990,23.2,12,1,1,52,51,8,62,19,29,0,0,0,107,58,50,53.7,ESP-La Liga,2020,misc
ESP,DF,28,1992,23.7,5,0,0,26,9,1,60,25,18,0,1,0,119,21,22,48.8,ESP-La Liga,2020,misc
ESP,FW,22,1997,17.7,1,0,0,19,32,7,15,2,2,0,0,0,27,56,50,52.8,ESP-La Liga,2020,misc
ESP,MF,30,1990,21.3,8,0,0,29,22,0,6,33,19,0,1,0,146,40,36,52.6,ESP-La Liga,2020,misc
ESP,MF,30,1989,4.7,0,0,0,2,1,1,25,2,4,0,0,0,19,6,7,46.2,ESP-La Liga,2020,misc
ESP,"MF,FW",27,1992,21.6,1,0,0,17,69,2,64,11,7,1,0,0,91,11,14,44.0,ESP-La Liga,2020,misc
GHA,FW,26,1994,26.5,1,0,0,17,36,12,46,5,7,0,0,0,56,39,57,40.6,ESP-La Liga,2020,misc
ESP,"FW,MF",23,1997,1.1,0,0,0,3,3,1,2,2,0,0,0,0,8,2,0,100.0,ESP-La Liga,2020,misc
