nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
MLI,"FW,MF",25-124,1999,19.8,26,16,7,11,8,11,20,55.0,9,14,2,12,9,35,32,0,FRA-Ligue 1,2024,defense
GHA,"FW,MF",22-174,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
FRA,DF,21-121,2003,0.1,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0,FRA-Ligue 1,2024,defense
FRA,DF,24-308,2000,8.8,41,27,27,13,1,21,37,56.8,16,13,0,13,23,64,27,5,FRA-Ligue 1,2024,defense
MAD,"MF,DF",28-085,1997,8.0,6,5,2,4,0,5,15,33.3,10,8,7,1,5,11,22,0,FRA-Ligue 1,2024,defense
FRA,MF,17-029,2008,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
CIV,DF,24-002,2001,15.6,28,13,14,13,1,19,28,67.9,9,32,17,15,22,50,74,2,FRA-Ligue 1,2024,defense
CAN,FW,25-227,1999,9.2,4,3,1,2,1,0,2,0.0,2,6,2,4,3,7,8,0,FRA-Ligue 1,2024,defense
MTQ,GK,24-068,2001,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,FRA-Ligue 1,2024,defense
FRA,DF,31-038,1994,0.5,3,2,2,1,0,1,3,33.3,2,1,0,1,0,3,3,0,FRA-Ligue 1,2024,defense
FRA,MF,20-119,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
SEN,"FW,MF",23-298,2001,10.8,9,8,1,3,5,4,9,44.4,5,5,0,5,1,10,9,0,FRA-Ligue 1,2024,defense
SEN,DF,23-001,2002,14.5,36,25,26,10,0,18,28,64.3,10,20,12,8,7,43,116,1,FRA-Ligue 1,2024,defense
FRA,"MF,FW",21-224,2003,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,FRA-Ligue 1,2024,defense
FRA,DF,30-110,1994,22.8,36,27,22,11,3,20,33,60.6,13,41,25,16,25,61,148,2,FRA-Ligue 1,2024,defense
SUI,MF,28-361,1996,9.3,8,6,2,6,0,6,10,60.0,4,11,4,7,17,25,24,1,FRA-Ligue 1,2024,defense
FRA,GK,26-008,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,FRA-Ligue 1,2024,defense
MLI,FW,18-270,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
FRA,MF,25-104,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,FRA-Ligue 1,2024,defense
FRA,MF,26-316,1998,21.2,40,26,15,22,3,18,40,45.0,22,16,3,13,14,54,31,0,FRA-Ligue 1,2024,defense
MAR,FW,23-224,2001,4.0,4,2,1,1,2,1,6,16.7,5,2,0,2,2,6,0,0,FRA-Ligue 1,2024,defense
FRA,MF,35-002,1990,5.1,11,5,8,2,1,5,10,50.0,5,3,0,3,6,17,11,1,FRA-Ligue 1,2024,defense
FRA,DF,31-033,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,FRA-Ligue 1,2024,defense
FRA,DF,27-251,1997,13.8,23,13,12,8,3,8,13,61.5,5,17,14,3,26,49,66,0,FRA-Ligue 1,2024,defense
FRA,DF,19-209,2005,1.4,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,FRA-Ligue 1,2024,defense
FRA,FW,26-355,1998,1.1,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,FRA-Ligue 1,2024,defense
MLI,MF,22-052,2003,11.6,30,21,12,14,4,10,25,40.0,15,13,1,12,23,53,12,1,FRA-Ligue 1,2024,defense
MAD,DF,33-190,1991,24.8,60,37,34,21,5,33,50,66.0,17,24,9,15,21,81,62,0,FRA-Ligue 1,2024,defense
