league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ITA-Serie A,2023,Milan,Francesco Camarda,ITA,FW,15,2008,0.2,2,0,1,0,1,0,2,1,0,0.0,1,100.0,2,9,0,0,0,0,1,0,1,1,possession
ITA-Serie A,2023,Milan,Ismaël Bennacer,ALG,MF,25,1997,12.8,943,20,158,556,240,15,942,30,17,56.7,10,33.3,554,2959,1211,24,21,3,17,18,687,33,possession
ITA-Serie A,2023,Milan,Jan-Carlo Simic,SRB,DF,18,2005,1.6,76,9,32,40,4,2,76,2,1,50.0,0,0.0,43,245,125,0,0,0,0,0,54,0,possession
ITA-Serie A,2023,Milan,Kevin Zeroli,ITA,MF,18,2005,0.3,10,2,4,4,2,0,10,0,0,,0,,5,26,18,0,0,0,0,1,5,2,possession
ITA-Serie A,2023,Milan,Lapo Nava,ITA,GK,19,2004,0.0,2,2,2,0,0,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,possession
ITA-Serie A,2023,Milan,Luka Jović,SRB,FW,25,1997,9.7,269,8,19,148,106,36,269,13,7,53.8,6,46.2,154,874,229,6,7,0,21,12,193,47,possession
ITA-Serie A,2023,Milan,Luka Romero,ARG,"FW,MF",18,2004,1.0,48,1,8,23,19,2,48,3,1,33.3,2,66.7,37,261,103,4,2,0,3,2,35,7,possession
ITA-Serie A,2023,Milan,Malick Thiaw,GER,DF,21,2001,18.0,1347,107,608,698,45,11,1347,11,8,72.7,2,18.2,900,4823,2501,15,6,0,7,5,983,1,possession
ITA-Serie A,2023,Milan,Marco Pellegrino,ARG,DF,21,2002,0.8,55,9,33,20,2,1,55,1,0,0.0,1,100.0,41,228,153,1,0,0,0,0,39,0,possession
ITA-Serie A,2023,Milan,Marco Sportiello,ITA,GK,31,1992,7.0,263,199,260,3,0,0,263,0,0,,0,,190,1070,685,0,0,0,0,0,157,0,possession
