league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Osasuna,Pablo Ibáñez,ESP,MF,23,1998,11.8,528,31,116,297,120,28,528,15,8,53.3,6,40.0,284,1498,706,15,10,3,16,14,333,42,possession
ESP-La Liga,2022,Osasuna,Roberto Torres,ESP,"FW,MF",33,1989,0.1,14,0,1,6,8,0,14,2,1,50.0,1,50.0,12,107,78,2,3,0,0,1,12,1,possession
ESP-La Liga,2022,Osasuna,Rubén García,ESP,"FW,MF",29,1993,12.9,711,18,100,277,339,26,711,16,6,37.5,9,56.3,385,1773,657,16,13,3,27,10,465,92,possession
ESP-La Liga,2022,Osasuna,Rubén Peña,ESP,"DF,MF",31,1991,14.2,814,48,212,360,255,21,814,32,19,59.4,10,31.3,407,2387,1166,32,28,6,32,14,410,59,possession
ESP-La Liga,2022,Osasuna,Sergio Herrera,ESP,GK,29,1993,17.0,653,515,645,8,0,0,653,2,2,100.0,0,0.0,336,1990,1230,0,0,0,2,0,266,0,possession
ESP-La Liga,2022,Osasuna,Unai García,ESP,DF,30,1992,19.0,957,89,456,479,32,8,957,8,5,62.5,2,25.0,515,2518,1458,11,6,0,5,5,572,3,possession
ESP-La Liga,2022,Rayo Vallecano,Abdul Mumin,GHA,DF,24,1998,10.2,493,59,248,231,19,8,493,9,5,55.6,4,44.4,268,1328,646,5,6,0,4,5,270,1,possession
ESP-La Liga,2022,Rayo Vallecano,Andrés Martín,ESP,"FW,MF",23,1999,2.3,102,3,22,32,48,5,102,6,3,50.0,2,33.3,53,188,95,3,3,1,7,2,62,22,possession
ESP-La Liga,2022,Rayo Vallecano,Bebé,CPV,FW,32,1990,0.7,52,0,1,19,36,0,52,8,3,37.5,4,50.0,37,344,154,5,8,0,6,3,34,10,possession
ESP-La Liga,2022,Rayo Vallecano,Catena,ESP,DF,27,1994,34.5,2120,282,1160,930,41,24,2120,2,2,100.0,0,0.0,1220,5620,2913,8,5,0,11,6,1348,2,possession
ESP-La Liga,2022,Rayo Vallecano,Diego López,ESP,GK,40,1981,1.1,29,23,29,0,0,0,29,0,0,,0,,14,92,64,0,0,0,0,0,12,0,possession
ESP-La Liga,2022,Rayo Vallecano,Diego Méndez,ESP,MF,18,2003,0.0,3,0,2,1,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,2,0,possession
ESP-La Liga,2022,Rayo Vallecano,Esteban Saveljich,MNE,FW,31,1991,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession
ESP-La Liga,2022,Rayo Vallecano,Florian Lejeune,FRA,DF,31,1991,28.5,1666,187,804,789,86,21,1666,7,4,57.1,2,28.6,956,4325,2516,8,9,0,6,1,1052,3,possession
ESP-La Liga,2022,Rayo Vallecano,Fran Garcia,ESP,DF,22,1999,37.9,2441,102,645,1109,728,26,2441,68,31,45.6,30,44.1,1351,9732,6294,183,142,12,47,11,1418,167,possession
ESP-La Liga,2022,Rayo Vallecano,Isaac Palazón Camacho,ESP,"FW,MF",27,1994,32.9,1830,40,196,726,936,65,1827,112,50,44.6,51,45.5,1111,5863,2134,49,65,9,78,65,1235,181,possession
ESP-La Liga,2022,Rayo Vallecano,Iván Balliu,ALB,DF,30,1992,35.9,2116,88,503,925,695,26,2116,31,11,35.5,12,38.7,1021,5129,2879,75,51,4,22,9,1150,147,possession
ESP-La Liga,2022,Rayo Vallecano,José Pozo,ESP,"MF,FW",26,1996,1.0,66,1,6,30,33,3,66,6,2,33.3,4,66.7,48,318,130,5,2,1,5,3,51,7,possession
ESP-La Liga,2022,Rayo Vallecano,Mario Hernández,ESP,DF,23,1999,1.1,48,2,9,27,12,1,48,1,0,0.0,1,100.0,29,140,92,4,0,1,0,2,27,0,possession
ESP-La Liga,2022,Rayo Vallecano,Mario Suárez,ESP,"MF,DF",35,1987,0.1,4,0,1,3,0,0,4,0,0,,0,,2,28,21,0,0,0,0,0,2,0,possession
ESP-La Liga,2022,Rayo Vallecano,Pablo Muñoz,ESP,MF,18,2003,0.1,6,0,1,2,3,0,6,1,0,0.0,1,100.0,6,17,0,0,0,0,2,1,6,1,possession
ESP-La Liga,2022,Rayo Vallecano,Pathé Ciss,SEN,"MF,DF",28,1994,14.2,891,57,243,543,114,19,891,11,5,45.5,5,45.5,480,2279,1032,10,16,1,14,13,518,5,possession
ESP-La Liga,2022,Rayo Vallecano,Pep Chavarría,ESP,"FW,MF",24,1998,4.1,229,8,37,75,120,8,229,16,7,43.8,8,50.0,113,658,365,13,6,1,7,4,122,25,possession
ESP-La Liga,2022,Rayo Vallecano,Radamel Falcao,COL,"FW,MF",36,1986,6.8,271,12,21,106,146,38,270,16,2,12.5,13,81.3,150,549,122,2,5,2,29,9,204,53,possession
ESP-La Liga,2022,Rayo Vallecano,Randy Nteka,ANG,"FW,MF",24,1997,1.3,95,2,14,48,34,6,95,7,1,14.3,4,57.1,62,317,158,3,0,2,2,5,66,7,possession
