league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
GER-Bundesliga,2022,Augsburg,Irvin Cardona,FRA,"MF,FW",24,1997,3.5,1,1,1,0,0,1,5,20.0,4,3,0,3,4,5,8,0,defense
GER-Bundesliga,2022,Augsburg,Jeffrey Gouweleeuw,NED,DF,31,1991,31.1,42,27,19,17,6,24,49,49.0,25,41,23,18,50,92,141,2,defense
GER-Bundesliga,2022,Augsburg,Julian Baumgartlinger,AUT,MF,34,1988,6.2,15,4,5,6,4,6,19,31.6,13,4,2,2,4,19,15,0,defense
GER-Bundesliga,2022,Augsburg,Kelvin Yeboah,ITA,"FW,MF",22,2000,3.9,6,4,2,4,0,2,5,40.0,3,7,0,7,1,7,2,0,defense
GER-Bundesliga,2022,Augsburg,Lukas Petkov,BUL,"MF,FW",21,2000,1.6,5,1,4,1,0,2,3,66.7,1,4,1,3,1,6,0,0,defense
GER-Bundesliga,2022,Augsburg,Mads Pedersen,DEN,"DF,MF",25,1996,20.4,44,23,31,11,2,22,33,66.7,11,32,9,23,20,64,41,1,defense
GER-Bundesliga,2022,Augsburg,Maximilian Bauer,GER,DF,22,2000,20.5,31,17,18,12,1,17,34,50.0,17,25,9,16,23,54,79,1,defense
GER-Bundesliga,2022,Augsburg,Mergim Berisha,GER,FW,24,1998,18.7,11,6,4,3,4,4,14,28.6,10,16,1,15,0,11,19,0,defense
GER-Bundesliga,2022,Augsburg,Nathanael Mbuku,COD,"MF,FW",20,2002,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,defense
GER-Bundesliga,2022,Augsburg,Niklas Dorsch,GER,MF,24,1998,5.4,21,12,8,11,2,9,16,56.3,7,9,3,6,6,27,9,0,defense
GER-Bundesliga,2022,Augsburg,Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,defense
GER-Bundesliga,2022,Augsburg,Ohis Felix Uduokhai,GER,DF,24,1997,16.1,30,20,14,13,3,15,29,51.7,14,27,14,13,29,59,61,1,defense
GER-Bundesliga,2022,Augsburg,Rafał Gikiewicz,POL,GK,34,1987,23.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,5,defense
GER-Bundesliga,2022,Augsburg,Raphael Framberger,GER,"DF,FW",26,1995,2.0,10,6,6,4,0,3,5,60.0,2,2,1,1,2,12,5,0,defense
GER-Bundesliga,2022,Augsburg,Reece Oxford,ENG,DF,23,1998,1.0,1,1,1,0,0,0,0,,0,4,3,1,1,2,5,0,defense
GER-Bundesliga,2022,Augsburg,Renato Veiga,POR,DF,19,2003,7.1,9,6,4,3,2,7,9,77.8,2,20,6,14,7,16,29,1,defense
GER-Bundesliga,2022,Augsburg,Ricardo Pepi,USA,FW,19,2003,1.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,defense
GER-Bundesliga,2022,Augsburg,Robert Gumny,POL,DF,24,1998,22.4,34,24,13,15,6,11,27,40.7,16,21,7,14,26,60,62,1,defense
GER-Bundesliga,2022,Augsburg,Ruben Vargas,SUI,"MF,FW",23,1998,12.6,15,7,6,7,2,5,11,45.5,6,8,2,6,6,21,16,1,defense
GER-Bundesliga,2022,Augsburg,Tomáš Koubek,CZE,GK,29,1992,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,defense
GER-Bundesliga,2022,Bayern Munich,Alphonso Davies,CAN,DF,21,2000,22.7,45,28,25,13,7,18,39,46.2,21,28,4,24,24,69,24,4,defense
GER-Bundesliga,2022,Bayern Munich,Arijon Ibrahimović,GER,MF,16,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,defense
GER-Bundesliga,2022,Bayern Munich,Benjamin Pavard,FRA,DF,26,1996,27.0,70,41,36,26,8,36,48,75.0,12,35,16,19,44,114,83,0,defense
GER-Bundesliga,2022,Bayern Munich,Bouna Sarr,SEN,FW,30,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2022,Bayern Munich,Daley Blind,NED,"DF,MF",32,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0,defense
GER-Bundesliga,2022,Bayern Munich,Dayot Upamecano,FRA,DF,23,1998,26.1,65,37,43,22,0,28,45,62.2,17,26,6,20,27,92,71,4,defense
