league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
FRA-Ligue 1,2021,Rennes,Edouard Mendy,SEN,GK,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,standard,SEN,GK,28,1992,1.0,29,24,28,1,0,0,29,0,0,,0,,20,98,46,0,0,0,0,0,15,0,possession,SEN,GK,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,SEN,GK,28,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,SEN,GK,28,1992,1.0,24,29,82.8,659,488,5,5,100.0,10,10,100.0,9,14,64.3,0,0.0,0.0,0.0,1,1,0,0,0,passing,SEN,GK,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
FRA-Ligue 1,2021,Paris S-G,Edouard Michut,FRA,MF,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,MF,17,2003,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,FRA,MF,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,MF,17,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,MF,17,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,MF,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2021,Rennes,Eduardo Camavinga,FRA,MF,17,2002,35,28,2402,26.7,1,2,3,1,0,0,6,0,1.8,1.8,1.8,3.6,85,185,73,0.04,0.07,0.11,0.04,0.11,0.07,0.07,0.14,0.07,0.14,standard,FRA,MF,17,2002,26.7,1926,22,292,1259,405,31,1926,62,43,69.4,19,30.6,1211,7108,3957,85,71,13,63,25,1480,73,possession,FRA,MF,17,2002,26.7,98,58,39,48,11,38,77,49.4,39,36,2,34,23,121,15,1,defense,FRA,MF,17,2002,26.7,1,26,8,30.8,0.97,0.3,0.04,0.13,18.7,0,0,0,1.8,1.8,0.07,-0.8,-0.8,shooting,FRA,MF,17,2002,26.7,1425,1604,88.8,23116,5441,702,763,92.0,595,652,91.3,92,113,81.4,2,1.8,1.4,0.2,21,150,12,1,185,passing,FRA,MF,17,2002,26.7,6,0,0,55,53,0,4,23,58,0,0,0,162,19,26,42.2,misc
FRA-Ligue 1,2021,Strasbourg,Eiji Kawashima,JPN,GK,37,1983,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,JPN,GK,37,1983,24.0,759,662,755,4,0,0,759,0,0,,0,,382,2057,1068,0,0,0,3,0,287,0,possession,JPN,GK,37,1983,24.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,2,defense,JPN,GK,37,1983,24.0,0,1,0,0.0,0.04,0.0,0.0,,73.6,1,0,0,0.0,0.0,0.01,0.0,0.0,shooting,JPN,GK,37,1983,24.0,487,712,68.4,17583,14857,48,48,100.0,187,188,99.5,249,471,52.9,0,0.0,0.0,0.0,0,10,0,0,0,passing,JPN,GK,37,1983,24.0,1,0,0,1,1,0,0,0,0,0,1,0,28,7,1,87.5,misc
FRA-Ligue 1,2021,Reims,El Bilal Touré,MLI,FW,18,2001,33,11,1245,13.8,4,1,5,4,0,0,4,0,3.1,3.1,0.7,3.8,13,20,65,0.29,0.07,0.36,0.29,0.36,0.22,0.05,0.27,0.22,0.27,standard,MLI,FW,18,2001,13.8,436,16,51,226,165,43,436,22,10,45.5,12,54.5,192,936,383,13,12,2,43,10,283,65,possession,MLI,FW,18,2001,13.8,22,12,3,16,3,8,18,44.4,10,8,3,5,6,28,10,1,defense,MLI,FW,18,2001,13.8,4,19,9,47.4,1.37,0.65,0.21,0.44,11.2,0,0,0,3.1,3.1,0.16,0.9,0.9,shooting,MLI,FW,18,2001,13.8,205,288,71.2,2622,424,123,157,78.3,63,89,70.8,3,8,37.5,1,0.7,0.4,0.3,10,16,3,0,20,passing,MLI,FW,18,2001,13.8,4,0,0,42,13,11,1,6,12,0,0,0,38,69,90,43.4,misc
FRA-Ligue 1,2021,Monaco,Eliot Matazo,BEL,MF,18,2002,10,3,314,3.5,1,1,2,1,0,0,0,1,0.8,0.8,0.3,1.1,2,7,5,0.29,0.29,0.57,0.29,0.57,0.22,0.1,0.32,0.22,0.32,standard,BEL,MF,18,2002,3.5,116,3,28,67,22,5,116,6,4,66.7,2,33.3,55,256,79,2,4,1,5,2,72,5,possession,BEL,MF,18,2002,3.5,11,5,6,5,0,3,7,42.9,4,1,0,1,1,12,2,0,defense,BEL,MF,18,2002,3.5,1,3,2,66.7,0.86,0.57,0.33,0.5,10.2,0,0,0,0.8,0.8,0.26,0.2,0.2,shooting,BEL,MF,18,2002,3.5,69,88,78.4,1157,219,24,32,75.0,38,45,84.4,3,4,75.0,1,0.3,0.1,0.7,3,2,2,0,7,passing,BEL,MF,18,2002,3.5,0,1,0,5,3,0,0,1,5,0,0,0,11,1,6,14.3,misc
FRA-Ligue 1,2021,Montpellier,Elye Wahi,FRA,FW,17,2003,18,3,555,6.2,3,1,4,3,0,0,1,0,2.5,2.5,0.4,2.8,16,6,44,0.49,0.16,0.65,0.49,0.65,0.4,0.06,0.45,0.4,0.45,standard,FRA,FW,17,2003,6.2,167,5,20,57,94,29,167,19,7,36.8,12,63.2,101,790,452,16,9,7,13,9,121,44,possession,FRA,FW,17,2003,6.2,4,3,2,1,1,1,6,16.7,5,4,0,4,2,6,5,0,defense,FRA,FW,17,2003,6.2,3,12,7,58.3,1.95,1.14,0.25,0.43,9.3,0,0,0,2.5,2.5,0.2,0.5,0.5,shooting,FRA,FW,17,2003,6.2,69,105,65.7,840,149,46,61,75.4,15,22,68.2,3,6,50.0,1,0.4,0.3,0.6,6,2,2,0,6,passing,FRA,FW,17,2003,6.2,1,0,0,7,15,5,4,2,3,0,0,0,19,10,13,43.5,misc
FRA-Ligue 1,2021,Bordeaux,Enock Kwateng,FRA,DF,23,1997,18,12,1038,11.5,1,0,1,1,0,0,4,0,0.5,0.5,0.7,1.2,15,44,35,0.09,0.0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1,standard,FRA,DF,23,1997,11.5,796,44,265,410,129,11,796,12,8,66.7,4,33.3,428,1771,981,15,10,0,19,7,459,35,possession,FRA,DF,23,1997,11.5,21,12,15,4,2,14,27,51.9,13,15,3,12,26,47,27,0,defense,FRA,DF,23,1997,11.5,1,4,2,50.0,0.35,0.17,0.25,0.5,11.2,0,0,0,0.5,0.5,0.13,0.5,0.5,shooting,FRA,DF,23,1997,11.5,538,667,80.7,8008,3103,303,346,87.6,191,248,77.0,26,44,59.1,0,0.7,0.8,-0.7,7,27,5,4,44,passing,FRA,DF,23,1997,11.5,4,0,0,15,17,0,17,26,12,0,0,0,78,23,14,62.2,misc
FRA-Ligue 1,2021,Angers,Enzo Ebosse,CMR,DF,21,1999,6,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,standard,CMR,DF,21,1999,2.9,177,13,83,84,12,2,177,0,0,,0,,83,259,115,1,1,0,4,0,119,7,possession,CMR,DF,21,1999,2.9,5,3,5,0,0,3,4,75.0,1,1,1,0,2,7,13,0,defense,CMR,DF,21,1999,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,CMR,DF,21,1999,2.9,129,151,85.4,1918,852,79,82,96.3,41,50,82.0,6,12,50.0,0,0.4,0.5,-0.4,1,2,0,0,6,passing,CMR,DF,21,1999,2.9,1,0,0,3,4,0,4,2,3,0,0,0,14,2,2,50.0,misc
FRA-Ligue 1,2021,Lorient,Enzo Le Fée,FRA,MF,20,2000,36,21,1816,20.2,0,5,5,0,0,0,6,0,1.2,1.2,5.0,6.2,47,101,76,0.0,0.25,0.25,0.0,0.25,0.06,0.25,0.31,0.06,0.31,standard,FRA,MF,20,2000,20.2,1115,15,190,650,298,15,1115,62,41,66.1,21,33.9,650,3909,1912,47,53,4,47,34,764,76,possession,FRA,MF,20,2000,20.2,51,28,23,23,5,27,73,37.0,46,30,6,24,25,76,10,0,defense,FRA,MF,20,2000,20.2,0,31,5,16.1,1.54,0.25,0.0,0.0,26.4,5,0,0,1.2,1.2,0.04,-1.2,-1.2,shooting,FRA,MF,20,2000,20.2,671,868,77.3,11225,3134,319,369,86.4,255,306,83.3,65,131,49.6,5,5.0,3.9,0.0,33,74,12,2,101,passing,FRA,MF,20,2000,20.2,6,0,0,24,41,0,70,25,28,0,0,0,142,4,21,16.0,misc
