league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,90s_defense
FRA-Ligue 1,2020,Dijon,Yassine Benzia,ALG,"MF,FW",25,1994.0,7,5,407,4.5,2,1,3,0,2,2,1,0,1.8,0.2,0.5,0.7,5,19,11,0.44,0.22,0.66,0.0,0.22,0.39,0.11,0.5,0.04,0.15,standard,ALG,"MF,FW",25,1994.0,4.5,10,5,5,3,2,2,10,20.0,8,3,0,3,6,16,2,0,defense,ALG,"MF,FW",25,1994.0,,2,4,0,0.0,0.88,0.0,0.0,,27.2,0,2,2,1.8,0.2,0.05,0.2,-0.2,shooting,ALG,"MF,FW",25,1994.0,4.5,155,201,77.1,2618,724,78,93,83.9,55,66,83.3,15,32,46.9,1,0.5,0.3,0.5,9,16,1,1,19,passing,ALG,"MF,FW",25,1994.0,4.5,1,0,0,8,9,0,22,6,5,0,0,0,28,4,7,36.4,misc,ALG,"MF,FW",25,1994.0,4.5,256,0,37,142,81,6,254,12,8,66.7,4,33.3,157,651,259,5,6,1,13,7,167,11,possession,4.5
FRA-Ligue 1,2020,Lyon,Yaya Soumaré,FRA,FW,20,2000.0,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,20,2000.0,0.0,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,0,0,defense,FRA,FW,20,2000.0,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,FW,20,2000.0,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,20,2000.0,0.0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,,misc,FRA,FW,20,2000.0,0.0,4,0,2,2,0,0,4,0,0,,0,,2,1,0,0,0,0,0,0,1,0,possession,0.0
FRA-Ligue 1,2020,Reims,Yehvann Diouf,FRA,GK,20,1999.0,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,GK,20,1999.0,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,GK,20,1999.0,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,GK,20,1999.0,1.5,41,52,78.8,1017,682,7,7,100.0,24,24,100.0,10,21,47.6,0,0.0,0.0,0.0,0,1,0,0,0,passing,FRA,GK,20,1999.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,misc,FRA,GK,20,1999.0,1.5,53,43,53,0,0,0,53,0,0,,0,,35,212,107,0,0,0,0,0,20,0,possession,1.5
FRA-Ligue 1,2020,Lorient,Yoane Wissa,COD,"MF,FW",23,1996.0,38,30,2674,29.7,10,4,14,6,4,5,2,0,12.1,8.8,3.5,12.3,81,63,184,0.34,0.13,0.47,0.2,0.34,0.41,0.12,0.53,0.3,0.41,standard,COD,"MF,FW",23,1996.0,29.7,35,20,12,14,9,11,34,32.4,23,25,3,22,20,55,14,0,defense,COD,"MF,FW",23,1996.0,,10,52,19,36.5,1.75,0.64,0.12,0.32,16.9,0,4,5,12.1,8.8,0.17,-2.1,-2.8,shooting,COD,"MF,FW",23,1996.0,29.7,549,747,73.5,7557,1846,306,370,82.7,176,232,75.9,21,57,36.8,4,3.5,2.7,0.5,29,32,14,1,63,passing,COD,"MF,FW",23,1996.0,29.7,2,0,0,30,85,10,29,20,20,3,0,0,142,47,31,60.3,misc,COD,"MF,FW",23,1996.0,29.7,1086,27,154,537,424,93,1081,98,55,56.1,43,43.9,669,4281,2308,81,53,24,71,30,770,184,possession,29.7
FRA-Ligue 1,2020,Lorient,Yoann Etienne,FRA,DF,23,1997.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,standard,FRA,DF,23,1997.0,1.0,2,0,1,1,0,1,1,100.0,0,1,0,1,1,3,2,0,defense,FRA,DF,23,1997.0,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,DF,23,1997.0,1.0,23,36,63.9,349,236,16,19,84.2,6,11,54.5,1,5,20.0,0,0.0,0.0,0.0,1,4,0,0,5,passing,FRA,DF,23,1997.0,1.0,1,0,0,2,1,0,5,1,0,0,0,0,6,2,1,66.7,misc,FRA,DF,23,1997.0,1.0,47,3,17,21,9,0,47,1,0,0.0,1,100.0,14,70,29,0,0,0,4,0,18,1,possession,1.0
FRA-Ligue 1,2020,Marseille,Yohann Pelé,FRA,GK,37,1982.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,GK,37,1982.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,FRA,GK,37,1982.0,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,FRA,GK,37,1982.0,1.0,22,23,95.7,373,269,5,5,100.0,17,18,94.4,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,GK,37,1982.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc,FRA,GK,37,1982.0,1.0,25,22,25,0,0,0,25,0,0,,0,,14,78,59,0,0,0,0,0,11,0,possession,1.0
FRA-Ligue 1,2020,Paris S-G,Xavi Simons,NED,MF,17,2003.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,1.48,1.48,standard,NED,MF,17,2003.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,NED,MF,17,2003.0,,0,1,0,0.0,45.0,0.0,0.0,,23.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,NED,MF,17,2003.0,0.0,7,9,77.8,89,15,5,6,83.3,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,NED,MF,17,2003.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc,NED,MF,17,2003.0,0.0,10,0,0,1,9,0,10,0,0,,0,,7,27,14,0,1,0,0,0,7,0,possession,0.0
FRA-Ligue 1,2020,Reims,Xavier Chavalerin,FRA,MF,29,1991.0,30,29,2547,28.3,0,3,3,0,0,0,8,0,1.2,1.2,2.6,3.8,11,101,44,0.0,0.11,0.11,0.0,0.11,0.04,0.09,0.14,0.04,0.14,standard,FRA,MF,29,1991.0,28.3,92,50,47,38,7,26,74,35.1,48,43,9,34,43,135,29,1,defense,FRA,MF,29,1991.0,,0,22,6,27.3,0.78,0.21,0.0,0.0,21.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2,shooting,FRA,MF,29,1991.0,28.3,843,1017,82.9,14334,4525,431,483,89.2,289,337,85.8,96,136,70.6,3,2.6,1.7,0.4,23,86,14,3,101,passing,FRA,MF,29,1991.0,28.3,8,0,0,38,6,3,20,43,50,0,0,0,120,15,16,48.4,misc,FRA,MF,29,1991.0,28.3,1302,49,421,677,214,25,1302,27,18,66.7,9,33.3,648,2610,1058,11,13,0,23,11,807,44,possession,28.3
FRA-Ligue 1,2020,Lille,Xeka,POR,MF,25,1994.0,33,11,1200,13.3,1,2,3,1,0,0,6,0,0.9,0.9,2.3,3.2,20,83,24,0.07,0.15,0.23,0.07,0.23,0.07,0.17,0.24,0.07,0.24,standard,POR,MF,25,1994.0,13.3,33,17,14,15,4,16,43,37.2,27,14,2,12,20,53,18,0,defense,POR,MF,25,1994.0,,1,18,5,27.8,1.35,0.37,0.06,0.2,22.3,0,0,0,0.9,0.9,0.05,0.1,0.1,shooting,POR,MF,25,1994.0,13.3,774,880,88.0,13549,3380,358,383,93.5,306,341,89.7,84,110,76.4,2,2.3,1.7,-0.3,19,90,10,2,83,passing,POR,MF,25,1994.0,13.3,6,0,0,28,27,0,22,20,17,0,0,0,83,16,19,45.7,misc,POR,MF,25,1994.0,13.3,1025,24,151,704,184,14,1025,13,6,46.2,7,53.8,643,3243,1523,20,16,2,19,3,752,24,possession,13.3
FRA-Ligue 1,2020,Bordeaux,Yacine Adli,FRA,MF,20,2000.0,35,25,2418,26.9,2,5,7,2,0,0,6,0,1.9,1.9,4.4,6.3,54,188,48,0.07,0.19,0.26,0.07,0.26,0.07,0.16,0.23,0.07,0.23,standard,FRA,MF,20,2000.0,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,defense,FRA,MF,20,2000.0,,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,0.1,0.1,shooting,FRA,MF,20,2000.0,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,0.6,53,158,20,2,188,passing,FRA,MF,20,2000.0,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0,misc,FRA,MF,20,2000.0,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48,possession,26.9
