league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
ESP-La Liga,2020,Cádiz,Alberto Cifuentes,ESP,GK,41,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard,ESP,GK,41,1979,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,41,1979,2.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc,ESP,GK,41,1979,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,GK,41,1979,2.0,27,68,39.7,1387,1283,2,2,100.0,0,1,0.0,25,65,38.5,0,0.0,0.0,0.0,1,0,0,0,0,passing,ESP,GK,41,1979,2.0,70,49,70,0,0,0,70,0,0,,0,,24,153,93,0,0,0,0,0,18,0,possession
ESP-La Liga,2020,Villarreal,Alberto Moreno,ESP,DF,28,1992,5,2,193,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,9,16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,standard,ESP,DF,28,1992,2.1,0,4,0,0.0,1.87,0.0,0.0,,18.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,ESP,DF,28,1992,2.1,0,0,0,3,3,0,6,3,4,0,0,0,6,0,0,,misc,ESP,DF,28,1992,2.1,7,4,7,0,0,2,5,40.0,3,2,1,1,3,10,2,0,defense,ESP,DF,28,1992,2.1,85,101,84.2,1328,360,40,43,93.0,32,35,91.4,7,11,63.6,0,0.0,0.1,0.0,0,5,2,0,9,passing,ESP,DF,28,1992,2.1,121,4,31,52,39,4,121,6,4,66.7,2,33.3,71,483,267,10,6,1,0,0,78,16,possession
ESP-La Liga,2020,Cádiz,Alberto Perea,ESP,MF,29,1990,27,16,1549,17.2,2,3,5,2,0,0,0,0,1.8,1.8,2.5,4.3,61,51,74,0.12,0.17,0.29,0.12,0.29,0.1,0.15,0.25,0.1,0.25,standard,ESP,MF,29,1990,17.2,2,28,6,21.4,1.63,0.35,0.07,0.33,22.4,4,0,0,1.8,1.8,0.06,0.2,0.2,shooting,ESP,MF,29,1990,17.2,0,0,0,6,33,1,57,21,17,0,0,0,96,4,9,30.8,misc,ESP,MF,29,1990,17.2,28,17,12,10,6,9,35,25.7,26,26,1,25,21,49,9,0,defense,ESP,MF,29,1990,17.2,379,525,72.2,5685,1925,217,252,86.1,112,152,73.7,32,65,49.2,3,2.5,1.7,0.5,13,33,11,7,51,passing,ESP,MF,29,1990,17.2,755,9,135,338,301,27,755,96,63,65.6,33,34.4,487,3658,1849,61,53,14,24,35,494,74,possession
ESP-La Liga,2020,Granada,Alberto Soro,ESP,"FW,MF",21,1999,15,3,393,4.4,1,2,3,1,0,0,1,0,0.7,0.7,0.3,1.1,6,15,24,0.23,0.46,0.69,0.23,0.69,0.17,0.08,0.25,0.17,0.25,standard,ESP,"FW,MF",21,1999,4.4,1,2,1,50.0,0.46,0.23,0.5,1.0,11.3,0,0,0,0.7,0.7,0.37,0.3,0.3,shooting,ESP,"FW,MF",21,1999,4.4,1,0,0,11,9,3,12,1,2,0,0,0,25,2,13,13.3,misc,ESP,"FW,MF",21,1999,4.4,7,2,2,4,1,4,10,40.0,6,7,0,7,1,8,2,0,defense,ESP,"FW,MF",21,1999,4.4,92,129,71.3,1290,345,57,66,86.4,24,33,72.7,6,15,40.0,2,0.3,0.5,1.7,6,8,4,1,15,passing,ESP,"FW,MF",21,1999,4.4,166,3,23,70,76,11,166,5,2,40.0,3,60.0,94,498,225,6,6,2,6,11,94,24,possession
ESP-La Liga,2020,Eibar,Aleix García,ESP,MF,23,1997,11,5,437,4.9,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,4,26,8,0.0,0.21,0.21,0.0,0.21,0.02,0.18,0.21,0.02,0.21,standard,ESP,MF,23,1997,4.9,0,3,1,33.3,0.62,0.21,0.0,0.0,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ESP,MF,23,1997,4.9,1,0,0,4,1,0,26,8,4,0,0,0,19,6,1,85.7,misc,ESP,MF,23,1997,4.9,5,4,2,2,1,1,10,10.0,9,5,0,5,8,13,2,0,defense,ESP,MF,23,1997,4.9,227,279,81.4,4230,1030,94,107,87.9,80,91,87.9,39,61,63.9,1,0.9,0.8,0.1,12,25,3,1,26,passing,ESP,MF,23,1997,4.9,307,5,37,193,83,4,307,2,1,50.0,1,50.0,167,802,323,4,6,1,3,1,217,8,possession
ESP-La Liga,2020,Sevilla,Aleix Vidal,ESP,DF,30,1989,12,5,595,6.6,0,1,1,0,0,0,2,0,0.0,0.0,0.7,0.7,14,45,74,0.0,0.15,0.15,0.0,0.15,0.0,0.11,0.11,0.0,0.11,standard,ESP,DF,30,1989,6.6,0,1,0,0.0,0.15,0.0,0.0,,29.0,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,ESP,DF,30,1989,6.6,2,0,0,5,14,0,16,12,5,0,0,0,39,14,9,60.9,misc,ESP,DF,30,1989,6.6,9,5,5,3,1,5,12,41.7,7,10,1,9,12,21,9,0,defense,ESP,DF,30,1989,6.6,423,505,83.8,6807,2102,228,249,91.6,141,166,84.9,39,56,69.6,1,0.7,0.5,0.3,6,27,9,2,45,passing,ESP,DF,30,1989,6.6,559,14,122,262,180,7,559,9,4,44.4,5,55.6,316,1616,720,14,15,1,8,1,368,74,possession
ESP-La Liga,2020,Valencia,Alejandro Blanco,ESP,MF,21,1998,13,6,580,6.4,1,0,1,1,0,0,1,0,0.5,0.5,0.5,0.9,17,2,44,0.16,0.0,0.16,0.16,0.16,0.07,0.08,0.15,0.07,0.15,standard,ESP,MF,21,1998,6.4,1,7,2,28.6,1.09,0.31,0.14,0.5,15.3,0,0,0,0.5,0.5,0.07,0.5,0.5,shooting,ESP,MF,21,1998,6.4,1,0,0,4,8,2,10,8,4,0,0,0,24,2,8,20.0,misc,ESP,MF,21,1998,6.4,8,4,4,4,0,3,18,16.7,15,5,0,5,8,16,9,0,defense,ESP,MF,21,1998,6.4,101,140,72.1,1274,142,63,80,78.8,31,38,81.6,1,4,25.0,0,0.5,0.3,-0.5,8,3,1,1,2,passing,ESP,MF,21,1998,6.4,224,10,51,74,99,22,224,12,4,33.3,8,66.7,140,907,404,17,7,5,19,17,148,44,possession
ESP-La Liga,2020,Levante,Alejandro Blesa,ESP,MF,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,18,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,18,2002,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,misc,ESP,MF,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,MF,18,2002,0.1,12,12,100.0,225,17,3,3,100.0,9,9,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,passing,ESP,MF,18,2002,0.1,12,0,2,9,1,0,12,0,0,,0,,11,74,43,0,0,0,0,0,11,0,possession
ESP-La Liga,2020,Eibar,Alejandro Pozo Pozo,ESP,"DF,MF",21,1999,30,24,2190,24.3,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,37,75,80,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,standard,ESP,"DF,MF",21,1999,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,23.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,shooting,ESP,"DF,MF",21,1999,24.3,4,0,0,20,18,2,89,27,22,0,0,0,136,8,28,22.2,misc,ESP,"DF,MF",21,1999,24.3,38,22,17,15,6,17,38,44.7,21,35,2,33,27,65,40,1,defense,ESP,"DF,MF",21,1999,24.3,829,1161,71.4,14342,5725,406,473,85.8,294,396,74.2,106,225,47.1,0,1.1,1.5,-1.1,12,90,19,12,75,passing,ESP,"DF,MF",21,1999,24.3,1370,43,316,649,412,15,1370,27,14,51.9,13,48.1,649,3143,1531,37,23,6,26,9,767,80,possession
ESP-La Liga,2020,Villarreal,Alex Baena,ESP,MF,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,5,12,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,standard,ESP,MF,19,2001,1.5,0,2,1,50.0,1.31,0.66,0.0,0.0,26.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,ESP,MF,19,2001,1.5,0,0,0,2,4,0,4,1,3,0,0,0,3,0,2,0.0,misc,ESP,MF,19,2001,1.5,4,3,1,2,1,1,3,33.3,2,1,1,0,1,5,1,0,defense,ESP,MF,19,2001,1.5,43,56,76.8,615,112,22,24,91.7,20,25,80.0,0,2,0.0,0,0.1,0.1,-0.1,2,4,1,0,5,passing,ESP,MF,19,2001,1.5,74,2,13,27,34,2,74,4,2,50.0,2,50.0,38,220,100,5,4,0,0,2,53,12,possession
