league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession
ESP-La Liga,2020,Athletic Club,Dani García,ESP,MF,30,1990,27,21,1920,21.3,0,1,1,0,0,0,8,0,0.3,0.3,0.6,0.9,14,108,12,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.04,0.02,0.04,standard,ESP,MF,30,1990,21.3,0,6,1,16.7,0.28,0.05,0.0,0.0,20.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,shooting,ESP,MF,30,1990,21.3,8,0,0,29,22,0,6,33,19,0,1,0,146,40,36,52.6,misc,ESP,MF,30,1990,21.3,39,19,10,23,6,15,46,32.6,31,20,7,13,33,72,34,0,defense,ESP,MF,30,1990,21.3,865,1039,83.3,16578,4222,308,359,85.8,414,468,88.5,117,162,72.2,1,0.6,0.4,0.4,8,97,5,1,108,passing,ESP,MF,30,1990,21.3,1198,51,242,825,138,5,1198,6,6,100.0,0,0.0,563,2589,1253,14,16,1,9,11,732,12,possession
ESP-La Liga,2020,Levante,Dani Gómez,ESP,FW,22,1998,34,17,1666,18.5,2,2,4,2,0,0,3,0,2.7,2.7,0.8,3.5,42,33,133,0.11,0.11,0.22,0.11,0.22,0.15,0.04,0.19,0.15,0.19,standard,ESP,FW,22,1998,18.5,2,31,8,25.8,1.67,0.43,0.06,0.25,16.0,0,0,0,2.7,2.7,0.09,-0.7,-0.7,shooting,ESP,FW,22,1998,18.5,3,0,0,30,38,12,15,2,3,1,0,0,44,12,46,20.7,misc,ESP,FW,22,1998,18.5,4,3,2,1,1,0,11,0.0,11,3,0,3,2,6,4,0,defense,ESP,FW,22,1998,18.5,252,336,75.0,3305,663,148,174,85.1,70,89,78.7,11,18,61.1,2,0.8,0.5,1.2,11,18,10,1,33,passing,ESP,FW,22,1998,18.5,519,6,35,221,273,73,519,59,33,55.9,26,44.1,350,2165,978,42,25,23,60,40,425,133,possession
ESP-La Liga,2020,Granada,Dani Plomer,ESP,FW,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,21,1998,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,FW,21,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,misc,ESP,FW,21,1998,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,defense,ESP,FW,21,1998,0.5,3,3,100.0,32,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ESP,FW,21,1998,0.5,7,1,1,4,2,0,7,0,0,,0,,3,3,1,0,0,0,0,1,4,0,possession
ESP-La Liga,2020,Villarreal,Dani Raba,ESP,"MF,FW",24,1995,5,1,150,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,8,10,9,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23,standard,ESP,"MF,FW",24,1995,1.7,0,6,1,16.7,3.6,0.6,0.0,0.0,16.9,1,0,0,0.3,0.3,0.06,-0.3,-0.3,shooting,ESP,"MF,FW",24,1995,1.7,0,0,0,3,9,1,7,0,1,0,0,0,7,1,1,50.0,misc,ESP,"MF,FW",24,1995,1.7,2,1,0,1,1,2,8,25.0,6,1,0,1,0,2,0,0,defense,ESP,"MF,FW",24,1995,1.7,63,84,75.0,997,252,33,38,86.8,18,23,78.3,6,16,37.5,0,0.0,0.3,0.0,2,3,4,1,10,passing,ESP,"MF,FW",24,1995,1.7,107,0,7,51,50,5,107,5,4,80.0,1,20.0,65,448,182,8,4,1,6,8,89,9,possession
ESP-La Liga,2020,Villarreal,Daniel Parejo,ESP,MF,31,1989,36,36,3112,34.6,3,5,8,3,0,0,4,0,1.2,1.2,5.2,6.4,53,320,41,0.09,0.14,0.23,0.09,0.23,0.04,0.15,0.19,0.04,0.19,standard,ESP,MF,31,1989,34.6,3,27,9,33.3,0.78,0.26,0.11,0.33,23.9,6,0,0,1.2,1.2,0.05,1.8,1.8,shooting,ESP,MF,31,1989,34.6,4,0,0,32,60,0,112,45,40,0,0,0,226,24,24,50.0,misc,ESP,MF,31,1989,34.6,65,40,32,23,10,33,81,40.7,48,35,8,27,45,110,21,3,defense,ESP,MF,31,1989,34.6,2454,2794,87.8,43180,14807,1201,1282,93.7,892,967,92.2,304,426,71.4,5,5.2,5.6,-0.2,43,277,41,6,320,passing,ESP,MF,31,1989,34.6,3037,66,578,1799,687,30,3037,49,37,75.5,12,24.5,1720,7371,3439,53,52,6,23,21,2275,41,possession
ESP-La Liga,2020,Valencia,Daniel Wass,DEN,"MF,DF",31,1989,35,35,2979,33.1,4,1,5,3,1,1,8,0,2.9,2.1,2.3,4.4,37,122,89,0.12,0.03,0.15,0.09,0.12,0.09,0.07,0.16,0.06,0.13,standard,DEN,"MF,DF",31,1989,33.1,4,37,10,27.0,1.12,0.3,0.08,0.3,25.5,9,1,1,2.9,2.1,0.06,1.1,0.9,shooting,DEN,"MF,DF",31,1989,33.1,8,0,0,36,33,7,67,47,31,0,0,0,160,59,53,52.7,misc,DEN,"MF,DF",31,1989,33.1,52,31,21,29,2,22,55,40.0,33,33,13,20,47,99,69,0,defense,DEN,"MF,DF",31,1989,33.1,1237,1626,76.1,20144,7402,628,714,88.0,463,581,79.7,103,215,47.9,1,2.3,1.8,-1.3,38,122,21,6,122,passing,DEN,"MF,DF",31,1989,33.1,1936,108,525,978,453,35,1935,17,9,52.9,8,47.1,1013,4346,2247,37,45,3,28,13,1203,89,possession
ESP-La Liga,2020,Osasuna,Darko Brašanac,SRB,MF,28,1992,16,9,909,10.1,2,0,2,2,0,0,4,0,0.9,0.9,0.1,1.1,22,40,46,0.2,0.0,0.2,0.2,0.2,0.09,0.01,0.11,0.09,0.11,standard,SRB,MF,28,1992,10.1,2,8,4,50.0,0.79,0.4,0.25,0.5,17.2,0,0,0,0.9,0.9,0.12,1.1,1.1,shooting,SRB,MF,28,1992,10.1,4,0,0,27,7,1,11,7,6,0,0,0,43,27,17,61.4,misc,SRB,MF,28,1992,10.1,10,6,6,4,0,5,16,31.3,11,8,1,7,7,17,10,0,defense,SRB,MF,28,1992,10.1,215,310,69.4,3018,761,121,149,81.2,74,103,71.8,6,15,40.0,0,0.1,0.4,-0.1,5,23,7,2,40,passing,SRB,MF,28,1992,10.1,390,14,57,192,144,32,390,6,4,66.7,2,33.3,179,819,411,22,5,8,11,16,233,46,possession
ESP-La Liga,2020,Granada,Darwin Machís,VEN,"FW,MF",27,1993,32,21,2026,22.5,5,5,10,5,0,1,1,0,5.1,4.3,5.0,9.3,68,37,119,0.22,0.22,0.44,0.22,0.44,0.22,0.22,0.45,0.19,0.41,standard,VEN,"FW,MF",27,1993,22.5,5,47,20,42.6,2.09,0.89,0.11,0.25,21.4,5,0,1,5.1,4.3,0.1,-0.1,0.7,shooting,VEN,"FW,MF",27,1993,22.5,1,0,0,32,45,11,108,22,17,0,0,0,132,12,42,22.2,misc,VEN,"FW,MF",27,1993,22.5,30,17,12,10,8,6,19,31.6,13,21,2,19,22,52,13,0,defense,VEN,"FW,MF",27,1993,22.5,327,552,59.2,5502,1806,182,228,79.8,93,154,60.4,40,112,35.7,5,5.0,3.5,0.0,25,30,14,10,37,passing,VEN,"FW,MF",27,1993,22.5,835,13,133,319,409,59,833,82,45,54.9,37,45.1,488,3882,1887,68,41,23,63,41,497,119,possession
ESP-La Liga,2020,Getafe,Darío Poveda,ESP,FW,23,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,23,1997,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,FW,23,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,misc,ESP,FW,23,1997,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense,ESP,FW,23,1997,0.1,2,5,40.0,23,2,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,passing,ESP,FW,23,1997,0.1,9,0,0,1,8,1,9,0,0,,0,,4,8,5,0,0,0,2,0,6,2,possession
ESP-La Liga,2020,Huesca,David Ferreiro,ESP,"MF,FW",32,1988,37,29,2527,28.1,2,4,6,2,0,0,5,0,1.8,1.8,6.0,7.8,68,113,182,0.07,0.14,0.21,0.07,0.21,0.06,0.21,0.28,0.06,0.28,standard,ESP,"MF,FW",32,1988,28.1,2,26,12,46.2,0.93,0.43,0.08,0.17,19.8,0,0,0,1.8,1.8,0.07,0.2,0.2,shooting,ESP,"MF,FW",32,1988,28.1,5,0,0,52,38,15,245,25,12,0,0,0,152,9,21,30.0,misc,ESP,"MF,FW",32,1988,28.1,25,12,12,8,5,8,49,16.3,41,21,1,20,25,50,15,0,defense,ESP,"MF,FW",32,1988,28.1,701,1090,64.3,13216,4057,316,384,82.3,254,372,68.3,114,257,44.4,4,6.0,5.5,-2.0,73,60,46,27,113,passing,ESP,"MF,FW",32,1988,28.1,1325,13,180,523,649,43,1325,64,44,68.8,20,31.3,788,5108,2292,68,47,12,41,36,845,182,possession
ESP-La Liga,2020,Osasuna,David García,ESP,DF,26,1994,35,35,3150,35.0,1,0,1,1,0,0,8,0,1.1,1.1,0.6,1.7,4,124,2,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,standard,ESP,DF,26,1994,35.0,1,13,2,15.4,0.37,0.06,0.08,0.5,12.8,0,0,0,1.1,1.1,0.08,-0.1,-0.1,shooting,ESP,DF,26,1994,35.0,8,0,0,45,23,1,1,59,17,0,1,1,175,159,56,74.0,misc,ESP,DF,26,1994,35.0,26,17,13,13,0,13,24,54.2,11,36,19,17,59,85,171,0,defense,ESP,DF,26,1994,35.0,988,1380,71.6,20898,9501,299,392,76.3,515,636,81.0,163,320,50.9,0,0.6,0.6,-0.6,5,85,1,0,124,passing,ESP,DF,26,1994,35.0,1733,208,799,901,40,24,1733,2,2,100.0,0,0.0,706,3414,1566,4,1,0,5,4,772,2,possession
ESP-La Liga,2020,Cádiz,David Gil,ESP,GK,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,26,1994,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc,ESP,GK,26,1994,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,defense,ESP,GK,26,1994,4.0,47,122,38.5,2260,2039,1,1,100.0,9,9,100.0,37,112,33.0,0,0.0,0.0,0.0,0,4,0,0,0,passing,ESP,GK,26,1994,4.0,129,110,129,0,0,0,129,0,0,,0,,62,511,364,0,0,0,0,0,30,0,possession
ESP-La Liga,2020,Real Sociedad,David Silva,ESP,MF,34,1986,21,17,1399,15.5,2,5,7,2,0,0,4,0,2.4,2.4,3.3,5.7,52,141,76,0.13,0.32,0.45,0.13,0.45,0.16,0.21,0.37,0.16,0.37,standard,ESP,MF,34,1986,15.5,2,20,3,15.0,1.29,0.19,0.1,0.67,14.3,2,0,0,2.4,2.4,0.12,-0.4,-0.4,shooting,ESP,MF,34,1986,15.5,4,0,0,24,21,1,18,13,12,0,1,0,96,11,26,29.7,misc,ESP,MF,34,1986,15.5,19,12,2,14,3,8,21,38.1,13,14,1,13,13,32,8,2,defense,ESP,MF,34,1986,15.5,720,866,83.1,11406,2961,385,433,88.9,234,276,84.8,72,87,82.8,5,3.3,3.5,1.7,28,79,46,1,141,passing,ESP,MF,34,1986,15.5,1009,10,77,546,401,53,1009,47,31,66.0,16,34.0,614,3802,1780,52,45,12,17,16,761,76,possession
ESP-La Liga,2020,Getafe,David Soria,ESP,GK,27,1993,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,27,1993,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,27,1993,28.0,2,0,0,0,4,0,0,1,2,0,0,0,37,8,3,72.7,misc,ESP,GK,27,1993,28.0,2,2,2,0,0,1,3,33.3,2,0,0,0,1,3,12,0,defense,ESP,GK,27,1993,28.0,399,860,46.4,18729,17094,17,17,100.0,71,75,94.7,311,762,40.8,0,0.0,0.1,0.0,0,57,2,0,0,passing,ESP,GK,27,1993,28.0,913,642,896,17,0,0,913,0,0,,0,,419,3086,2193,0,0,0,0,0,249,0,possession
ESP-La Liga,2020,Getafe,David Timor,ESP,"MF,DF",30,1989,30,15,1395,15.5,0,0,0,0,0,0,5,1,0.6,0.6,1.2,1.7,7,70,4,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.11,0.04,0.11,standard,ESP,"MF,DF",30,1989,15.5,0,17,4,23.5,1.1,0.26,0.0,0.0,33.8,9,0,0,0.6,0.6,0.03,-0.6,-0.6,shooting,ESP,"MF,DF",30,1989,15.5,5,1,0,17,14,0,33,19,9,0,0,1,80,41,39,51.3,misc,ESP,"MF,DF",30,1989,15.5,13,9,5,6,2,9,21,42.9,12,5,1,4,19,32,32,1,defense,ESP,"MF,DF",30,1989,15.5,393,633,62.1,8840,3497,149,196,76.0,135,209,64.6,92,193,47.7,0,1.2,1.3,-1.2,12,70,3,2,70,passing,ESP,"MF,DF",30,1989,15.5,745,46,189,416,143,4,745,3,2,66.7,1,33.3,254,1318,739,7,9,1,6,3,322,4,possession
ESP-La Liga,2020,Valencia,Denis Cheryshev,RUS,MF,29,1990,21,13,1101,12.2,0,3,3,0,0,0,3,0,1.0,1.0,2.4,3.4,37,37,95,0.0,0.25,0.25,0.0,0.25,0.08,0.19,0.28,0.08,0.28,standard,RUS,MF,29,1990,12.2,0,20,6,30.0,1.63,0.49,0.0,0.0,19.3,0,0,0,1.0,1.0,0.05,-1.0,-1.0,shooting,RUS,MF,29,1990,12.2,3,0,0,26,14,3,50,12,15,0,0,0,53,13,16,44.8,misc,RUS,MF,29,1990,12.2,19,15,6,7,6,6,26,23.1,20,15,1,14,12,31,15,0,defense,RUS,MF,29,1990,12.2,195,330,59.1,3191,1014,97,133,72.9,77,113,68.1,16,45,35.6,3,2.4,2.1,0.6,16,16,13,4,37,passing,RUS,MF,29,1990,12.2,464,13,76,180,217,43,464,20,8,40.0,12,60.0,264,1706,862,37,27,12,24,10,315,95,possession
ESP-La Liga,2020,Celta Vigo,Denis Suárez,ESP,MF,26,1994,35,34,2852,31.7,0,9,9,0,0,0,10,0,1.1,1.1,5.9,7.0,82,204,87,0.0,0.28,0.28,0.0,0.28,0.03,0.19,0.22,0.03,0.22,standard,ESP,MF,26,1994,31.7,0,16,3,18.8,0.5,0.09,0.0,0.0,23.1,1,0,0,1.1,1.1,0.07,-1.1,-1.1,shooting,ESP,MF,26,1994,31.7,10,0,0,45,40,1,119,22,32,0,0,0,175,13,12,52.0,misc,ESP,MF,26,1994,31.7,64,32,22,30,12,21,94,22.3,73,30,2,28,22,86,15,2,defense,ESP,MF,26,1994,31.7,1650,2037,81.0,25777,7577,848,952,89.1,575,680,84.6,135,239,56.5,9,5.9,5.4,3.1,46,174,31,5,204,passing,ESP,MF,26,1994,31.7,2317,34,337,1410,592,16,2317,58,36,62.1,22,37.9,1410,7856,3874,82,80,4,56,25,1674,87,possession
ESP-La Liga,2020,Huesca,Denis Vavro,SVK,DF,24,1996,11,9,611,6.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,23,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,SVK,DF,24,1996,6.8,0,8,2,25.0,1.18,0.29,0.0,0.0,26.9,1,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting,SVK,DF,24,1996,6.8,1,0,0,9,4,0,3,11,4,0,0,1,34,11,7,61.1,misc,SVK,DF,24,1996,6.8,7,4,2,4,1,2,5,40.0,3,2,0,2,11,18,21,0,defense,SVK,DF,24,1996,6.8,244,324,75.3,4980,1796,87,95,91.6,117,140,83.6,35,76,46.1,0,0.0,0.0,0.0,1,22,1,0,23,passing,SVK,DF,24,1996,6.8,379,28,187,172,23,3,379,1,0,0.0,1,100.0,210,1097,599,5,4,0,2,0,235,2,possession
ESP-La Liga,2020,Alavés,Deyverson,BRA,FW,29,1991,27,11,874,9.7,1,3,4,1,0,0,4,0,1.5,1.5,2.4,3.8,5,27,48,0.1,0.31,0.41,0.1,0.41,0.15,0.25,0.4,0.15,0.4,standard,BRA,FW,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.5,16.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,shooting,BRA,FW,29,1991,9.7,4,0,0,15,24,11,8,9,4,0,0,0,47,60,49,55.0,misc,BRA,FW,29,1991,9.7,6,4,3,1,2,2,13,15.4,11,9,0,9,9,15,13,0,defense,BRA,FW,29,1991,9.7,150,299,50.2,2626,859,76,137,55.5,46,87,52.9,21,46,45.7,3,2.4,0.8,0.6,10,22,7,2,27,passing,BRA,FW,29,1991,9.7,434,13,52,200,187,29,434,18,9,50.0,9,50.0,195,727,246,5,7,1,32,11,290,48,possession
ESP-La Liga,2020,Sevilla,Diego Carlos,BRA,DF,27,1993,33,32,2788,31.0,1,0,1,1,0,0,11,1,1.3,1.3,0.6,1.9,5,53,2,0.03,0.0,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06,standard,BRA,DF,27,1993,31.0,1,15,5,33.3,0.48,0.16,0.07,0.2,11.3,0,0,0,1.3,1.3,0.09,-0.3,-0.3,shooting,BRA,DF,27,1993,31.0,11,1,1,48,19,0,2,31,13,0,2,1,160,58,39,59.8,misc,BRA,DF,27,1993,31.0,22,13,17,4,1,8,16,50.0,8,35,27,8,31,53,114,1,defense,BRA,DF,27,1993,31.0,1690,1887,89.6,35232,11840,498,526,94.7,903,949,95.2,259,370,70.0,0,0.6,0.3,-0.6,8,65,2,0,53,passing,BRA,DF,27,1993,31.0,2136,313,1183,914,45,24,2136,8,8,100.0,0,0.0,1384,5039,2047,5,7,1,8,1,1600,2,possession
ESP-La Liga,2020,Atlético Madrid,Diego Costa,ESP,FW,31,1988,7,2,208,2.3,2,0,2,1,1,1,1,0,1.4,0.6,0.5,1.1,3,6,21,0.87,0.0,0.87,0.43,0.43,0.6,0.21,0.82,0.26,0.48,standard,ESP,FW,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.5,13.4,0,1,1,1.4,0.6,0.15,0.6,0.4,shooting,ESP,FW,31,1988,2.3,1,0,0,7,3,5,2,0,0,1,0,0,2,9,15,37.5,misc,ESP,FW,31,1988,2.3,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,defense,ESP,FW,31,1988,2.3,57,74,77.0,716,71,37,45,82.2,10,13,76.9,4,4,100.0,0,0.5,0.4,-0.5,4,1,6,0,6,passing,ESP,FW,31,1988,2.3,94,2,6,40,49,17,93,1,1,100.0,0,0.0,57,228,66,3,5,2,7,6,91,21,possession
ESP-La Liga,2020,Elche,Diego González,ESP,DF,25,1995,19,15,1280,14.2,1,0,1,1,0,0,5,0,0.4,0.4,0.1,0.5,7,36,1,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,standard,ESP,DF,25,1995,14.2,1,5,2,40.0,0.35,0.14,0.2,0.5,11.4,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting,ESP,DF,25,1995,14.2,5,0,0,19,3,0,0,20,7,0,0,1,70,31,21,59.6,misc,ESP,DF,25,1995,14.2,11,7,7,3,1,5,11,45.5,6,16,9,7,20,31,49,1,defense,ESP,DF,25,1995,14.2,660,744,88.7,12929,4642,213,226,94.2,362,381,95.0,77,119,64.7,0,0.1,0.4,-0.1,1,21,1,0,36,passing,ESP,DF,25,1995,14.2,867,116,488,358,22,10,867,7,7,100.0,0,0.0,552,2719,1546,7,1,0,2,3,589,1,possession
ESP-La Liga,2020,Betis,Diego Lainez,MEX,"FW,MF",20,2000,21,8,862,9.6,0,2,2,0,0,0,5,0,0.7,0.7,0.5,1.3,49,36,80,0.0,0.21,0.21,0.0,0.21,0.07,0.06,0.13,0.07,0.13,standard,MEX,"FW,MF",20,2000,9.6,0,13,4,30.8,1.36,0.42,0.0,0.0,18.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,shooting,MEX,"FW,MF",20,2000,9.6,5,0,0,14,28,2,21,11,4,0,0,0,50,6,10,37.5,misc,MEX,"FW,MF",20,2000,9.6,9,4,3,5,1,6,16,37.5,10,15,0,15,11,20,6,0,defense,MEX,"FW,MF",20,2000,9.6,272,357,76.2,3497,892,175,197,88.8,69,86,80.2,10,25,40.0,2,0.5,1.2,1.5,13,22,12,4,36,passing,MEX,"FW,MF",20,2000,9.6,479,4,63,191,234,50,479,48,30,62.5,18,37.5,329,2444,1248,49,25,18,25,23,354,80,possession
ESP-La Liga,2020,Real Sociedad,Diego Llorente,ESP,DF,26,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,26,1993,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,DF,26,1993,1.0,0,0,0,2,0,0,0,2,0,0,0,0,4,3,0,100.0,misc,ESP,DF,26,1993,1.0,1,0,1,0,0,1,2,50.0,1,1,1,0,2,3,5,0,defense,ESP,DF,26,1993,1.0,48,59,81.4,941,274,18,19,94.7,26,29,89.7,4,9,44.4,0,0.0,0.0,0.0,0,3,0,0,3,passing,ESP,DF,26,1993,1.0,66,7,36,32,0,0,66,0,0,,0,,44,260,168,2,0,0,0,0,44,0,possession
ESP-La Liga,2020,Granada,Dimitri Foulquier,FRA,DF,27,1993,32,32,2663,29.6,0,4,4,0,0,0,7,0,0.8,0.8,1.5,2.3,49,63,68,0.0,0.14,0.14,0.0,0.14,0.03,0.05,0.08,0.03,0.08,standard,FRA,DF,27,1993,29.6,0,8,4,50.0,0.27,0.14,0.0,0.0,14.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8,shooting,FRA,DF,27,1993,29.6,7,0,0,30,24,3,54,26,21,0,1,1,134,20,31,39.2,misc,FRA,DF,27,1993,29.6,35,21,20,12,3,15,26,57.7,11,24,7,17,26,61,60,0,defense,FRA,DF,27,1993,29.6,817,1130,72.3,13020,5798,436,509,85.7,296,393,75.3,60,147,40.8,4,1.5,1.1,2.5,10,54,11,4,63,passing,FRA,DF,27,1993,29.6,1407,76,430,634,360,23,1407,49,27,55.1,22,44.9,577,3557,1998,49,35,6,42,26,599,68,possession
ESP-La Liga,2020,Huesca,Dimitris Siovas,GRE,DF,31,1988,36,34,3071,34.1,2,0,2,2,0,0,5,0,3.1,3.1,0.7,3.8,22,69,7,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.11,0.09,0.11,standard,GRE,DF,31,1988,34.1,2,29,8,27.6,0.85,0.23,0.07,0.25,11.3,0,0,0,3.1,3.1,0.12,-1.1,-1.1,shooting,GRE,DF,31,1988,34.1,5,0,0,40,9,1,7,62,24,0,0,0,161,120,61,66.3,misc,GRE,DF,31,1988,34.1,46,24,34,10,2,20,30,66.7,10,38,17,21,62,108,125,2,defense,GRE,DF,31,1988,34.1,1508,1873,80.5,30207,10101,459,533,86.1,868,966,89.9,162,330,49.1,0,0.7,0.3,-0.7,6,72,0,0,69,passing,GRE,DF,31,1988,34.1,2216,248,1261,868,99,61,2216,10,9,90.0,1,10.0,1219,6343,3725,22,15,0,13,2,1406,7,possession
ESP-La Liga,2020,Getafe,Djené,TOG,DF,28,1991,34,34,2941,32.7,0,1,1,0,0,0,8,2,0.2,0.2,0.4,0.5,11,71,11,0.0,0.03,0.03,0.0,0.03,0.01,0.01,0.02,0.01,0.02,standard,TOG,DF,28,1991,32.7,0,2,0,0.0,0.06,0.0,0.0,,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,shooting,TOG,DF,28,1991,32.7,8,2,1,35,36,1,10,42,39,1,2,0,236,67,39,63.2,misc,TOG,DF,28,1991,32.7,61,39,31,26,4,26,34,76.5,8,24,11,13,42,103,96,0,defense,TOG,DF,28,1991,32.7,757,1042,72.6,15294,5697,240,294,81.6,397,501,79.2,109,207,52.7,1,0.4,0.3,0.6,6,51,3,1,71,passing,TOG,DF,28,1991,32.7,1321,146,573,695,80,8,1321,15,13,86.7,2,13.3,563,3230,1548,11,13,3,19,12,469,11,possession
