league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2021,Bordeaux,Issouf Sissokho,MLI,"MF,DF",18,2002,0.9,6,4,4,2,0,3,6,50.0,3,2,0,2,1,7,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Jean Seri,CIV,MF,29,1991,7.9,17,9,3,12,2,4,15,26.7,11,8,2,6,12,29,7,0,defense
FRA-Ligue 1,2021,Bordeaux,Jimmy Briand,FRA,FW,34,1985,6.3,7,3,3,2,2,1,1,100.0,0,2,0,2,1,8,3,0,defense
FRA-Ligue 1,2021,Bordeaux,Josh Maja,NGA,FW,21,1998,8.9,8,2,3,3,2,3,14,21.4,11,3,0,3,6,14,9,0,defense
FRA-Ligue 1,2021,Bordeaux,Laurent Koscielny,FRA,DF,34,1985,24.6,29,17,18,11,0,16,24,66.7,8,44,34,10,54,83,115,1,defense
FRA-Ligue 1,2021,Bordeaux,Loris Benito,SUI,DF,28,1992,29.5,42,26,27,12,3,22,48,45.8,26,33,10,23,42,84,70,0,defense
FRA-Ligue 1,2021,Bordeaux,Loïc Bessile,TOG,DF,21,1999,1.0,0,0,0,0,0,0,0,,0,2,1,1,1,1,3,0,defense
FRA-Ligue 1,2021,Bordeaux,Maxime Poundjé,FRA,DF,27,1992,5.5,10,7,9,1,0,2,6,33.3,4,7,3,4,11,21,5,0,defense
FRA-Ligue 1,2021,Bordeaux,Mehdi Zerkane,ALG,"MF,FW",21,1999,13.2,23,15,7,10,6,5,18,27.8,13,15,2,13,9,32,5,0,defense
FRA-Ligue 1,2021,Bordeaux,Mexer,MOZ,DF,31,1988,7.9,9,6,8,0,1,5,10,50.0,5,8,5,3,17,26,22,0,defense
FRA-Ligue 1,2021,Bordeaux,Nicolas de Préville,FRA,"FW,MF",29,1991,17.9,19,14,7,6,6,9,42,21.4,33,15,0,15,13,32,7,0,defense
FRA-Ligue 1,2021,Bordeaux,Otávio,BRA,MF,26,1994,17.3,54,31,33,19,2,26,55,47.3,29,20,5,15,26,80,36,0,defense
FRA-Ligue 1,2021,Bordeaux,Pablo,BRA,DF,29,1991,12.0,17,11,13,4,0,8,14,57.1,6,17,12,5,25,42,46,1,defense
FRA-Ligue 1,2021,Bordeaux,Paul Baysse,FRA,DF,32,1988,29.0,35,18,21,13,1,16,21,76.2,5,33,24,9,52,87,123,1,defense
FRA-Ligue 1,2021,Bordeaux,Remi Oudin,FRA,"FW,MF",23,1996,26.9,34,16,22,7,5,15,36,41.7,21,22,2,20,51,85,40,1,defense
FRA-Ligue 1,2021,Bordeaux,Rubén Pardo,ESP,MF,27,1992,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
FRA-Ligue 1,2021,Bordeaux,Samuel Kalu,NGA,"FW,MF",22,1997,10.7,21,12,11,8,2,4,13,30.8,9,14,0,14,9,30,2,0,defense
