league,season,team,player,nation,pos,age,born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type
FRA-Ligue 1,2021,Angers,Wilfried Kanga,CIV,FW,22,1998,1.5,15,20,75.0,193,3,10,11,90.9,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2021,Angers,Yassin Fortune,FRA,FW,21,1999,0.2,3,4,75.0,33,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2021,Angers,Zinédine Ould Khaled,FRA,MF,20,2000,0.4,18,19,94.7,236,46,13,14,92.9,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing
FRA-Ligue 1,2021,Bordeaux,Amadou Traore,FRA,"FW,MF",18,2002,3.4,66,95,69.5,794,132,46,55,83.6,13,20,65.0,2,7,28.6,1,0.8,0.6,0.2,6,0,1,1,1,passing
FRA-Ligue 1,2021,Bordeaux,Benoît Costil,FRA,GK,33,1987,38.0,937,1328,70.6,29221,23421,125,125,100.0,411,420,97.9,399,779,51.2,0,0.0,0.1,0.0,0,20,1,0,3,passing
FRA-Ligue 1,2021,Bordeaux,Dilane Bakwa,FRA,"FW,MF",17,2002,0.6,34,40,85.0,532,88,17,18,94.4,13,14,92.9,3,4,75.0,0,0.0,0.0,0.0,1,5,0,0,6,passing
FRA-Ligue 1,2021,Bordeaux,Enock Kwateng,FRA,DF,23,1997,11.5,538,667,80.7,8008,3103,303,346,87.6,191,248,77.0,26,44,59.1,0,0.7,0.8,-0.7,7,27,5,4,44,passing
FRA-Ligue 1,2021,Bordeaux,Hatem Ben Arfa,FRA,"MF,FW",33,1987,18.9,719,894,80.4,11319,2908,390,438,89.0,222,265,83.8,63,120,52.5,4,3.8,4.0,0.2,31,60,21,4,87,passing
FRA-Ligue 1,2021,Bordeaux,Hwang Ui-jo,KOR,"FW,MF",27,1992,27.8,378,482,78.4,4871,509,257,294,87.4,98,123,79.7,5,13,38.5,3,2.7,1.8,0.3,21,15,10,4,23,passing
FRA-Ligue 1,2021,Bordeaux,Issouf Sissokho,MLI,"MF,DF",18,2002,0.9,40,44,90.9,625,184,20,21,95.2,19,20,95.0,1,1,100.0,0,0.0,0.0,0.0,0,4,0,0,6,passing
FRA-Ligue 1,2021,Bordeaux,Jean Seri,CIV,MF,29,1991,7.9,440,516,85.3,8114,2026,179,201,89.1,200,215,93.0,49,76,64.5,0,0.2,0.3,-0.2,5,24,4,2,46,passing
FRA-Ligue 1,2021,Bordeaux,Jimmy Briand,FRA,FW,34,1985,6.3,124,164,75.6,1548,199,78,98,79.6,33,43,76.7,3,6,50.0,2,0.2,0.1,1.8,2,8,0,0,7,passing
