league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ENG-Premier League,2021,Aston Villa,Jacob Ramsey,ENG,MF,19,2001,7.0,0,0,0,13,11,2,8,4,5,0,0,0,38,7,9,43.8,misc
ENG-Premier League,2021,Aston Villa,Jaden Philogene Bidace,ENG,FW,18,2002,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,misc
ENG-Premier League,2021,Aston Villa,John McGinn,SCO,MF,25,1994,37.0,12,0,0,43,77,1,52,43,37,1,0,0,234,21,48,30.4,misc
ENG-Premier League,2021,Aston Villa,Keinan Davis,ENG,"FW,MF",22,1998,3.1,0,0,0,4,5,0,4,0,1,0,0,0,10,18,16,52.9,misc
ENG-Premier League,2021,Aston Villa,Kortney Hause,ENG,DF,25,1995,7.0,2,0,0,5,3,0,0,8,2,0,0,0,33,39,17,69.6,misc
ENG-Premier League,2021,Aston Villa,Marvelous Nakamba,ZIM,MF,26,1994,8.3,3,0,0,8,10,0,1,17,14,0,0,0,58,6,8,42.9,misc
ENG-Premier League,2021,Aston Villa,Matt Targett,ENG,DF,24,1995,37.8,7,0,0,28,22,0,146,55,39,0,1,0,177,71,50,58.7,misc
ENG-Premier League,2021,Aston Villa,Matty Cash,POL,DF,22,1997,26.4,8,1,1,35,22,2,81,60,40,0,2,0,134,34,39,46.6,misc
ENG-Premier League,2021,Aston Villa,Morgan Sanson,FRA,MF,25,1994,3.3,3,0,0,6,8,2,16,4,4,0,0,0,19,5,3,62.5,misc
ENG-Premier League,2021,Aston Villa,Neil Taylor,WAL,DF,31,1989,0.2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,misc
ENG-Premier League,2021,Aston Villa,Ollie Watkins,ENG,FW,24,1995,37.0,4,1,1,47,49,31,22,7,17,0,0,0,77,136,154,46.9,misc
ENG-Premier League,2021,Aston Villa,Ross Barkley,ENG,MF,26,1993,17.0,0,0,0,12,17,5,61,5,2,1,0,0,70,21,22,48.8,misc
