league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
GER-Bundesliga,2020,Augsburg,Marco Richter,GER,"FW,MF",22,1997,15.7,4,1,1,20,36,6,64,6,9,0,0,0,103,14,38,26.9,misc
GER-Bundesliga,2020,Augsburg,Marek Suchý,CZE,DF,32,1988,3.4,2,0,0,5,3,0,1,4,2,0,0,0,13,6,2,75.0,misc
GER-Bundesliga,2020,Augsburg,Michael Gregoritsch,AUT,"FW,MF",26,1994,9.3,1,0,0,12,15,4,15,3,10,0,0,0,37,26,38,40.6,misc
GER-Bundesliga,2020,Augsburg,Noah Joel Sarenren Bazee,NGA,"FW,MF",23,1996,0.4,1,0,0,2,1,1,0,1,0,0,0,0,4,2,3,40.0,misc
GER-Bundesliga,2020,Augsburg,Ohis Felix Uduokhai,GER,DF,22,1997,29.0,5,0,0,23,25,0,5,54,24,0,1,1,143,100,51,66.2,misc
GER-Bundesliga,2020,Augsburg,Rafał Gikiewicz,POL,GK,32,1987,34.0,3,0,0,0,3,0,0,3,0,0,0,0,42,9,1,90.0,misc
GER-Bundesliga,2020,Augsburg,Rani Khedira,GER,MF,26,1994,20.2,5,0,0,23,19,1,6,31,10,0,1,0,82,39,26,60.0,misc
GER-Bundesliga,2020,Augsburg,Raphael Framberger,GER,DF,24,1995,17.1,6,1,1,13,12,1,55,36,23,0,2,1,75,21,26,44.7,misc
GER-Bundesliga,2020,Augsburg,Reece Oxford,ENG,DF,21,1998,15.1,2,0,0,14,13,0,1,29,18,0,2,0,63,51,39,56.7,misc
GER-Bundesliga,2020,Augsburg,Robert Gumny,POL,DF,22,1998,15.3,4,0,0,21,19,1,31,18,15,0,0,0,76,18,18,50.0,misc
GER-Bundesliga,2020,Augsburg,Ruben Vargas,SUI,"MF,FW",21,1998,17.9,2,1,0,27,30,10,19,18,12,0,0,0,106,18,26,40.9,misc
GER-Bundesliga,2020,Augsburg,Tim Civeja,ALB,MF,18,2002,0.4,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,100.0,misc
GER-Bundesliga,2020,Augsburg,Tobias Strobl,GER,MF,30,1990,20.5,4,0,0,18,27,0,7,28,10,0,0,0,131,19,30,38.8,misc
GER-Bundesliga,2020,Bayern Munich,Alexander Nübel,GER,GK,23,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
GER-Bundesliga,2020,Bayern Munich,Alphonso Davies,CAN,DF,19,2000,19.6,2,1,0,14,37,3,36,28,27,0,0,0,201,12,22,35.3,misc
GER-Bundesliga,2020,Bayern Munich,Benjamin Pavard,FRA,DF,24,1996,21.6,3,0,0,18,22,0,68,48,27,0,1,0,103,36,22,62.1,misc
GER-Bundesliga,2020,Bayern Munich,Bouna Sarr,SEN,DF,28,1992,5.0,1,0,0,11,7,0,12,10,8,0,0,0,28,8,5,61.5,misc
GER-Bundesliga,2020,Bayern Munich,Chris Richards,USA,DF,20,2000,1.0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,4,20.0,misc
GER-Bundesliga,2020,Bayern Munich,Christopher Scott,GER,"MF,FW",18,2002,0.4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,misc
GER-Bundesliga,2020,Bayern Munich,Corentin Tolisso,FRA,MF,25,1994,8.7,1,1,0,12,16,1,12,6,19,0,0,0,58,14,16,46.7,misc
GER-Bundesliga,2020,Bayern Munich,David Alaba,AUT,"DF,MF",28,1992,29.7,4,0,0,19,10,0,37,43,21,0,0,0,189,19,18,51.4,misc
GER-Bundesliga,2020,Bayern Munich,Douglas Costa,BRA,"FW,MF",29,1990,3.6,0,0,0,7,2,3,28,2,1,0,0,0,19,1,5,16.7,misc
GER-Bundesliga,2020,Bayern Munich,Eric Maxim Choupo-Moting,CMR,"FW,MF",31,1989,9.1,2,0,0,5,9,9,2,2,2,0,0,0,29,14,16,46.7,misc
GER-Bundesliga,2020,Bayern Munich,Jamal Musiala,GER,"FW,MF",17,2003,9.8,0,0,0,12,21,2,5,14,12,0,0,0,64,7,11,38.9,misc
GER-Bundesliga,2020,Bayern Munich,Javi Martínez,ESP,"DF,MF",31,1988,5.2,0,0,0,2,7,0,2,13,5,0,0,0,34,19,11,63.3,misc
GER-Bundesliga,2020,Bayern Munich,Joshua Kimmich,GER,MF,25,1995,24.4,4,0,0,19,43,0,176,36,28,0,0,0,205,19,14,57.6,misc
GER-Bundesliga,2020,Bayern Munich,Joshua Zirkzee,NED,FW,19,2001,1.0,0,0,0,2,1,1,0,0,0,0,0,0,3,3,3,50.0,misc
GER-Bundesliga,2020,Bayern Munich,Josip Stanišić,CRO,DF,20,2000,1.0,0,0,0,1,0,0,1,2,2,0,0,0,5,5,2,71.4,misc
GER-Bundesliga,2020,Bayern Munich,Jérôme Boateng,GER,DF,31,1988,26.3,6,0,0,23,10,1,18,40,16,0,0,0,157,42,19,68.9,misc
GER-Bundesliga,2020,Bayern Munich,Kingsley Coman,FRA,"FW,MF",24,1996,19.5,1,0,0,12,34,7,93,4,8,1,0,0,82,12,20,37.5,misc
GER-Bundesliga,2020,Bayern Munich,Leon Goretzka,GER,MF,25,1995,18.9,2,0,0,26,17,0,11,44,23,0,0,0,165,32,17,65.3,misc
GER-Bundesliga,2020,Bayern Munich,Leroy Sané,GER,"FW,MF",24,1996,20.1,2,0,0,14,21,6,75,9,10,1,0,0,121,8,15,34.8,misc
GER-Bundesliga,2020,Bayern Munich,Lucas Hernández,FRA,DF,24,1996,17.7,4,0,0,16,31,0,47,19,31,1,1,0,104,39,21,65.0,misc
GER-Bundesliga,2020,Bayern Munich,Manuel Neuer,GER,GK,34,1986,33.0,1,0,0,1,2,0,0,2,0,0,1,0,83,2,0,100.0,misc
GER-Bundesliga,2020,Bayern Munich,Marc Roca,ESP,MF,23,1996,2.0,1,0,0,6,2,0,1,2,2,0,0,0,9,1,3,25.0,misc
GER-Bundesliga,2020,Bayern Munich,Mickaël Cuisance,FRA,FW,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Bayern Munich,Niklas Süle,GER,DF,24,1995,16.7,1,0,0,9,4,0,8,21,21,0,0,0,109,25,18,58.1,misc
GER-Bundesliga,2020,Bayern Munich,Robert Lewandowski,POL,FW,31,1988,27.3,4,0,0,41,29,21,29,3,9,2,0,0,65,44,54,44.9,misc
GER-Bundesliga,2020,Bayern Munich,Serge Gnabry,GER,"FW,MF",25,1995,18.3,4,0,0,21,22,6,68,26,19,1,0,0,91,8,18,30.8,misc
GER-Bundesliga,2020,Bayern Munich,Tanguy Nianzou,FRA,"DF,FW",18,2002,1.3,1,1,0,4,4,0,0,3,1,0,0,0,7,7,0,100.0,misc
GER-Bundesliga,2020,Bayern Munich,Thomas Müller,GER,MF,30,1989,29.7,0,0,0,22,22,14,93,21,22,1,0,0,109,51,72,41.5,misc
GER-Bundesliga,2020,Bayern Munich,Tiago Dantas,POR,MF,19,2000,0.8,0,0,0,0,1,0,3,0,1,0,0,0,2,0,2,0.0,misc
GER-Bundesliga,2020,Dortmund,Ansgar Knauff,GER,"MF,FW",18,2002,0.8,0,0,0,3,2,0,4,0,0,0,0,0,1,1,1,50.0,misc
GER-Bundesliga,2020,Dortmund,Axel Witsel,BEL,MF,31,1989,12.6,4,0,0,16,20,0,1,22,12,0,0,0,106,16,5,76.2,misc
GER-Bundesliga,2020,Dortmund,Dan-Axel Zagadou,FRA,DF,21,1999,3.1,0,0,0,0,1,0,0,6,2,0,0,0,24,9,4,69.2,misc
GER-Bundesliga,2020,Dortmund,Emre Can,GER,"DF,MF",26,1994,23.7,5,0,0,35,21,1,18,48,34,0,2,0,184,44,21,67.7,misc
GER-Bundesliga,2020,Dortmund,Erling Haaland,NOR,FW,20,2000,26.7,2,0,0,20,22,16,6,4,2,0,0,0,55,37,34,52.1,misc
GER-Bundesliga,2020,Dortmund,Felix Passlack,GER,DF,22,1998,4.0,0,0,0,4,6,1,7,3,6,0,0,0,31,0,4,0.0,misc
GER-Bundesliga,2020,Dortmund,Gio Reyna,USA,"MF,FW",17,2002,22.0,1,0,0,26,48,4,60,10,13,1,0,0,87,17,39,30.4,misc
GER-Bundesliga,2020,Dortmund,Jadon Sancho,ENG,"FW,MF",20,2000,22.9,0,0,0,1,22,9,105,16,11,0,0,0,115,2,6,25.0,misc
GER-Bundesliga,2020,Dortmund,Jude Bellingham,ENG,MF,17,2003,18.9,6,1,1,40,52,1,20,24,31,0,1,0,117,26,26,50.0,misc
GER-Bundesliga,2020,Dortmund,Julian Brandt,GER,"FW,MF",24,1996,16.6,0,0,0,6,16,2,29,17,14,0,0,0,92,7,21,25.0,misc
GER-Bundesliga,2020,Dortmund,Mahmoud Dahoud,GER,MF,24,1996,14.0,2,0,0,27,18,0,7,18,18,0,1,0,121,10,12,45.5,misc
GER-Bundesliga,2020,Dortmund,Manuel Akanji,SUI,DF,25,1995,26.1,4,0,0,22,18,0,2,49,22,1,1,0,148,46,30,60.5,misc
GER-Bundesliga,2020,Dortmund,Marco Reus,GER,"MF,FW",31,1989,25.3,1,0,0,27,34,10,58,14,16,3,0,0,83,12,20,37.5,misc
GER-Bundesliga,2020,Dortmund,Marwin Hitz,SUI,GK,32,1987,15.5,1,0,0,0,2,0,0,0,1,0,0,0,23,0,0,,misc
GER-Bundesliga,2020,Dortmund,Mateu Morey,ESP,DF,20,2000,9.2,1,0,0,12,8,1,33,18,7,0,0,0,52,4,7,36.4,misc
GER-Bundesliga,2020,Dortmund,Mats Hummels,GER,DF,31,1988,31.3,6,0,0,27,15,7,1,73,40,0,0,0,232,127,46,73.4,misc
GER-Bundesliga,2020,Dortmund,Nico Schulz,GER,DF,27,1993,6.8,1,0,0,8,4,0,18,6,6,0,0,1,55,5,5,50.0,misc
GER-Bundesliga,2020,Dortmund,Raphaël Guerreiro,POR,DF,26,1993,24.6,1,0,0,10,12,2,70,28,13,0,0,0,174,6,17,26.1,misc
GER-Bundesliga,2020,Dortmund,Reinier,BRA,"MF,FW",18,2002,2.9,0,0,0,3,4,1,2,2,4,0,0,0,14,4,4,50.0,misc
GER-Bundesliga,2020,Dortmund,Roman Bürki,SUI,GK,29,1990,18.5,0,0,0,0,1,0,0,0,0,0,0,0,21,1,1,50.0,misc
GER-Bundesliga,2020,Dortmund,Steffen Tigges,GER,"FW,DF",22,1998,0.6,0,0,0,4,0,0,1,0,4,0,0,0,5,6,2,75.0,misc
GER-Bundesliga,2020,Dortmund,Thomas Delaney,DEN,MF,28,1991,14.3,6,0,0,36,26,1,7,22,30,0,0,0,85,29,11,72.5,misc
GER-Bundesliga,2020,Dortmund,Thomas Meunier,BEL,DF,28,1991,16.4,3,0,0,17,3,3,48,18,21,1,0,0,113,14,16,46.7,misc
GER-Bundesliga,2020,Dortmund,Thorgan Hazard,BEL,"MF,FW",27,1993,7.3,0,0,0,6,7,6,29,10,2,0,1,0,44,1,10,9.1,misc
GER-Bundesliga,2020,Dortmund,Youssoufa Moukoko,GER,"FW,MF",15,2004,4.7,0,0,0,8,8,4,0,0,2,0,0,0,10,1,1,50.0,misc
GER-Bundesliga,2020,Dortmund,Łukasz Piszczek,POL,DF,35,1985,5.1,0,0,0,1,3,0,6,5,7,0,0,0,31,7,7,50.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Ajdin Hrustic,AUS,"MF,DF",24,1996,3.0,2,0,0,7,5,0,26,4,5,0,0,0,24,3,1,75.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Almamy Touré,MLI,DF,24,1996,7.8,2,0,0,13,1,6,45,8,12,0,1,0,57,18,14,56.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Amin Younes,GER,MF,26,1993,15.5,5,0,0,38,26,6,44,13,14,0,0,0,75,1,15,6.3,misc
GER-Bundesliga,2020,Eint Frankfurt,André Silva,POR,FW,24,1995,30.7,1,0,0,18,34,28,12,3,2,3,0,0,72,73,92,44.2,misc
GER-Bundesliga,2020,Eint Frankfurt,Aymen Barkok,MAR,"MF,DF",22,1998,10.9,5,0,0,23,7,1,41,10,15,0,1,0,75,15,24,38.5,misc
GER-Bundesliga,2020,Eint Frankfurt,Bas Dost,NED,FW,31,1989,9.1,3,0,0,16,9,3,0,2,2,0,0,0,28,64,31,67.4,misc
GER-Bundesliga,2020,Eint Frankfurt,Daichi Kamada,JPN,MF,23,1996,26.2,3,0,0,41,30,7,96,14,28,1,0,0,126,16,34,32.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Danny da Costa,GER,DF,27,1993,1.2,0,0,0,2,0,0,4,0,0,0,0,0,5,1,3,25.0,misc
GER-Bundesliga,2020,Eint Frankfurt,David Abraham,ARG,DF,34,1986,13.6,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Djibril Sow,SUI,MF,23,1997,24.2,6,0,0,40,40,2,6,51,33,0,0,0,178,27,23,54.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Dominik Kohr,GER,"MF,DF",26,1994,2.9,1,0,0,9,5,0,5,9,7,0,0,0,19,8,3,72.7,misc
GER-Bundesliga,2020,Eint Frankfurt,Elias Bördner,GER,GK,18,2002,1.0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,,misc
GER-Bundesliga,2020,Eint Frankfurt,Erik Durm,GER,DF,28,1992,16.4,1,0,0,9,14,1,48,29,13,0,0,0,98,21,19,52.5,misc
GER-Bundesliga,2020,Eint Frankfurt,Filip Kostić,SRB,DF,27,1992,28.2,4,0,0,20,20,4,327,26,31,0,0,0,163,13,17,43.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Kevin Trapp,GER,GK,30,1990,33.0,0,0,0,0,2,0,0,3,0,0,0,0,78,7,0,100.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Luka Jović,SRB,FW,22,1997,9.9,2,0,0,13,8,3,2,1,0,0,0,0,29,25,50,33.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Makoto Hasebe,JPN,"DF,MF",36,1984,25.4,5,0,0,22,36,0,2,31,29,0,0,0,199,31,28,52.5,misc
GER-Bundesliga,2020,Eint Frankfurt,Martin Hinteregger,AUT,DF,27,1992,28.1,4,0,0,33,35,0,5,44,49,2,1,1,192,106,47,69.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Obite N'Dicka,CIV,DF,20,1999,22.7,10,0,0,33,31,0,14,47,23,0,0,0,171,48,41,53.9,misc
GER-Bundesliga,2020,Eint Frankfurt,Ragnar Ache,GER,"FW,DF",22,1998,1.1,1,0,0,5,1,1,1,1,0,0,0,0,3,9,7,56.3,misc
GER-Bundesliga,2020,Eint Frankfurt,Sebastian Rode,GER,MF,29,1990,18.1,10,0,0,30,19,0,14,47,25,0,0,0,101,20,16,55.6,misc
GER-Bundesliga,2020,Eint Frankfurt,Stefan Ilsanker,AUT,"MF,DF",31,1989,17.5,4,0,0,29,12,1,6,30,20,0,1,0,121,28,23,54.9,misc
GER-Bundesliga,2020,Eint Frankfurt,Steven Zuber,SUI,"DF,MF",28,1991,6.5,1,0,0,13,11,1,31,4,12,0,0,0,49,1,9,10.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Timothy Chandler,USA,DF,30,1990,4.8,2,0,0,6,1,4,25,3,0,0,0,0,19,6,6,50.0,misc
GER-Bundesliga,2020,Eint Frankfurt,Tuta,BRA,DF,21,1999,16.2,5,0,0,30,13,0,9,29,20,0,2,1,134,32,31,50.8,misc
GER-Bundesliga,2020,Freiburg,Amir Abrashi,ALB,"MF,DF",30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,misc
GER-Bundesliga,2020,Freiburg,Baptiste Santamaria,FRA,MF,25,1995,24.5,5,0,0,32,26,1,35,52,38,0,0,1,172,56,38,59.6,misc
GER-Bundesliga,2020,Freiburg,Christian Günter,GER,"DF,MF",27,1993,34.0,2,0,0,31,18,2,213,29,19,0,0,0,131,14,16,46.7,misc
GER-Bundesliga,2020,Freiburg,Dominique Heintz,GER,DF,26,1993,15.2,3,0,0,16,6,0,7,35,11,0,0,0,83,24,17,58.5,misc
GER-Bundesliga,2020,Freiburg,Ermedin Demirović,BIH,FW,22,1998,16.6,7,0,0,44,15,10,9,0,9,1,0,0,47,38,84,31.1,misc
GER-Bundesliga,2020,Freiburg,Florian Müller,GER,GK,22,1997,31.0,0,0,0,0,1,0,0,2,0,0,0,0,55,4,0,100.0,misc
GER-Bundesliga,2020,Freiburg,Guus Til,NED,FW,22,1997,1.4,1,0,0,5,1,0,4,2,3,0,0,0,7,2,7,22.2,misc
GER-Bundesliga,2020,Freiburg,Janik Haberer,GER,"MF,FW",26,1994,5.4,0,0,0,16,6,1,7,7,4,0,2,0,48,6,15,28.6,misc
GER-Bundesliga,2020,Freiburg,Jeong Woo-yeong,KOR,"FW,MF",20,1999,9.1,0,0,0,11,12,1,14,11,5,0,0,0,49,13,12,52.0,misc
GER-Bundesliga,2020,Freiburg,Jonathan Schmid,FRA,"MF,DF",30,1990,26.6,4,0,0,17,17,0,92,28,19,0,0,0,146,15,19,44.1,misc
GER-Bundesliga,2020,Freiburg,Keven Schlotterbeck,GER,DF,23,1997,18.4,3,0,0,22,27,0,1,36,10,0,0,1,86,50,35,58.8,misc
GER-Bundesliga,2020,Freiburg,Kwon Chang-hoon,KOR,"MF,FW",26,1994,2.4,2,0,0,4,5,1,6,7,1,0,0,0,11,3,6,33.3,misc
GER-Bundesliga,2020,Freiburg,Lino Tempelmann,GER,MF,21,1999,3.0,2,0,0,4,7,0,3,2,3,0,0,0,13,6,8,42.9,misc
GER-Bundesliga,2020,Freiburg,Lucas Höler,GER,"FW,MF",26,1994,23.2,5,0,0,26,77,13,22,16,24,1,0,0,103,71,65,52.2,misc
GER-Bundesliga,2020,Freiburg,Lukas Kübler,GER,"DF,MF",27,1992,9.8,2,0,0,18,10,1,23,21,8,0,2,0,48,23,9,71.9,misc
GER-Bundesliga,2020,Freiburg,Manuel Gulde,GER,DF,29,1991,21.7,3,0,0,17,20,2,3,37,15,0,0,0,97,47,36,56.6,misc
GER-Bundesliga,2020,Freiburg,Mark Flekken,NED,GK,27,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,misc
GER-Bundesliga,2020,Freiburg,Nicolas Höfler,GER,MF,30,1990,30.3,11,0,0,70,34,0,10,66,28,1,2,0,183,62,45,57.9,misc
GER-Bundesliga,2020,Freiburg,Nils Petersen,GER,FW,31,1988,14.5,0,0,0,12,4,7,4,9,7,0,0,0,29,31,108,22.3,misc
GER-Bundesliga,2020,Freiburg,Nishan Burkart,SUI,MF,20,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,misc
GER-Bundesliga,2020,Freiburg,Philipp Lienhart,AUT,DF,24,1996,33.3,4,0,0,16,35,3,3,42,13,0,0,0,169,59,43,57.8,misc
GER-Bundesliga,2020,Freiburg,Roland Sallai,HUN,"MF,FW",23,1997,18.5,5,0,0,49,56,12,46,11,14,2,0,0,60,36,53,40.4,misc
GER-Bundesliga,2020,Freiburg,Vincenzo Grifo,ITA,"MF,FW",27,1993,25.7,2,0,0,11,18,2,134,27,7,0,0,0,135,12,13,48.0,misc
GER-Bundesliga,2020,Freiburg,Yannik Keitel,GER,MF,20,2000,5.5,1,0,0,12,6,0,0,10,8,0,0,0,33,14,6,70.0,misc
GER-Bundesliga,2020,Gladbach,Alassane Pléa,FRA,FW,27,1993,20.0,2,0,0,18,28,20,34,5,9,0,0,0,59,27,35,43.5,misc
GER-Bundesliga,2020,Gladbach,Breel Embolo,SUI,"FW,MF",23,1997,16.0,4,0,0,34,54,11,6,8,10,3,0,0,50,36,49,42.4,misc
GER-Bundesliga,2020,Gladbach,Christoph Kramer,GER,MF,29,1991,22.6,5,0,0,32,20,0,5,34,37,0,0,0,158,19,27,41.3,misc
GER-Bundesliga,2020,Gladbach,Denis Zakaria,SUI,"MF,DF",23,1996,15.8,5,0,0,23,12,0,6,23,15,0,0,0,95,13,14,48.1,misc
GER-Bundesliga,2020,Gladbach,Florian Neuhaus,GER,MF,23,1997,29.1,9,0,0,23,38,1,15,50,28,0,2,0,201,14,15,48.3,misc
GER-Bundesliga,2020,Gladbach,Hannes Wolf,AUT,"MF,FW",21,1999,15.3,2,0,0,35,26,2,6,9,13,0,0,0,84,13,23,36.1,misc
GER-Bundesliga,2020,Gladbach,Ibrahima Traoré,GUI,"FW,DF",32,1988,1.1,0,0,0,0,1,1,8,0,1,0,0,0,6,0,0,,misc
GER-Bundesliga,2020,Gladbach,Jonas Hofmann,GER,"FW,MF",28,1992,20.2,1,0,0,19,19,9,141,27,20,0,0,0,121,7,15,31.8,misc
